"","species","n","meangrowthrate","sd"
"1","ABCO",8436,0.240094935962383,0.227353666369731
"2","ABMA",11389,0.167850581754384,0.159018278472568
"3","CADE",7050,0.190703452009673,0.157986987106889
"4","PICO",280,0.206880764411028,0.155600872771659
"5","PIJE",581,0.215682958704723,0.228412300933682
"6","PILA",1023,0.291522912189859,0.250996673695119
"7","PIMO",1544,0.390827949340585,0.498835819549659
"8","PIPO",632,0.241593501157958,0.176857087301745
"9","QUCH",172,0.11952519379845,0.103567957715459
"10","QUKE",2760,0.1598136447282,0.113608951992626
