Location: CCRPIPO Setup
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\071715-CCRPIPO-1.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUKE	Sdl Abs Den: NR1	Sdl Abs Den: NR2	Sdl Abs Den: NR3	Sdl Abs Den: NR4	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUKE	Sapl Abs BA: NR1	Sapl Abs BA: NR2	Sapl Abs BA: NR3	Sapl Abs BA: NR4	Sapl BA Total:	Sapl Rel BA: ABCO	Sapl Rel BA: CADE	Sapl Rel BA: PILA	Sapl Rel BA: PIPO	Sapl Rel BA: QUKE	Sapl Rel BA: NR1	Sapl Rel BA: NR2	Sapl Rel BA: NR3	Sapl Rel BA: NR4	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUKE	Sapl Abs Den: NR1	Sapl Abs Den: NR2	Sapl Abs Den: NR3	Sapl Abs Den: NR4	Sapl Den Total:	Sapl Rel Den: ABCO	Sapl Rel Den: CADE	Sapl Rel Den: PILA	Sapl Rel Den: PIPO	Sapl Rel Den: QUKE	Sapl Rel Den: NR1	Sapl Rel Den: NR2	Sapl Rel Den: NR3	Sapl Rel Den: NR4	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUKE	Adult Abs BA: NR1	Adult Abs BA: NR2	Adult Abs BA: NR3	Adult Abs BA: NR4	Adult BA Total:	Adult Rel BA: ABCO	Adult Rel BA: CADE	Adult Rel BA: PILA	Adult Rel BA: PIPO	Adult Rel BA: QUKE	Adult Rel BA: NR1	Adult Rel BA: NR2	Adult Rel BA: NR3	Adult Rel BA: NR4	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUKE	Adult Abs Den: NR1	Adult Abs Den: NR2	Adult Abs Den: NR3	Adult Abs Den: NR4	Adult Den Total:	Adult Rel Den: ABCO	Adult Rel Den: CADE	Adult Rel Den: PILA	Adult Rel Den: PIPO	Adult Rel Den: QUKE	Adult Rel Den: NR1	Adult Rel Den: NR2	Adult Rel Den: NR3	Adult Rel Den: NR4	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: NR1	Natural Dead Sdl Abs Den: NR2	Natural Dead Sdl Abs Den: NR3	Natural Dead Sdl Abs Den: NR4	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: NR1	Natural Dead Sapl Abs Den: NR2	Natural Dead Sapl Abs Den: NR3	Natural Dead Sapl Abs Den: NR4	Natural Dead Sapl Den Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: NR1	Natural Dead Adult Abs Den: NR2	Natural Dead Adult Abs Den: NR3	Natural Dead Adult Abs Den: NR4	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	4.45613	1.41367	0.455601	0.168518	0.592857	0	0	0	0	7.08678	0.628795	0.19948	0.0642889	0.0237793	0.0836568	0	0	0	0	770.667	378.111	95.3333	54.2222	211.556	0	0	0	0	1509.89	0.510413	0.250423	0.0631393	0.0359114	0.140113	0	0	0	0	21.1407	121.168	1.26731	10.9644	29.9589	0	0	0	0	184.5	0.114584	0.656741	0.00686891	0.0594277	0.162379	0	0	0	0	88	176.667	2.77778	10.3333	66.4444	0	0	0	0	344.222	0.255649	0.513234	0.00806972	0.0300194	0.193028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	18.2222	14.7778	0.444444	1.11111	3	0	0	0	0	37.5556	4.3046	1.37204	0.449698	0.162219	0.582657	0	0	0	0	6.87121	0.626469	0.199679	0.0654467	0.0236085	0.0847969	0	0	0	0	739.444	365.889	92.4444	53.4444	204.333	0	0	0	0	1455.56	0.508015	0.251374	0.0635115	0.0367176	0.140382	0	0	0	0	20.2478	120.053	1.26997	10.8587	24.8792	0	0	0	0	177.309	0.114195	0.677085	0.0071625	0.061242	0.140316	0	0	0	0	84.3333	172.667	2.77778	10	64.2222	0	0	0	0	334	0.252495	0.516966	0.0083167	0.0299401	0.192282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.1111	11.5556	2.88889	0.666667	6.88889	0	0	0	0	53.1111	3.77778	4.66667	0	0.444444	2.55556	0	0	0	0	11.4444
2	0	37	28	0.444444	2.11111	6.77778	0	0	0	0	74.3333	4.12627	1.3425	0.44664	0.162342	0.57756	0	0	0	0	6.65532	0.619996	0.201719	0.0671103	0.0243929	0.0867818	0	0	0	0	706.333	355.667	89.5556	52.5556	197.778	0	0	0	0	1401.89	0.503844	0.253705	0.0638821	0.0374891	0.14108	0	0	0	0	19.282	119.249	1.18641	10.8531	24.4563	0	0	0	0	175.027	0.110166	0.681318	0.00677846	0.0620081	0.139729	0	0	0	0	80.7778	169.111	2.66667	9.77778	63.3333	0	0	0	0	325.667	0.248038	0.519277	0.00818833	0.0300239	0.194473	0	0	0	0	0.666667	0.333333	0.111111	0	0.111111	0	0	0	0	1.22222	33.1111	9.55556	2.88889	0.888889	6.22222	0	0	0	0	52.6667	3.55556	4.22222	0.111111	0.222222	1.22222	0	0	0	0	9.33333
3	0	51.1111	40.8889	0.555556	3.11111	9.11111	0	0	0	0	104.778	3.96582	1.30827	0.431712	0.161754	0.557955	0	0	0	0	6.4255	0.617199	0.203605	0.0671872	0.0251737	0.0868344	0	0	0	0	675.222	343.444	86.8889	51.4444	190.778	0	0	0	0	1347.78	0.500989	0.254823	0.0644683	0.0381698	0.14155	0	0	0	0	18.8588	118.685	1.18893	10.5898	20.238	0	0	0	0	169.561	0.111221	0.699957	0.00701182	0.062454	0.119355	0	0	0	0	78	165.778	2.66667	9.33333	62	0	0	0	0	317.778	0.245455	0.521678	0.00839161	0.0293706	0.195105	0	0	0	0	1.55556	0.666667	0	0	0.222222	0	0	0	0	2.44444	31	11.6667	2.66667	1.11111	6.33333	0	0	0	0	52.7778	2.88889	3.88889	0	0.444444	2	0	0	0	0	9.22222
4	0	68.2222	54.4444	0.666667	3.11111	11.7778	0	0	0	0	138.222	3.82954	1.28001	0.428217	0.157548	0.544728	0	0	0	0	6.24005	0.613705	0.205128	0.068624	0.0252479	0.0872954	0	0	0	0	651.111	333.667	84.4444	50	184.667	0	0	0	0	1303.89	0.499361	0.255901	0.0647635	0.0383468	0.141628	0	0	0	0	18.3627	117.449	1.11823	10.4083	20.0353	0	0	0	0	167.374	0.109711	0.701719	0.00668102	0.0621857	0.119704	0	0	0	0	74.1111	161.556	2.33333	9	60.8889	0	0	0	0	307.889	0.240707	0.52472	0.00757849	0.0292313	0.197763	0	0	0	0	1.77778	1.33333	0	0.111111	0.555556	0	0	0	0	3.77778	23.8889	9.44444	2.44444	1.44444	5.55556	0	0	0	0	42.7778	4.11111	4.55556	0.333333	0.333333	1.66667	0	0	0	0	11
5	0	82	66.4444	0.666667	3.44444	14.6667	0	0	0	0	167.222	3.70463	1.25356	0.423245	0.159348	0.528673	0	0	0	0	6.06946	0.610373	0.206535	0.0697336	0.026254	0.0871039	0	0	0	0	626.333	324.222	81.7778	49.2222	178.778	0	0	0	0	1260.33	0.496958	0.257251	0.0648858	0.0390549	0.14185	0	0	0	0	17.6881	115.583	1.01358	10.4184	19.9412	0	0	0	0	164.644	0.107432	0.702017	0.00615616	0.0632782	0.121117	0	0	0	0	71.2222	158.111	2.22222	9	59.3333	0	0	0	0	299.889	0.237495	0.527232	0.00741015	0.0300111	0.197851	0	0	0	0	2.77778	1.22222	0	0.111111	0.222222	0	0	0	0	4.33333	24.5556	8.77778	2.66667	0.777778	5.55556	0	0	0	0	42.3333	3.11111	4.11111	0.111111	0	1.88889	0	0	0	0	9.22222
6	0	94.5556	75.8889	0.777778	3.44444	15.5556	0	0	0	0	190.222	3.55341	1.23744	0.406141	0.160827	0.515658	0	0	0	0	5.87348	0.604993	0.210683	0.0691483	0.0273819	0.0877942	0	0	0	0	597.333	315.556	78.5556	48.1111	173.889	0	0	0	0	1213.44	0.492263	0.260049	0.0647377	0.0396484	0.143302	0	0	0	0	17.1652	111.096	1.01576	10.2972	18.906	0	0	0	0	158.48	0.108311	0.70101	0.0064094	0.0649746	0.119295	0	0	0	0	68.8889	153	2.22222	8.88889	58.3333	0	0	0	0	291.333	0.236461	0.525172	0.00762777	0.0305111	0.200229	0	0	0	0	2.22222	2	0	0.222222	1	0	0	0	0	5.44444	28.6667	8.44444	3.22222	1.11111	4.55556	0	0	0	0	46	2.66667	5.33333	0	0.111111	1.33333	0	0	0	0	9.44444
7	0	104.889	87.3333	0.777778	4.11111	18	0	0	0	0	215.111	3.44361	1.21094	0.388675	0.16223	0.507321	0	0	0	0	5.71278	0.602791	0.21197	0.068036	0.0283977	0.0888045	0	0	0	0	573.556	306.222	75	47.3333	169.444	0	0	0	0	1171.56	0.489568	0.261381	0.0640175	0.0404021	0.144632	0	0	0	0	16.3045	108.629	1.0047	10.3073	18.6497	0	0	0	0	154.896	0.105261	0.701307	0.00648632	0.0665434	0.120402	0	0	0	0	65.4444	149.222	2.11111	8.88889	57.1111	0	0	0	0	282.778	0.231434	0.527701	0.00746562	0.0314342	0.201965	0	0	0	0	4.44444	1.77778	0	0	0.666667	0	0	0	0	6.88889	23.4444	8.88889	3.55556	0.777778	4.22222	0	0	0	0	40.8889	3.77778	4.22222	0.111111	0	1.44444	0	0	0	0	9.55556
8	0	115.667	98.4444	0.888889	4.88889	19.6667	0	0	0	0	239.556	3.32343	1.18711	0.378401	0.164034	0.491639	0	0	0	0	5.54461	0.599398	0.214101	0.0682466	0.0295843	0.0886698	0	0	0	0	548.444	298.556	72.7778	46.5556	163.333	0	0	0	0	1129.67	0.485492	0.264286	0.0644241	0.0412118	0.144585	0	0	0	0	15.3583	107.402	0.995211	10.3174	18.5932	0	0	0	0	152.666	0.100601	0.703509	0.00651888	0.0675813	0.12179	0	0	0	0	62.7778	146	2	8.88889	56	0	0	0	0	275.667	0.227731	0.529625	0.00725514	0.0322451	0.203144	0	0	0	0	4.44444	2.11111	0	0.111111	0.666667	0	0	0	0	7.33333	24.4444	6.66667	2.22222	0.777778	5.77778	0	0	0	0	39.8889	3.33333	4.22222	0.111111	0	1.44444	0	0	0	0	9.11111
9	0	128.556	106.444	0.888889	5	23.3333	0	0	0	0	264.222	3.19697	1.15735	0.374957	0.16497	0.487348	0	0	0	0	5.38159	0.594056	0.215057	0.069674	0.0306545	0.0905584	0	0	0	0	523.889	290.333	71	45.8889	158.889	0	0	0	0	1090	0.480632	0.266361	0.0651376	0.0420999	0.14577	0	0	0	0	15.1336	90.9176	0.997288	10.064	18.4049	0	0	0	0	135.517	0.111673	0.670892	0.00735912	0.0742638	0.135812	0	0	0	0	60.8889	143.111	2	8.55556	53.5556	0	0	0	0	268.111	0.227103	0.533775	0.00745959	0.0319105	0.199751	0	0	0	0	3.22222	2.33333	0	0.111111	0.444444	0	0	0	0	6.11111	24.4444	7.55556	1.77778	0.666667	4.44444	0	0	0	0	38.8889	2	3.55556	0	0.333333	2.44444	0	0	0	0	8.33333
