Location: PGABMA Validation
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\072315-PGABMA-1.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABMA	Sdl Abs Den: PIMO	Sdl Abs Den: NR1	Sdl Abs Den: NR2	Sdl Abs Den: NR3	Sdl Abs Den: NR4	Sdl Abs Den: NR5	Sdl Abs Den: NR6	Sdl Abs Den: NR7	Sdl Den Total:	Sapl Abs BA: ABMA	Sapl Abs BA: PIMO	Sapl Abs BA: NR1	Sapl Abs BA: NR2	Sapl Abs BA: NR3	Sapl Abs BA: NR4	Sapl Abs BA: NR5	Sapl Abs BA: NR6	Sapl Abs BA: NR7	Sapl BA Total:	Sapl Rel BA: ABMA	Sapl Rel BA: PIMO	Sapl Rel BA: NR1	Sapl Rel BA: NR2	Sapl Rel BA: NR3	Sapl Rel BA: NR4	Sapl Rel BA: NR5	Sapl Rel BA: NR6	Sapl Rel BA: NR7	Sapl Abs Den: ABMA	Sapl Abs Den: PIMO	Sapl Abs Den: NR1	Sapl Abs Den: NR2	Sapl Abs Den: NR3	Sapl Abs Den: NR4	Sapl Abs Den: NR5	Sapl Abs Den: NR6	Sapl Abs Den: NR7	Sapl Den Total:	Sapl Rel Den: ABMA	Sapl Rel Den: PIMO	Sapl Rel Den: NR1	Sapl Rel Den: NR2	Sapl Rel Den: NR3	Sapl Rel Den: NR4	Sapl Rel Den: NR5	Sapl Rel Den: NR6	Sapl Rel Den: NR7	Adult Abs BA: ABMA	Adult Abs BA: PIMO	Adult Abs BA: NR1	Adult Abs BA: NR2	Adult Abs BA: NR3	Adult Abs BA: NR4	Adult Abs BA: NR5	Adult Abs BA: NR6	Adult Abs BA: NR7	Adult BA Total:	Adult Rel BA: ABMA	Adult Rel BA: PIMO	Adult Rel BA: NR1	Adult Rel BA: NR2	Adult Rel BA: NR3	Adult Rel BA: NR4	Adult Rel BA: NR5	Adult Rel BA: NR6	Adult Rel BA: NR7	Adult Abs Den: ABMA	Adult Abs Den: PIMO	Adult Abs Den: NR1	Adult Abs Den: NR2	Adult Abs Den: NR3	Adult Abs Den: NR4	Adult Abs Den: NR5	Adult Abs Den: NR6	Adult Abs Den: NR7	Adult Den Total:	Adult Rel Den: ABMA	Adult Rel Den: PIMO	Adult Rel Den: NR1	Adult Rel Den: NR2	Adult Rel Den: NR3	Adult Rel Den: NR4	Adult Rel Den: NR5	Adult Rel Den: NR6	Adult Rel Den: NR7	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: NR1	Natural Dead Sdl Abs Den: NR2	Natural Dead Sdl Abs Den: NR3	Natural Dead Sdl Abs Den: NR4	Natural Dead Sdl Abs Den: NR5	Natural Dead Sdl Abs Den: NR6	Natural Dead Sdl Abs Den: NR7	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: NR1	Natural Dead Sapl Abs Den: NR2	Natural Dead Sapl Abs Den: NR3	Natural Dead Sapl Abs Den: NR4	Natural Dead Sapl Abs Den: NR5	Natural Dead Sapl Abs Den: NR6	Natural Dead Sapl Abs Den: NR7	Natural Dead Sapl Den Total:	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: NR1	Natural Dead Adult Abs Den: NR2	Natural Dead Adult Abs Den: NR3	Natural Dead Adult Abs Den: NR4	Natural Dead Adult Abs Den: NR5	Natural Dead Adult Abs Den: NR6	Natural Dead Adult Abs Den: NR7	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	5.15191	0.0207456	0	0	0	0	0	0	0	5.17265	0.995989	0.00401064	0	0	0	0	0	0	0	513.444	2.88889	0	0	0	0	0	0	0	516.333	0.994405	0.00559501	0	0	0	0	0	0	0	161.864	0	0	0	0	0	0	0	0	161.864	1	0	0	0	0	0	0	0	0	264.333	0	0	0	0	0	0	0	0	264.333	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	16.2222	0	0	0	0	0	0	0	0	16.2222	4.96002	0.0181381	0	0	0	0	0	0	0	4.97816	0.996356	0.00364353	0	0	0	0	0	0	0	488.778	2.44444	0	0	0	0	0	0	0	491.222	0.995024	0.00497625	0	0	0	0	0	0	0	150.35	0	0	0	0	0	0	0	0	150.35	1	0	0	0	0	0	0	0	0	251.333	0	0	0	0	0	0	0	0	251.333	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.2222	0.444444	0	0	0	0	0	0	0	24.6667	13.4444	0	0	0	0	0	0	0	0	13.4444
2	0	32.4444	0	0	0	0	0	0	0	0	32.4444	4.70357	0.015837	0	0	0	0	0	0	0	4.71941	0.996644	0.00335573	0	0	0	0	0	0	0	462.778	2.22222	0	0	0	0	0	0	0	465	0.995221	0.00477897	0	0	0	0	0	0	0	145.277	0	0	0	0	0	0	0	0	145.277	1	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	240	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	25.7778	0.222222	0	0	0	0	0	0	0	26	11.5556	0	0	0	0	0	0	0	0	11.5556
3	0	45.8889	0	0	0	0	0	0	0	0	45.8889	4.46624	0.015888	0	0	0	0	0	0	0	4.48213	0.996455	0.00354475	0	0	0	0	0	0	0	439	2.22222	0	0	0	0	0	0	0	441.222	0.994963	0.00503651	0	0	0	0	0	0	0	137.413	0	0	0	0	0	0	0	0	137.413	1	0	0	0	0	0	0	0	0	228.556	0	0	0	0	0	0	0	0	228.556	1	0	0	0	0	0	0	0	0	1.44444	0	0	0	0	0	0	0	0	1.44444	22.5556	0	0	0	0	0	0	0	0	22.5556	12.6667	0	0	0	0	0	0	0	0	12.6667
4	0	60.3333	0	0	0	0	0	0	0	0	60.3333	4.20624	0.0159432	0	0	0	0	0	0	0	4.22219	0.996224	0.00377605	0	0	0	0	0	0	0	414.111	2.22222	0	0	0	0	0	0	0	416.333	0.994662	0.0053376	0	0	0	0	0	0	0	132.262	0	0	0	0	0	0	0	0	132.262	1	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	218	1	0	0	0	0	0	0	0	0	1.77778	0	0	0	0	0	0	0	0	1.77778	24.4444	0	0	0	0	0	0	0	0	24.4444	11	0	0	0	0	0	0	0	0	11
5	0	70.8889	0	0	0	0	0	0	0	0	70.8889	4.00483	0.0139425	0	0	0	0	0	0	0	4.01877	0.996531	0.00346935	0	0	0	0	0	0	0	394.778	1.88889	0	0	0	0	0	0	0	396.667	0.995238	0.0047619	0	0	0	0	0	0	0	125.624	0	0	0	0	0	0	0	0	125.624	1	0	0	0	0	0	0	0	0	208.333	0	0	0	0	0	0	0	0	208.333	1	0	0	0	0	0	0	0	0	4.55556	0	0	0	0	0	0	0	0	4.55556	18.6667	0.333333	0	0	0	0	0	0	0	19	10.3333	0	0	0	0	0	0	0	0	10.3333
6	0	80.8889	0	0	0	0	0	0	0	0	80.8889	3.80179	0.0132784	0	0	0	0	0	0	0	3.81506	0.996519	0.00348053	0	0	0	0	0	0	0	374.889	1.77778	0	0	0	0	0	0	0	376.667	0.99528	0.00471976	0	0	0	0	0	0	0	119.786	0	0	0	0	0	0	0	0	119.786	1	0	0	0	0	0	0	0	0	199.222	0	0	0	0	0	0	0	0	199.222	1	0	0	0	0	0	0	0	0	3.33333	0	0	0	0	0	0	0	0	3.33333	19.5556	0.111111	0	0	0	0	0	0	0	19.6667	9.44444	0	0	0	0	0	0	0	0	9.44444
7	0	91.1111	0	0	0	0	0	0	0	0	91.1111	3.62895	0.0125912	0	0	0	0	0	0	0	3.64154	0.996542	0.00345765	0	0	0	0	0	0	0	358.222	1.66667	0	0	0	0	0	0	0	359.889	0.995369	0.00463106	0	0	0	0	0	0	0	116.722	0	0	0	0	0	0	0	0	116.722	1	0	0	0	0	0	0	0	0	190.667	0	0	0	0	0	0	0	0	190.667	1	0	0	0	0	0	0	0	0	4.44444	0	0	0	0	0	0	0	0	4.44444	16.1111	0.111111	0	0	0	0	0	0	0	16.2222	9.11111	0	0	0	0	0	0	0	0	9.11111
8	0	101	0	0	0	0	0	0	0	0	101	3.47184	0.0109969	0	0	0	0	0	0	0	3.48284	0.996843	0.00315745	0	0	0	0	0	0	0	341.111	1.44444	0	0	0	0	0	0	0	342.556	0.995783	0.00421667	0	0	0	0	0	0	0	113.514	0	0	0	0	0	0	0	0	113.514	1	0	0	0	0	0	0	0	0	182.556	0	0	0	0	0	0	0	0	182.556	1	0	0	0	0	0	0	0	0	4.33333	0	0	0	0	0	0	0	0	4.33333	16.6667	0.222222	0	0	0	0	0	0	0	16.8889	8.55556	0	0	0	0	0	0	0	0	8.55556
9	0	107.889	0	0	0	0	0	0	0	0	107.889	3.33406	0.00998496	0	0	0	0	0	0	0	3.34404	0.997014	0.00298589	0	0	0	0	0	0	0	323.444	1.33333	0	0	0	0	0	0	0	324.778	0.995895	0.00410537	0	0	0	0	0	0	0	109.069	0	0	0	0	0	0	0	0	109.069	1	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	174	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6	17.6667	0.111111	0	0	0	0	0	0	0	17.7778	8.55556	0	0	0	0	0	0	0	0	8.55556
10	0	114.778	0	0	0	0	0	0	0	0	114.778	3.17786	0.010041	0	0	0	0	0	0	0	3.1879	0.99685	0.00314972	0	0	0	0	0	0	0	306.778	1.33333	0	0	0	0	0	0	0	308.111	0.995673	0.00432744	0	0	0	0	0	0	0	104.813	0	0	0	0	0	0	0	0	104.813	1	0	0	0	0	0	0	0	0	166.444	0	0	0	0	0	0	0	0	166.444	1	0	0	0	0	0	0	0	0	4.88889	0	0	0	0	0	0	0	0	4.88889	16.3333	0	0	0	0	0	0	0	0	16.3333	7.88889	0	0	0	0	0	0	0	0	7.88889
11	0	121.667	0	0	0	0	0	0	0	0	121.667	3.03167	0.0100982	0	0	0	0	0	0	0	3.04177	0.99668	0.00331983	0	0	0	0	0	0	0	290.333	1.33333	0	0	0	0	0	0	0	291.667	0.995429	0.00457143	0	0	0	0	0	0	0	97.1859	0	0	0	0	0	0	0	0	97.1859	1	0	0	0	0	0	0	0	0	159.667	0	0	0	0	0	0	0	0	159.667	1	0	0	0	0	0	0	0	0	5.88889	0	0	0	0	0	0	0	0	5.88889	15.8889	0	0	0	0	0	0	0	0	15.8889	7.33333	0	0	0	0	0	0	0	0	7.33333
12	0	127.667	0	0	0	0	0	0	0	0	127.667	2.89235	0.00921494	0	0	0	0	0	0	0	2.90156	0.996824	0.00317586	0	0	0	0	0	0	0	273.889	1.22222	0	0	0	0	0	0	0	275.111	0.995557	0.00444265	0	0	0	0	0	0	0	92.0869	0	0	0	0	0	0	0	0	92.0869	1	0	0	0	0	0	0	0	0	149.556	0	0	0	0	0	0	0	0	149.556	1	0	0	0	0	0	0	0	0	7.11111	0	0	0	0	0	0	0	0	7.11111	16.4444	0.111111	0	0	0	0	0	0	0	16.5556	10.1111	0	0	0	0	0	0	0	0	10.1111
13	0	130.778	0	0	0	0	0	0	0	0	130.778	2.75826	0.00926821	0	0	0	0	0	0	0	2.76753	0.996651	0.00334891	0	0	0	0	0	0	0	259.111	1.22222	0	0	0	0	0	0	0	260.333	0.995305	0.00469484	0	0	0	0	0	0	0	80.3443	0	0	0	0	0	0	0	0	80.3443	1	0	0	0	0	0	0	0	0	142.778	0	0	0	0	0	0	0	0	142.778	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6	14.3333	0	0	0	0	0	0	0	0	14.3333	7.22222	0	0	0	0	0	0	0	0	7.22222
14	0	131.778	0	0	0	0	0	0	0	0	131.778	2.62939	0.00790027	0	0	0	0	0	0	0	2.63729	0.997004	0.0029956	0	0	0	0	0	0	0	246.222	1.11111	0	0	0	0	0	0	0	247.333	0.995508	0.00449236	0	0	0	0	0	0	0	73.4551	0	0	0	0	0	0	0	0	73.4551	1	0	0	0	0	0	0	0	0	133.111	0	0	0	0	0	0	0	0	133.111	1	0	0	0	0	0	0	0	0	7.88889	0	0	0	0	0	0	0	0	7.88889	12.5556	0.111111	0	0	0	0	0	0	0	12.6667	10	0	0	0	0	0	0	0	0	10
15	0	134.333	0	0	0	0	0	0	0	0	134.333	2.50864	0.00629711	0	0	0	0	0	0	0	2.51494	0.997496	0.00250388	0	0	0	0	0	0	0	233.889	0.888889	0	0	0	0	0	0	0	234.778	0.996214	0.00378609	0	0	0	0	0	0	0	71.1259	0	0	0	0	0	0	0	0	71.1259	1	0	0	0	0	0	0	0	0	126.111	0	0	0	0	0	0	0	0	126.111	1	0	0	0	0	0	0	0	0	5.66667	0	0	0	0	0	0	0	0	5.66667	12.3333	0.222222	0	0	0	0	0	0	0	12.5556	7	0	0	0	0	0	0	0	0	7
16	0	137.333	0	0	0	0	0	0	0	0	137.333	2.42473	0.00635538	0	0	0	0	0	0	0	2.43109	0.997386	0.00261421	0	0	0	0	0	0	0	223.444	0.888889	0	0	0	0	0	0	0	224.333	0.996038	0.00396236	0	0	0	0	0	0	0	67.5067	0	0	0	0	0	0	0	0	67.5067	1	0	0	0	0	0	0	0	0	119.667	0	0	0	0	0	0	0	0	119.667	1	0	0	0	0	0	0	0	0	6.66667	0	0	0	0	0	0	0	0	6.66667	10.2222	0	0	0	0	0	0	0	0	10.2222	6.66667	0	0	0	0	0	0	0	0	6.66667
17	0	137.889	0	0	0	0	0	0	0	0	137.889	2.31249	0.00582435	0	0	0	0	0	0	0	2.31831	0.997488	0.00251232	0	0	0	0	0	0	0	212.778	0.777778	0	0	0	0	0	0	0	213.556	0.996358	0.00364204	0	0	0	0	0	0	0	64.3736	0	0	0	0	0	0	0	0	64.3736	1	0	0	0	0	0	0	0	0	113.222	0	0	0	0	0	0	0	0	113.222	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	8	10.5556	0.111111	0	0	0	0	0	0	0	10.6667	6.55556	0	0	0	0	0	0	0	0	6.55556
18	0	130.889	0	0	0	0	0	0	0	0	130.889	2.23811	0.00589633	0	0	0	0	0	0	0	2.244	0.997372	0.0026276	0	0	0	0	0	0	0	209.222	0.777778	0	0	0	0	0	0	0	210	0.996296	0.0037037	0	0	0	0	0	0	0	62.0749	0	0	0	0	0	0	0	0	62.0749	1	0	0	0	0	0	0	0	0	108.111	0	0	0	0	0	0	0	0	108.111	1	0	0	0	0	0	0	0	0	7.55556	0	0	0	0	0	0	0	0	7.55556	10.5556	0	0	0	0	0	0	0	0	10.5556	5.11111	0	0	0	0	0	0	0	0	5.11111
19	0	124.667	0	0	0	0	0	0	0	0	124.667	2.135	0.00520846	0	0	0	0	0	0	0	2.14021	0.997566	0.00243362	0	0	0	0	0	0	0	206.111	0.666667	0	0	0	0	0	0	0	206.778	0.996776	0.00322407	0	0	0	0	0	0	0	59.4778	0	0	0	0	0	0	0	0	59.4778	1	0	0	0	0	0	0	0	0	103.556	0	0	0	0	0	0	0	0	103.556	1	0	0	0	0	0	0	0	0	6.11111	0	0	0	0	0	0	0	0	6.11111	10	0.111111	0	0	0	0	0	0	0	10.1111	5	0	0	0	0	0	0	0	0	5
