Location: SFTRABMA Validation
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\072315-SFTRABMA-1.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABMA	Sdl Abs Den: PIMO	Sdl Abs Den: NR1	Sdl Abs Den: NR2	Sdl Abs Den: NR3	Sdl Abs Den: NR4	Sdl Abs Den: NR5	Sdl Abs Den: NR6	Sdl Abs Den: NR7	Sdl Den Total:	Sapl Abs BA: ABMA	Sapl Abs BA: PIMO	Sapl Abs BA: NR1	Sapl Abs BA: NR2	Sapl Abs BA: NR3	Sapl Abs BA: NR4	Sapl Abs BA: NR5	Sapl Abs BA: NR6	Sapl Abs BA: NR7	Sapl BA Total:	Sapl Rel BA: ABMA	Sapl Rel BA: PIMO	Sapl Rel BA: NR1	Sapl Rel BA: NR2	Sapl Rel BA: NR3	Sapl Rel BA: NR4	Sapl Rel BA: NR5	Sapl Rel BA: NR6	Sapl Rel BA: NR7	Sapl Abs Den: ABMA	Sapl Abs Den: PIMO	Sapl Abs Den: NR1	Sapl Abs Den: NR2	Sapl Abs Den: NR3	Sapl Abs Den: NR4	Sapl Abs Den: NR5	Sapl Abs Den: NR6	Sapl Abs Den: NR7	Sapl Den Total:	Sapl Rel Den: ABMA	Sapl Rel Den: PIMO	Sapl Rel Den: NR1	Sapl Rel Den: NR2	Sapl Rel Den: NR3	Sapl Rel Den: NR4	Sapl Rel Den: NR5	Sapl Rel Den: NR6	Sapl Rel Den: NR7	Adult Abs BA: ABMA	Adult Abs BA: PIMO	Adult Abs BA: NR1	Adult Abs BA: NR2	Adult Abs BA: NR3	Adult Abs BA: NR4	Adult Abs BA: NR5	Adult Abs BA: NR6	Adult Abs BA: NR7	Adult BA Total:	Adult Rel BA: ABMA	Adult Rel BA: PIMO	Adult Rel BA: NR1	Adult Rel BA: NR2	Adult Rel BA: NR3	Adult Rel BA: NR4	Adult Rel BA: NR5	Adult Rel BA: NR6	Adult Rel BA: NR7	Adult Abs Den: ABMA	Adult Abs Den: PIMO	Adult Abs Den: NR1	Adult Abs Den: NR2	Adult Abs Den: NR3	Adult Abs Den: NR4	Adult Abs Den: NR5	Adult Abs Den: NR6	Adult Abs Den: NR7	Adult Den Total:	Adult Rel Den: ABMA	Adult Rel Den: PIMO	Adult Rel Den: NR1	Adult Rel Den: NR2	Adult Rel Den: NR3	Adult Rel Den: NR4	Adult Rel Den: NR5	Adult Rel Den: NR6	Adult Rel Den: NR7	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: NR1	Natural Dead Sdl Abs Den: NR2	Natural Dead Sdl Abs Den: NR3	Natural Dead Sdl Abs Den: NR4	Natural Dead Sdl Abs Den: NR5	Natural Dead Sdl Abs Den: NR6	Natural Dead Sdl Abs Den: NR7	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: NR1	Natural Dead Sapl Abs Den: NR2	Natural Dead Sapl Abs Den: NR3	Natural Dead Sapl Abs Den: NR4	Natural Dead Sapl Abs Den: NR5	Natural Dead Sapl Abs Den: NR6	Natural Dead Sapl Abs Den: NR7	Natural Dead Sapl Den Total:	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: NR1	Natural Dead Adult Abs Den: NR2	Natural Dead Adult Abs Den: NR3	Natural Dead Adult Abs Den: NR4	Natural Dead Adult Abs Den: NR5	Natural Dead Adult Abs Den: NR6	Natural Dead Adult Abs Den: NR7	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	5.15191	0.0207456	0	0	0	0	0	0	0	5.17265	0.995989	0.00401064	0	0	0	0	0	0	0	513.444	2.88889	0	0	0	0	0	0	0	516.333	0.994405	0.00559501	0	0	0	0	0	0	0	161.864	0	0	0	0	0	0	0	0	161.864	1	0	0	0	0	0	0	0	0	264.333	0	0	0	0	0	0	0	0	264.333	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	14.8889	0	0	0	0	0	0	0	0	14.8889	4.86455	0.0207933	0	0	0	0	0	0	0	4.88535	0.995744	0.00425625	0	0	0	0	0	0	0	485.556	2.88889	0	0	0	0	0	0	0	488.444	0.994086	0.00591447	0	0	0	0	0	0	0	153.641	0	0	0	0	0	0	0	0	153.641	1	0	0	0	0	0	0	0	0	252.889	0	0	0	0	0	0	0	0	252.889	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.4444	0	0	0	0	0	0	0	0	27.4444	11.8889	0	0	0	0	0	0	0	0	11.8889
2	0	29.1111	0	0	0	0	0	0	0	0	29.1111	4.64084	0.0160087	0	0	0	0	0	0	0	4.65685	0.996562	0.00343766	0	0	0	0	0	0	0	459	2.22222	0	0	0	0	0	0	0	461.222	0.995182	0.00481812	0	0	0	0	0	0	0	148.637	0	0	0	0	0	0	0	0	148.637	1	0	0	0	0	0	0	0	0	240.778	0	0	0	0	0	0	0	0	240.778	1	0	0	0	0	0	0	0	0	0.555556	0	0	0	0	0	0	0	0	0.555556	26.3333	0.666667	0	0	0	0	0	0	0	27	12.3333	0	0	0	0	0	0	0	0	12.3333
3	0	41.5556	0	0	0	0	0	0	0	0	41.5556	4.34798	0.0153248	0	0	0	0	0	0	0	4.3633	0.996488	0.00351221	0	0	0	0	0	0	0	433	2.11111	0	0	0	0	0	0	0	435.111	0.995148	0.00485189	0	0	0	0	0	0	0	145.588	0	0	0	0	0	0	0	0	145.588	1	0	0	0	0	0	0	0	0	233.222	0	0	0	0	0	0	0	0	233.222	1	0	0	0	0	0	0	0	0	1.77778	0	0	0	0	0	0	0	0	1.77778	24.5556	0.111111	0	0	0	0	0	0	0	24.6667	9	0	0	0	0	0	0	0	0	9
4	0	52.8889	0	0	0	0	0	0	0	0	52.8889	4.11624	0.0141218	0	0	0	0	0	0	0	4.13036	0.996581	0.00341902	0	0	0	0	0	0	0	410.556	2	0	0	0	0	0	0	0	412.556	0.995152	0.00484783	0	0	0	0	0	0	0	140.64	0	0	0	0	0	0	0	0	140.64	1	0	0	0	0	0	0	0	0	222.778	0	0	0	0	0	0	0	0	222.778	1	0	0	0	0	0	0	0	0	1.88889	0	0	0	0	0	0	0	0	1.88889	21.8889	0.111111	0	0	0	0	0	0	0	22	11	0	0	0	0	0	0	0	0	11
5	0	63.6667	0	0	0	0	0	0	0	0	63.6667	3.96934	0.0128804	0	0	0	0	0	0	0	3.98222	0.996765	0.00323448	0	0	0	0	0	0	0	392	1.77778	0	0	0	0	0	0	0	393.778	0.995485	0.00451467	0	0	0	0	0	0	0	137.218	0	0	0	0	0	0	0	0	137.218	1	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	213	1	0	0	0	0	0	0	0	0	3.11111	0	0	0	0	0	0	0	0	3.11111	18.3333	0.222222	0	0	0	0	0	0	0	18.5556	10	0	0	0	0	0	0	0	0	10
6	0	72.4444	0	0	0	0	0	0	0	0	72.4444	3.7577	0.0129112	0	0	0	0	0	0	0	3.77061	0.996576	0.00342417	0	0	0	0	0	0	0	370.889	1.77778	0	0	0	0	0	0	0	372.667	0.99523	0.00477042	0	0	0	0	0	0	0	131.882	0	0	0	0	0	0	0	0	131.882	1	0	0	0	0	0	0	0	0	202.444	0	0	0	0	0	0	0	0	202.444	1	0	0	0	0	0	0	0	0	3.22222	0	0	0	0	0	0	0	0	3.22222	20.5556	0	0	0	0	0	0	0	0	20.5556	11.1111	0	0	0	0	0	0	0	0	11.1111
7	0	80.4444	0	0	0	0	0	0	0	0	80.4444	3.54028	0.0129434	0	0	0	0	0	0	0	3.55323	0.996357	0.00364271	0	0	0	0	0	0	0	350.222	1.77778	0	0	0	0	0	0	0	352	0.99495	0.00505051	0	0	0	0	0	0	0	126.709	0	0	0	0	0	0	0	0	126.709	1	0	0	0	0	0	0	0	0	193.333	0	0	0	0	0	0	0	0	193.333	1	0	0	0	0	0	0	0	0	3.11111	0	0	0	0	0	0	0	0	3.11111	20.1111	0	0	0	0	0	0	0	0	20.1111	9.66667	0	0	0	0	0	0	0	0	9.66667
8	0	86.1111	0	0	0	0	0	0	0	0	86.1111	3.36877	0.012979	0	0	0	0	0	0	0	3.38175	0.996162	0.00383794	0	0	0	0	0	0	0	331.778	1.77778	0	0	0	0	0	0	0	333.556	0.99467	0.00532978	0	0	0	0	0	0	0	122.228	0	0	0	0	0	0	0	0	122.228	1	0	0	0	0	0	0	0	0	184.778	0	0	0	0	0	0	0	0	184.778	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	18.1111	0	0	0	0	0	0	0	0	18.1111	8.88889	0	0	0	0	0	0	0	0	8.88889
9	0	91.1111	0	0	0	0	0	0	0	0	91.1111	3.19177	0.0122289	0	0	0	0	0	0	0	3.20399	0.996183	0.00381676	0	0	0	0	0	0	0	311.889	1.66667	0	0	0	0	0	0	0	313.556	0.994685	0.00531538	0	0	0	0	0	0	0	117.447	0	0	0	0	0	0	0	0	117.447	1	0	0	0	0	0	0	0	0	175.222	0	0	0	0	0	0	0	0	175.222	1	0	0	0	0	0	0	0	0	4.55556	0	0	0	0	0	0	0	0	4.55556	19.5556	0.111111	0	0	0	0	0	0	0	19.6667	9.88889	0	0	0	0	0	0	0	0	9.88889
