Location: BBBPIPO Validation
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\072915-BBBPIPO-5.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: NR1	Sdl Abs Den: NR2	Sdl Abs Den: NR3	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: NR1	Sapl Abs BA: NR2	Sapl Abs BA: NR3	Sapl BA Total:	Sapl Rel BA: ABCO	Sapl Rel BA: CADE	Sapl Rel BA: PILA	Sapl Rel BA: PIPO	Sapl Rel BA: QUCH	Sapl Rel BA: QUKE	Sapl Rel BA: NR1	Sapl Rel BA: NR2	Sapl Rel BA: NR3	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: NR1	Sapl Abs Den: NR2	Sapl Abs Den: NR3	Sapl Den Total:	Sapl Rel Den: ABCO	Sapl Rel Den: CADE	Sapl Rel Den: PILA	Sapl Rel Den: PIPO	Sapl Rel Den: QUCH	Sapl Rel Den: QUKE	Sapl Rel Den: NR1	Sapl Rel Den: NR2	Sapl Rel Den: NR3	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: NR1	Adult Abs BA: NR2	Adult Abs BA: NR3	Adult BA Total:	Adult Rel BA: ABCO	Adult Rel BA: CADE	Adult Rel BA: PILA	Adult Rel BA: PIPO	Adult Rel BA: QUCH	Adult Rel BA: QUKE	Adult Rel BA: NR1	Adult Rel BA: NR2	Adult Rel BA: NR3	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: NR1	Adult Abs Den: NR2	Adult Abs Den: NR3	Adult Den Total:	Adult Rel Den: ABCO	Adult Rel Den: CADE	Adult Rel Den: PILA	Adult Rel Den: PIPO	Adult Rel Den: QUCH	Adult Rel Den: QUKE	Adult Rel Den: NR1	Adult Rel Den: NR2	Adult Rel Den: NR3	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: NR1	Natural Dead Sdl Abs Den: NR2	Natural Dead Sdl Abs Den: NR3	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: NR1	Natural Dead Sapl Abs BA: NR2	Natural Dead Sapl Abs BA: NR3	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: NR1	Natural Dead Sapl Abs Den: NR2	Natural Dead Sapl Abs Den: NR3	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: NR1	Natural Dead Adult Abs BA: NR2	Natural Dead Adult Abs BA: NR3	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: NR1	Natural Dead Adult Abs Den: NR2	Natural Dead Adult Abs Den: NR3	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.16843	2.9894	0.745887	0.209906	0.00407757	0.49178	0	0	0	5.60948	0.208296	0.532919	0.132969	0.0374199	0.000726907	0.0876696	0	0	0	116.667	401.778	55.6667	15.2222	4.66667	41.5556	0	0	0	635.556	0.183566	0.632168	0.0875874	0.023951	0.00734266	0.0653846	0	0	0	10.4988	26.0012	4.34588	31.896	0.122578	16.5822	0	0	0	89.4466	0.117375	0.29069	0.0485864	0.356592	0.0013704	0.185387	0	0	0	40.1111	291.222	8	30.6667	2.44444	264.556	0	0	0	637	0.0629688	0.457178	0.0125589	0.0481423	0.00383743	0.415315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1.33333	7.66667	0.444444	2	0.111111	11.2222	0	0	0	22.7778	1.17969	2.96518	0.74853	0.209465	0.00371635	0.466592	0	0	0	5.57318	0.211673	0.532046	0.134309	0.0375844	0.000666828	0.083721	0	0	0	115.222	393.556	54.3333	14.7778	4.44444	39.2222	0	0	0	621.556	0.185377	0.633178	0.0874151	0.0237755	0.00715052	0.0631033	0	0	0	10.57	25.9727	4.31312	31.2387	0.124029	16.6038	0	0	0	88.8223	0.119002	0.292412	0.0485589	0.351699	0.00139637	0.186933	0	0	0	40.1111	291.778	7.77778	28.8889	2.55556	262.778	0	0	0	633.889	0.0632778	0.460298	0.0122699	0.0455741	0.00403155	0.414549	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0160131	0.0391569	0.0178872	0.00131117	1.80113e-005	0.0173884	0	0	0	0.0917748	1.33333	4.66667	1.33333	0.333333	0.111111	1.33333	0	0	0	9.11111	0.00637592	0.353083	0.0548925	0.756992	0	0.172619	0	0	0	1.34396	0.111111	3	0.222222	1.88889	0	2.77778	0	0	0	8
2	0	3.77778	14.7778	1.11111	4.55556	0.111111	26.5556	0	0	0	50.8889	1.19376	2.91513	0.735075	0.199455	0.00388702	0.437016	0	0	0	5.48432	0.217668	0.531538	0.134032	0.0363682	0.000708751	0.0796845	0	0	0	114.333	383.778	53.2222	14	4.44444	36.5556	0	0	0	606.333	0.188565	0.632949	0.0877772	0.0230896	0.00733003	0.0602895	0	0	0	10.6485	25.9352	4.334	31.1595	0.123057	16.5762	0	0	0	88.7766	0.119948	0.29214	0.0488192	0.350988	0.00138614	0.186719	0	0	0	40.3333	293.222	7.77778	28	2.44444	261.111	0	0	0	632.889	0.0637289	0.463308	0.0122893	0.0442416	0.00386236	0.41257	0	0	0	0	0.111111	0	0.333333	0	0.666667	0	0	0	1.11111	0.00393204	0.0449269	0.0236797	0.0108155	0	0.0116764	0	0	0	0.0950306	0.555556	5.22222	1	0.666667	0	1.11111	0	0	0	8.55556	0.00883095	0.381751	0.0110046	0.174619	0.00192158	0.230894	0	0	0	0.809021	0.111111	3.11111	0.111111	1	0.111111	3.22222	0	0	0	7.66667
3	0	5.11111	21	1.55556	6.44444	0.111111	39.2222	0	0	0	73.4444	1.19375	2.89062	0.745027	0.191098	0.00406329	0.425456	0	0	0	5.45002	0.219037	0.530387	0.136702	0.0350637	0.000745556	0.0780651	0	0	0	112.889	375.667	51.8889	13.3333	4.44444	35.2222	0	0	0	593.444	0.190227	0.633027	0.0874368	0.0224677	0.00748923	0.0593522	0	0	0	10.7257	26.0399	4.2865	30.6152	0.117373	16.6245	0	0	0	88.4093	0.121319	0.294538	0.0484848	0.34629	0.00132761	0.188041	0	0	0	40.6667	294	7.55556	27	2.22222	258.889	0	0	0	630.333	0.0645161	0.46642	0.0119866	0.0428345	0.00352547	0.410717	0	0	0	0	0	0	0.111111	0	0.444444	0	0	0	0.555556	0.00416544	0.0262915	0.0102407	0.00445575	0	0.0103913	0	0	0	0.0555446	0.777778	4	1.33333	0.444444	0	0.777778	0	0	0	7.33333	0.0247962	0.23193	0.0692645	0.642875	0.0066082	0.137131	0	0	0	1.11261	0.333333	3.33333	0.222222	1.22222	0.222222	2.77778	0	0	0	8.11111
4	0	6.88889	28.5556	2.11111	8.55556	0.222222	50.6667	0	0	0	97	1.18529	2.85943	0.741291	0.183231	0.00414488	0.402913	0	0	0	5.37631	0.220466	0.531858	0.137881	0.0340813	0.000770953	0.0749423	0	0	0	110.778	367.333	51	12.5556	4.22222	33.1111	0	0	0	579	0.191326	0.634427	0.0880829	0.0216849	0.00729227	0.0571867	0	0	0	10.7997	26.1891	4.31445	29.2627	0.118227	16.675	0	0	0	87.3592	0.123624	0.299786	0.0493874	0.33497	0.00135334	0.190879	0	0	0	41.2222	295.333	7.66667	26.1111	2.22222	257.333	0	0	0	629.889	0.0654436	0.468866	0.0121715	0.0414535	0.00352796	0.408538	0	0	0	0	0.111111	0	0.222222	0	1.22222	0	0	0	1.55556	0.012565	0.0299812	0.00338974	0.00822708	0.000100299	0.0153253	0	0	0	0.0695885	1.44444	4.11111	0.666667	0.666667	0.222222	1.22222	0	0	0	8.33333	0.0286655	0.190324	0.0138944	1.44388	0	0.140294	0	0	0	1.81705	0.111111	2.88889	0.111111	1	0	2.44444	0	0	0	6.55556
5	0	8.22222	34.6667	2.88889	10.3333	0.333333	60.5556	0	0	0	117	1.18263	2.84986	0.75456	0.177425	0.00432549	0.366326	0	0	0	5.33513	0.221669	0.534169	0.141432	0.0332561	0.000810758	0.068663	0	0	0	109.222	360.889	50.4444	11.8889	4.22222	30	0	0	0	566.667	0.192745	0.636863	0.0890196	0.0209804	0.00745098	0.0529412	0	0	0	10.7257	26.2012	4.31366	24.3645	0.119085	16.7332	0	0	0	82.4574	0.130075	0.317755	0.0523137	0.29548	0.0014442	0.202932	0	0	0	41.1111	294.889	7.55556	24.4444	2.22222	256.444	0	0	0	626.667	0.0656028	0.470567	0.0120567	0.0390071	0.0035461	0.40922	0	0	0	0.111111	0	0	0.222222	0	2.33333	0	0	0	2.66667	0.0206044	0.0282907	0.00690606	0.00596143	0	0.0212904	0	0	0	0.0830529	1.22222	3.33333	0.555556	0.555556	0	1.77778	0	0	0	7.44444	0.163209	0.307611	0.0223077	4.98622	0	0.139993	0	0	0	5.61934	0.444444	3.55556	0.111111	1.77778	0	2.22222	0	0	0	8.11111
6	0	10.5556	41.5556	3	12	0.333333	70.5556	0	0	0	138	1.18353	2.83633	0.740211	0.173155	0.00451144	0.350825	0	0	0	5.28856	0.22379	0.536314	0.139965	0.0327415	0.000853057	0.0663367	0	0	0	108.111	354.222	49.5556	11.4444	4.22222	28.3333	0	0	0	555.889	0.194483	0.637218	0.0891465	0.0205876	0.00759544	0.0509694	0	0	0	10.7985	26.1741	4.33502	21.8604	0.119948	16.7915	0	0	0	80.0794	0.134847	0.326851	0.054134	0.272984	0.00149787	0.209686	0	0	0	41.4444	294.778	7.55556	23	2.22222	254.889	0	0	0	623.889	0.0664292	0.472484	0.0121104	0.0368655	0.00356189	0.408549	0	0	0	0	0.111111	0	0.111111	0	2.22222	0	0	0	2.44444	0.0122509	0.0337504	0.034745	0.00865916	0	0.0109791	0	0	0	0.100385	0.666667	3.66667	1.33333	0.444444	0	1	0	0	0	7.11111	0.0207178	0.344974	0	2.57966	0	0.128403	0	0	0	3.07375	0.111111	3.11111	0	1.44444	0	2.22222	0	0	0	6.88889
7	0	11.6667	48.3333	3.22222	12.4444	0.333333	82.3333	0	0	0	158.333	1.17746	2.81009	0.744305	0.168949	0.00418417	0.334357	0	0	0	5.23934	0.224734	0.536344	0.142061	0.0322462	0.000798606	0.0638165	0	0	0	108.111	346.333	49.3333	12.3333	4.11111	26.7778	0	0	0	547	0.197644	0.633151	0.0901889	0.0225472	0.00751574	0.0489539	0	0	0	10.8998	26.3193	4.17591	21.3383	0.120817	16.7273	0	0	0	79.5815	0.136964	0.330722	0.0524734	0.268131	0.00151815	0.210191	0	0	0	42.1111	296.556	6.88889	22.6667	2.22222	251.556	0	0	0	622	0.0677027	0.476777	0.0110754	0.0364416	0.0035727	0.40443	0	0	0	0.111111	0.333333	0.111111	0.555556	0	1.88889	0	0	0	3	0.00523948	0.0204764	0.0159644	0.00863244	0	0.00969878	0	0	0	0.0600115	0.555556	3.55556	0.888889	0.555556	0	0.777778	0	0	0	6.33333	0.00689588	0.197859	0.180574	0.5926	0.000518547	0.252602	0	0	0	1.23105	0.111111	2.55556	0.666667	0.333333	0.111111	4.11111	0	0	0	7.88889
8	0	10.8889	46.7778	2.88889	11.7778	0.333333	91.7778	0	0	0	164.444	1.20308	2.80803	0.747606	0.167416	0.00436865	0.307961	0	0	0	5.23846	0.229663	0.536041	0.142715	0.031959	0.000833956	0.0587884	0	0	0	109.667	348.333	48.5556	14.3333	4.11111	24.4444	0	0	0	549.444	0.199596	0.633974	0.0883721	0.026087	0.00748231	0.0444894	0	0	0	10.9428	26.3851	4.1613	19.036	0.12058	16.6944	0	0	0	77.3402	0.141489	0.341157	0.0538052	0.246133	0.00155909	0.215857	0	0	0	41.8889	297.444	6.66667	21.8889	2.11111	249.889	0	0	0	619.889	0.0675748	0.479835	0.0107546	0.035311	0.00340563	0.403119	0	0	0	0.111111	0.444444	0.111111	0.444444	0	1.77778	0	0	0	2.88889	0.00662426	0.0170024	0.0167982	0.00156026	0	0.0173491	0	0	0	0.0593342	0.888889	2.22222	1.22222	0.444444	0	1.44444	0	0	0	6.22222	0.0331203	0.25789	0.0344492	2.37578	0.00110981	0.221818	0	0	0	2.92416	0.222222	2.33333	0.222222	0.888889	0.111111	2.55556	0	0	0	6.33333
9	0	11.1111	46.7778	2.66667	11.7778	0.333333	92.5556	0	0	0	165.222	1.21445	2.7936	0.749849	0.167793	0.00455831	0.287511	0	0	0	5.21775	0.232752	0.535402	0.143711	0.0321581	0.000873615	0.0551024	0	0	0	110	348.444	48.2222	15.7778	4.11111	31.1111	0	0	0	557.667	0.19725	0.624826	0.0864714	0.0282925	0.00737199	0.055788	0	0	0	10.8421	26.5612	4.19111	16.8943	0.121435	16.6804	0	0	0	75.2906	0.144004	0.352783	0.0556658	0.224388	0.00161288	0.221547	0	0	0	41.7778	298.667	6.77778	21.1111	2.11111	247.444	0	0	0	617.889	0.0676137	0.483366	0.0109693	0.0341665	0.00341665	0.400468	0	0	0	0	1.11111	0	0.333333	0	2.77778	0	0	0	4.22222	0.00701364	0.0269545	0.00746652	0.00401165	0	0.00978076	0	0	0	0.0552271	0.555556	3.55556	0.777778	0.333333	0	1	0	0	0	6.22222	0.191005	0.150441	0	2.20685	0	0.204361	0	0	0	2.75266	0.444444	2.11111	0	0.777778	0	3.44444	0	0	0	6.77778
