Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081315-PGABMA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233074	4.62799	4.6513	0	0	0	0	0	0	0	3	480.333	483.333	0	0	0	0	0	0	0	0	95.9351	95.9351	0	0	0	0	0	0	0	0	281.667	281.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	12.1111	12.1111	0	0	0	0	0	0	0	0.0241894	4.68105	4.70524	0	0	0	0	0	0	0	3	478.444	481.444	0	0	0	0	0	0	0	0	96.2688	96.2688	0	0	0	0	0	0	0	0	281.556	281.556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0103749	0.0103749	0	0	0	0	0	0	0	0	1.11111	1.11111	0	0	0	0	0	0	0	0	0.159563	0.159563	0	0	0	0	0	0	0	0	0.888889	0.888889
2	0	0	0	0	0	0	0	0	0	23.8889	23.8889	0	0	0	0	0	0	0	0.0250884	4.73244	4.75753	0	0	0	0	0	0	0	3	475.889	478.889	0	0	0	0	0	0	0	0	96.5072	96.5072	0	0	0	0	0	0	0	0	281	281	0	0	0	0	0	0	0	0	3.88889	3.88889	0	0	0	0	0	0	0	0	0.0129447	0.0129447	0	0	0	0	0	0	0	0	1.77778	1.77778	0	0	0	0	0	0	0	0	0.255331	0.255331	0	0	0	0	0	0	0	0	1.33333	1.33333
3	0	0	0	0	0	0	0	0	0	32.7778	32.7778	0	0	0	0	0	0	0	0.0260046	4.77375	4.79975	0	0	0	0	0	0	0	3	473.667	476.667	0	0	0	0	0	0	0	0	96.5846	96.5846	0	0	0	0	0	0	0	0	281.222	281.222	0	0	0	0	0	0	0	0	6.11111	6.11111	0	0	0	0	0	0	0	0	0.00951184	0.00951184	0	0	0	0	0	0	0	0	1.11111	1.11111	0	0	0	0	0	0	0	0	0.430803	0.430803	0	0	0	0	0	0	0	0	0.888889	0.888889
4	0	0	0	0	0	0	0	0	0	38.3333	38.3333	0	0	0	0	0	0	0	0.0269379	4.8289	4.85584	0	0	0	0	0	0	0	3	471.667	474.667	0	0	0	0	0	0	0	0	96.3718	96.3718	0	0	0	0	0	0	0	0	280.333	280.333	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0.0152485	0.0152485	0	0	0	0	0	0	0	0	1.33333	1.33333	0	0	0	0	0	0	0	0	0.702413	0.702413	0	0	0	0	0	0	0	0	1.55556	1.55556
5	0	0	0	0	0	0	0	0	0	43.6667	43.6667	0	0	0	0	0	0	0	0.0278883	4.86929	4.89717	0	0	0	0	0	0	0	3	469.222	472.222	0	0	0	0	0	0	0	0	96.5829	96.5829	0	0	0	0	0	0	0	0	280.778	280.778	0	0	0	0	0	0	0	0	9.22222	9.22222	0	0	0	0	0	0	0	0	0.0118241	0.0118241	0	0	0	0	0	0	0	0	1.33333	1.33333	0	0	0	0	0	0	0	0	0.296627	0.296627	0	0	0	0	0	0	0	0	0.666667	0.666667
6	0	0	0	0	0	0	0	0	0	48.7778	48.7778	0	0	0	0	0	0	0	0.0288557	4.92163	4.95049	0	0	0	0	0	0	0	3	466.667	469.667	0	0	0	0	0	0	0	0	96.6844	96.6844	0	0	0	0	0	0	0	0	280.222	280.222	0	0	0	0	0	0	0	0	9.33333	9.33333	0	0	0	0	0	0	0	0	0.00981757	0.00981757	0	0	0	0	0	0	0	0	1.66667	1.66667	0	0	0	0	0	0	0	0	0.397647	0.397647	0	0	0	0	0	0	0	0	1.44444	1.44444
7	0	0	0	0	0	0	0	0	0	49.6667	49.6667	0	0	0	0	0	0	0	0.0298403	4.93473	4.96457	0	0	0	0	0	0	0	3	463.222	466.222	0	0	0	0	0	0	0	0	96.8014	96.8014	0	0	0	0	0	0	0	0	280.222	280.222	0	0	0	0	0	0	0	0	13.5556	13.5556	0	0	0	0	0	0	0	0	0.0213797	0.0213797	0	0	0	0	0	0	0	0	1.88889	1.88889	0	0	0	0	0	0	0	0	0.410303	0.410303	0	0	0	0	0	0	0	0	1.55556	1.55556
8	0	0	0	0	0	0	0	0	0	51.4444	51.4444	0	0	0	0	0	0	0	0.030842	4.98972	5.02056	0	0	0	0	0	0	0	3	463.333	466.333	0	0	0	0	0	0	0	0	96.8351	96.8351	0	0	0	0	0	0	0	0	279.778	279.778	0	0	0	0	0	0	0	0	10.2222	10.2222	0	0	0	0	0	0	0	0	0.0177624	0.0177624	0	0	0	0	0	0	0	0	1.55556	1.55556	0	0	0	0	0	0	0	0	0.456046	0.456046	0	0	0	0	0	0	0	0	1.11111	1.11111
9	0	0	0	0	0	0	0	0	0	50.6667	50.6667	0	0	0	0	0	0	0	0.0318608	4.99344	5.0253	0	0	0	0	0	0	0	3	462.778	465.778	0	0	0	0	0	0	0	0	97.2726	97.2726	0	0	0	0	0	0	0	0	281	281	0	0	0	0	0	0	0	0	12.4444	12.4444	0	0	0	0	0	0	0	0	0.0273839	0.0273839	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0.0944979	0.0944979	0	0	0	0	0	0	0	0	0.444444	0.444444
