Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081315-SUPILA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.23922	0.145834	0.614426	0.00162095	0	0.000475315	0	0	0.00652366	2.0081	280.111	30.8889	71.4444	1	0	1.22222	0	0	1	385.667	14.6889	2.09327	15.5346	0	0	0.0250746	0	0	0	32.3418	55.8889	18.1111	24.5556	0	0	0.777778	0	0	0	99.3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	18	2.33333	1.44444	0	0	0	0	0	0	21.7778	1.26156	0.146462	0.613865	0.00174265	0	0.000519409	0	0	0.00645068	2.0306	277.778	30.3333	70.5556	1	0	1.22222	0	0	0.888889	381.778	14.4349	2.09639	15.4094	0	0	0.0233953	0	0	0	31.9641	55.4444	18.1111	24.2222	0	0	0.666667	0	0	0	98.4444	0	0	0	0	0	0	0	0	0	0	0.007173	0.00131347	0.0161094	0	0	0	0	0	0.00025631	0.0248522	2.22222	0.444444	0.888889	0	0	0	0	0	0.111111	3.66667	0.339691	0.0162875	0.205311	0	0	0.00201249	0	0	0	0.563301	0.555556	0.111111	0.333333	0	0	0.111111	0	0	0	1.11111
2	0	33.8889	5.11111	3.22222	0	0	0	0	0	0	42.2222	1.27983	0.145973	0.60356	0.00173637	0	0.000565502	0	0	0.00662385	2.03829	275.778	30	68.7778	0.888889	0	1.22222	0	0	0.888889	377.556	14.3418	2.06473	14.8713	0	0	0.0236944	0	0	0	31.3015	54.8889	18.1111	23.8889	0	0	0.666667	0	0	0	97.5555	2.77778	0.333333	0	0	0	0	0	0	0	3.11111	0.0117817	0.000295389	0.00541135	0.000133687	0	0	0	0	0	0.0176222	1.88889	0.111111	1.55556	0.111111	0	0	0	0	0	3.66667	0.177998	0.0532168	0.638083	0	0	0	0	0	0	0.869299	0.666667	0.222222	0.555556	0	0	0	0	0	0	1.44444
3	0	42.4444	6.77778	4.88889	0	0	0	0	0	0	54.1111	1.28014	0.147886	0.565991	0.00127786	0	0.000613591	0	0	0.00679963	2.00271	272.667	29.7778	67.5556	0.666667	0	1.22222	0	0	0.888889	372.778	14.2985	2.08408	14.5718	0	0	0.0239955	0	0	0	30.9784	54.7778	18.2222	23.8889	0	0	0.666667	0	0	0	97.5555	7.11111	0.444444	0.222222	0	0	0	0	0	0	7.77778	0.0160457	8.99041e-006	0.0120518	0.000578286	0	0	0	0	0	0.0286847	2.66667	0.111111	0.777778	0.222222	0	0	0	0	0	3.77778	0.14168	0	0.418217	0	0	0	0	0	0	0.559897	0.555556	0	0.444444	0	0	0	0	0	0	1
4	0	51.1111	8.66667	6.33333	0	0	0	0	0	0	66.1111	1.29299	0.148648	0.56391	0.0013642	0	0.000663678	0	0	0.00697801	2.01456	270.889	29.1111	66.5556	0.666667	0	1.22222	0	0	0.888889	369.333	14.0867	2.10354	14.4896	0	0	0.0242985	0	0	0	30.7041	54.5556	18.3333	23.7778	0	0	0.666667	0	0	0	97.3333	9.77778	0.888889	0.555556	0	0	0	0	0	0	11.2222	0.00370579	0.00123506	0.00709429	0	0	0	0	0	0	0.0120351	1.33333	0.555556	0.888889	0	0	0	0	0	0	2.77778	0.309986	0	0.169151	0	0	0	0	0	0	0.479137	0.666667	0	0.222222	0	0	0	0	0	0	0.888889
5	0	57.1111	10.2222	6.66667	0	0	0.111111	0	0	0	74.1111	1.30596	0.150645	0.562688	0.00145435	0	0.000715762	0	0	0.00715899	2.02862	268.778	29	65	0.666667	0	1.22222	0	0	0.888889	365.556	13.9206	2.1203	14.3319	0	0	0.0246035	0	0	0	30.3974	54.2222	18.3333	23.3333	0	0	0.666667	0	0	0	96.5556	10.8889	1.22222	0.777778	0	0	0	0	0	0	12.8889	0.0134388	0	0.00632193	0	0	0	0	0	0	0.0197607	1.88889	0	1.44444	0	0	0	0	0	0	3.33333	0.25406	0.0028621	0.244206	0	0	0	0	0	0	0.501128	0.555556	0.111111	0.555556	0	0	0	0	0	0	1.22222
6	0	62.3333	11.3333	5.88889	0	0	0.111111	0	0	0	79.6667	1.32851	0.152336	0.560231	0.0015483	0	0.000678574	0	0	0.00734258	2.05065	266	28.7778	64.7778	0.666667	0	1.11111	0	0	0.888889	362.222	13.9948	2.11932	14.2112	0	0	0.0249104	0	0	0	30.3502	54.2222	18.2222	22.8889	0	0	0.666667	0	0	0	96	12.3333	1.33333	0.666667	0	0	0	0	0	0	14.3333	0.00893103	0.000351215	0.017963	0	0	9.12699e-005	0	0	0	0.0273365	2.66667	0.111111	1.55556	0	0	0.111111	0	0	0	4.44444	0.00840146	0.0206878	0.195773	0	0	0	0	0	0	0.224863	0.111111	0.222222	0.444444	0	0	0	0	0	0	0.777778
7	0	65.6667	12.6667	5.44444	0	0	0.111111	0	0	0	83.8889	1.34862	0.152262	0.551117	0.00164605	0	0.000728805	0	0	0.00752876	2.0619	263.333	28.3333	64.8889	0.666667	0	1.11111	0	0	0.888889	359.222	14.0022	2.1379	14.1827	0	0	0.0252192	0	0	0	30.348	53.8889	18.3333	22.8889	0	0	0.666667	0	0	0	95.7778	15.7778	1.88889	1.11111	0	0	0	0	0	0	18.7778	0.011838	2.36205e-005	0.0142612	0	0	0	0	0	0	0.0261229	2.55556	0.222222	0.888889	0	0	0	0	0	0	3.66667	0.0753672	0.00320427	0.112768	0	0	0	0	0	0	0.191339	0.444444	0.111111	0.111111	0	0	0	0	0	0	0.666667
8	0	64.5556	13.7778	4.55556	0	0	0.111111	0	0	0	83	1.36479	0.152283	0.563732	0.0017476	0	0.000780852	0	0	0.00771755	2.09105	266.111	28.8889	64.3333	0.666667	0	1.11111	0	0	0.888889	362	13.9921	2.15165	14.0031	0	0	0.02553	0	0	0	30.1724	53.6667	18.3333	22.4444	0	0	0.666667	0	0	0	95.1111	14.2222	1.22222	0.777778	0	0	0	0	0	0	16.2222	0.011878	3.99678e-005	0.00284148	0	0	0	0	0	0	0.0147595	1.44444	0.222222	1.55556	0	0	0	0	0	0	3.22222	0.0974192	0.0081601	0.253426	0	0	0	0	0	0	0.359005	0.444444	0.222222	0.444444	0	0	0	0	0	0	1.11111
9	0	64.5556	13.3333	4.22222	0	0	0.222222	0	0	0	82.3333	1.3919	0.150308	0.572717	0.00185295	0	0.000834715	0	0	0.00790894	2.12552	267.222	29.8889	64.7778	0.666667	0	1.11111	0	0	0.888889	364.556	13.933	2.17571	13.8303	0	0	0.0258427	0	0	0	29.9649	53.2222	18.6667	22	0	0	0.666667	0	0	0	94.5555	14.8889	2	0.444444	0	0	0	0	0	0	17.3333	0.0107788	0	0.00668687	0	0	0	0	0	0	0.0174656	2.11111	0	0.666667	0	0	0	0	0	0	2.77778	0.136791	0	0.245476	0	0	0	0	0	0	0.382266	0.444444	0	0.444444	0	0	0	0	0	0	0.888889
10	0	63.2222	13.8889	4.44444	0	0	0.222222	0	0	0	81.7778	1.41422	0.150401	0.570973	0.0019621	0	0.000890394	0	0	0.00810292	2.14655	269	30.5556	63.4444	0.666667	0	1.11111	0	0	0.888889	365.667	13.8791	2.18996	13.6986	0	0	0.0261573	0	0	0	29.7939	52.8889	18.6667	21.5556	0	0	0.666667	0	0	0	93.7778	13.2222	1.22222	0.444444	0	0	0.111111	0	0	0	15	0.00669596	0	0.0175686	0	0	0	0	0	0	0.0242646	1.44444	0	1.77778	0	0	0	0	0	0	3.22222	0.140554	0.00796621	0.203224	0	0	0	0	0	0	0.351744	0.555556	0.222222	0.444444	0	0	0	0	0	0	1.22222
