Whole plot: Adult Abs BA - ...\SortieRuns\Outputs\080315-BBBPIPO-1.out
Values in square meters of basal area per hectare.
Timestep	ABCO	CADE	PILA	PIPO	QUCH	QUKE	NR1	NR2	NR3	Total
0	10.4988	26.0012	4.34588	31.896	0.122578	16.5822	0.0	0.0	0.0	89.4466
1	10.5668	26.0199	4.3537	31.1138	0.124029	16.5742	0.0	0.0	0.0	88.7523
2	10.5817	26.0883	4.37405	28.712	0.124979	16.6641	0.0	0.0	0.0	86.5451
3	10.652	25.8987	4.39617	28.4437	0.125934	16.6783	0.0	0.0	0.0	86.1948
4	10.7269	25.9734	4.43896	26.6247	0.126896	16.6782	0.0	0.0	0.0	84.569
5	10.7277	26.0966	4.42963	26.3113	0.127863	16.7086	0.0	0.0	0.0	84.4018
6	10.7523	26.1626	4.38147	25.7896	0.128836	16.7227	0.0	0.0	0.0	83.9375
7	10.6696	26.2679	4.33642	25.0989	0.130333	16.7146	0.0	0.0	0.0	83.2178
8	10.7441	26.345	4.33395	23.9662	0.131333	16.8337	0.0	0.0	0.0	82.3543
9	10.8192	26.532	4.27789	23.3662	0.124214	16.8695	0.0	0.0	0.0	81.9889
10	10.8444	26.3507	4.30872	23.1476	0.124595	16.8918	0.0	0.0	0.0	81.6679
11	10.7697	26.3083	4.3056	22.4302	0.12335	16.9338	0.0	0.0	0.0	80.8709
12	10.8056	26.3294	4.29334	21.0109	0.124786	16.9236	0.0	0.0	0.0	79.4875
13	10.6032	26.39	4.30537	19.9651	0.125718	16.9634	0.0	0.0	0.0	78.3528
14	10.6864	26.492	4.32496	18.7131	0.126655	17.0973	0.0	0.0	0.0	77.4404
15	10.7384	26.3808	4.3261	16.9967	0.127597	17.094	0.0	0.0	0.0	75.6636
16	10.8004	26.5175	4.34636	16.4897	0.128545	17.1054	0.0	0.0	0.0	75.3879
17	10.8384	26.5567	4.24768	16.2252	0.129498	17.1419	0.0	0.0	0.0	75.1394
18	10.8984	26.7095	2.2254	15.6788	0.12868	17.2219	0.0	0.0	0.0	72.8627
19	10.9602	26.666	2.23715	15.6822	0.127965	17.3269	0.0	0.0	0.0	73.0004
20	11.0695	26.7923	2.18897	15.699	0.128888	17.2878	0.0	0.0	0.0	73.1665
21	11.0795	26.9929	2.16676	15.6133	0.129816	17.3012	0.0	0.0	0.0	73.2835
22	11.1	27.2093	2.16169	15.3285	0.130749	17.3247	0.0	0.0	0.0	73.255
23	10.7941	27.3288	2.12325	14.6828	0.130413	17.3893	0.0	0.0	0.0	72.4487
24	10.7723	27.4024	2.13935	13.3707	0.131331	17.4324	0.0	0.0	0.0	71.2484
25	10.8187	27.4754	2.13762	12.6622	0.132255	17.5105	0.0	0.0	0.0	70.7366
26	10.8835	27.437	2.14759	12.5006	0.133699	17.5307	0.0	0.0	0.0	70.6331
27	10.8618	27.5737	2.15724	12.3845	0.134649	17.5888	0.0	0.0	0.0	70.7008
28	10.9323	27.6008	2.09999	12.4022	0.135604	17.6789	0.0	0.0	0.0	70.8498
29	10.9499	27.8156	2.11536	8.74786	0.13587	17.6774	0.0	0.0	0.0	67.4419
30	11.0153	27.7083	2.07069	7.58945	0.13485	17.7041	0.0	0.0	0.0	66.2226
31	11.0706	27.8596	2.06617	7.60925	0.13577	17.7223	0.0	0.0	0.0	66.4637
32	11.1035	28.0122	2.00344	7.60738	0.133541	17.6512	0.0	0.0	0.0	66.5113
33	11.1632	28.0907	2.01777	6.89336	0.131002	17.7116	0.0	0.0	0.0	66.0077
34	11.222	28.1502	2.03218	6.6822	0.130049	17.6927	0.0	0.0	0.0	65.9094
35	11.2402	28.2642	2.00292	6.421	0.130876	17.5624	0.0	0.0	0.0	65.6216
