Location: BBBPIPO
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\080415-BBBPIPO-1.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: NR1	Sdl Abs Den: NR2	Sdl Abs Den: NR3	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: NR1	Sapl Abs BA: NR2	Sapl Abs BA: NR3	Sapl BA Total:	Sapl Rel BA: ABCO	Sapl Rel BA: CADE	Sapl Rel BA: PILA	Sapl Rel BA: PIPO	Sapl Rel BA: QUCH	Sapl Rel BA: QUKE	Sapl Rel BA: NR1	Sapl Rel BA: NR2	Sapl Rel BA: NR3	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: NR1	Sapl Abs Den: NR2	Sapl Abs Den: NR3	Sapl Den Total:	Sapl Rel Den: ABCO	Sapl Rel Den: CADE	Sapl Rel Den: PILA	Sapl Rel Den: PIPO	Sapl Rel Den: QUCH	Sapl Rel Den: QUKE	Sapl Rel Den: NR1	Sapl Rel Den: NR2	Sapl Rel Den: NR3	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: NR1	Adult Abs BA: NR2	Adult Abs BA: NR3	Adult BA Total:	Adult Rel BA: ABCO	Adult Rel BA: CADE	Adult Rel BA: PILA	Adult Rel BA: PIPO	Adult Rel BA: QUCH	Adult Rel BA: QUKE	Adult Rel BA: NR1	Adult Rel BA: NR2	Adult Rel BA: NR3	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: NR1	Adult Abs Den: NR2	Adult Abs Den: NR3	Adult Den Total:	Adult Rel Den: ABCO	Adult Rel Den: CADE	Adult Rel Den: PILA	Adult Rel Den: PIPO	Adult Rel Den: QUCH	Adult Rel Den: QUKE	Adult Rel Den: NR1	Adult Rel Den: NR2	Adult Rel Den: NR3	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: NR1	Natural Dead Sdl Abs Den: NR2	Natural Dead Sdl Abs Den: NR3	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: NR1	Natural Dead Sapl Abs BA: NR2	Natural Dead Sapl Abs BA: NR3	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: NR1	Natural Dead Sapl Abs Den: NR2	Natural Dead Sapl Abs Den: NR3	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: NR1	Natural Dead Adult Abs BA: NR2	Natural Dead Adult Abs BA: NR3	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: NR1	Natural Dead Adult Abs Den: NR2	Natural Dead Adult Abs Den: NR3	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.11916	2.92745	0.784726	0.235752	0.00403894	0.504957	0	0	0	5.57608	0.200708	0.525	0.140731	0.0422791	0.000724333	0.0905577	0	0	0	116.222	405.444	56.6667	14.4444	4.44444	41.8889	0	0	0	639.111	0.18185	0.634388	0.0886648	0.0226008	0.0069541	0.0655424	0	0	0	14.6859	27.4808	1.73527	32.525	0.296827	16.1218	0	0	0	92.8457	0.158176	0.295983	0.0186898	0.350313	0.00319699	0.173641	0	0	0	40.6667	289.556	6.33333	31.5556	2.55556	263.111	0	0	0	633.778	0.0641655	0.456872	0.00999299	0.0497896	0.00403226	0.415147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1.77778	6.22222	0.444444	2.11111	0	15.7778	0	0	0	26.3333	1.11606	2.91594	0.795983	0.225588	0.0042163	0.485446	0	0	0	5.54323	0.201337	0.526036	0.143595	0.0406961	0.000760622	0.0875745	0	0	0	114.778	397.667	55.3333	13.7778	4.44444	40.1111	0	0	0	626.111	0.183319	0.635138	0.0883762	0.0220053	0.00709849	0.0640639	0	0	0	14.6676	27.5844	1.70846	31.0299	0.298218	16.1511	0	0	0	91.4397	0.160407	0.301668	0.018684	0.339348	0.00326137	0.176631	0	0	0	40.7778	290.556	6.11111	31	2.55556	262.111	0	0	0	633.111	0.0644086	0.458933	0.00965251	0.0489645	0.0040365	0.414005	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0157239	0.032442	0.00973375	0.00688193	0	0.00423452	0	0	0	0.0690161	1	4.55556	1.33333	0.444444	0	0.333333	0	0	0	7.66667	0.119379	0.22005	0.0426837	1.60644	0	0.1701	0	0	0	2.15865	0.333333	2.22222	0.222222	0.777778	0	2.44444	0	0	0	6
2	0	3.55556	11.7778	1.11111	4.44444	0	24.2222	0	0	0	45.1111	1.13126	2.92584	0.786947	0.21862	0.00372072	0.472117	0	0	0	5.5385	0.204254	0.528273	0.142087	0.0394727	0.000671791	0.0852427	0	0	0	113.778	391.222	53.8889	12.8889	4.22222	38.6667	0	0	0	614.667	0.185105	0.636479	0.0876717	0.0209689	0.00686913	0.0629067	0	0	0	14.5655	27.6295	1.68875	30.6332	0.300138	16.1747	0	0	0	90.9917	0.160075	0.303649	0.0185594	0.336659	0.00329852	0.17776	0	0	0	40.6667	289.667	6	30.3333	2.66667	260.333	0	0	0	629.667	0.0645844	0.460032	0.00952885	0.0481736	0.00423505	0.413446	0	0	0	0.333333	1.77778	0	0.444444	0	2.88889	0	0	0	5.44444	0.0020478	0.0270214	0.0300584	0.0123442	0.000155724	0.00535513	0	0	0	0.0769828	0.666667	4.11111	1.44444	0.888889	0.111111	0.444444	0	0	0	7.66667	0.198413	0.263057	0.0351604	0.496408	0	0.167968	0	0	0	1.16101	0.444444	3.22222	0.111111	0.666667	0	2.77778	0	0	0	7.22222
3	0	4.44444	14.1111	1.88889	5.22222	0	28.5556	0	0	0	54.2222	1.13194	2.90859	0.783418	0.215572	0.00389044	0.450706	0	0	0	5.49412	0.206027	0.529401	0.142592	0.0392369	0.000708109	0.0820343	0	0	0	112.444	383.222	53	12.1111	4.22222	36.8889	0	0	0	601.889	0.186819	0.636699	0.0880561	0.0201218	0.00701495	0.0612885	0	0	0	14.638	27.6947	1.71429	29.3464	0.301558	16.2118	0	0	0	89.9067	0.162813	0.308039	0.0190674	0.326409	0.00335412	0.180318	0	0	0	40.8889	289.778	6.11111	28.5556	2.66667	259.444	0	0	0	627.444	0.0651673	0.461838	0.00973968	0.0455109	0.00425004	0.413494	0	0	0	0.666667	2.88889	0.222222	1.55556	0	5.44444	0	0	0	10.7778	0.00737635	0.0348351	0.0140246	0.00817165	0	0.00159222	0	0	0	0.0659998	0.777778	4.66667	0.777778	0.777778	0	0.111111	0	0	0	7.11111	0.0327816	0.261895	0	1.38453	0	0.165595	0	0	0	1.84481	0.333333	3.22222	0	1.77778	0	2.55556	0	0	0	7.88889
4	0	5.77778	15.6667	1.77778	5.88889	0.111111	33.6667	0	0	0	62.8889	1.14818	2.89273	0.797156	0.208777	0.0040124	0.440291	0	0	0	5.49114	0.209096	0.526799	0.145171	0.0380207	0.000730704	0.0801822	0	0	0	111.111	374.667	52.4444	11.5556	4.11111	35.6667	0	0	0	589.556	0.188466	0.635507	0.0889559	0.0196005	0.00697324	0.0604975	0	0	0	14.298	27.8737	1.71407	28.498	0.273594	16.295	0	0	0	88.9523	0.160738	0.313356	0.0192695	0.320374	0.00307573	0.183188	0	0	0	40.6667	290	6	27.3333	2.33333	258	0	0	0	624.333	0.0651361	0.464495	0.00961025	0.04378	0.00373732	0.413241	0	0	0	0.666667	3.11111	0.666667	2	0	7.11111	0	0	0	13.5556	0.00599858	0.0473812	0.00698755	0.00728249	5.30929e-005	0.00171321	0	0	0	0.0694162	1.11111	6	0.555556	0.444444	0.111111	0.222222	0	0	0	8.44444	0.431474	0.133576	0.015687	0.945348	0.0293894	0.107921	0	0	0	1.6634	0.444444	2.33333	0.111111	1.33333	0.333333	2.44444	0	0	0	7
5	0	6.33333	17.8889	1.33333	6.88889	0.111111	39.6667	0	0	0	72.2222	1.16455	2.87358	0.800755	0.2037	0.00418885	0.424	0	0	0	5.47077	0.212867	0.525261	0.14637	0.0372341	0.000765677	0.0775027	0	0	0	109.667	367.111	51	11.1111	4.11111	34	0	0	0	577	0.190064	0.636241	0.0883882	0.0192567	0.00712498	0.0589255	0	0	0	14.3192	28.0041	1.58811	28.0545	0.273095	16.3521	0	0	0	88.5911	0.161633	0.316105	0.0179263	0.316674	0.00308264	0.184579	0	0	0	40.6667	290.333	5.77778	26.4444	2.22222	256.556	0	0	0	622	0.0653805	0.466774	0.00928903	0.0425152	0.0035727	0.412469	0	0	0	1.22222	4.55556	0.888889	1.44444	0	8.44444	0	0	0	16.5556	0.00604825	0.0327646	0.0172973	0.00537854	0	0.00161992	0	0	0	0.0631086	1.22222	4.11111	1.44444	0.333333	0	0.333333	0	0	0	7.44444	0.0694099	0.200288	0.141295	0.536615	0.00173485	0.139746	0	0	0	1.08909	0.222222	3.11111	0.222222	1	0.111111	2.77778	0	0	0	7.44444
6	0	6.66667	19.3333	1.33333	6.88889	0.222222	44	0	0	0	78.4444	1.18272	2.84091	0.809632	0.194007	0.00385028	0.391312	0	0	0	5.42244	0.218117	0.523918	0.149311	0.0357786	0.000710064	0.0721653	0	0	0	108.778	358	50.1111	10.4444	4	31.5556	0	0	0	562.889	0.193249	0.636005	0.0890249	0.0185551	0.0071062	0.05606	0	0	0	14.3973	28.1704	1.60262	27.9746	0.273416	16.3839	0	0	0	88.8021	0.162127	0.317226	0.018047	0.315022	0.00307894	0.184498	0	0	0	40.6667	291.222	5.77778	25.8889	2.22222	255.889	0	0	0	621.667	0.0654155	0.468454	0.00929401	0.0416443	0.00357462	0.411618	0	0	0	1.33333	4.88889	0.444444	2.22222	0	8.11111	0	0	0	17	0.00443995	0.0371251	0.0119482	0.00545988	0	0.00418393	0	0	0	0.0631571	0.666667	5.22222	1	0.444444	0	0.333333	0	0	0	7.66667	0.012729	0.173357	0	0.174989	0.00141066	0.178323	0	0	0	0.540808	0.222222	3	0	0.777778	0.111111	2.77778	0	0	0	6.88889
7	0	5.77778	22	1	5.88889	0.222222	49	0	0	0	83.8889	1.18855	2.81755	0.820484	0.188844	0.00402496	0.381132	0	0	0	5.40058	0.220077	0.521713	0.151925	0.0349674	0.000745282	0.0705723	0	0	0	108.667	350.444	49	10.3333	4	30.4444	0	0	0	552.889	0.196543	0.633842	0.0886254	0.0186897	0.00723473	0.0550643	0	0	0	14.4098	28.297	1.6172	27.2647	0.169855	16.4247	0	0	0	88.1833	0.163407	0.320888	0.0183391	0.309182	0.00192616	0.186257	0	0	0	41	291.444	5.77778	24.8889	2	254.444	0	0	0	619.556	0.0661765	0.470409	0.00932568	0.0401722	0.00322812	0.410689	0	0	0	1.44444	4.33333	0.444444	2.66667	0.111111	8.77778	0	0	0	17.7778	0.00771515	0.0370763	0.0100375	0.000704561	0	0.00420407	0	0	0	0.0597376	0.777778	4.22222	1.22222	0.111111	0	0.333333	0	0	0	6.66667	0.0880092	0.203701	0	0.80405	0.104768	0.146158	0	0	0	1.34669	0.111111	3.11111	0	1.22222	0.222222	2.22222	0	0	0	6.88889
8	0	5.44444	22.3333	0.888889	4.66667	0.111111	50.3333	0	0	0	83.7778	1.19573	2.78166	0.815276	0.18373	0.00420469	0.367413	0	0	0	5.34802	0.223585	0.520129	0.152444	0.0343548	0.000786214	0.0687007	0	0	0	108.333	343.333	47.7778	10.2222	4	29.1111	0	0	0	542.778	0.199591	0.632549	0.0880246	0.0188332	0.0073695	0.0536336	0	0	0	14.2255	28.5077	1.64221	26.9646	0.170822	16.4687	0	0	0	87.9797	0.161691	0.324026	0.0186658	0.306487	0.0019416	0.187188	0	0	0	41.2222	293.444	5.88889	24	2	253.556	0	0	0	620.111	0.0664755	0.473213	0.00949651	0.0387027	0.00322523	0.408887	0	0	0	1.77778	4.33333	0.333333	2.55556	0.111111	11.4444	0	0	0	20.5556	0.00642298	0.0298352	0.0157274	0.00499524	0	0.00359828	0	0	0	0.0605791	0.666667	3.88889	1.22222	0.333333	0	0.333333	0	0	0	6.44444	0.285116	0.139119	0	0.386564	0	0.14671	0	0	0	0.957509	0.222222	2.33333	0	1	0	1.88889	0	0	0	5.44444
9	0	6	21.1111	0.888889	5.44444	0.333333	49.4444	0	0	0	83.2222	1.22183	2.75945	0.82249	0.172826	0.00390149	0.345399	0	0	0	5.3259	0.229413	0.518119	0.154432	0.0324501	0.000732551	0.0648528	0	0	0	108.222	337.222	47.1111	9.88889	3.88889	30.5556	0	0	0	536.889	0.201573	0.628104	0.0877483	0.0184189	0.00724338	0.0569123	0	0	0	14.3027	28.3817	1.59655	23.2245	0.142908	16.5247	0	0	0	84.173	0.16992	0.337183	0.0189675	0.275913	0.00169778	0.196318	0	0	0	41.2222	293.889	5.77778	23.5556	1.88889	252.889	0	0	0	619.222	0.066571	0.47461	0.0093307	0.0380406	0.00305042	0.408398	0	0	0	1.11111	5.33333	0.222222	1.33333	0.111111	10.8889	0	0	0	19	0.00166541	0.0359973	0.0134065	0.00624252	0.000487971	0.00422456	0	0	0	0.0620243	0.222222	4.55556	0.666667	0.333333	0.111111	0.333333	0	0	0	6.22222	0.00935064	0.456777	0.0605717	3.82902	0.0288853	0.142432	0	0	0	4.52703	0.111111	2.77778	0.111111	0.666667	0.111111	2.11111	0	0	0	5.88889
