Location: CCRPIPO Setup
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\080415-CCRPIPO-1.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUKE	Sdl Abs Den: NR1	Sdl Abs Den: NR2	Sdl Abs Den: NR3	Sdl Abs Den: NR4	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUKE	Sapl Abs BA: NR1	Sapl Abs BA: NR2	Sapl Abs BA: NR3	Sapl Abs BA: NR4	Sapl BA Total:	Sapl Rel BA: ABCO	Sapl Rel BA: CADE	Sapl Rel BA: PILA	Sapl Rel BA: PIPO	Sapl Rel BA: QUKE	Sapl Rel BA: NR1	Sapl Rel BA: NR2	Sapl Rel BA: NR3	Sapl Rel BA: NR4	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUKE	Sapl Abs Den: NR1	Sapl Abs Den: NR2	Sapl Abs Den: NR3	Sapl Abs Den: NR4	Sapl Den Total:	Sapl Rel Den: ABCO	Sapl Rel Den: CADE	Sapl Rel Den: PILA	Sapl Rel Den: PIPO	Sapl Rel Den: QUKE	Sapl Rel Den: NR1	Sapl Rel Den: NR2	Sapl Rel Den: NR3	Sapl Rel Den: NR4	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUKE	Adult Abs BA: NR1	Adult Abs BA: NR2	Adult Abs BA: NR3	Adult Abs BA: NR4	Adult BA Total:	Adult Rel BA: ABCO	Adult Rel BA: CADE	Adult Rel BA: PILA	Adult Rel BA: PIPO	Adult Rel BA: QUKE	Adult Rel BA: NR1	Adult Rel BA: NR2	Adult Rel BA: NR3	Adult Rel BA: NR4	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUKE	Adult Abs Den: NR1	Adult Abs Den: NR2	Adult Abs Den: NR3	Adult Abs Den: NR4	Adult Den Total:	Adult Rel Den: ABCO	Adult Rel Den: CADE	Adult Rel Den: PILA	Adult Rel Den: PIPO	Adult Rel Den: QUKE	Adult Rel Den: NR1	Adult Rel Den: NR2	Adult Rel Den: NR3	Adult Rel Den: NR4	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: NR1	Natural Dead Sdl Abs Den: NR2	Natural Dead Sdl Abs Den: NR3	Natural Dead Sdl Abs Den: NR4	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: NR1	Natural Dead Sapl Abs BA: NR2	Natural Dead Sapl Abs BA: NR3	Natural Dead Sapl Abs BA: NR4	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: NR1	Natural Dead Sapl Abs Den: NR2	Natural Dead Sapl Abs Den: NR3	Natural Dead Sapl Abs Den: NR4	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: NR1	Natural Dead Adult Abs BA: NR2	Natural Dead Adult Abs BA: NR3	Natural Dead Adult Abs BA: NR4	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: NR1	Natural Dead Adult Abs Den: NR2	Natural Dead Adult Abs Den: NR3	Natural Dead Adult Abs Den: NR4	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	4.39814	1.38796	0.521181	0.213354	0.640071	0	0	0	0	7.16071	0.614205	0.19383	0.0727834	0.0297951	0.0893865	0	0	0	0	766.889	388.667	92.4444	55.3333	214.667	0	0	0	0	1518	0.505197	0.256039	0.0608988	0.0364515	0.141414	0	0	0	0	22.4306	143.986	1.09018	50.2292	23.8953	0	0	0	0	241.632	0.0928297	0.595892	0.00451172	0.207875	0.0988913	0	0	0	0	91.1111	166.667	4.33333	9.77778	62.5556	0	0	0	0	334.444	0.272425	0.498339	0.0129568	0.0292359	0.187043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	22.1111	13.7778	0.333333	0.222222	3.55556	0	0	0	0	40	4.41718	1.40548	0.516065	0.215616	0.632115	0	0	0	0	7.18645	0.614653	0.195574	0.0718108	0.0300031	0.0879592	0	0	0	0	753.444	384	87.4444	54	208.333	0	0	0	0	1487.22	0.506612	0.258199	0.0587972	0.0363093	0.140082	0	0	0	0	22.5384	143.859	1.07247	50.1918	23.6664	0	0	0	0	241.328	0.0933931	0.596114	0.00444402	0.207982	0.0980674	0	0	0	0	91.3333	166.222	4.22222	9.33333	61.5556	0	0	0	0	332.667	0.274549	0.499666	0.0126921	0.0280561	0.185037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0753227	0.00896699	0.0124878	0.00511509	0.0142468	0	0	0	0	0.116139	12.2222	3.55556	4.88889	1.33333	5.55556	0	0	0	0	27.5556	0.0997715	0.4461	0.0385634	0.0751701	0.312527	0	0	0	0	0.972132	1	1.55556	0.222222	0.444444	1.77778	0	0	0	0	5
2	0	40.1111	27	0.222222	0.666667	5.66667	0	0	0	0	73.6667	4.42507	1.41024	0.507258	0.213852	0.632168	0	0	0	0	7.18859	0.615569	0.196177	0.0705643	0.0297488	0.0879405	0	0	0	0	740.778	378.222	83.4444	52.3333	202.556	0	0	0	0	1457.33	0.50831	0.25953	0.0572583	0.0359103	0.138991	0	0	0	0	22.5575	143.662	1.08281	49.9781	23.564	0	0	0	0	240.845	0.0936601	0.596493	0.00449591	0.207512	0.0978391	0	0	0	0	90.7778	165.889	4.22222	9	61	0	0	0	0	330.889	0.274345	0.501343	0.0127602	0.0271995	0.184352	0	0	0	0	4.55556	1.55556	0.222222	0.111111	0.777778	0	0	0	0	7.22222	0.0871339	0.0115184	0.0262962	0.00478661	0.0118228	0	0	0	0	0.141558	11.4444	4.11111	4	1.55556	5.33333	0	0	0	0	26.4444	0.188861	0.525069	0	0.255207	0.179125	0	0	0	0	1.14826	1.77778	2	0	0.444444	1	0	0	0	0	5.22222
3	0	53.8889	37.8889	0.111111	1.55556	7.33333	0	0	0	0	100.778	4.46339	1.43079	0.510379	0.213894	0.626406	0	0	0	0	7.24485	0.616077	0.19749	0.0704471	0.0295235	0.0864623	0	0	0	0	727.111	373.778	80.5556	50.4444	198	0	0	0	0	1429.89	0.508509	0.261403	0.0563369	0.0352786	0.138472	0	0	0	0	22.5483	143.46	1.01984	14.7426	23.3563	0	0	0	0	205.127	0.109924	0.699372	0.00497175	0.0718705	0.113862	0	0	0	0	90.5556	164.556	3.88889	8.88889	60.7778	0	0	0	0	328.667	0.275524	0.500676	0.0118323	0.0270453	0.184922	0	0	0	0	8	4.88889	0.111111	0.111111	1.33333	0	0	0	0	14.4444	0.0712359	0.01292	0.0141929	0.00305117	0.0117689	0	0	0	0	0.113169	12.7778	3.66667	2.88889	1.77778	3.77778	0	0	0	0	24.8889	0.20274	0.512103	0.0733781	35.2759	0.289704	0	0	0	0	36.3539	1.11111	2.11111	0.333333	0.222222	1	0	0	0	0	4.77778
4	0	61.1111	45.3333	0.333333	2.22222	9.33333	0	0	0	0	118.333	4.49306	1.44355	0.50468	0.217157	0.613801	0	0	0	0	7.27225	0.617837	0.198501	0.069398	0.0298611	0.0844032	0	0	0	0	714.111	368.889	76	49.1111	191.667	0	0	0	0	1399.78	0.51016	0.263534	0.0542943	0.0350849	0.136927	0	0	0	0	22.4996	143.365	0.779357	14.736	23.0539	0	0	0	0	204.434	0.110058	0.701279	0.00381226	0.0720819	0.112769	0	0	0	0	90	163.889	3.33333	8.77778	59.4444	0	0	0	0	325.444	0.276545	0.503585	0.0102424	0.0269717	0.182656	0	0	0	0	12.5556	8.11111	0.111111	0.222222	1.77778	0	0	0	0	22.7778	0.0615259	0.0212025	0.0230157	0.00430576	0.0223136	0	0	0	0	0.132363	11.6667	4.11111	4.55556	1.33333	5.77778	0	0	0	0	27.4444	0.26109	0.403805	0.250161	0.0336019	0.379803	0	0	0	0	1.32846	1.88889	1.44444	0.555556	0.111111	1.88889	0	0	0	0	5.88889
5	0	70.4444	51.2222	0.222222	2.88889	10.4444	0	0	0	0	135.222	4.56028	1.4518	0.494473	0.210428	0.602893	0	0	0	0	7.31987	0.622999	0.198337	0.0675521	0.0287475	0.0823639	0	0	0	0	703.778	363.333	71.7778	47.7778	185.556	0	0	0	0	1372.22	0.512874	0.264777	0.0523077	0.0348178	0.135223	0	0	0	0	22.3865	142.955	0.797628	14.6701	22.9169	0	0	0	0	203.727	0.109885	0.701702	0.00391519	0.072009	0.112489	0	0	0	0	88.8889	162.889	3.44444	8.44444	59.3333	0	0	0	0	323	0.275198	0.5043	0.0106639	0.0261438	0.183695	0	0	0	0	13.7778	8.77778	0.111111	0.222222	2.88889	0	0	0	0	25.7778	0.052971	0.0259853	0.0168725	0.014352	0.0164119	0	0	0	0	0.126593	9.66667	4.77778	4.11111	1.33333	5.33333	0	0	0	0	25.2222	0.296275	0.717649	0	0.0926488	0.216626	0	0	0	0	1.3232	1.77778	1.77778	0	0.333333	0.888889	0	0	0	0	4.77778
6	0	72.3333	54.2222	0.555556	3	11.7778	0	0	0	0	141.889	4.55029	1.46946	0.484259	0.212996	0.597933	0	0	0	0	7.31494	0.622055	0.200884	0.0662013	0.029118	0.0817413	0	0	0	0	690.778	358.778	66.2222	46.7778	181.111	0	0	0	0	1343.67	0.514099	0.267014	0.0492847	0.0348135	0.134789	0	0	0	0	22.3691	142.344	0.757031	14.6963	22.8484	0	0	0	0	203.015	0.110184	0.701152	0.00372894	0.0723901	0.112545	0	0	0	0	89.3333	161.778	3.22222	8.44444	58.4444	0	0	0	0	321.222	0.278104	0.503632	0.0100311	0.0262885	0.181944	0	0	0	0	18	10.2222	0	0.666667	2.22222	0	0	0	0	31.1111	0.0795456	0.0125064	0.0268993	0.00496516	0.0140176	0	0	0	0	0.137934	11.1111	3.55556	5.55556	1	3.88889	0	0	0	0	25.1111	0.251117	0.92153	0.0487386	0	0.143912	0	0	0	0	1.3653	1.44444	2.11111	0.222222	0	1.44444	0	0	0	0	5.22222
7	0	72.5556	56.2222	0.888889	2.77778	14.1111	0	0	0	0	146.556	4.58347	1.46832	0.485452	0.212258	0.589104	0	0	0	0	7.3386	0.62457	0.200082	0.0661505	0.0289235	0.0802746	0	0	0	0	684.111	353.444	62.6667	45.4444	174.889	0	0	0	0	1320.56	0.518048	0.267648	0.0474548	0.0344131	0.132436	0	0	0	0	22.1916	141.444	0.752281	14.7161	22.7745	0	0	0	0	201.878	0.109926	0.700639	0.00372641	0.0728957	0.112813	0	0	0	0	88.7778	162.111	3.11111	8.33333	58	0	0	0	0	320.333	0.277142	0.50607	0.00971211	0.0260146	0.181061	0	0	0	0	15.8889	11.8889	0	0.666667	1.77778	0	0	0	0	30.2222	0.0794738	0.0189972	0.0148781	0.00834172	0.0215847	0	0	0	0	0.143276	11.8889	3.66667	3.55556	1.44444	5.88889	0	0	0	0	26.4444	0.36876	1.22114	0.0124068	0.00646637	0.144601	0	0	0	0	1.75337	1.44444	1.33333	0.111111	0.111111	0.777778	0	0	0	0	3.77778
8	0	69.5556	55.1111	0.888889	2.77778	14.1111	0	0	0	0	142.444	4.61728	1.48735	0.486457	0.216423	0.581929	0	0	0	0	7.38944	0.624848	0.201281	0.0658313	0.0292881	0.0787515	0	0	0	0	677.556	353.667	59.2222	44.7778	169.889	0	0	0	0	1305.11	0.519155	0.270986	0.0453772	0.0343096	0.130172	0	0	0	0	22.1375	141.235	0.759788	14.7422	22.6996	0	0	0	0	201.574	0.109823	0.70066	0.00376928	0.0731357	0.112612	0	0	0	0	88	160.889	3.11111	8.33333	57.2222	0	0	0	0	317.556	0.277117	0.506648	0.00979706	0.0262421	0.180196	0	0	0	0	18.6667	9.66667	0.111111	0.555556	2.88889	0	0	0	0	31.8889	0.0793363	0.0140208	0.0148553	0.00338496	0.0138307	0	0	0	0	0.125428	12.2222	3.55556	3.44444	0.777778	4.33333	0	0	0	0	24.3333	0.244625	0.513355	0	0	0.15097	0	0	0	0	0.908951	1.66667	2.11111	0	0	1.44444	0	0	0	0	5.22222
9	0	71.1111	52.1111	0.555556	2.44444	12.8889	0	0	0	0	139.111	4.64633	1.49254	0.469269	0.22271	0.577999	0	0	0	0	7.40884	0.627133	0.201453	0.0633391	0.03006	0.0780148	0	0	0	0	669.889	351.778	56.5556	44.4444	164.222	0	0	0	0	1286.89	0.520549	0.273355	0.0439475	0.0345364	0.127612	0	0	0	0	21.8018	139.897	0.767337	14.7583	22.4648	0	0	0	0	199.689	0.109179	0.700574	0.00384265	0.0739062	0.112499	0	0	0	0	87.3333	160.444	3.11111	8.22222	56.5556	0	0	0	0	315.667	0.276663	0.508272	0.00985568	0.0260472	0.179162	0	0	0	0	14	11.8889	0.333333	0.222222	3.66667	0	0	0	0	30.1111	0.0845	0.0155178	0.0328136	0.00140322	0.0123344	0	0	0	0	0.146569	11.8889	3.44444	2.88889	0.666667	5.22222	0	0	0	0	24.1111	0.525243	1.65317	0	0.0102216	0.3083	0	0	0	0	2.49694	1.55556	2	0	0.111111	1.22222	0	0	0	0	4.88889
