Location: BBBPIPO
From parameter file: sortie_temp.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: NR1	Sdl Abs Den: NR2	Sdl Abs Den: NR3	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: NR1	Sapl Abs BA: NR2	Sapl Abs BA: NR3	Sapl BA Total:	Sapl Rel BA: ABCO	Sapl Rel BA: CADE	Sapl Rel BA: PILA	Sapl Rel BA: PIPO	Sapl Rel BA: QUCH	Sapl Rel BA: QUKE	Sapl Rel BA: NR1	Sapl Rel BA: NR2	Sapl Rel BA: NR3	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: NR1	Sapl Abs Den: NR2	Sapl Abs Den: NR3	Sapl Den Total:	Sapl Rel Den: ABCO	Sapl Rel Den: CADE	Sapl Rel Den: PILA	Sapl Rel Den: PIPO	Sapl Rel Den: QUCH	Sapl Rel Den: QUKE	Sapl Rel Den: NR1	Sapl Rel Den: NR2	Sapl Rel Den: NR3	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: NR1	Adult Abs BA: NR2	Adult Abs BA: NR3	Adult BA Total:	Adult Rel BA: ABCO	Adult Rel BA: CADE	Adult Rel BA: PILA	Adult Rel BA: PIPO	Adult Rel BA: QUCH	Adult Rel BA: QUKE	Adult Rel BA: NR1	Adult Rel BA: NR2	Adult Rel BA: NR3	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: NR1	Adult Abs Den: NR2	Adult Abs Den: NR3	Adult Den Total:	Adult Rel Den: ABCO	Adult Rel Den: CADE	Adult Rel Den: PILA	Adult Rel Den: PIPO	Adult Rel Den: QUCH	Adult Rel Den: QUKE	Adult Rel Den: NR1	Adult Rel Den: NR2	Adult Rel Den: NR3	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: NR1	Natural Dead Sdl Abs Den: NR2	Natural Dead Sdl Abs Den: NR3	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: NR1	Natural Dead Sapl Abs BA: NR2	Natural Dead Sapl Abs BA: NR3	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: NR1	Natural Dead Sapl Abs Den: NR2	Natural Dead Sapl Abs Den: NR3	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: NR1	Natural Dead Adult Abs BA: NR2	Natural Dead Adult Abs BA: NR3	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: NR1	Natural Dead Adult Abs Den: NR2	Natural Dead Adult Abs Den: NR3	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.11916	2.92745	0.784726	0.235752	0.00403894	0.504957	0	0	0	5.57608	0.200708	0.525	0.140731	0.0422791	0.000724333	0.0905577	0	0	0	116.222	405.444	56.6667	14.4444	4.44444	41.8889	0	0	0	639.111	0.18185	0.634388	0.0886648	0.0226008	0.0069541	0.0655424	0	0	0	14.6859	27.4808	1.73527	32.525	0.296827	16.1218	0	0	0	92.8457	0.158176	0.295983	0.0186898	0.350313	0.00319699	0.173641	0	0	0	40.6667	289.556	6.33333	31.5556	2.55556	263.111	0	0	0	633.778	0.0641655	0.456872	0.00999299	0.0497896	0.00403226	0.415147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	3.22222	6.11111	0.444444	2.33333	0	12.4444	0	0	0	24.5556	1.1277	2.904	0.789209	0.22502	0.00383054	0.480663	0	0	0	5.53042	0.203908	0.525095	0.142703	0.0406878	0.000692632	0.0869127	0	0	0	115.444	395.333	55.6667	13.7778	4.33333	39.6667	0	0	0	624.222	0.184941	0.633321	0.0891776	0.0220719	0.00694197	0.0635457	0	0	0	14.7627	27.6741	1.7373	32.1591	0.296464	16.1368	0	0	0	92.7664	0.159138	0.298321	0.0187276	0.346668	0.00319581	0.17395	0	0	0	40.8889	290.889	6.22222	30.8889	2.44444	261.667	0	0	0	633	0.0645954	0.45954	0.00982974	0.0487976	0.00386168	0.413375	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00408418	0.0443843	0.0165073	0.00744955	0.000385757	0.00901705	0	0	0	0.0818281	0.333333	6.88889	1	0.444444	0.111111	0.777778	0	0	0	9.55556	0.0243176	0.130342	0.0138425	0.477233	0.00175482	0.184429	0	0	0	0.831918	0.222222	1.88889	0.111111	0.888889	0.111111	2.88889	0	0	0	6.11111
2	0	4.55556	10.6667	0.888889	3.88889	0	23.6667	0	0	0	43.6667	1.1384	2.92025	0.800985	0.22204	0.00298516	0.467724	0	0	0	5.55239	0.20503	0.525945	0.14426	0.03999	0.000537635	0.0842384	0	0	0	114	389.333	54.7778	13.3333	4	38.3333	0	0	0	613.778	0.185735	0.634323	0.0892469	0.0217234	0.00651702	0.0624547	0	0	0	14.7424	27.3035	1.66847	32.0842	0.298354	16.1796	0	0	0	92.2766	0.159763	0.295888	0.0180811	0.347696	0.00323326	0.175338	0	0	0	40.5556	289.889	6.11111	30	2.55556	260.222	0	0	0	629.333	0.0644421	0.460629	0.00971045	0.0476695	0.00406073	0.413489	0	0	0	0.777778	1.66667	0.111111	0.666667	0	2.88889	0	0	0	6.11111	0.00677012	0.0202616	0.00918383	0.00834036	0.000495055	0.00486805	0	0	0	0.049919	1.11111	3.66667	0.888889	0.444444	0.222222	0.333333	0	0	0	6.66667	0.117043	0.679143	0.0845857	0.17534	0	0.148442	0	0	0	1.20456	0.666667	3.33333	0.111111	0.888889	0	2.44444	0	0	0	7.44444
3	0	6	13.2222	1.11111	4.66667	0	30.2222	0	0	0	55.2222	1.14365	2.90944	0.782699	0.222224	0.00300373	0.445923	0	0	0	5.50695	0.207675	0.528322	0.142129	0.0403534	0.000545444	0.0809746	0	0	0	112.778	382.556	52.8889	12.8889	3.88889	36.5556	0	0	0	601.556	0.187477	0.635944	0.0879202	0.0214259	0.00646472	0.0607684	0	0	0	14.7369	27.2533	1.63221	31.8272	0.299127	16.2309	0	0	0	91.9797	0.160219	0.296297	0.0177454	0.346024	0.0032521	0.176462	0	0	0	40.6667	290	5.88889	28.8889	2.44444	259.333	0	0	0	627.222	0.0648361	0.462356	0.00938884	0.0460585	0.00389725	0.413463	0	0	0	0.666667	2.55556	0.333333	1.44444	0	5.88889	0	0	0	10.8889	0.00288698	0.0281192	0.0290254	0.00505516	0.000133068	0.00190106	0	0	0	0.0671209	0.666667	3.44444	1.77778	0.444444	0.111111	0.111111	0	0	0	6.55556	0.111302	0.376783	0.0619065	0.356159	0.000615983	0.151375	0	0	0	1.05814	0.444444	3.22222	0.333333	1.11111	0.111111	2.55556	0	0	0	7.77778
4	0	6.77778	17.1111	1.11111	4.55556	0.111111	40.4444	0	0	0	70.1111	1.13803	2.91093	0.799603	0.221884	0.0031449	0.431577	0	0	0	5.50517	0.20672	0.528763	0.145246	0.0403047	0.000571264	0.078395	0	0	0	110.889	376.444	52	12.6667	3.77778	35.1111	0	0	0	590.889	0.187665	0.637082	0.088003	0.0214366	0.00639338	0.0594208	0	0	0	14.7942	27.1492	1.44044	31.4295	0.300505	16.2715	0	0	0	91.3854	0.161888	0.297085	0.0157622	0.343922	0.00328832	0.178054	0	0	0	40.5556	289.667	5.77778	27.8889	2.44444	258.667	0	0	0	625	0.0648889	0.463467	0.00924444	0.0446222	0.00391111	0.413867	0	0	0	1.44444	3.11111	0.444444	2.33333	0	4.66667	0	0	0	12	0.0232625	0.0299747	0.00374746	0.00103544	9.34054e-006	0.0055589	0	0	0	0.0635884	1.55556	3.55556	0.888889	0.111111	0.111111	0.444444	0	0	0	6.66667	0.0390553	0.415705	0.206636	0.499053	0	0.150514	0	0	0	1.31096	0.444444	2.88889	0.111111	1.11111	0	1.66667	0	0	0	6.22222
5	0	7.11111	20.2222	1.33333	4.55556	0.222222	42.1111	0	0	0	75.5556	1.14931	2.8959	0.780027	0.218212	0.00329863	0.408743	0	0	0	5.45549	0.21067	0.530823	0.14298	0.0399987	0.000604645	0.0749233	0	0	0	110	369.444	50.6667	12.3333	3.77778	33.1111	0	0	0	579.333	0.189873	0.637706	0.0874568	0.0212888	0.00652091	0.0571538	0	0	0	14.8195	27.2307	1.46494	27.0065	0.300503	16.3099	0	0	0	87.132	0.170081	0.312522	0.0168128	0.309949	0.00344883	0.187186	0	0	0	40.5556	289.889	5.88889	26.4444	2.33333	257.111	0	0	0	622.222	0.0651786	0.465893	0.00946429	0.0425	0.00375	0.413214	0	0	0	1.55556	4.33333	0.444444	2	0	8.66667	0	0	0	17	0.0109313	0.0332891	0.0300773	0.00432595	0	0.00801275	0	0	0	0.0866364	0.666667	3.77778	1.22222	0.222222	0	0.666667	0	0	0	6.55556	0.0664586	0.242747	0	4.52219	0.00138426	0.158636	0	0	0	4.99141	0.222222	3	0	1.55556	0.111111	2.88889	0	0	0	7.77778
6	0	7.33333	19.4444	1.44444	5.11111	0.222222	46.5556	0	0	0	80.1111	1.16107	2.87682	0.790529	0.207765	0.00342685	0.380252	0	0	0	5.41986	0.214225	0.530792	0.145858	0.038334	0.000632276	0.070159	0	0	0	108.556	361.444	49.6667	11.5556	3.66667	31	0	0	0	565.889	0.191832	0.63872	0.0877675	0.0204202	0.00647948	0.0547811	0	0	0	14.8406	27.2829	1.43427	26.8277	0.301276	16.3124	0	0	0	86.9991	0.170583	0.3136	0.0164861	0.308368	0.00346297	0.1875	0	0	0	40.4444	291.444	5.66667	25.6667	2.22222	255.889	0	0	0	621.333	0.065093	0.469063	0.00912017	0.041309	0.00357654	0.411838	0	0	0	2	5.33333	0.444444	1.55556	0	8.33333	0	0	0	17.6667	0.0106551	0.0219476	0.00992206	0.00659571	3.02837e-005	0.0016528	0	0	0	0.0508035	1.22222	4	1	0.555556	0.111111	0.111111	0	0	0	7	0.0706959	0.287013	0.0450721	0.274493	0.000589414	0.205776	0	0	0	0.883639	0.333333	2.44444	0.222222	1	0.111111	3.22222	0	0	0	7.33333
7	0	7	21.5556	1.44444	4.66667	0.222222	49.7778	0	0	0	84.6667	1.17092	2.86281	0.789163	0.194175	0.00289326	0.369608	0	0	0	5.38958	0.217257	0.531176	0.146424	0.0360278	0.000536825	0.0685783	0	0	0	107.889	354.667	48.8889	10.8889	3.22222	29.8889	0	0	0	555.444	0.194239	0.638528	0.0880176	0.0196039	0.00580116	0.0538108	0	0	0	14.7809	27.344	1.44825	26.1497	0.302626	16.2958	0	0	0	86.3213	0.171231	0.31677	0.0167775	0.302934	0.0035058	0.188781	0	0	0	40.2222	291.889	5.66667	24.7778	2.22222	253.667	0	0	0	618.444	0.0650377	0.471973	0.00916277	0.0400647	0.00359324	0.410169	0	0	0	1.44444	4.22222	0.444444	1.77778	0.111111	10.1111	0	0	0	18.1111	0.00796666	0.0285795	0.0218447	0.00947683	0.000693876	0.00449078	0	0	0	0.0730523	0.888889	3.44444	1	0.555556	0.444444	0.333333	0	0	0	6.66667	0.156082	0.266682	0	0.772357	0	0.203165	0	0	0	1.39829	0.555556	2.88889	0	1.11111	0	3	0	0	0	7.55556
8	0	7.88889	23.5556	1.11111	4.66667	0.111111	54.3333	0	0	0	91.6667	1.16358	2.82517	0.778379	0.179487	0.00302001	0.355837	0	0	0	5.30547	0.219317	0.532501	0.146713	0.0338306	0.000569226	0.0670698	0	0	0	106.444	347.889	47.7778	10.3333	3.11111	28.6667	0	0	0	544.222	0.19559	0.639241	0.0877909	0.0189873	0.00571662	0.0526746	0	0	0	14.7167	27.1478	1.4324	25.8303	0.30398	16.3018	0	0	0	85.7331	0.171657	0.316655	0.0167077	0.301287	0.00354566	0.190146	0	0	0	40.3333	292.889	5.66667	24.2222	2.22222	251.778	0	0	0	617.111	0.0653583	0.474613	0.00918257	0.039251	0.00360101	0.407994	0	0	0	1.33333	4.11111	0.333333	1.88889	0.111111	9.44444	0	0	0	17.2222	0.0205946	0.0347231	0.0207694	0.00586367	1.07744e-005	0.00346874	0	0	0	0.0854303	1.55556	3.66667	1.11111	0.444444	0.111111	0.222222	0	0	0	7.11111	0.164849	0.54126	0.0402561	0.415404	0	0.183823	0	0	0	1.34559	0.333333	3.22222	0.111111	0.888889	0	2.88889	0	0	0	7.44444
9	0	8.33333	23.2222	1.22222	4.88889	0.111111	51.5556	0	0	0	89.3333	1.1901	2.81372	0.777841	0.176988	0.0031598	0.336424	0	0	0	5.29824	0.224622	0.531068	0.146811	0.0334051	0.000596386	0.0634973	0	0	0	106.667	342.333	47.1111	10.3333	3.11111	29.6667	0	0	0	539.222	0.197816	0.634865	0.0873686	0.0191634	0.00576963	0.0550175	0	0	0	14.7888	27.1801	1.45659	25.4567	0.30534	16.318	0	0	0	85.5055	0.172957	0.317875	0.0170351	0.29772	0.003571	0.190842	0	0	0	40.3333	293.222	5.77778	23.6667	2.22222	250.111	0	0	0	615.333	0.0655471	0.476526	0.00938967	0.0384615	0.00361141	0.406464	0	0	0	1.66667	6	0.333333	1.55556	0.111111	12.7778	0	0	0	22.4444	0.000608165	0.0220301	0.0103729	0.0022334	0	0.00330003	0	0	0	0.0385446	0.333333	3.11111	0.555556	0.111111	0	0.222222	0	0	0	4.33333	0.0144399	0.298546	0	0.459177	0	0.17887	0	0	0	0.951033	0.111111	3.11111	0	0.666667	0	3	0	0	0	6.88889
