Location: CCRPIPO Setup
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\080415-CCRPIPO-1.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUKE	Sdl Abs Den: NR1	Sdl Abs Den: NR2	Sdl Abs Den: NR3	Sdl Abs Den: NR4	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUKE	Sapl Abs BA: NR1	Sapl Abs BA: NR2	Sapl Abs BA: NR3	Sapl Abs BA: NR4	Sapl BA Total:	Sapl Rel BA: ABCO	Sapl Rel BA: CADE	Sapl Rel BA: PILA	Sapl Rel BA: PIPO	Sapl Rel BA: QUKE	Sapl Rel BA: NR1	Sapl Rel BA: NR2	Sapl Rel BA: NR3	Sapl Rel BA: NR4	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUKE	Sapl Abs Den: NR1	Sapl Abs Den: NR2	Sapl Abs Den: NR3	Sapl Abs Den: NR4	Sapl Den Total:	Sapl Rel Den: ABCO	Sapl Rel Den: CADE	Sapl Rel Den: PILA	Sapl Rel Den: PIPO	Sapl Rel Den: QUKE	Sapl Rel Den: NR1	Sapl Rel Den: NR2	Sapl Rel Den: NR3	Sapl Rel Den: NR4	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUKE	Adult Abs BA: NR1	Adult Abs BA: NR2	Adult Abs BA: NR3	Adult Abs BA: NR4	Adult BA Total:	Adult Rel BA: ABCO	Adult Rel BA: CADE	Adult Rel BA: PILA	Adult Rel BA: PIPO	Adult Rel BA: QUKE	Adult Rel BA: NR1	Adult Rel BA: NR2	Adult Rel BA: NR3	Adult Rel BA: NR4	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUKE	Adult Abs Den: NR1	Adult Abs Den: NR2	Adult Abs Den: NR3	Adult Abs Den: NR4	Adult Den Total:	Adult Rel Den: ABCO	Adult Rel Den: CADE	Adult Rel Den: PILA	Adult Rel Den: PIPO	Adult Rel Den: QUKE	Adult Rel Den: NR1	Adult Rel Den: NR2	Adult Rel Den: NR3	Adult Rel Den: NR4	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: NR1	Natural Dead Sdl Abs Den: NR2	Natural Dead Sdl Abs Den: NR3	Natural Dead Sdl Abs Den: NR4	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: NR1	Natural Dead Sapl Abs BA: NR2	Natural Dead Sapl Abs BA: NR3	Natural Dead Sapl Abs BA: NR4	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: NR1	Natural Dead Sapl Abs Den: NR2	Natural Dead Sapl Abs Den: NR3	Natural Dead Sapl Abs Den: NR4	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: NR1	Natural Dead Adult Abs BA: NR2	Natural Dead Adult Abs BA: NR3	Natural Dead Adult Abs BA: NR4	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: NR1	Natural Dead Adult Abs Den: NR2	Natural Dead Adult Abs Den: NR3	Natural Dead Adult Abs Den: NR4	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	4.39814	1.38796	0.521181	0.213354	0.640071	0	0	0	0	7.16071	0.614205	0.19383	0.0727834	0.0297951	0.0893865	0	0	0	0	766.889	388.667	92.4444	55.3333	214.667	0	0	0	0	1518	0.505197	0.256039	0.0608988	0.0364515	0.141414	0	0	0	0	22.4306	143.986	1.09018	50.2292	23.8953	0	0	0	0	241.632	0.0928297	0.595892	0.00451172	0.207875	0.0988913	0	0	0	0	91.1111	166.667	4.33333	9.77778	62.5556	0	0	0	0	334.444	0.272425	0.498339	0.0129568	0.0292359	0.187043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	71.5556	166.111	1.44444	40.3333	16.8889	0	0	0	0	296.333	4.41811	1.39025	0.507338	0.214619	0.63238	0	0	0	0	7.1627	0.616822	0.194096	0.0708306	0.0299635	0.0882879	0	0	0	0	754.444	383.222	87.5556	53.8889	209.333	0	0	0	0	1488.44	0.506868	0.257465	0.0588235	0.0362048	0.140639	0	0	0	0	22.3174	143.286	1.11103	49.2972	23.8197	0	0	0	0	239.831	0.0930546	0.597445	0.00463255	0.205549	0.0993185	0	0	0	0	90.6667	166	4.44444	9.55556	62.3333	0	0	0	0	333	0.272272	0.498498	0.0133467	0.0286954	0.187187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0743887	0.0241972	0.0212142	0.00611156	0.0139822	0	0	0	0	0.139894	11.2222	4.33333	4.77778	1.44444	4.55556	0	0	0	0	26.3333	0.320731	1.01899	0	0.969752	0.159248	0	0	0	0	2.46872	1.66667	1.77778	0	0.222222	1	0	0	0	0	4.66667
2	0	128.222	289.333	1.77778	72.2222	28.4444	0	0	0	0	520	4.44707	1.39638	0.488263	0.217074	0.621642	0	0	0	0	7.17043	0.620195	0.194742	0.068094	0.0302735	0.0866952	0	0	0	0	741.333	378.333	81.4444	52.7778	203.778	0	0	0	0	1457.67	0.508575	0.259547	0.0558732	0.036207	0.139797	0	0	0	0	22.4218	138.279	1.12186	49.3092	23.1576	0	0	0	0	234.289	0.0957014	0.590205	0.00478834	0.210463	0.0988422	0	0	0	0	90.6667	164.889	4.44444	9.55556	61.2222	0	0	0	0	330.778	0.274101	0.498488	0.0134363	0.0288881	0.185086	0	0	0	0	17.7778	37.2222	0.666667	8.55556	5.11111	0	0	0	0	69.3333	0.070918	0.00986335	0.0363687	0.000576993	0.0226852	0	0	0	0	0.140412	12	3.22222	6.11111	1	5.11111	0	0	0	0	27.4444	0.09728	5.33524	0	0.0286803	0.739581	0	0	0	0	6.20078	1.11111	2.77778	0	0.111111	1.55556	0	0	0	0	5.55556
3	0	168.111	392.333	2.55556	97.6667	37.5556	0	0	0	0	698.222	4.46887	1.4169	0.479688	0.213794	0.610814	0	0	0	0	7.19007	0.621534	0.197064	0.0667153	0.0297347	0.0849524	0	0	0	0	726.889	374.778	77.4444	51.4444	198	0	0	0	0	1428.56	0.508828	0.262347	0.0542117	0.0360115	0.138602	0	0	0	0	22.325	138.017	0.895955	49.3171	23.0597	0	0	0	0	233.615	0.0955633	0.590789	0.00383518	0.211104	0.0987082	0	0	0	0	90.4444	164.111	3.66667	9.44444	59.8889	0	0	0	0	327.556	0.276119	0.501018	0.011194	0.0288331	0.182836	0	0	0	0	32.8889	59.5556	0.333333	14.6667	6.88889	0	0	0	0	114.333	0.0834396	0.012756	0.025423	0.00647628	0.0186468	0	0	0	0	0.146742	13.4444	2.77778	4	1.22222	5.11111	0	0	0	0	26.5556	0.294278	0.566075	0.236786	0.032751	0.177532	0	0	0	0	1.30742	1.22222	1.55556	0.777778	0.222222	2	0	0	0	0	5.77778
4	0	197.222	475.667	2.88889	117.333	45.5556	0	0	0	0	838.667	4.48612	1.43678	0.473611	0.212879	0.610263	0	0	0	0	7.21965	0.621376	0.199009	0.0656002	0.029486	0.084528	0	0	0	0	714	369.889	74.1111	49.6667	193.444	0	0	0	0	1401.11	0.509596	0.263997	0.0528945	0.0354481	0.138065	0	0	0	0	22.3584	137.353	0.837805	49.1135	22.9567	0	0	0	0	232.619	0.0961159	0.590461	0.00360162	0.211133	0.098688	0	0	0	0	90.4444	163.444	3.33333	9.11111	59.3333	0	0	0	0	325.667	0.277721	0.501876	0.0102354	0.0279768	0.18219	0	0	0	0	46.3333	76.6667	0.555556	20.6667	8	0	0	0	0	152.222	0.0740584	0.0139447	0.0227028	0.00853963	0.0119324	0	0	0	0	0.131178	11.5556	4.11111	3.33333	1.77778	4.11111	0	0	0	0	24.8889	0.177891	0.967335	0.0670269	0.239566	0.177668	0	0	0	0	1.62949	1.33333	1.44444	0.333333	0.333333	1	0	0	0	0	4.44444
5	0	226.667	542	3.55556	136.889	51.2222	0	0	0	0	960.333	4.54372	1.45956	0.459794	0.209834	0.592013	0	0	0	0	7.26492	0.625433	0.200905	0.0632896	0.0288832	0.0814893	0	0	0	0	702.778	365.778	70.4444	48.3333	186.667	0	0	0	0	1374	0.511483	0.266214	0.0512696	0.0351771	0.135856	0	0	0	0	22.2318	137.388	0.783625	49.1488	22.7597	0	0	0	0	232.312	0.0956978	0.591395	0.00337316	0.211564	0.0979704	0	0	0	0	89.2222	162.333	3.11111	9.11111	59.3333	0	0	0	0	323.111	0.276135	0.502407	0.00962861	0.0281981	0.183631	0	0	0	0	46.3333	95.3333	0.333333	21.3333	10.4444	0	0	0	0	173.778	0.0672852	0.0135435	0.0199817	0.0106484	0.0218721	0	0	0	0	0.133331	10.6667	3.44444	3.55556	1.33333	5.88889	0	0	0	0	24.8889	0.304806	0.263528	0.0726959	0	0.278883	0	0	0	0	0.919913	1.77778	1.77778	0.333333	0	0.888889	0	0	0	0	4.77778
6	0	242.667	590.222	3.55556	150.444	54.2222	0	0	0	0	1041.11	4.54719	1.46899	0.447145	0.208491	0.586619	0	0	0	0	7.25843	0.626469	0.202384	0.0616034	0.028724	0.0808189	0	0	0	0	688.222	360.222	66.1111	47.3333	181.556	0	0	0	0	1343.44	0.512282	0.268133	0.0492102	0.0352328	0.135142	0	0	0	0	22.1778	137.047	0.763324	49.1737	22.7439	0	0	0	0	231.906	0.095633	0.59096	0.00329153	0.212042	0.0980739	0	0	0	0	89	161.222	2.88889	9	58.6667	0	0	0	0	320.778	0.277451	0.502598	0.00900589	0.0280568	0.182889	0	0	0	0	58.2222	112.444	0.777778	26.5556	13.4444	0	0	0	0	211.444	0.0705727	0.0168115	0.0288243	0.00891518	0.0143523	0	0	0	0	0.139476	12.7778	4.33333	4.66667	1	4.55556	0	0	0	0	27.3333	0.282498	0.650654	0.0278913	0.0103295	0.0914679	0	0	0	0	1.06284	2	2.33333	0.222222	0.111111	1.22222	0	0	0	0	5.88889
7	0	244.778	632.222	2.77778	152.444	58.4444	0	0	0	0	1090.67	4.5905	1.46966	0.426388	0.214466	0.579681	0	0	0	0	7.28069	0.630503	0.201857	0.0585643	0.0294568	0.0796189	0	0	0	0	693.222	354.667	63.8889	58.8889	176.111	0	0	0	0	1346.78	0.514727	0.263345	0.0474383	0.0437258	0.130765	0	0	0	0	22.0642	136.613	0.723374	49.056	22.5193	0	0	0	0	230.976	0.0955263	0.591459	0.00313182	0.212386	0.0974965	0	0	0	0	89.1111	161.333	2.66667	8.66667	57.7778	0	0	0	0	319.556	0.27886	0.504868	0.00834492	0.027121	0.180807	0	0	0	0	53.5556	120.111	0.444444	25.4444	12.6667	0	0	0	0	212.222	0.0657225	0.0152251	0.0364184	0.00315621	0.0176173	0	0	0	0	0.13814	11.4444	3.77778	2.77778	1.33333	5	0	0	0	0	24.3333	0.308608	0.75262	0.0471764	0.152925	0.297894	0	0	0	0	1.55922	0.888889	1.66667	0.222222	0.333333	1.33333	0	0	0	0	4.44444
8	0	242.889	632.111	2.66667	149.444	61.3333	0	0	0	0	1088.44	4.64079	1.48197	0.425439	0.219903	0.576185	0	0	0	0	7.34429	0.63189	0.201786	0.0579279	0.0299421	0.0784535	0	0	0	0	696.111	388.444	60.8889	72.1111	171	0	0	0	0	1388.56	0.50132	0.279747	0.0438505	0.0519325	0.12315	0	0	0	0	22.0064	136.054	0.653208	49.0761	21.6585	0	0	0	0	229.448	0.0959101	0.592961	0.00284687	0.213888	0.094394	0	0	0	0	88.7778	160.111	2.33333	8.55556	56.8889	0	0	0	0	316.667	0.280351	0.505614	0.00736842	0.0270175	0.179649	0	0	0	0	58.8889	119.222	0.555556	28.6667	13.7778	0	0	0	0	221.111	0.0595756	0.0245413	0.0161746	0.00445498	0.0120051	0	0	0	0	0.116752	10.7778	5.22222	3.44444	1.22222	4.55556	0	0	0	0	25.2222	0.252942	0.859791	0.0769017	0.0144547	0.934931	0	0	0	0	2.13902	1.33333	2.11111	0.333333	0.111111	1.44444	0	0	0	0	5.33333
9	0	245.222	638.222	2	118.333	61.1111	0	0	0	0	1064.89	4.67178	1.49556	0.428722	0.229519	0.566775	0	0	0	0	7.39235	0.631974	0.202312	0.0579953	0.0310481	0.0766704	0	0	0	0	701	422.667	58.1111	83.8889	167.667	0	0	0	0	1433.33	0.48907	0.294884	0.0405426	0.0585271	0.116977	0	0	0	0	21.8122	134.099	0.643277	13.9535	21.4891	0	0	0	0	191.997	0.113607	0.698443	0.00335045	0.0726755	0.111924	0	0	0	0	87.4444	159.333	2.22222	8.22222	56.3333	0	0	0	0	313.556	0.27888	0.50815	0.00708717	0.0262225	0.17966	0	0	0	0	52.6667	111.222	0.777778	29.1111	13.6667	0	0	0	0	207.444	0.0854505	0.0117871	0.0117251	0.000817616	0.0179947	0	0	0	0	0.127775	12.8889	3.88889	3.11111	1.44444	4.66667	0	0	0	0	26	0.383957	2.26647	0.0159013	35.157	0.241811	0	0	0	0	38.0652	2.22222	2.33333	0.111111	0.333333	1.11111	0	0	0	0	6.11111
