Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081215-BBBPIPO.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.11916	2.92745	0.784726	0.235752	0.00403894	0.504957	0	0	0	5.57608	116.222	405.444	56.6667	14.4444	4.44444	41.8889	0	0	0	639.111	14.6859	27.4808	1.73527	32.525	0.296827	16.1218	0	0	0	92.8457	40.6667	289.556	6.33333	31.5556	2.55556	263.111	0	0	0	633.778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	14.5556	42.2222	0.111111	1.33333	0	8.66667	0	0	0	66.8889	1.12203	2.91924	0.789605	0.227003	0.00419949	0.486993	0	0	0	5.54907	115.222	397	55.2222	13.5556	4.33333	40.3333	0	0	0	625.667	14.7371	27.643	1.7377	31.0594	0.292076	16.0965	0	0	0	91.5658	40.8889	289.222	6.22222	30.2222	2.33333	261.222	0	0	0	630.111	0	0	0	0	0	0	0	0	0	0	0.00215121	0.0387993	0.0133858	0.00574985	4.17011e-005	0.00319815	0	0	0	0.063326	0.555556	5.88889	1.44444	0.666667	0.111111	0.222222	0	0	0	8.88889	0.0298919	0.139636	0.0113897	1.58223	0.00633444	0.196633	0	0	0	1.96612	0.222222	2.88889	0.111111	1.55556	0.222222	3.22222	0	0	0	8.22222
2	0	22.3333	80	0.444444	3.11111	0	12.2222	0	0	0	118.111	1.13215	2.90354	0.787642	0.226185	0.00387884	0.479612	0	0	0	5.53301	114.556	389.556	54.3333	13	4.22222	39.4444	0	0	0	615.111	14.7067	27.6996	1.75143	30.5472	0.288528	16.0489	0	0	0	91.0424	40.5556	289	6.22222	29.3333	2.33333	258.667	0	0	0	626.111	3.33333	7.88889	0	0.222222	0	3.77778	0	0	0	15.2222	0.00431278	0.03912	0.0201611	0.00644889	0	0	0	0	0	0.0700428	0.444444	4.55556	0.888889	0.555556	0	0	0	0	0	6.44444	0.102245	0.252479	0	0.614702	0.00557745	0.210727	0	0	0	1.18573	0.555556	3.11111	0	0.888889	0.111111	3.44444	0	0	0	8.11111
3	0	30.7778	111	0.888889	4.44444	0.111111	15.6667	0	0	0	162.889	1.12954	2.90094	0.780252	0.215602	0.00407754	0.465006	0	0	0	5.49542	112.889	383.333	53	12.4444	4.22222	38.1111	0	0	0	604	14.7515	27.6083	1.77549	29.1796	0.260692	16.0678	0	0	0	89.6433	40.5556	288.778	6.33333	28.7778	2.22222	257.444	0	0	0	624.111	4.33333	12.8889	0	0.444444	0	5.66667	0	0	0	23.3333	0.0124524	0.0211265	0.015259	0.0116951	0	0.00134592	0	0	0	0.0618789	1.33333	3.11111	1.22222	0.444444	0	0.111111	0	0	0	6.22222	0.0315078	0.404697	0	1.47188	0.0293038	0.14903	0	0	0	2.08642	0.333333	3.33333	0	0.666667	0.111111	2.44444	0	0	0	6.88889
4	0	38.3333	135.333	1.22222	5.33333	0.111111	19.6667	0	0	0	200	1.12213	2.90499	0.797627	0.21472	0.00425549	0.445009	0	0	0	5.48874	111.222	378	52.6667	12.1111	4	36.3333	0	0	0	594.333	14.7986	27.7389	1.76202	28.8907	0.262029	15.9571	0	0	0	89.4095	40.7778	288.333	6.22222	27.8889	2.22222	254.111	0	0	0	619.556	5.66667	18.8889	0	0.777778	0	7.22222	0	0	0	32.5556	0.0124377	0.0266946	0.000533922	0.00174978	2.76402e-005	0.00642371	0	0	0	0.0478673	1.22222	2.88889	0.333333	0.222222	0.222222	0.555556	0	0	0	5.44444	0.0339242	0.169736	0.0274793	0.389568	0	0.278341	0	0	0	0.899049	0.222222	2.88889	0.111111	1	0	4.55556	0	0	0	8.77778
5	0	43.4444	149.444	1.33333	5.77778	0.222222	19.7778	0	0	0	220	1.12759	2.8834	0.784637	0.216013	0.00394693	0.428424	0	0	0	5.44401	109.778	370.111	51.4444	11.8889	3.88889	34.7778	0	0	0	581.889	14.843	27.769	1.7861	28.4101	0.263889	16.0255	0	0	0	89.0976	40.7778	288.222	6.33333	26.7778	2.33333	253.333	0	0	0	617.778	9.55556	25.7778	0.111111	1.11111	0	8.44444	0	0	0	45	0.00880959	0.0309151	0.0209031	0.00390821	0	0.00844799	0	0	0	0.072984	1.22222	4.33333	1.11111	0.222222	0	0.666667	0	0	0	7.55556	0.0274907	0.291968	0	0.574767	0	0.0921377	0	0	0	0.986364	0.222222	3.66667	0	1.11111	0	1.66667	0	0	0	6.66667
6	0	44	168.222	1.55556	6.77778	0.111111	20	0	0	0	240.667	1.13092	2.88157	0.782575	0.197275	0.00414758	0.408935	0	0	0	5.40543	108.556	364.444	50.4444	11.4444	3.88889	33.1111	0	0	0	571.889	14.8335	27.9477	1.80013	27.7799	0.25576	15.9592	0	0	0	88.5763	40.4444	288.889	6.33333	26	2.22222	252.111	0	0	0	616	11.7778	24.2222	0.222222	0.222222	0.111111	7.66667	0	0	0	44.2222	0.0109786	0.0249048	0.0199777	0.01068	0	0.00342624	0	0	0	0.0699674	1	2.88889	1.11111	0.888889	0	0.333333	0	0	0	6.22222	0.0814634	0.128594	0	0.734785	0.00949699	0.234617	0	0	0	1.18896	0.555556	2.11111	0	1.11111	0.111111	2.55556	0	0	0	6.44444
7	0	47.1111	182.333	1.44444	6.88889	0	20.2222	0	0	0	258	1.14969	2.85606	0.785544	0.18316	0.00435459	0.381481	0	0	0	5.36029	107.778	357.222	49.6667	12	3.88889	31.1111	0	0	0	561.667	14.5727	27.955	1.81424	23.4727	0.257057	15.9727	0	0	0	84.0444	39.8889	289.556	6.33333	25.5556	2.22222	251.778	0	0	0	615.333	9.11111	28.1111	0.333333	1.11111	0.111111	8.55556	0	0	0	47.3333	0.00491556	0.0249681	0.0148051	0.0101093	0	0.00335818	0	0	0	0.0581563	0.777778	3.22222	1	0.333333	0	0.222222	0	0	0	5.55556	0.323098	0.324466	0	4.40441	0	0.161988	0	0	0	5.21396	0.555556	3.33333	0	0.666667	0	2.11111	0	0	0	6.66667
8	0	45.5556	183.778	1.44444	6.88889	0	20.6667	0	0	0	258.333	1.15014	2.8365	0.795651	0.171542	0.00456795	0.379045	0	0	0	5.33745	109.667	362.222	49	12	3.88889	30.5556	0	0	0	567.333	13.9238	27.5644	1.7317	22.7668	0.253663	15.952	0	0	0	82.1924	39.5556	289.111	6.11111	24.5556	2.11111	250.222	0	0	0	611.667	11.4444	27.2222	0	1	0	8.33333	0	0	0	48	0.00963023	0.0362208	0.00759856	0.00729354	0	0.000966148	0	0	0	0.0617092	1.11111	4.44444	0.888889	0.555556	0	0.111111	0	0	0	7.11111	0.724385	0.705603	0.0967052	0.798013	0.00469743	0.173181	0	0	0	2.50258	0.666667	3.55556	0.222222	1.22222	0.111111	2	0	0	0	7.77778
9	0	43.5556	178.778	0.777778	6.88889	0.111111	20.1111	0	0	0	250.222	1.1563	2.82427	0.784637	0.154884	0.0044458	0.365366	0	0	0	5.2899	111.111	372.111	47.7778	11.8889	3.77778	29.3333	0	0	0	576	13.9817	27.6821	1.75565	21.9416	0.254917	15.9622	0	0	0	81.5782	39.6667	289.889	6.22222	23.8889	2.11111	248.556	0	0	0	610.333	10.6667	29.5556	0.444444	1	0	9.55556	0	0	0	51.2222	0.00858434	0.0221463	0.0184332	0.00769307	0.000341867	0.00441471	0	0	0	0.0616134	1.11111	2.66667	1.44444	0.555556	0.111111	0.333333	0	0	0	6.22222	0.0119281	0.202728	0	0.918501	0	0.149446	0	0	0	1.2826	0.111111	2.66667	0	1	0	2.55556	0	0	0	6.33333
