Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081215-FRPIJE.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0.086318	0.000470135	0.0399578	0	0	0.0713915	0.811008	0.0116899	0	1.02083	6.77778	3	2.11111	0	0	13.1111	89.2222	1	0	115.222	6.1017	0	39.0156	0	0	0.109206	81.6064	0	0	126.833	6.22222	0	1.88889	0	0	2.88889	51.4444	0	0	62.4444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	2.55556	0	0.111111	0	0	0	2.44444	0	0	5.11111	0.0831644	0.00055184	0.0407448	0	0	0.0714902	0.817086	0.0120578	0	1.0251	6.66667	3	2.11111	0	0	13	88.3333	1	0	114.111	6.12149	0	38.9743	0	0	0.110538	81.591	0	0	126.797	6.33333	0	1.77778	0	0	2.88889	50.8889	0	0	61.8889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00150995	0.00609567	0	0	0.00760563	0	0	0	0	0	0.111111	0.555556	0	0	0.666667	0	0	0.0643203	0	0	0	0.179108	0	0	0.243428	0	0	0.111111	0	0	0	0.888889	0	0	1
2	0	4.88889	0	0.222222	0	0	0	4.55556	0	0	9.66667	0.0739535	0.00064252	0.0415439	0	0	0.0711826	0.819422	0.0124314	0	1.01918	6.33333	3	2.11111	0	0	12.8889	87.1111	1	0	112.444	6.14609	0	38.9969	0	0	0.111092	81.3581	0	0	126.612	6.55556	0	1.77778	0	0	2.88889	51	0	0	62.2222	0.666667	0	0	0	0	0	0.222222	0	0	0.888889	0.00131596	0	0	0	0	0	0.0100282	0	0	0.0113442	0.111111	0	0	0	0	0	0.888889	0	0	1	0	0	0	0	0	0.00269948	0.395928	0	0	0.398628	0	0	0	0	0	0.111111	0.222222	0	0	0.333333
3	0	6.22222	0	0.555556	0	0	0	6.77778	0	0	13.5556	0.0753503	0.000742174	0.0308367	0	0	0.072784	0.821615	0.0128107	0	1.01414	6.33333	3	1.77778	0	0	12.8889	86.1111	1	0	111.111	6.12352	0	38.9626	0	0	0.106411	81.1722	0	0	126.365	6.33333	0	1.77778	0	0	2.77778	50.5556	0	0	61.4444	1.11111	0	0	0	0	0	0.444444	0	0	1.55556	0	0	0.00123619	0	0	0	0.00601	0	0	0.00724619	0	0	0.222222	0	0	0	0.555556	0	0	0.777778	0.0379401	0	0.0672432	0	0	0.00602283	0.352479	0	0	0.463686	0.222222	0	0.111111	0	0	0.111111	0.888889	0	0	1.33333
4	0	6.66667	0	0.777778	0	0	0.222222	8.33333	0	0	16	0.0720651	0.000850802	0.0279166	0	0	0.0724943	0.82187	0.0131957	0	1.00839	6.22222	3	1.66667	0	0	12.7778	84.5556	1	0	109.222	5.83142	0	38.9851	0	0	0.10961	81.2234	0	0	126.149	6.22222	0	1.77778	0	0	2.88889	50.4444	0	0	61.3333	1.66667	0	0	0	0	0	0.777778	0	0	2.44444	0	0	0.003576	0	0	0	0.0121102	0	0	0.0156862	0	0	0.111111	0	0	0	1.22222	0	0	1.33333	0.311929	0	0	0	0	0	0.110016	0	0	0.421945	0.222222	0	0	0	0	0	0.444444	0	0	0.666667
5	0	7.22222	0	1	0	0	0.333333	9.44444	0	0	18	0.0734435	0.000939752	0.0285151	0	0	0.0700923	0.821703	0.0135865	0	1.00828	6.22222	2.88889	1.66667	0	0	12.4444	83.4444	1	0	107.667	5.77285	0	38.7289	0	0	0.112855	81.1016	0	0	125.716	6	0	1.66667	0	0	3	50.1111	0	0	60.7778	1.11111	0	0	0	0	0.111111	1.22222	0	0	2.44444	0	2.86526e-005	0	0	0	0.00210472	0.0041141	0	0	0.00624747	0	0.111111	0	0	0	0.222222	0.555556	0	0	0.888889	0.07301	0	0.278596	0	0	0	0.291078	0	0	0.642684	0.222222	0	0.111111	0	0	0	0.888889	0	0	1.22222
6	0	8.11111	0	0.777778	0	0	0	9.66667	0	0	18.5556	0.0748402	0.0010618	0.0291337	0	0	0.0716644	0.815937	0.0124292	0	1.00507	6.22222	2.88889	1.77778	0	0	12.4444	82.4444	0.888889	0	106.667	5.76903	0	38.7506	0	0	0.114229	80.8306	0	0	125.464	5.88889	0	1.66667	0	0	3	49.6667	0	0	60.2222	1.11111	0	0.111111	0	0	0.333333	1.22222	0	0	2.77778	0	0	0	0	0	0	0.0138979	0.00155365	0	0.0154515	0	0	0	0	0	0	1.66667	0.111111	0	1.77778	0.0179166	0	0	0	0	0	0.435481	0	0	0.453397	0.111111	0	0	0	0	0	0.888889	0	0	1
7	0	8.11111	0	0.666667	0	0	0	9.66667	0	0	18.4444	0.0762551	0.00112294	0.0297657	0	0	0.0718761	0.8186	0.0127867	0	1.01041	6.22222	2.77778	1.88889	0	0	12.3333	83.3333	0.888889	0	107.444	5.76145	0	38.7723	0	0	0.115612	80.2426	0	0	124.892	5.77778	0	1.66667	0	0	3	49.5556	0	0	60	1.77778	0	0.111111	0	0	0	1	0	0	2.88889	0	6.95455e-005	0	0	0	0.00138083	0.00537144	0	0	0.00682182	0	0.111111	0	0	0	0.111111	0.555556	0	0	0.777778	0.0215686	0	0	0	0	0	0.751056	0	0	0.772625	0.111111	0	0	0	0	0	0.555556	0	0	0.666667
8	0	8.11111	0	0.222222	0	0	0.222222	9.77778	0	0	18.3333	0.0729997	0.0011967	0.0272625	0	0	0.0729492	0.820609	0.0131492	0	1.00817	6.55556	2.55556	2.11111	0	0	12.2222	84	0.888889	0	108.333	5.78003	0	38.794	0	0	0.117004	80.2491	0	0	124.94	5.88889	0	1.66667	0	0	3	49.4444	0	0	60	1.66667	0	0.111111	0	0	0	0.666667	0	0	2.44444	0	5.86022e-005	0.00317058	0	0	0.000517268	0.00602951	0	0	0.00977596	0	0.222222	0.111111	0	0	0.111111	0.555556	0	0	1	0	0	0	0	0	0	0.155463	0	0	0.155463	0	0	0	0	0	0	0.555556	0	0	0.555556
9	0	8.22222	0	0.222222	0	0	0.111111	9.55556	0	0	18.1111	0.0744493	0.00132827	0.0278379	0	0	0.0726173	0.797403	0.0135168	0	0.987152	7	2.55556	2	0	0	12.1111	83.3333	0.888889	0	107.889	5.79399	0	38.6048	0	0	0.120333	80.2801	0	0	124.799	5.88889	0	1.55556	0	0	3.11111	49.4444	0	0	60	1.33333	0	0.111111	0	0	0.111111	1	0	0	2.55556	0	0	1.92041e-005	0	0	0	0.0189532	0	0	0.0189724	0	0	0.111111	0	0	0	1.11111	0	0	1.22222	0	0	0.210912	0	0	0	0.143171	0	0	0.354083	0	0	0.111111	0	0	0	0.777778	0	0	0.888889
