Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081215-POFLABMA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.174111	0	2.88237	3.05648	0	0	0	0	0	0	23.7778	0	371.667	395.444	0	0	0	0	0	0	11.2726	0	763.211	774.483	0	0	0	0	0	0	10.4444	0	188	198.444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0.666667	0	10.1111	10.7778	0	0	0	0	0	0	0.171144	0	2.90383	3.07497	0	0	0	0	0	0	23.2222	0	369.778	393	0	0	0	0	0	0	11.2952	0	762.812	774.107	0	0	0	0	0	0	10.5556	0	188	198.556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000158016	0	0.0126466	0.0128046	0	0	0	0	0	0	0.333333	0	1.22222	1.55556	0	0	0	0	0	0	0.0175899	0	1.03231	1.0499	0	0	0	0	0	0	0.111111	0	0.666667	0.777778
2	0	0	0	0	0	0	0	1.33333	0	16.8889	18.2222	0	0	0	0	0	0	0.167734	0	2.91839	3.08612	0	0	0	0	0	0	22.7778	0	367.333	390.111	0	0	0	0	0	0	11.3355	0	763.001	774.336	0	0	0	0	0	0	10.7778	0	188.222	199	0	0	0	0	0	0	0	0	2.55556	2.55556	0	0	0	0	0	0	0.000503698	0	0.0153799	0.0158836	0	0	0	0	0	0	0.222222	0	1.66667	1.88889	0	0	0	0	0	0	0	0	0.448537	0.448537	0	0	0	0	0	0	0	0	0.555556	0.555556
3	0	0	0	0	0	0	0	2	0	24.4444	26.4444	0	0	0	0	0	0	0.172931	0	2.92658	3.09951	0	0	0	0	0	0	22.6667	0	364.889	387.556	0	0	0	0	0	0	11.3567	0	762.968	774.324	0	0	0	0	0	0	10.6667	0	188.111	198.778	0	0	0	0	0	0	0	0	3.22222	3.22222	0	0	0	0	0	0	0.000181657	0	0.0174074	0.0175891	0	0	0	0	0	0	0.111111	0	1.55556	1.66667	0	0	0	0	0	0	0.0111532	0	0.67545	0.686603	0	0	0	0	0	0	0.111111	0	1	1.11111
4	0	0	0	0	0	0	0	2.33333	0	30.3333	32.6667	0	0	0	0	0	0	0.17423	0	2.9591	3.13333	0	0	0	0	0	0	22.4444	0	363.667	386.111	0	0	0	0	0	0	11.2429	0	762.456	773.699	0	0	0	0	0	0	10.6667	0	188.333	199	0	0	0	0	0	0	0	0	4.33333	4.33333	0	0	0	0	0	0	8.64253e-005	0	0.00744205	0.00752847	0	0	0	0	0	0	0.111111	0	0.666667	0.777778	0	0	0	0	0	0	0.150229	0	1.1395	1.28973	0	0	0	0	0	0	0.111111	0	0.333333	0.444444
5	0	0	0	0	0	0	0	2.22222	0	31	33.2222	0	0	0	0	0	0	0.174848	0	2.9748	3.14965	0	0	0	0	0	0	22.2222	0	361.667	383.889	0	0	0	0	0	0	11.2789	0	760.117	771.396	0	0	0	0	0	0	10.7778	0	188.222	199	0	0	0	0	0	0	0.444444	0	8.22222	8.66667	0	0	0	0	0	0	0.000782861	0	0.0154921	0.016275	0	0	0	0	0	0	0.111111	0	1.22222	1.33333	0	0	0	0	0	0	0	0	2.97665	2.97665	0	0	0	0	0	0	0	0	0.888889	0.888889
6	0	0	0	0	0	0	0	2.55556	0	34.8889	37.4444	0	0	0	0	0	0	0.176213	0	2.98423	3.16044	0	0	0	0	0	0	22.4444	0	359.333	381.778	0	0	0	0	0	0	11.2347	0	760.622	771.857	0	0	0	0	0	0	10.7778	0	188.778	199.556	0	0	0	0	0	0	0	0	6.77778	6.77778	0	0	0	0	0	0	0.000144923	0	0.00818201	0.00832693	0	0	0	0	0	0	0.222222	0	1.22222	1.44444	0	0	0	0	0	0	0.0804767	0	0.143868	0.224345	0	0	0	0	0	0	0.111111	0	0.555556	0.666667
7	0	0	0	0	0	0	0	2.33333	0	38.1111	40.4444	0	0	0	0	0	0	0.180803	0	3.02241	3.20321	0	0	0	0	0	0	22.8889	0	357.444	380.333	0	0	0	0	0	0	11.2581	0	750.405	761.663	0	0	0	0	0	0	10.6667	0	188.889	199.556	0	0	0	0	0	0	0.444444	0	7.22222	7.66667	0	0	0	0	0	0	0.00107996	0	0.007907	0.00898696	0	0	0	0	0	0	0.111111	0	1.44444	1.55556	0	0	0	0	0	0	0.00848017	0	10.8397	10.8482	0	0	0	0	0	0	0.111111	0	0.333333	0.444444
8	0	0	0	0	0	0	0	2.22222	0	37.7778	40	0	0	0	0	0	0	0.180231	0	3.01719	3.19742	0	0	0	0	0	0	23	0	357.667	380.667	0	0	0	0	0	0	11.1598	0	751.025	762.185	0	0	0	0	0	0	10.6667	0	190	200.667	0	0	0	0	0	0	0.222222	0	7.88889	8.11111	0	0	0	0	0	0	0.00217304	0	0.00974321	0.0119163	0	0	0	0	0	0	0.222222	0	1.33333	1.55556	0	0	0	0	0	0	0.134257	0	0.0413938	0.17565	0	0	0	0	0	0	0.111111	0	0.333333	0.444444
9	0	0	0	0	0	0	0	2.22222	0	37.7778	40	0	0	0	0	0	0	0.173065	0	3.05056	3.22362	0	0	0	0	0	0	22.5556	0	358.222	380.778	0	0	0	0	0	0	11.1947	0	732.495	743.69	0	0	0	0	0	0	10.7778	0	190.222	201	0	0	0	0	0	0	0.111111	0	7.55556	7.66667	0	0	0	0	0	0	0.00463973	0	0.004245	0.00888473	0	0	0	0	0	0	0.333333	0	0.777778	1.11111	0	0	0	0	0	0	0.00495538	0	19.1605	19.1655	0	0	0	0	0	0	0.111111	0	0.444444	0.555556
