Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081215-SFTRABMA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0322996	7.82193	7.85423	0	0	0	0	0	0	0	5.44444	1435	1440.44	0	0	0	0	0	0	0	0.102501	84.0423	84.1448	0	0	0	0	0	0	0	1.55556	195.889	197.444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	9.55556	9.55556	0	0	0	0	0	0	0	0.0336021	7.9361	7.9697	0	0	0	0	0	0	0	5.44444	1428.33	1433.78	0	0	0	0	0	0	0	0.104192	84.1312	84.2354	0	0	0	0	0	0	0	1.55556	196.444	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0262052	0.0262052	0	0	0	0	0	0	0	0	5.33333	5.33333	0	0	0	0	0	0	0	0	0.262061	0.262061	0	0	0	0	0	0	0	0	0.777778	0.777778
2	0	0	0	0	0	0	0	0	0.111111	18.6667	18.7778	0	0	0	0	0	0	0	0.0344151	8.02191	8.05632	0	0	0	0	0	0	0	5.33333	1421.22	1426.56	0	0	0	0	0	0	0	0.101851	84.3143	84.4162	0	0	0	0	0	0	0	1.44444	197.444	198.889	0	0	0	0	0	0	0	0	1.77778	1.77778	0	0	0	0	0	0	0	0.000520498	0.0338617	0.0343821	0	0	0	0	0	0	0	0.111111	5.22222	5.33333	0	0	0	0	0	0	0	0.00404779	0.192267	0.196315	0	0	0	0	0	0	0	0.111111	0.888889	1
3	0	0	0	0	0	0	0	0	0.222222	25	25.2222	0	0	0	0	0	0	0	0.034067	8.1419	8.17596	0	0	0	0	0	0	0	5.11111	1414.78	1419.89	0	0	0	0	0	0	0	0.103478	84.4279	84.5313	0	0	0	0	0	0	0	1.44444	197.889	199.333	0	0	0	0	0	0	0	0	4.55556	4.55556	0	0	0	0	0	0	0	0.00168665	0.020989	0.0226757	0	0	0	0	0	0	0	0.222222	5	5.22222	0	0	0	0	0	0	0	0	0.244021	0.244021	0	0	0	0	0	0	0	0	1	1
4	0	0	0	0	0	0	0	0	0.222222	28.5556	28.7778	0	0	0	0	0	0	0	0.0350493	8.25551	8.29056	0	0	0	0	0	0	0	4.88889	1407.22	1412.11	0	0	0	0	0	0	0	0.105119	84.7555	84.8606	0	0	0	0	0	0	0	1.44444	199	200.444	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0.000326113	0.0347676	0.0350937	0	0	0	0	0	0	0	0.222222	6.22222	6.44444	0	0	0	0	0	0	0	0	0.0260761	0.0260761	0	0	0	0	0	0	0	0	0.222222	0.222222
5	0	0	0	0	0	0	0	0	0.111111	32	32.1111	0	0	0	0	0	0	0	0.0318044	8.36841	8.40022	0	0	0	0	0	0	0	4.55556	1401.33	1405.89	0	0	0	0	0	0	0	0.109194	84.7558	84.865	0	0	0	0	0	0	0	1.55556	200.111	201.667	0	0	0	0	0	0	0	0.111111	6.33333	6.44444	0	0	0	0	0	0	0	0.00213468	0.0238377	0.0259724	0	0	0	0	0	0	0	0.222222	4.22222	4.44444	0	0	0	0	0	0	0	0	0.36898	0.36898	0	0	0	0	0	0	0	0	0.555556	0.555556
6	0	0	0	0	0	0	0	0	0.333333	33	33.3333	0	0	0	0	0	0	0	0.0330139	8.487	8.52002	0	0	0	0	0	0	0	4.55556	1395.22	1399.78	0	0	0	0	0	0	0	0.108056	84.9081	85.0162	0	0	0	0	0	0	0	1.44444	200.889	202.333	0	0	0	0	0	0	0	0	8.33333	8.33333	0	0	0	0	0	0	0	0	0.0303195	0.0303195	0	0	0	0	0	0	0	0	4.66667	4.66667	0	0	0	0	0	0	0	0.002883	0.208464	0.211347	0	0	0	0	0	0	0	0.111111	0.666667	0.777778
7	0	0	0	0	0	0	0	0	0.444444	36.3333	36.7778	0	0	0	0	0	0	0	0.0342601	8.62767	8.66193	0	0	0	0	0	0	0	4.66667	1389.78	1394.44	0	0	0	0	0	0	0	0.109736	84.5255	84.6352	0	0	0	0	0	0	0	1.44444	201.222	202.667	0	0	0	0	0	0	0	0	6.33333	6.33333	0	0	0	0	0	0	0	0	0.029873	0.029873	0	0	0	0	0	0	0	0	4.44444	4.44444	0	0	0	0	0	0	0	0	0.725511	0.725511	0	0	0	0	0	0	0	0	0.666667	0.666667
8	0	0	0	0	0	0	0	0	0.222222	34.5556	34.7778	0	0	0	0	0	0	0	0.0355255	8.75751	8.79303	0	0	0	0	0	0	0	4.66667	1385.78	1390.44	0	0	0	0	0	0	0	0.107561	84.7285	84.8361	0	0	0	0	0	0	0	1.33333	201.667	203	0	0	0	0	0	0	0	0.222222	8.66667	8.88889	0	0	0	0	0	0	0	0	0.0295712	0.0295712	0	0	0	0	0	0	0	0	4.66667	4.66667	0	0	0	0	0	0	0	0.00386864	0.153957	0.157826	0	0	0	0	0	0	0	0.111111	0.888889	1
9	0	0	0	0	0	0	0	0	0.333333	34.6667	35	0	0	0	0	0	0	0	0.0368176	8.90492	8.94173	0	0	0	0	0	0	0	4.66667	1382.78	1387.44	0	0	0	0	0	0	0	0.109176	84.9959	85.105	0	0	0	0	0	0	0	1.33333	202.333	203.667	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0.0241417	0.0241417	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0.08117	0.08117	0	0	0	0	0	0	0	0	0.444444	0.444444
