Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081215-EMRIDGE.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0043297	0.298768	0	0.303098	0	0	0	0	0	0	1.66667	46.2222	0	47.8889	0	0	0	0	0	0	0.0164576	10.0051	0	10.0215	0	0	0	0	0	0	0.222222	37.3333	0	37.5556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	1.88889	0	1.88889	0	0	0	0	0	0	0.00458243	0.298312	0	0.302894	0	0	0	0	0	0	1.66667	45.3333	0	47	0	0	0	0	0	0	0.0167232	10.0601	0	10.0768	0	0	0	0	0	0	0.222222	37.2222	0	37.4444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00684976	0	0.00684976	0	0	0	0	0	0	0	0.666667	0	0.666667	0	0	0	0	0	0	0	0.0169524	0	0.0169524	0	0	0	0	0	0	0	0.333333	0	0.333333
2	0	0	0	0	0	0	0	0	3.22222	0	3.22222	0	0	0	0	0	0	0.00482664	0.301551	0	0.306378	0	0	0	0	0	0	1.55556	44.8889	0	46.4444	0	0	0	0	0	0	0.016991	10.0193	0	10.0363	0	0	0	0	0	0	0.222222	37.1111	0	37.3333	0	0	0	0	0	0	0	0.111111	0	0.111111	0	0	0	0	0	0	1.80203e-005	0.00308306	0	0.00310108	0	0	0	0	0	0	0.111111	0.222222	0	0.333333	0	0	0	0	0	0	0	0.112841	0	0.112841	0	0	0	0	0	0	0	0.333333	0	0.333333
3	0	0	0	0	0	0	0	0	4.66667	0	4.66667	0	0	0	0	0	0	0.00492414	0.300685	0	0.305609	0	0	0	0	0	0	1.44444	44	0	45.4444	0	0	0	0	0	0	0.0172612	9.44132	0	9.45858	0	0	0	0	0	0	0.222222	37.2222	0	37.4444	0	0	0	0	0	0	0	0.111111	0	0.111111	0	0	0	0	0	0	0.00016914	0.00486969	0	0.00503883	0	0	0	0	0	0	0.111111	0.555556	0	0.666667	0	0	0	0	0	0	0	0.652378	0	0.652378	0	0	0	0	0	0	0	0.222222	0	0.222222
4	0	0	0	0	0	0	0	0	5.77778	0	5.77778	0	0	0	0	0	0	0.00518469	0.304949	0	0.310134	0	0	0	0	0	0	1.44444	43.3333	0	44.7778	0	0	0	0	0	0	0.0175335	9.47399	0	9.49152	0	0	0	0	0	0	0.222222	37.3333	0	37.5556	0	0	0	0	0	0	0	0.777778	0	0.777778	0	0	0	0	0	0	0	0.00208676	0	0.00208676	0	0	0	0	0	0	0	0.444444	0	0.444444	0	0	0	0	0	0	0	0.0385496	0	0.0385496	0	0	0	0	0	0	0	0.111111	0	0.111111
5	0	0	0	0	0	0	0	0	7.33333	0	7.33333	0	0	0	0	0	0	0.00545348	0.303786	0	0.309239	0	0	0	0	0	0	1.44444	42.5556	0	44	0	0	0	0	0	0	0.0178081	9.50368	0	9.52148	0	0	0	0	0	0	0.222222	37	0	37.2222	0	0	0	0	0	0	0	0.666667	0	0.666667	0	0	0	0	0	0	0	0.00516382	0	0.00516382	0	0	0	0	0	0	0	0.444444	0	0.444444	0	0	0	0	0	0	0	0.0441655	0	0.0441655	0	0	0	0	0	0	0	0.666667	0	0.666667
6	0	0	0	0	0	0	0	0	7.44444	0	7.44444	0	0	0	0	0	0	0.0057305	0.310234	0	0.315964	0	0	0	0	0	0	1.44444	43.1111	0	44.5556	0	0	0	0	0	0	0.018085	9.5552	0	9.57329	0	0	0	0	0	0	0.222222	36.8889	0	37.1111	0	0	0	0	0	0	0	0.888889	0	0.888889	0	0	0	0	0	0	0	0.00241121	0	0.00241121	0	0	0	0	0	0	0	0.444444	0	0.444444	0	0	0	0	0	0	0	0.0173425	0	0.0173425	0	0	0	0	0	0	0	0.222222	0	0.222222
7	0	0	0	0	0	0	0	0	8.44444	0	8.44444	0	0	0	0	0	0	0.00601575	0.312466	0	0.318482	0	0	0	0	0	0	1.44444	42.8889	0	44.3333	0	0	0	0	0	0	0.0183641	9.56847	0	9.58684	0	0	0	0	0	0	0.222222	36.6667	0	36.8889	0	0	0	0	0	0	0	0.888889	0	0.888889	0	0	0	0	0	0	0	0.00184194	0	0.00184194	0	0	0	0	0	0	0	0.666667	0	0.666667	0	0	0	0	0	0	0	0.0606322	0	0.0606322	0	0	0	0	0	0	0	0.555556	0	0.555556
8	0	0	0	0	0	0	0	0	8.11111	0	8.11111	0	0	0	0	0	0	0.00630924	0.314433	0	0.320742	0	0	0	0	0	0	1.44444	43	0	44.4444	0	0	0	0	0	0	0.0186455	9.62263	0	9.64127	0	0	0	0	0	0	0.222222	36.5556	0	36.7778	0	0	0	0	0	0	0	0.777778	0	0.777778	0	0	0	0	0	0	0	0.00455334	0	0.00455334	0	0	0	0	0	0	0	0.666667	0	0.666667	0	0	0	0	0	0	0	0.0171656	0	0.0171656	0	0	0	0	0	0	0	0.333333	0	0.333333
9	0	0	0	0	0	0	0	0	7.33333	0	7.33333	0	0	0	0	0	0	0.00661096	0.312988	0	0.319599	0	0	0	0	0	0	1.44444	43.2222	0	44.6667	0	0	0	0	0	0	0.0189291	9.63833	0	9.65726	0	0	0	0	0	0	0.222222	36.4444	0	36.6667	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0.00559083	0	0.00559083	0	0	0	0	0	0	0	0.666667	0	0.666667	0	0	0	0	0	0	0	0.0581684	0	0.0581684	0	0	0	0	0	0	0	0.444444	0	0.444444
