Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081315-BBBPIPO.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.22862	3.0397	0.969442	0.226125	0.000457173	0.321654	0	0	0	5.786	110.889	386.222	59.4444	13.4444	2.88889	27.6667	0	0	0	600.556	8.04485	22.2969	0.490197	16.5553	0.102839	15.0666	0	0	0	62.5568	46.1111	308.778	3.55556	32.5556	4.11111	277.333	0	0	0	672.444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	12.7778	42.7778	0.111111	1.77778	0	11.3333	0	0	0	68.7778	1.24466	3.01369	0.959958	0.223798	0.000519558	0.30184	0	0	0	5.74447	110.333	378.111	57.7778	12.7778	2.88889	26.1111	0	0	0	588	8.07462	22.2489	0.452015	16.1113	0.100551	15.0688	0	0	0	62.0562	46	308.444	3.22222	31.4444	3.77778	276.111	0	0	0	669	0	0	0	0	0	0	0	0	0	0	0.00349966	0.040931	0.0311066	0.00765758	0	0.00197949	0	0	0	0.0851743	0.444444	4.77778	1.66667	0.666667	0	0.222222	0	0	0	7.77778	0.0316364	0.351861	0.0441031	0.534514	0.00379473	0.17125	0	0	0	1.13716	0.222222	3.66667	0.333333	1.11111	0.333333	2.55556	0	0	0	8.22222
2	0	24.4444	83.3333	0.777778	3.66667	0	17.6667	0	0	0	129.889	1.25376	2.97411	0.961345	0.205117	0.000586664	0.292097	0	0	0	5.68702	109.111	369.889	56.6667	11.7778	2.88889	25.2222	0	0	0	575.556	8.04749	22.4293	0.447197	15.811	0.101985	15.0553	0	0	0	61.8922	45.6667	310.444	3.22222	30.4444	3.77778	274	0	0	0	667.556	2.22222	7	0	0.333333	0	3.44444	0	0	0	13	0.00595379	0.0261585	0.00962849	0.0150191	0	0.00307201	0	0	0	0.0598319	1	3.44444	1	0.777778	0	0.222222	0	0	0	6.44444	0.0932681	0.150805	0.0204976	0.396844	0	0.175247	0	0	0	0.836662	0.555556	2.77778	0.111111	1.22222	0	2.77778	0	0	0	7.44444
3	0	35.2222	111.889	0.666667	5	0.111111	17.8889	0	0	0	170.778	1.24945	2.96452	0.954253	0.200988	0.000658491	0.286432	0	0	0	5.65631	107.778	362.889	54.7778	11.4444	2.88889	24.5556	0	0	0	564.333	8.07709	22.5516	0.452579	15.344	0.103429	15.0355	0	0	0	61.5642	45.8889	310.333	3.22222	29.7778	3.77778	271	0	0	0	664	5	13.3333	0.222222	0.666667	0	8	0	0	0	27.2222	0.00991839	0.0223568	0.0283017	4.89547e-005	0	0.00460466	0	0	0	0.0652304	0.888889	3.66667	1.88889	0.111111	0	0.333333	0	0	0	6.88889	0.0457293	0.183303	0	0.561173	0	0.175021	0	0	0	0.965226	0.222222	3.44444	0	0.888889	0	3.33333	0	0	0	7.88889
4	0	42.5556	139.778	0.666667	5.77778	0.111111	18.5556	0	0	0	207.444	1.23224	2.93007	0.95887	0.190379	0.000706828	0.269901	0	0	0	5.58216	106.333	354.111	54	11	2.77778	23.3333	0	0	0	551.556	8.02803	22.7115	0.457993	14.6779	0.0996773	15.0409	0	0	0	61.016	45.8889	311.333	3.22222	28.3333	3.66667	269.333	0	0	0	661.778	7.88889	17.1111	0.222222	0.777778	0	7.55556	0	0	0	33.5556	0.0133481	0.0319585	0.0162672	0.00646579	2.82115e-005	0	0	0	0	0.0680678	0.777778	4.66667	0.777778	0.222222	0.111111	0	0	0	0	6.55556	0.133983	0.161057	0	0.757773	0.005207	0.164456	0	0	0	1.22248	0.666667	3.11111	0	1.66667	0.111111	2.88889	0	0	0	8.44444
5	0	47.3333	165.222	0.888889	7.44444	0.111111	20.3333	0	0	0	241.333	1.22371	2.91176	0.95145	0.185878	0.000784806	0.257774	0	0	0	5.53136	104.444	347.222	52.6667	10.5556	2.77778	22.3333	0	0	0	540	8.02952	22.777	0.463441	14.2435	0.101085	15.0774	0	0	0	60.6919	45.6667	312.222	3.22222	27.6667	3.66667	267.444	0	0	0	659.889	10	22.5556	0	0.888889	0.111111	7.22222	0	0	0	40.7778	0.0232494	0.0187597	0.0283141	0.0045292	0	0.00113431	0	0	0	0.0759868	1.66667	3	1.33333	0.333333	0	0.111111	0	0	0	6.44444	0.0643662	0.25261	0	0.517796	0	0.127026	0	0	0	0.961799	0.444444	3	0	0.777778	0	2.77778	0	0	0	7
6	0	51.8889	187.889	1.11111	7.55556	0.111111	21.6667	0	0	0	270.222	1.22389	2.85	0.950197	0.181846	0.000856121	0.247122	0	0	0	5.45391	103.444	338.222	51.6667	11	2.66667	21.3333	0	0	0	528.333	8.05156	22.9441	0.468921	13.5831	0.0948183	15.0013	0	0	0	60.1438	45.6667	314.111	3.22222	26.7778	3.44444	264.667	0	0	0	657.889	10.6667	26.5556	0.111111	0.777778	0	8	0	0	0	46.1111	0.00491809	0.0403794	0.0219582	0.00402965	1.12023e-005	0.00327184	0	0	0	0.0745684	0.555556	4	1	0.222222	0.111111	0.333333	0	0	0	6.22222	0.0530661	0.172779	0	0.741917	0.0076858	0.235503	0	0	0	1.21095	0.444444	3.11111	0	1	0.222222	3.44444	0	0	0	8.22222
7	0	52.7778	206.111	0.777778	7	0	21.2222	0	0	0	287.889	1.23066	2.80985	0.952272	0.168414	0.00094107	0.229025	0	0	0	5.39116	102.556	329.444	51.2222	11.7778	2.66667	20	0	0	0	517.667	8.10456	23.098	0.474434	13.1522	0.0945936	15.0243	0	0	0	59.9481	45.6667	315.333	3.22222	26.2222	3.33333	263.333	0	0	0	657.111	13.5556	30.5556	0.222222	0.777778	0.111111	8.33333	0	0	0	53.5556	0.00296129	0.03837	0.00818993	0	0	0.000914162	0	0	0	0.0504354	0.555556	4.88889	0.666667	0	0	0.111111	0	0	0	6.22222	0.0175139	0.166487	0.0102965	0.523052	0.00155971	0.14503	0	0	0	0.863939	0.333333	2.66667	0.111111	1	0.111111	2.55556	0	0	0	6.77778
8	0	57.6667	211	0.888889	6.66667	0	22.7778	0	0	0	299	1.20587	2.78228	0.946262	0.154339	0.00103038	0.223151	0	0	0	5.31294	103	337.111	50	12.3333	2.66667	19.4444	0	0	0	524.556	8.14148	23.1611	0.479979	12.3028	0.0780287	15.0088	0	0	0	59.1721	45.8889	316.111	3.22222	25.5556	2.88889	261	0	0	0	654.667	9.22222	29.7778	0	1.11111	0	8.44444	0	0	0	48.5556	0.0112997	0.0301631	0.0265264	0.0138081	0	0.0018778	0	0	0	0.0836751	1.33333	3.55556	1.22222	0.666667	0	0.111111	0	0	0	6.88889	0.057306	0.254324	0	0.925944	0.017878	0.169801	0	0	0	1.42525	0.666667	2.88889	0	0.777778	0.444444	2.77778	0	0	0	7.55556
9	0	55.1111	212.111	0.777778	6.77778	0	25.1111	0	0	0	299.889	1.20578	2.73541	0.960152	0.152762	0.00112404	0.213326	0	0	0	5.26855	105	347.444	49.5556	12.5556	2.66667	18.6667	0	0	0	535.889	8.07932	23.3217	0.485557	12.1723	0.0791384	15.0151	0	0	0	59.1531	46	317	3.22222	25.1111	2.88889	259.111	0	0	0	653.333	13.2222	32.1111	0.111111	0.666667	0	8	0	0	0	54.1111	0.00520353	0.0363775	0.00639757	0.000989123	0	0	0	0	0	0.0489678	0.777778	3.77778	0.666667	0.222222	0	0	0	0	0	5.44444	0.137731	0.170536	0	0.203781	0	0.153092	0	0	0	0.66514	0.333333	3.44444	0	0.555556	0	2.66667	0	0	0	7
