Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081315-EMRIDGE.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00717787	0.376835	0	0.384012	0	0	0	0	0	0	2	51.8889	0	53.8889	0	0	0	0	0	0	0	20.535	0	20.535	0	0	0	0	0	0	0	35.1111	0	35.1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	2.22222	0	2.22222	0	0	0	0	0	0	0.00753589	0.379836	0	0.387372	0	0	0	0	0	0	2	51.1111	0	53.1111	0	0	0	0	0	0	0	20.5694	0	20.5694	0	0	0	0	0	0	0	35.3333	0	35.3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00331836	0	0.00331836	0	0	0	0	0	0	0	0.444444	0	0.444444	0	0	0	0	0	0	0	0.0534789	0	0.0534789	0	0	0	0	0	0	0	0.111111	0	0.111111
2	0	0	0	0	0	0	0	0	3.77778	0	3.77778	0	0	0	0	0	0	0.00790532	0.367689	0	0.375594	0	0	0	0	0	0	2	49.1111	0	51.1111	0	0	0	0	0	0	0	20.5748	0	20.5748	0	0	0	0	0	0	0	35.6667	0	35.6667	0	0	0	0	0	0	0	0.444444	0	0.444444	0	0	0	0	0	0	0	0.00879609	0	0.00879609	0	0	0	0	0	0	0	1.22222	0	1.22222	0	0	0	0	0	0	0	0.0923686	0	0.0923686	0	0	0	0	0	0	0	0.444444	0	0.444444
3	0	0	0	0	0	0	0	0	5.11111	0	5.11111	0	0	0	0	0	0	0.00828615	0.373624	0	0.38191	0	0	0	0	0	0	2	48.6667	0	50.6667	0	0	0	0	0	0	0	20.6538	0	20.6538	0	0	0	0	0	0	0	35.6667	0	35.6667	0	0	0	0	0	0	0	0.666667	0	0.666667	0	0	0	0	0	0	0	0.00239253	0	0.00239253	0	0	0	0	0	0	0	0.222222	0	0.222222	0	0	0	0	0	0	0	0.0067671	0	0.0067671	0	0	0	0	0	0	0	0.222222	0	0.222222
4	0	0	0	0	0	0	0	0	6.77778	0	6.77778	0	0	0	0	0	0	0.00867839	0.378409	0	0.387087	0	0	0	0	0	0	2	48	0	50	0	0	0	0	0	0	0	20.5851	0	20.5851	0	0	0	0	0	0	0	35.5556	0	35.5556	0	0	0	0	0	0	0	0.666667	0	0.666667	0	0	0	0	0	0	0	0.00361519	0	0.00361519	0	0	0	0	0	0	0	0.444444	0	0.444444	0	0	0	0	0	0	0	0.154946	0	0.154946	0	0	0	0	0	0	0	0.333333	0	0.333333
5	0	0	0	0	0	0	0	0	7.22222	0	7.22222	0	0	0	0	0	0	0.00908202	0.380025	0	0.389107	0	0	0	0	0	0	2	47.3333	0	49.3333	0	0	0	0	0	0	0	19.5842	0	19.5842	0	0	0	0	0	0	0	35.7778	0	35.7778	0	0	0	0	0	0	0	1.44444	0	1.44444	0	0	0	0	0	0	0	0.00198165	0	0.00198165	0	0	0	0	0	0	0	0.222222	0	0.222222	0	0	0	0	0	0	0	1.09158	0	1.09158	0	0	0	0	0	0	0	0.222222	0	0.222222
6	0	0	0	0	0	0	0	0	7.44444	0	7.44444	0	0	0	0	0	0	0.00949705	0.37228	0	0.381777	0	0	0	0	0	0	2	47	0	49	0	0	0	0	0	0	0	19.3389	0	19.3389	0	0	0	0	0	0	0	35.8889	0	35.8889	0	0	0	0	0	0	0	0.444444	0	0.444444	0	0	0	0	0	0	0	0.00658375	0	0.00658375	0	0	0	0	0	0	0	0.555556	0	0.555556	0	0	0	0	0	0	0	0.33981	0	0.33981	0	0	0	0	0	0	0	0.555556	0	0.555556
7	0	0	0	0	0	0	0	0	6.88889	0	6.88889	0	0	0	0	0	0	0.00992348	0.372183	0	0.382107	0	0	0	0	0	0	2	47.1111	0	49.1111	0	0	0	0	0	0	0	19.3249	0	19.3249	0	0	0	0	0	0	0	36.1111	0	36.1111	0	0	0	0	0	0	0	0.666667	0	0.666667	0	0	0	0	0	0	0	0.00351706	0	0.00351706	0	0	0	0	0	0	0	0.555556	0	0.555556	0	0	0	0	0	0	0	0.102827	0	0.102827	0	0	0	0	0	0	0	0.222222	0	0.222222
8	0	0	0	0	0	0	0	0	7.88889	0	7.88889	0	0	0	0	0	0	0.0103613	0.369869	0	0.38023	0	0	0	0	0	0	2	47.2222	0	49.2222	0	0	0	0	0	0	0	18.5426	0	18.5426	0	0	0	0	0	0	0	35.5556	0	35.5556	0	0	0	0	0	0	0	0.666667	0	0.666667	0	0	0	0	0	0	0	0.00816328	0	0.00816328	0	0	0	0	0	0	0	0.777778	0	0.777778	0	0	0	0	0	0	0	0.868796	0	0.868796	0	0	0	0	0	0	0	0.888889	0	0.888889
9	0	0	0	0	0	0	0	0	7.44444	0	7.44444	0	0	0	0	0	0	0.0108106	0.37318	0	0.383991	0	0	0	0	0	0	2	47.6667	0	49.6667	0	0	0	0	0	0	0	18.616	0	18.616	0	0	0	0	0	0	0	35.6667	0	35.6667	0	0	0	0	0	0	0	1.22222	0	1.22222	0	0	0	0	0	0	0	0.00239657	0	0.00239657	0	0	0	0	0	0	0	0.333333	0	0.333333	0	0	0	0	0	0	0	0.0113266	0	0.0113266	0	0	0	0	0	0	0	0.222222	0	0.222222
