Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081315-FRPIJE.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0.0555723	0.000924907	0.0714997	0	0	0.0813493	0.72076	0.00575768	0	0.935864	5	3	2.33333	0	0	13	86.4444	1	0	110.778	1.89895	0	1.77883	0	0	0.0949886	14.7849	0	0	18.5577	8	0	1.66667	0	0	3	53.5556	0	0	66.2222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1.88889	0	0.111111	0	0	0	2.55556	0	0	4.55556	0.0470931	0.000888535	0.0622578	0	0	0.081092	0.728585	0.00600524	0	0.925922	4.77778	2.88889	2.11111	0	0	12.8889	85.3333	1	0	109	1.92036	0	1.71346	0	0	0.0981806	14.742	0	0	18.474	8.22222	0	1.66667	0	0	3.11111	53	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0.000146337	0.000133039	0	0	0	0.00596749	0	0	0.00624687	0	0.111111	0.111111	0	0	0	0.888889	0	0	1.11111	0	0	0.0829594	0	0	0	0.165547	0	0	0.248506	0	0	0.111111	0	0	0	0.777778	0	0	0.888889
2	0	4.11111	0	0.111111	0	0	0.111111	5.55556	0	0	9.88889	0.0455877	0.000993678	0.0633278	0	0	0.0800812	0.736124	0.0062585	0	0.932373	4.66667	2.77778	2.11111	0	0	12.6667	84.1111	1	0	107.333	1.93255	0	1.72049	0	0	0.101418	14.7821	0	0	18.5366	8.22222	0	1.66667	0	0	3.22222	52.5556	0	0	65.6667	0.555556	0	0	0	0	0	0.555556	0	0	1.11111	0.0023314	3.76685e-006	0	0	0	0.000746997	0.0146538	0	0	0.0177359	0.111111	0.111111	0	0	0	0.111111	1.22222	0	0	1.55556	0	0	0	0	0	0	0.0736869	0	0	0.0736869	0	0	0	0	0	0	0.444444	0	0	0.444444
3	0	6.77778	0	0.333333	0	0	0.222222	7.88889	0	0	15.2222	0.0463885	0.00105879	0.06441	0	0	0.0807396	0.755653	0.00651747	0	0.954767	4.66667	2.55556	2.11111	0	0	12.5556	83.2222	1	0	106.111	1.94479	0	1.62886	0	0	0.102788	14.5546	0	0	18.2311	8.22222	0	1.55556	0	0	3.22222	51.7778	0	0	64.7778	0.222222	0	0	0	0	0	0.777778	0	0	1	0	5.0694e-005	0	0	0	0.000967618	0.00274325	0	0	0.00376156	0	0.222222	0	0	0	0.111111	0.888889	0	0	1.22222	0	0	0.098677	0	0	0	0.341018	0	0	0.439695	0	0	0.111111	0	0	0	0.777778	0	0	0.888889
4	0	7.44444	0	0.444444	0	0	0.111111	8.66667	0	0	16.6667	0.047203	0.00106197	0.0655041	0	0	0.0788409	0.762017	0.00678213	0	0.961409	4.66667	2.44444	2.11111	0	0	12.3333	81.8889	1	0	104.444	1.95707	0	1.51279	0	0	0.106096	14.5968	0	0	18.1728	8.22222	0	1.44444	0	0	3.33333	51.3333	0	0	64.3333	1.66667	0	0	0	0	0.222222	2	0	0	3.88889	0	0.00011247	0	0	0	0.00159727	0.00796308	0	0	0.00967282	0	0.111111	0	0	0	0.111111	1.11111	0	0	1.33333	0	0	0.122664	0	0	0	0.0780618	0	0	0.200726	0	0	0.111111	0	0	0	0.666667	0	0	0.777778
5	0	8.55556	0	0.555556	0	0	0.111111	9	0	0	18.2222	0.0479593	0.00113451	0.0666103	0	0	0.0804386	0.761931	0.0070525	0	0.965126	4.44444	2.22222	2.11111	0	0	12.3333	80.3333	1	0	102.444	1.90379	0	1.51887	0	0	0.107521	14.6657	0	0	18.1959	8	0	1.44444	0	0	3.33333	51.3333	0	0	64.1111	1.33333	0	0.111111	0	0	0	1.22222	0	0	2.66667	7.19153e-005	4.19522e-005	0	0	0	0	0.00624782	0	0	0.00636169	0.222222	0.222222	0	0	0	0	1.11111	0	0	1.55556	0.0656092	0	0	0	0	0	0.059332	0	0	0.124941	0.222222	0	0	0	0	0	0.444444	0	0	0.666667
6	0	8.77778	0	0.333333	0	0	0	8.22222	0	0	17.3333	0.0487911	0.00124878	0.0677286	0	0	0.0820564	0.762321	0.00732856	0	0.969475	4.44444	2.22222	2.11111	0	0	12.3333	80.3333	1	0	102.444	1.88469	0	1.52496	0	0	0.108954	14.6914	0	0	18.21	7.77778	0	1.44444	0	0	3.33333	51.5556	0	0	64.1111	2.77778	0	0.111111	0	0	0.111111	1.88889	0	0	4.88889	0	0	1.06084e-005	0	0	0	0.00993233	0	0	0.00994294	0	0	0.111111	0	0	0	0.888889	0	0	1	0.0310756	0	0	0	0	0	0.0985471	0	0	0.129623	0.222222	0	0	0	0	0	0.111111	0	0	0.333333
7	0	9.44444	0	0.444444	0	0	0.222222	7.88889	0	0	18	0.0448672	0.0013697	0.0686614	0	0	0.0823949	0.758499	0.00761033	0	0.963402	4.22222	2.22222	2	0	0	12.1111	80.2222	1	0	101.778	1.90118	0	1.53108	0	0	0.110398	14.6324	0	0	18.1751	7.88889	0	1.44444	0	0	3.33333	51.3333	0	0	64	2.22222	0	0	0	0	0	1	0	0	3.22222	4.11497e-005	0	0.000197434	0	0	0.00129951	0.00590397	0	0	0.00744207	0.111111	0	0.111111	0	0	0.222222	0.888889	0	0	1.33333	0	0	0	0	0	0	0.191863	0	0	0.191863	0	0	0	0	0	0	0.777778	0	0	0.777778
8	0	10.5556	0	0.555556	0	0	0.111111	8.11111	0	0	19.3333	0.0456748	0.00149726	0.0697982	0	0	0.0820663	0.770009	0.00789779	0	0.976943	4.33333	2.22222	2.11111	0	0	11.8889	80.4444	1	0	102	1.91306	0	1.2143	0	0	0.106274	14.5431	0	0	17.7767	7.88889	0	1.22222	0	0	3.22222	50.4444	0	0	62.7778	1.77778	0	0	0	0	0.111111	0.888889	0	0	2.77778	0	0	0	0	0	4.17774e-005	0.00296191	0	0	0.00300369	0	0	0	0	0	0.111111	0.666667	0	0	0.777778	0	0	0.322898	0	0	0.00749125	0.209305	0	0	0.539694	0	0	0.222222	0	0	0.222222	1.11111	0	0	1.55556
9	0	10.4444	0	0.555556	0	0	0	9.22222	0	0	20.2222	0.0464992	0.00163147	0.0644756	0	0	0.0836834	0.761093	0.00673504	0	0.964118	5.11111	2.22222	2	0	0	11.8889	80.5556	0.888889	0	102.667	1.92497	0	1.21924	0	0	0.107674	14.5439	0	0	17.7957	7.88889	0	1.22222	0	0	3.22222	50.6667	0	0	63	1.55556	0	0.111111	0	0	0.111111	0.444444	0	0	2.22222	7.29615e-005	0	0.00646416	0	0	0	0.0111717	0.00145592	0	0.0191648	0.111111	0	0.111111	0	0	0	0.777778	0.111111	0	1.11111	0	0	0	0	0	0	0.130203	0	0	0.130203	0	0	0	0	0	0	0.333333	0	0	0.333333
10	0	9.88889	0	0.333333	0	0	0	9.11111	0	0	19.3333	0.0473926	0.00177233	0.065549	0	0	0.0850483	0.76518	0.00699064	0	0.971933	5.66667	2.22222	2.11111	0	0	11.6667	80.5556	0.888889	0	103.111	1.93693	0	1.22418	0	0	0.109083	14.5256	0	0	17.7958	7.88889	0	1.22222	0	0	3.22222	50.2222	0	0	62.5556	2.55556	0	0.111111	0	0	0	1.11111	0	0	3.77778	0	0	0	0	0	0.000271618	0.0104062	0	0	0.0106778	0	0	0	0	0	0.222222	1.11111	0	0	1.33333	0	0	0	0	0	0	0.137006	0	0	0.137006	0	0	0	0	0	0	0.666667	0	0	0.666667
