Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081315-POFLABMA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0951969	0	1.92981	2.025	0	0	0	0	0	0	17.8889	0	310.889	328.778	0	0	0	0	0	0	2.88365	0	106.485	109.369	0	0	0	0	0	0	16.1111	0	244.111	260.222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0.777778	0	12.8889	13.6667	0	0	0	0	0	0	0.0966789	0	1.94606	2.04274	0	0	0	0	0	0	17.5556	0	309.556	327.111	0	0	0	0	0	0	2.87959	0	106.463	109.342	0	0	0	0	0	0	15.7778	0	243.667	259.444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00175048	0	0.00296139	0.00471187	0	0	0	0	0	0	0.333333	0	0.777778	1.11111	0	0	0	0	0	0	0.0329519	0	0.509496	0.542448	0	0	0	0	0	0	0.333333	0	1	1.33333
2	0	0	0	0	0	0	0	1	0	24.3333	25.3333	0	0	0	0	0	0	0.0958263	0	1.97137	2.0672	0	0	0	0	0	0	17.3333	0	308.222	325.556	0	0	0	0	0	0	2.88024	0	106.722	109.602	0	0	0	0	0	0	15.6667	0	243.556	259.222	0	0	0	0	0	0	0.222222	0	2.88889	3.11111	0	0	0	0	0	0	8.17708e-006	0	0.00389737	0.00390555	0	0	0	0	0	0	0.111111	0	1	1.11111	0	0	0	0	0	0	0.032049	0	0.21821	0.250259	0	0	0	0	0	0	0.222222	0	0.444444	0.666667
3	0	0	0	0	0	0	0	1.88889	0	31.3333	33.2222	0	0	0	0	0	0	0.0990407	0	1.96834	2.06738	0	0	0	0	0	0	17.1111	0	306.111	323.222	0	0	0	0	0	0	2.83445	0	106.824	109.658	0	0	0	0	0	0	15.1111	0	243.556	258.667	0	0	0	0	0	0	0	0	5.22222	5.22222	0	0	0	0	0	0	7.3827e-005	0	0.00457635	0.00465018	0	0	0	0	0	0	0.222222	0	1.11111	1.33333	0	0	0	0	0	0	0.0742588	0	0.403725	0.477984	0	0	0	0	0	0	0.555556	0	1	1.55556
4	0	0	0	0	0	0	0	2.22222	0	35.3333	37.5556	0	0	0	0	0	0	0.1022	0	1.97746	2.07966	0	0	0	0	0	0	16.6667	0	303.889	320.556	0	0	0	0	0	0	2.80801	0	107.072	109.88	0	0	0	0	0	0	14.7778	0	243.333	258.111	0	0	0	0	0	0	0.222222	0	7	7.22222	0	0	0	0	0	0	0.000213068	0	0.00693971	0.00715278	0	0	0	0	0	0	0.444444	0	1.55556	2	0	0	0	0	0	0	0.0541884	0	0.243942	0.298131	0	0	0	0	0	0	0.333333	0	0.888889	1.22222
5	0	0	0	0	0	0	0	2.66667	0	39.7778	42.4444	0	0	0	0	0	0	0.105515	0	2.00485	2.11037	0	0	0	0	0	0	16.4444	0	302.667	319.111	0	0	0	0	0	0	2.73318	0	107.209	109.943	0	0	0	0	0	0	14.3333	0	242.667	257	0	0	0	0	0	0	0.333333	0	8.11111	8.44444	0	0	0	0	0	0	0.000122404	0	0.00322383	0.00334624	0	0	0	0	0	0	0.222222	0	0.888889	1.11111	0	0	0	0	0	0	0.102129	0	0.340694	0.442823	0	0	0	0	0	0	0.444444	0	1	1.44444
6	0	0	0	0	0	0	0	3.11111	0	41.3333	44.4444	0	0	0	0	0	0	0.108844	0	1.99447	2.10332	0	0	0	0	0	0	16.5556	0	300.556	317.111	0	0	0	0	0	0	2.70646	0	107.612	110.319	0	0	0	0	0	0	14.2222	0	243.444	257.667	0	0	0	0	0	0	0.444444	0	11	11.4444	0	0	0	0	0	0	0.000216189	0	0.00378636	0.00400255	0	0	0	0	0	0	0.222222	0	0.888889	1.11111	0	0	0	0	0	0	0.0532768	0	0.112604	0.165881	0	0	0	0	0	0	0.111111	0	0.444444	0.555556
7	0	0	0	0	0	0	0	3.22222	0	45.2222	48.4444	0	0	0	0	0	0	0.111696	0	2.00149	2.11318	0	0	0	0	0	0	16.6667	0	298.889	315.556	0	0	0	0	0	0	2.71725	0	107.915	110.633	0	0	0	0	0	0	14.1111	0	243.778	257.889	0	0	0	0	0	0	0.222222	0	9.44444	9.66667	0	0	0	0	0	0	0.000788348	0	0.00542669	0.00621504	0	0	0	0	0	0	0.333333	0	0.888889	1.22222	0	0	0	0	0	0	0.015568	0	0.195209	0.210777	0	0	0	0	0	0	0.111111	0	0.444444	0.555556
8	0	0	0	0	0	0	0	2.77778	0	43.1111	45.8889	0	0	0	0	0	0	0.111188	0	2.00359	2.11478	0	0	0	0	0	0	16.8889	0	299.778	316.667	0	0	0	0	0	0	2.74768	0	108.275	111.022	0	0	0	0	0	0	14.2222	0	244	258.222	0	0	0	0	0	0	0.555556	0	8.22222	8.77778	0	0	0	0	0	0	0.000104231	0	0.00635262	0.00645686	0	0	0	0	0	0	0.111111	0	1	1.11111	0	0	0	0	0	0	0	0	0.14432	0.14432	0	0	0	0	0	0	0	0	0.666667	0.666667
9	0	0	0	0	0	0	0	2.88889	0	43.1111	46	0	0	0	0	0	0	0.107982	0	2.03699	2.14497	0	0	0	0	0	0	17	0	301.889	318.889	0	0	0	0	0	0	2.77839	0	108.61	111.389	0	0	0	0	0	0	14.3333	0	243.778	258.111	0	0	0	0	0	0	0.222222	0	8.11111	8.33333	0	0	0	0	0	0	0.00277101	0	0.00372225	0.00649326	0	0	0	0	0	0	0.111111	0	1	1.11111	0	0	0	0	0	0	0	0	0.140378	0.140378	0	0	0	0	0	0	0	0	0.444444	0.444444
