Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081315-SFTRABMA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0311916	6.01365	6.04484	0	0	0	0	0	0	0	5.44444	1424.56	1430	0	0	0	0	0	0	0	0.113012	95.981	96.094	0	0	0	0	0	0	0	1.55556	198.444	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0.111111	12.2222	12.3333	0	0	0	0	0	0	0	0.0275993	6.14218	6.16978	0	0	0	0	0	0	0	5.22222	1419.33	1424.56	0	0	0	0	0	0	0	0.119683	96.277	96.3967	0	0	0	0	0	0	0	1.77778	198.556	200.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0190313	0.0190313	0	0	0	0	0	0	0	0	4.55556	4.55556	0	0	0	0	0	0	0	0	0.118442	0.118442	0	0	0	0	0	0	0	0	0.555556	0.555556
2	0	0	0	0	0	0	0	0	0.222222	18.2222	18.4444	0	0	0	0	0	0	0	0.0286319	6.29176	6.32039	0	0	0	0	0	0	0	5.11111	1414	1419.11	0	0	0	0	0	0	0	0.121677	96.4652	96.5869	0	0	0	0	0	0	0	1.77778	198.222	200	0	0	0	0	0	0	0	0.111111	3.44444	3.55556	0	0	0	0	0	0	0	0.000136295	0.0201464	0.0202827	0	0	0	0	0	0	0	0.111111	5.11111	5.22222	0	0	0	0	0	0	0	0	0.20806	0.20806	0	0	0	0	0	0	0	0	0.555556	0.555556
3	0	0	0	0	0	0	0	0	0.222222	22.5556	22.7778	0	0	0	0	0	0	0	0.029548	6.42155	6.4511	0	0	0	0	0	0	0	4.88889	1409.33	1414.22	0	0	0	0	0	0	0	0.12369	96.4441	96.5678	0	0	0	0	0	0	0	1.77778	197.889	199.667	0	0	0	0	0	0	0	0	4.66667	4.66667	0	0	0	0	0	0	0	0.000269101	0.02437	0.0246391	0	0	0	0	0	0	0	0.222222	4	4.22222	0	0	0	0	0	0	0	0	0.43659	0.43659	0	0	0	0	0	0	0	0	1	1
4	0	0	0	0	0	0	0	0	0.111111	29.4444	29.5556	0	0	0	0	0	0	0	0.0307357	6.52151	6.55224	0	0	0	0	0	0	0	4.88889	1403.78	1408.67	0	0	0	0	0	0	0	0.12572	96.6699	96.7956	0	0	0	0	0	0	0	1.77778	198.889	200.667	0	0	0	0	0	0	0	0.111111	5.44444	5.55556	0	0	0	0	0	0	0	0	0.010231	0.010231	0	0	0	0	0	0	0	0	3.77778	3.77778	0	0	0	0	0	0	0	0	0.236484	0.236484	0	0	0	0	0	0	0	0	0.777778	0.777778
5	0	0	0	0	0	0	0	0	0.222222	32.6667	32.8889	0	0	0	0	0	0	0	0.0319513	6.64511	6.67707	0	0	0	0	0	0	0	4.88889	1397.89	1402.78	0	0	0	0	0	0	0	0.127768	96.7835	96.9112	0	0	0	0	0	0	0	1.77778	198.889	200.667	0	0	0	0	0	0	0	0	6.55556	6.55556	0	0	0	0	0	0	0	0	0.0271739	0.0271739	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0.311731	0.311731	0	0	0	0	0	0	0	0	0.888889	0.888889
6	0	0	0	0	0	0	0	0	0.333333	36.5556	36.8889	0	0	0	0	0	0	0	0.0283719	6.76838	6.79675	0	0	0	0	0	0	0	4.66667	1392.89	1397.56	0	0	0	0	0	0	0	0.134657	96.6107	96.7454	0	0	0	0	0	0	0	2	199.667	201.667	0	0	0	0	0	0	0	0	7.11111	7.11111	0	0	0	0	0	0	0	0	0.011622	0.011622	0	0	0	0	0	0	0	0	3.66667	3.66667	0	0	0	0	0	0	0	0	0.617049	0.617049	0	0	0	0	0	0	0	0	0.555556	0.555556
7	0	0	0	0	0	0	0	0	0.222222	38.6667	38.8889	0	0	0	0	0	0	0	0.0292412	6.88402	6.91326	0	0	0	0	0	0	0	4.66667	1386.56	1391.22	0	0	0	0	0	0	0	0.134412	96.4338	96.5683	0	0	0	0	0	0	0	1.88889	199.778	201.667	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	0	0.000301462	0.0363014	0.0366029	0	0	0	0	0	0	0	0.111111	5.33333	5.44444	0	0	0	0	0	0	0	0.00247769	0.606971	0.609449	0	0	0	0	0	0	0	0.111111	0.888889	1
8	0	0	0	0	0	0	0	0	0.555556	37	37.5556	0	0	0	0	0	0	0	0.0302087	7.03384	7.06404	0	0	0	0	0	0	0	4.55556	1381.78	1386.33	0	0	0	0	0	0	0	0.13659	96.5112	96.6478	0	0	0	0	0	0	0	1.88889	199.222	201.111	0	0	0	0	0	0	0	0	9.22222	9.22222	0	0	0	0	0	0	0	0.00020333	0.0333719	0.0335753	0	0	0	0	0	0	0	0.111111	6.44444	6.55556	0	0	0	0	0	0	0	0	0.324317	0.324317	0	0	0	0	0	0	0	0	0.888889	0.888889
9	0	0	0	0	0	0	0	0	0.555556	37.4444	38	0	0	0	0	0	0	0	0.0313898	7.17588	7.20727	0	0	0	0	0	0	0	4.55556	1378.33	1382.89	0	0	0	0	0	0	0	0.138787	96.4518	96.5906	0	0	0	0	0	0	0	1.88889	199.222	201.111	0	0	0	0	0	0	0	0.111111	7.22222	7.33333	0	0	0	0	0	0	0	0	0.0346066	0.0346066	0	0	0	0	0	0	0	0	4.66667	4.66667	0	0	0	0	0	0	0	0	0.470236	0.470236	0	0	0	0	0	0	0	0	0.555556	0.555556
10	0	0	0	0	0	0	0	0	0.666667	36.6667	37.3333	0	0	0	0	0	0	0	0.0326074	7.2899	7.3225	0	0	0	0	0	0	0	4.66667	1373.67	1378.33	0	0	0	0	0	0	0	0.137878	96.8089	96.9468	0	0	0	0	0	0	0	1.77778	200.222	202	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0.0279315	0.0279315	0	0	0	0	0	0	0	0	5.55556	5.55556	0	0	0	0	0	0	0	0.00312533	0.0913404	0.0944657	0	0	0	0	0	0	0	0.111111	0.444444	0.555556
