Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081315-SUPILA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.23922	0.145834	0.614426	0.00162095	0	0.000475315	0	0	0.00652366	2.0081	280.111	30.8889	71.4444	1	0	1.22222	0	0	1	385.667	14.6889	2.09327	15.5346	0	0	0.0250746	0	0	0	32.3418	55.8889	18.1111	24.5556	0	0	0.777778	0	0	0	99.3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	18.5556	2.66667	1.77778	0	0	0	0	0	0	23	1.24958	0.14589	0.615369	0.00174265	0	0.000519409	0	0	0.00670699	2.01981	277.222	30.1111	69.7778	1	0	1.22222	0	0	1	380.333	14.6734	2.11268	15.5809	0	0	0.0254077	0	0	0	32.3924	55.5556	18.2222	24.4444	0	0	0.777778	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0.0191598	0.00188466	0.0146056	0	0	0	0	0	0	0.0356501	2.77778	0.666667	1.66667	0	0	0	0	0	0	5.11111	0.101188	0	0.0338174	0	0	0	0	0	0	0.135005	0.444444	0	0.111111	0	0	0	0	0	0	0.555556
2	0	32.2222	3.11111	2.66667	0	0	0	0	0	0	38	1.26178	0.144993	0.609434	0.00187005	0	0.000565502	0	0	0.00689324	2.02554	274.667	29.5556	68.6667	1	0	1.22222	0	0	1	376.111	14.643	2.131	15.1414	0	0	0.0257431	0	0	0	31.9411	55.2222	18.3333	24.1111	0	0	0.777778	0	0	0	98.4445	4.11111	1.11111	0.333333	0	0	0	0	0	0	5.55556	0.0176706	0.000680705	0.000941817	0	0	0	0	0	0	0.0192932	2.44444	0.333333	0.888889	0	0	0	0	0	0	3.66667	0.115792	0.00337367	0.540281	0	0	0	0	0	0	0.659447	0.444444	0.111111	0.555556	0	0	0	0	0	0	1.11111
3	0	41.8889	5.11111	3.66667	0	0	0	0	0	0	50.6667	1.26325	0.145996	0.562214	0.00200316	0	0.000613591	0	0	0.00708242	1.98116	271.667	29.1111	67.1111	1	0	1.22222	0	0	1	371.111	14.6963	2.15072	14.7993	0	0	0.0236089	0	0	0	31.6699	55.2222	18.4444	24	0	0	0.666667	0	0	0	98.3333	7.77778	0.333333	0.333333	0	0	0	0	0	0	8.44444	0.0146241	0.000877251	0.0217499	0	0	0	0	0	0	0.0372513	2.55556	0.333333	1.11111	0	0	0	0	0	0	4	0.0459375	0	0.461488	0	0	0.00247181	0	0	0	0.509897	0.444444	0	0.555556	0	0	0.111111	0	0	0	1.11111
4	0	51.3333	7.33333	4.66667	0	0	0.111111	0	0	0	63.4444	1.27154	0.147915	0.558817	0.00214196	0	0.000576978	0	0	0.00727452	1.98827	269.222	29	65.7778	1	0	1.11111	0	0	1	367.111	14.7884	2.16743	14.7878	0	0	0.0239087	0	0	0	31.7675	55.5556	18.4444	24	0	0	0.666667	0	0	0	98.6667	8.66667	0.555556	0.777778	0	0	0	0	0	0	10	0.00800018	0	0.00822315	0	0	8.67001e-005	0	0	0	0.01631	2	0	1.22222	0	0	0.111111	0	0	0	3.33333	0.00718304	0.00313674	0.098937	0	0	0	0	0	0	0.109257	0.111111	0.111111	0.111111	0	0	0	0	0	0	0.333333
5	0	58.6667	8.55556	5.44444	0	0	0	0	0	0	72.6667	1.28992	0.148196	0.558367	0.00228647	0	0.00062336	0	0	0.00746955	2.00686	267.222	28.2222	64.6667	1	0	1.11111	0	0	1	363.222	14.6159	2.11425	14.8608	0	0	0.0242104	0	0	0	31.6151	55.3333	18.2222	24	0	0	0.666667	0	0	0	98.2222	10.6667	1.55556	0.777778	0	0	0.111111	0	0	0	13.1111	0.00761668	0.00168099	0.00532042	0	0	0	0	0	0	0.0146181	1.77778	0.666667	1	0	0	0	0	0	0	3.44444	0.262961	0.0731139	0.0143111	0	0	0	0	0	0	0.350386	0.444444	0.333333	0.111111	0	0	0	0	0	0	0.888889
6	0	61.5556	9.55556	6.11111	0	0	0.111111	0	0	0	77.3333	1.30644	0.149281	0.560527	0.00243667	0	0.000671558	0	0	0.00766751	2.02703	264.222	27.8889	63.8889	1	0	1.11111	0	0	1	359.111	14.6616	2.09743	14.5605	0	0	0.024514	0	0	0	31.344	55.2222	18	23.7778	0	0	0.666667	0	0	0	97.6667	13.7778	1.55556	0.444444	0	0	0	0	0	0	15.7778	0.0146042	0.000853676	0.00285112	0	0	0	0	0	0	0.018309	2.88889	0.222222	1.22222	0	0	0	0	0	0	4.33333	0.039429	0.036431	0.387752	0	0	0	0	0	0	0.463612	0.222222	0.333333	0.333333	0	0	0	0	0	0	0.888889
7	0	64.3333	9.77778	5.44444	0	0	0	0	0	0	79.5556	1.33357	0.149114	0.544899	0.00259258	0	0.000721572	0	0	0.00786839	2.03876	262.556	27.6667	63.2222	1	0	1.11111	0	0	1	356.556	14.6596	2.11897	14.4321	0	0	0.0248196	0	0	0	31.2355	54.7778	18.2222	23.4444	0	0	0.666667	0	0	0	97.1111	14.5556	2	1	0	0	0.111111	0	0	0	17.6667	0.00438031	0	0.0207403	0	0	0	0	0	0	0.0251206	1.55556	0	1.44444	0	0	0	0	0	0	3	0.0871906	0	0.214735	0	0	0	0	0	0	0.301926	0.555556	0	0.444444	0	0	0	0	0	0	1
8	0	63.3333	9.55556	6.55556	0	0	0	0	0	0	79.4444	1.3533	0.146954	0.545935	0.00275419	0	0.000773402	0	0	0.0080722	2.05779	265.111	27.6667	62.5556	1	0	1.11111	0	0	1	358.444	14.7116	2.13114	14.0768	0	0	0.0201311	0	0	0	30.9397	54.7778	18.2222	22.8889	0	0	0.555556	0	0	0	96.4444	13.2222	2	0.555556	0	0	0	0	0	0	15.7778	0.00800931	0.00208505	0.0141818	0	0	0	0	0	0	0.0242761	1.66667	0.555556	1.22222	0	0	0	0	0	0	3.44444	0.0375808	0.00955514	0.430525	0	0	0.00499602	0	0	0	0.482657	0.222222	0.222222	0.555556	0	0	0.111111	0	0	0	1.11111
9	0	64.4444	10.3333	5.88889	0	0	0	0	0	0	80.6667	1.37699	0.14339	0.535886	0.0029215	0	0.000827047	0	0	0.00827894	2.06829	265.889	27.3333	62.4444	1	0	1.11111	0	0	1	358.778	14.6431	2.14709	14.0923	0	0	0.0203836	0	0	0	30.9029	54.5556	18.3333	22.6667	0	0	0.555556	0	0	0	96.1111	13.5556	1.22222	0.777778	0	0	0	0	0	0	15.5556	0.0139458	0.00130559	0.0253461	0	0	0	0	0	0	0.0405974	2.88889	0.333333	1.11111	0	0	0	0	0	0	4.33333	0.148793	0.00791798	0.0578935	0	0	0	0	0	0	0.214605	0.222222	0.222222	0.222222	0	0	0	0	0	0	0.666667
