Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081715-EMRIDGE.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00719492	0.375644	0	0.382839	0	0	0	0	0	0	2	51.1111	0	53.1111	0	0	0	0	0	0	0	17.2247	0	17.2247	0	0	0	0	0	0	0	35.8889	0	35.8889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0.00756506	0.369618	0	0.377183	0	0	0	0	0	0	2	49.8889	0	51.8889	0	0	0	0	0	0	0	17.2347	0	17.2347	0	0	0	0	0	0	0	36.3333	0	36.3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00272083	0	0.00272083	0	0	0	0	0	0	0	0.444444	0	0.444444	0	0	0	0	0	0	0	0.0808442	0	0.0808442	0	0	0	0	0	0	0	0.333333	0	0.333333
2	0	0	0	0	0	0	0	0	3.66667	0	3.66667	0	0	0	0	0	0	0.00720782	0.375617	0	0.382825	0	0	0	0	0	0	1.88889	49.4444	0	51.3333	0	0	0	0	0	0	0	17.3002	0	17.3002	0	0	0	0	0	0	0	36.2222	0	36.2222	0	0	0	0	0	0	0	0.333333	0	0.333333	0	0	0	0	0	0	0.000738784	0.00258261	0	0.0033214	0	0	0	0	0	0	0.111111	0.222222	0	0.333333	0	0	0	0	0	0	0	0.0135912	0	0.0135912	0	0	0	0	0	0	0	0.333333	0	0.333333
3	0	0	0	0	0	0	0	0	4.66667	0	4.66667	0	0	0	0	0	0	0.00756986	0.378641	0	0.386211	0	0	0	0	0	0	1.88889	48.6667	0	50.5556	0	0	0	0	0	0	0	17.2337	0	17.2337	0	0	0	0	0	0	0	35.7778	0	35.7778	0	0	0	0	0	0	0	0.444444	0	0.444444	0	0	0	0	0	0	0	0.00323421	0	0.00323421	0	0	0	0	0	0	0	0.444444	0	0.444444	0	0	0	0	0	0	0	0.148148	0	0.148148	0	0	0	0	0	0	0	0.777778	0	0.777778
4	0	0	0	0	0	0	0	0	5.88889	0	5.88889	0	0	0	0	0	0	0.00733873	0.382627	0	0.389965	0	0	0	0	0	0	1.77778	47.8889	0	49.6667	0	0	0	0	0	0	0	17.2072	0	17.2072	0	0	0	0	0	0	0	35.6667	0	35.6667	0	0	0	0	0	0	0	0.444444	0	0.444444	0	0	0	0	0	0	0.000603934	0.00465459	0	0.00525853	0	0	0	0	0	0	0.111111	0.555556	0	0.666667	0	0	0	0	0	0	0	0.105181	0	0.105181	0	0	0	0	0	0	0	0.333333	0	0.333333
5	0	0	0	0	0	0	0	0	7.88889	0	7.88889	0	0	0	0	0	0	0.00769433	0.379172	0	0.386866	0	0	0	0	0	0	1.77778	46.7778	0	48.5556	0	0	0	0	0	0	0	17.2831	0	17.2831	0	0	0	0	0	0	0	36	0	36	0	0	0	0	0	0	0	0.666667	0	0.666667	0	0	0	0	0	0	0	0.00489303	0	0.00489303	0	0	0	0	0	0	0	0.555556	0	0.555556	0	0	0	0	0	0	0	0.00976239	0	0.00976239	0	0	0	0	0	0	0	0.222222	0	0.222222
6	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0.00806006	0.378682	0	0.386742	0	0	0	0	0	0	1.77778	47.1111	0	48.8889	0	0	0	0	0	0	0	17.2698	0	17.2698	0	0	0	0	0	0	0	36	0	36	0	0	0	0	0	0	0	0.666667	0	0.666667	0	0	0	0	0	0	0	0.00186072	0	0.00186072	0	0	0	0	0	0	0	0.222222	0	0.222222	0	0	0	0	0	0	0	0.0994689	0	0.0994689	0	0	0	0	0	0	0	0.555556	0	0.555556
7	0	0	0	0	0	0	0	0	6.22222	0	6.22222	0	0	0	0	0	0	0.00843592	0.386352	0	0.394788	0	0	0	0	0	0	1.77778	48	0	49.7778	0	0	0	0	0	0	0	16.3276	0	16.3276	0	0	0	0	0	0	0	35.7778	0	35.7778	0	0	0	0	0	0	0	1.22222	0	1.22222	0	0	0	0	0	0	0	0.00337814	0	0.00337814	0	0	0	0	0	0	0	0.444444	0	0.444444	0	0	0	0	0	0	0	1.01865	0	1.01865	0	0	0	0	0	0	0	0.333333	0	0.333333
8	0	0	0	0	0	0	0	0	6.44444	0	6.44444	0	0	0	0	0	0	0.00882192	0.39171	0	0.400532	0	0	0	0	0	0	1.77778	47.7778	0	49.5556	0	0	0	0	0	0	0	16.3983	0	16.3983	0	0	0	0	0	0	0	35.8889	0	35.8889	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0.000905698	0	0.000905698	0	0	0	0	0	0	0	0.333333	0	0.333333	0	0	0	0	0	0	0	0.00899339	0	0.00899339	0	0	0	0	0	0	0	0.222222	0	0.222222
9	0	0	0	0	0	0	0	0	6.77778	0	6.77778	0	0	0	0	0	0	0.00921805	0.395487	0	0.404705	0	0	0	0	0	0	1.77778	47.6667	0	49.4444	0	0	0	0	0	0	0	16.4659	0	16.4659	0	0	0	0	0	0	0	36	0	36	0	0	0	0	0	0	0	0.666667	0	0.666667	0	0	0	0	0	0	0	0.00496422	0	0.00496422	0	0	0	0	0	0	0	0.666667	0	0.666667	0	0	0	0	0	0	0	0.0100566	0	0.0100566	0	0	0	0	0	0	0	0.111111	0	0.111111
10	0	0	0	0	0	0	0	0	7.11111	0	7.11111	0	0	0	0	0	0	0.00962432	0.388972	0	0.398596	0	0	0	0	0	0	1.77778	47.7778	0	49.5556	0	0	0	0	0	0	0	16.4348	0	16.4348	0	0	0	0	0	0	0	36.4444	0	36.4444	0	0	0	0	0	0	0	0.444444	0	0.444444	0	0	0	0	0	0	0	0.00321641	0	0.00321641	0	0	0	0	0	0	0	0.555556	0	0.555556	0	0	0	0	0	0	0	0.121255	0	0.121255	0	0	0	0	0	0	0	0.333333	0	0.333333
11	0	0	0	0	0	0	0	0	7.77778	0	7.77778	0	0	0	0	0	0	0.0100407	0.392754	0	0.402795	0	0	0	0	0	0	1.77778	47.4444	0	49.2222	0	0	0	0	0	0	0	16.4581	0	16.4581	0	0	0	0	0	0	0	35.8889	0	35.8889	0	0	0	0	0	0	0	0.555556	0	0.555556	0	0	0	0	0	0	0	0.00716328	0	0.00716328	0	0	0	0	0	0	0	0.888889	0	0.888889	0	0	0	0	0	0	0	0.0525826	0	0.0525826	0	0	0	0	0	0	0	0.666667	0	0.666667
12	0	0	0	0	0	0	0	0	7.11111	0	7.11111	0	0	0	0	0	0	0.0104673	0.395548	0	0.406016	0	0	0	0	0	0	1.77778	48	0	49.7778	0	0	0	0	0	0	0	16.5321	0	16.5321	0	0	0	0	0	0	0	36.1111	0	36.1111	0	0	0	0	0	0	0	1.33333	0	1.33333	0	0	0	0	0	0	0	0.00336531	0	0.00336531	0	0	0	0	0	0	0	0.222222	0	0.222222	0	0	0	0	0	0	0	0.00627718	0	0.00627718	0	0	0	0	0	0	0	0.111111	0	0.111111
