Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081715a-BBBPIPO.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.11916	2.92745	0.784726	0.235752	0.00403894	0.504957	0	0	0	5.57608	116.222	405.444	56.6667	14.4444	4.44444	41.8889	0	0	0	639.111	14.6859	27.4808	1.73527	32.525	0.296827	16.1218	0	0	0	92.8457	40.6667	289.556	6.33333	31.5556	2.55556	263.111	0	0	0	633.778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	12.1111	44.6667	0.222222	2.44444	0	9.88889	0	0	0	69.3333	1.11943	2.9234	0.778899	0.224289	0.00423904	0.484669	0	0	0	5.53492	115.222	398.444	55.4444	13.8889	4.33333	40.1111	0	0	0	627.444	14.2734	27.5621	1.72538	31.4802	0.298411	16.0691	0	0	0	91.4086	40.3333	289.444	6.11111	31	2.55556	261.333	0	0	0	630.778	0	0	0	0	0	0	0	0	0	0	0.00475152	0.0346403	0.0240923	0.00846419	2.14689e-006	0.00552246	0	0	0	0.0774729	0.555556	4.44444	1.22222	0.333333	0.111111	0.444444	0	0	0	7.11111	0.493594	0.220556	0.0237097	1.16139	0	0.224052	0	0	0	2.1233	0.777778	2.66667	0.222222	0.777778	0	3.11111	0	0	0	7.55556
2	0	22.3333	79.5556	0.666667	3.44444	0	13.5556	0	0	0	119.556	1.12168	2.91193	0.779306	0.22344	0.00370435	0.475043	0	0	0	5.5151	114	390.667	54.1111	13.1111	4	39	0	0	0	614.889	14.2866	27.2253	1.73894	30.0395	0.237798	16.1328	0	0	0	89.6611	40.3333	289.222	6.11111	29.6667	2.55556	260	0	0	0	627.889	3.33333	7.22222	0	0.333333	0	4.33333	0	0	0	15.2222	0.0121523	0.0371848	0.0177283	0.00650383	0.000217047	0.00220394	0	0	0	0.0759902	1	5	1.33333	0.777778	0.222222	0.222222	0	0	0	8.55556	0.0574609	0.643345	0	1.54575	0.06273	0.0992773	0	0	0	2.40857	0.222222	3	0	1.33333	0.111111	2.22222	0	0	0	6.88889
3	0	29.8889	108	0.888889	4.66667	0	15.1111	0	0	0	158.556	1.11317	2.89326	0.752733	0.219192	0.00389423	0.453533	0	0	0	5.43578	112.111	383.333	51.7778	12.6667	4	37.1111	0	0	0	601	14.2802	27.3605	1.73293	29.7355	0.234529	16.0933	0	0	0	89.4369	40.3333	289.889	6	28.7778	2.44444	258.333	0	0	0	625.778	5	13.5556	0	0.666667	0	5.33333	0	0	0	24.5556	0.0181851	0.0332303	0.0342978	0.0053457	0	0.00816794	0	0	0	0.0992268	1.55556	4	2.22222	0.333333	0	0.666667	0	0	0	8.77778	0.0818454	0.181369	0.0299021	0.408262	0.00468489	0.208193	0	0	0	0.914257	0.333333	2.66667	0.222222	1	0.111111	2.88889	0	0	0	7.22222
4	0	34.3333	131.222	1.22222	5.55556	0	17.1111	0	0	0	189.444	1.11171	2.90326	0.750695	0.210922	0.00402674	0.431733	0	0	0	5.41235	111	377.778	50	12	3.88889	35.3333	0	0	0	590	14.3492	27.3647	1.63562	26.0113	0.235897	16.1171	0	0	0	85.7139	40.6667	289.556	5.77778	28	2.44444	257.778	0	0	0	624.222	8	17.7778	0	0.444444	0	5.55556	0	0	0	31.7778	0.00624936	0.0206475	0.019465	0.00922572	6.39003e-005	0.00803468	0	0	0	0.0636861	0.666667	3.11111	1.77778	0.555556	0.111111	0.555556	0	0	0	6.77778	0.0109761	0.296258	0.110785	3.82634	0	0.144359	0	0	0	4.38872	0.111111	2.77778	0.222222	0.888889	0	1.77778	0	0	0	5.77778
5	0	37.5556	149.444	1.22222	6.66667	0	16.2222	0	0	0	211.111	1.10189	2.88016	0.746684	0.201337	0.00370832	0.418951	0	0	0	5.35273	109.222	369.778	48.7778	11.3333	3.77778	34.1111	0	0	0	577	14.0535	27.489	1.65873	24.4121	0.237789	16.1349	0	0	0	83.9861	40.3333	290.222	5.88889	26.6667	2.55556	255.778	0	0	0	621.444	8.88889	22.3333	0.333333	1.11111	0	8.22222	0	0	0	40.8889	0.0287127	0.0324088	0.0109706	0.0146992	0	0.00443781	0	0	0	0.0912291	1.66667	4.44444	1.11111	0.666667	0	0.333333	0	0	0	8.22222	0.361945	0.197286	0	1.69186	0	0.144513	0	0	0	2.3956	0.444444	2.88889	0	1.33333	0	2.88889	0	0	0	7.55556
6	0	42.8889	164.556	1.11111	6.33333	0	20.5556	0	0	0	235.444	1.11225	2.87299	0.740789	0.192148	0.00384983	0.399023	0	0	0	5.32105	108.667	363.333	47.3333	12	3.55556	32.3333	0	0	0	567.222	14.1072	27.264	1.60741	23.9362	0.239189	16.1872	0	0	0	83.3412	40.4444	288.444	5.66667	25.7778	2.55556	255.333	0	0	0	618.222	8	30	0.222222	0.444444	0	5.66667	0	0	0	44.3333	0.00362559	0.0322912	0.0229709	0.00532957	4.90968e-005	0.00372217	0	0	0	0.0679886	0.333333	3.77778	1.55556	0.333333	0.222222	0.444444	0	0	0	6.66667	0.0166164	0.530695	0.0643905	0.572023	0	0.117275	0	0	0	1.301	0.111111	4.44444	0.222222	1.11111	0	1.77778	0	0	0	7.66667
7	0	47.7778	176.778	1	7	0.111111	22	0	0	0	254.667	1.13274	2.83174	0.732678	0.184214	0.00404063	0.376863	0	0	0	5.26227	108.222	354.333	47.2222	11.8889	3.55556	30.6667	0	0	0	555.889	14.1066	27.3622	1.62003	23.3659	0.13095	16.2089	0	0	0	82.7946	40.1111	289.556	5.66667	24.3333	2.22222	253.778	0	0	0	615.667	8.66667	27.2222	0.111111	0.444444	0	8.11111	0	0	0	44.5556	0.00301163	0.038417	0.0249714	0.0038475	0	0.00176014	0	0	0	0.0720077	0.444444	4.88889	0.555556	0.666667	0	0.111111	0	0	0	6.66667	0.0617159	0.23327	0	0.663827	0.109647	0.151688	0	0	0	1.22015	0.333333	3	0	1.66667	0.333333	3.11111	0	0	0	8.44444
8	0	46.2222	177	1.11111	6.77778	0	22.5556	0	0	0	253.667	1.13199	2.82581	0.735724	0.171165	0.00423723	0.370516	0	0	0	5.23944	108.889	362.667	45.7778	12.3333	3.55556	29.8889	0	0	0	563.111	14.1496	27.4864	1.56007	23.2502	0.130174	16.2031	0	0	0	82.7795	40.2222	288.778	5.33333	23.8889	2.11111	252	0	0	0	612.333	11	26.7778	0.111111	1	0.111111	9.44444	0	0	0	48.4444	0.0105859	0.0264599	0.0137054	0.00876093	0	0.00479681	0	0	0	0.0643089	1.33333	4.22222	1.55556	0.555556	0	0.333333	0	0	0	8	0.0319964	0.184861	0.0726401	0.205587	0.00185762	0.159821	0	0	0	0.656763	0.222222	3.66667	0.333333	0.666667	0.111111	2.22222	0	0	0	7.22222
9	0	49	179.889	1.11111	6.77778	0	22.2222	0	0	0	259	1.13492	2.79968	0.734742	0.160112	0.00437748	0.358218	0	0	0	5.19204	110.778	368.889	45	12.4444	3.44444	28.7778	0	0	0	569.333	14.1564	27.5153	1.54224	22.8983	0.128101	16.245	0	0	0	82.4853	40.2222	290.556	5.33333	23.3333	1.88889	250.556	0	0	0	611.889	9.11111	24.5556	0.111111	1.11111	0	8.44444	0	0	0	43.3333	0.0116146	0.0271732	0.00729623	0.00651151	6.21648e-005	0.00291092	0	0	0	0.0555686	0.666667	3.88889	0.888889	0.333333	0.111111	0.222222	0	0	0	6.11111	0.0636719	0.299666	0.0402014	0.440496	0.00312595	0.119229	0	0	0	0.96639	0.222222	2.11111	0.111111	0.777778	0.222222	2.33333	0	0	0	5.77778
