Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081715a-EMRIDGE.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0043297	0.298768	0	0.303098	0	0	0	0	0	0	1.66667	46.2222	0	47.8889	0	0	0	0	0	0	0.0164576	10.0051	0	10.0215	0	0	0	0	0	0	0.222222	37.3333	0	37.5556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	1.44444	0	1.44444	0	0	0	0	0	0	0.00458243	0.300355	0	0.304937	0	0	0	0	0	0	1.66667	45.5556	0	47.2222	0	0	0	0	0	0	0.0167232	9.91343	0	9.93015	0	0	0	0	0	0	0.222222	36.6667	0	36.8889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00480671	0	0.00480671	0	0	0	0	0	0	0	0.444444	0	0.444444	0	0	0	0	0	0	0	0.163588	0	0.163588	0	0	0	0	0	0	0	0.888889	0	0.888889
2	0	0	0	0	0	0	0	0	2.88889	0	2.88889	0	0	0	0	0	0	0.00484466	0.303504	0	0.308349	0	0	0	0	0	0	1.66667	45	0	46.6667	0	0	0	0	0	0	0.016991	9.97773	0	9.99472	0	0	0	0	0	0	0.222222	36.7778	0	37	0	0	0	0	0	0	0	0.222222	0	0.222222	0	0	0	0	0	0	0	0.00324514	0	0.00324514	0	0	0	0	0	0	0	0.333333	0	0.333333	0	0	0	0	0	0	0	0.00670215	0	0.00670215	0	0	0	0	0	0	0	0.111111	0	0.111111
3	0	0	0	0	0	0	0	0	4.11111	0	4.11111	0	0	0	0	0	0	0.0051164	0.307357	0	0.312473	0	0	0	0	0	0	1.66667	44.5556	0	46.2222	0	0	0	0	0	0	0.0172612	10.0403	0	10.0576	0	0	0	0	0	0	0.222222	36.8889	0	37.1111	0	0	0	0	0	0	0	0.222222	0	0.222222	0	0	0	0	0	0	0	0.000212746	0	0.000212746	0	0	0	0	0	0	0	0.111111	0	0.111111	0	0	0	0	0	0	0	0.011224	0	0.011224	0	0	0	0	0	0	0	0.222222	0	0.222222
4	0	0	0	0	0	0	0	0	6	0	6	0	0	0	0	0	0	0.00539763	0.309241	0	0.314639	0	0	0	0	0	0	1.66667	43.7778	0	45.4444	0	0	0	0	0	0	0.0175335	10.0384	0	10.056	0	0	0	0	0	0	0.222222	36.6667	0	36.8889	0	0	0	0	0	0	0	0.222222	0	0.222222	0	0	0	0	0	0	0	0.00467709	0	0.00467709	0	0	0	0	0	0	0	0.555556	0	0.555556	0	0	0	0	0	0	0	0.0735918	0	0.0735918	0	0	0	0	0	0	0	0.444444	0	0.444444
5	0	0	0	0	0	0	0	0.111111	6.88889	0	7	0	0	0	0	0	0	0.00568837	0.309057	0	0.314745	0	0	0	0	0	0	1.66667	42.6667	0	44.3333	0	0	0	0	0	0	0.0178081	10.1045	0	10.1224	0	0	0	0	0	0	0.222222	36.7778	0	37	0	0	0	0	0	0	0	0.777778	0	0.777778	0	0	0	0	0	0	0	0.00672066	0	0.00672066	0	0	0	0	0	0	0	0.888889	0	0.888889	0	0	0	0	0	0	0	0.00540539	0	0.00540539	0	0	0	0	0	0	0	0.111111	0	0.111111
6	0	0	0	0	0	0	0	0.111111	6.55556	0	6.66667	0	0	0	0	0	0	0.0059886	0.314761	0	0.320749	0	0	0	0	0	0	1.66667	43.2222	0	44.8889	0	0	0	0	0	0	0.00505297	10.0599	0	10.065	0	0	0	0	0	0	0.111111	36.6667	0	36.7778	0	0	0	0	0	0	0	0.666667	0	0.666667	0	0	0	0	0	0	0	0.000830375	0	0.000830375	0	0	0	0	0	0	0	0.222222	0	0.222222	0	0	0	0	0	0	0.013032	0.116522	0	0.129554	0	0	0	0	0	0	0.111111	0.333333	0	0.444444
7	0	0	0	0	0	0	0	0	6.55556	0	6.55556	0	0	0	0	0	0	0.00629834	0.318035	0	0.324333	0	0	0	0	0	0	1.66667	43.7778	0	45.4444	0	0	0	0	0	0	0.00516021	10.0878	0	10.0929	0	0	0	0	0	0	0.111111	36.5556	0	36.6667	0	0	0	0	0	0	0.111111	0.666667	0	0.777778	0	0	0	0	0	0	0	0.0033645	0	0.0033645	0	0	0	0	0	0	0	0.333333	0	0.333333	0	0	0	0	0	0	0	0.0437172	0	0.0437172	0	0	0	0	0	0	0	0.333333	0	0.333333
8	0	0	0	0	0	0	0	0	7.22222	0	7.22222	0	0	0	0	0	0	0.00661757	0.319634	0	0.326251	0	0	0	0	0	0	1.66667	43.5556	0	45.2222	0	0	0	0	0	0	0.00526857	10.1539	0	10.1592	0	0	0	0	0	0	0.111111	36.6667	0	36.7778	0	0	0	0	0	0	0	0.888889	0	0.888889	0	0	0	0	0	0	0	0.00507374	0	0.00507374	0	0	0	0	0	0	0	0.777778	0	0.777778	0	0	0	0	0	0	0	0.00542626	0	0.00542626	0	0	0	0	0	0	0	0.111111	0	0.111111
9	0	0	0	0	0	0	0	0	7.11111	0	7.11111	0	0	0	0	0	0	0.00694631	0.315632	0	0.322578	0	0	0	0	0	0	1.66667	43.6667	0	45.3333	0	0	0	0	0	0	0.00537806	10.1903	0	10.1957	0	0	0	0	0	0	0.111111	36.5556	0	36.6667	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0.00831511	0	0.00831511	0	0	0	0	0	0	0	0.777778	0	0.777778	0	0	0	0	0	0	0	0.0379904	0	0.0379904	0	0	0	0	0	0	0	0.444444	0	0.444444
