Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081715a-FRPIJE.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0.086318	0.000470135	0.0399578	0	0	0.0713915	0.811008	0.0116899	0	1.02083	6.77778	3	2.11111	0	0	13.1111	89.2222	1	0	115.222	6.1017	0	39.0156	0	0	0.109206	81.6064	0	0	126.833	6.22222	0	1.88889	0	0	2.88889	51.4444	0	0	62.4444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	2.55556	0	0.111111	0	0	0	3.44444	0	0	6.11111	0.0823726	0.00055184	0.0407448	0	0	0.0730001	0.816873	0.0120578	0	1.0256	6.55556	3	2.11111	0	0	13.1111	88.1111	1	0	113.889	6.12149	0	39.0386	0	0	0.110538	80.9969	0	0	126.268	6.33333	0	1.88889	0	0	2.88889	51.1111	0	0	62.2222	0	0	0	0	0	0	0	0	0	0	0.000791813	0	0	0	0	0	0.0063089	0	0	0.00710071	0.111111	0	0	0	0	0	0.777778	0	0	0.888889	0	0	0	0	0	0	0.773161	0	0	0.773161	0	0	0	0	0	0	0.666667	0	0	0.666667
2	0	4.11111	0	0.333333	0	0	0	6	0	0	10.4444	0.0744548	0.00064252	0.0415439	0	0	0.0727161	0.821374	0.0124314	0	1.02316	6.33333	3	2.11111	0	0	13	86.8889	1	0	112.333	6.14609	0	39.0429	0	0	0.113791	79.1101	0	0	124.413	6.55556	0	1.77778	0	0	3	50.7778	0	0	62.1111	0.444444	0	0	0	0	0	0.666667	0	0	1.11111	0	0	0	0	0	0	0.00781653	0	0	0.00781653	0	0	0	0	0	0	0.888889	0	0	0.888889	0	0	0.0187404	0	0	0	2.04869	0	0	2.06743	0	0	0.111111	0	0	0	0.666667	0	0	0.777778
3	0	5	0	0.333333	0	0	0.222222	7.44444	0	0	13	0.0758579	0.000742174	0.0310278	0	0	0.073709	0.815998	0.0113873	0	1.00872	6.33333	3	1.88889	0	0	12.7778	85.3333	0.888889	0	110.222	5.9058	0	39.076	0	0	0.110484	79.1438	0	0	124.236	6.44444	0	1.88889	0	0	2.88889	50.5556	0	0	61.7778	1.22222	0	0.111111	0	0	0	0.777778	0	0	2.11111	0	0	0.0010451	0	0	0.000632143	0.0135678	0.00142341	0	0.0166684	0	0	0.111111	0	0	0.222222	1.11111	0.111111	0	1.55556	0.255666	0	0	0	0	0.00469096	0.12971	0	0	0.390067	0.111111	0	0	0	0	0.111111	0.666667	0	0	0.888889
4	0	5.55556	0	0.444444	0	0	0.111111	9	0	0	15.1111	0.0725788	0.000850802	0.0316997	0	0	0.0730912	0.822524	0.0117295	0	1.01247	6.22222	3	1.88889	0	0	12.4444	84.3333	0.888889	0	108.778	5.92536	0	39.099	0	0	0.113733	78.0627	0	0	123.201	6.55556	0	1.88889	0	0	3	50.3333	0	0	61.7778	0.888889	0	0	0	0	0.222222	0.666667	0	0	1.77778	0	0	0	0	0	0.000330481	0.00565838	0	0	0.00598886	0	0	0	0	0	0.222222	0.666667	0	0	0.888889	0	0	0	0	0	0	1.24011	0	0	1.24011	0	0	0	0	0	0	0.555556	0	0	0.555556
5	0	5.11111	0	0.555556	0	0	0.333333	9.66667	0	0	15.6667	0.0736079	0.000968404	0.0323825	0	0	0.0718578	0.81514	0.0120769	0	1.00603	6.11111	3	1.88889	0	0	12.2222	82.4444	0.888889	0	106.556	5.94033	0	39.122	0	0	0.117028	78.0393	0	0	123.219	6.55556	0	1.88889	0	0	3.11111	50.3333	0	0	61.8889	2.44444	0	0	0	0	0	1.33333	0	0	3.77778	0.000355603	0	0	0	0	0.000922936	0.0113597	0	0	0.0126382	0.111111	0	0	0	0	0.111111	1.33333	0	0	1.55556	0	0	0	0	0	0	0.188724	0	0	0.188724	0	0	0	0	0	0	0.555556	0	0	0.555556
6	0	5.22222	0	0.444444	0	0	0.333333	8.66667	0	0	14.6667	0.0749955	0.00109498	0.0321116	0	0	0.0714949	0.817206	0.0124292	0	1.00933	6.11111	3	1.88889	0	0	12	83	0.888889	0	106.889	5.95533	0	39.1451	0	0	0.118452	77.7786	0	0	122.997	6.55556	0	1.88889	0	0	3.11111	50.3333	0	0	61.8889	2.33333	0	0	0	0	0	1.33333	0	0	3.66667	0	0	0.000974983	0	0	0.00194234	0.00594575	0	0	0.00886308	0	0	0.111111	0	0	0.222222	0.666667	0	0	1	0	0	0	0	0	0	0.421781	0	0	0.421781	0	0	0	0	0	0	0.444444	0	0	0.444444
7	0	5.11111	0	0.333333	0	0	0.555556	9.44444	0	0	15.4444	0.0764009	0.00123053	0.032795	0	0	0.0729519	0.821759	0.0127867	0	1.01792	6.11111	3	2	0	0	11.8889	83.1111	0.888889	0	107	5.97036	0	39.1681	0	0	0.115839	77.2234	0	0	122.478	6.55556	0	1.88889	0	0	3	49.4444	0	0	60.8889	1.88889	0	0	0	0	0.111111	1	0	0	3	0	0	0	0	0	0.000104714	0.00769583	0	0	0.00780054	0	0	0	0	0	0.111111	1	0	0	1.11111	0	0	0	0	0	0.00404666	0.711373	0	0	0.71542	0	0	0	0	0	0.111111	1.22222	0	0	1.33333
8	0	5.88889	0	0.222222	0	0	0	10	0	0	16.1111	0.0689971	0.0013493	0.0272617	0	0	0.074527	0.820238	0.0131492	0	1.00552	6.44444	2.88889	2	0	0	11.8889	83.5556	0.888889	0	107.667	5.96195	0	39.1912	0	0	0.117231	77.2873	0	0	122.558	6.55556	0	1.88889	0	0	3	49.4444	0	0	60.8889	0.888889	0	0	0	0	0.555556	0.555556	0	0	2	0.00415999	2.57569e-005	0.0062314	0	0	0	0.00963675	0	0	0.0200539	0.222222	0.111111	0.111111	0	0	0	0.555556	0	0	1	0.0282187	0	0	0	0	0	0.0938362	0	0	0.122055	0.111111	0	0	0	0	0	0.444444	0	0	0.555556
9	0	6.55556	0	0.111111	0	0	0	10.6667	0	0	17.3333	0.0688087	0.0014985	0.0278861	0	0	0.0736619	0.805073	0.0135168	0	0.990445	6.44444	2.88889	2.11111	0	0	11.6667	83.6667	0.888889	0	107.667	5.97694	0	39.2143	0	0	0.120559	77.3191	0	0	122.631	6.55556	0	1.88889	0	0	3.11111	50	0	0	61.5556	1.11111	0	0	0	0	0	0.888889	0	0	2	0.00154261	0	0	0	0	0.000531065	0.0109996	0	0	0.0130733	0.111111	0	0	0	0	0.111111	0.666667	0	0	0.888889	0	0	0	0	0	0	0.138599	0	0	0.138599	0	0	0	0	0	0	0.222222	0	0	0.222222
