Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081715a-PGABMA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0108768	5.16784	5.17872	0	0	0	0	0	0	0	2	511.667	513.667	0	0	0	0	0	0	0	0.396164	215.058	215.454	0	0	0	0	0	0	0	1.33333	262.444	263.778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0.111111	12.7778	12.8889	0	0	0	0	0	0	0	0.00958812	5.19607	5.20565	0	0	0	0	0	0	0	1.88889	508.778	510.667	0	0	0	0	0	0	0	0.399012	215.527	215.926	0	0	0	0	0	0	0	1.33333	263	264.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00171911	0.0163484	0.0180675	0	0	0	0	0	0	0	0.111111	1.44444	1.55556	0	0	0	0	0	0	0	0	0.0972975	0.0972975	0	0	0	0	0	0	0	0	0.888889	0.888889
2	0	0	0	0	0	0	0	0	0.111111	23.8889	24	0	0	0	0	0	0	0	0.00791926	5.22026	5.22818	0	0	0	0	0	0	0	1.77778	506.111	507.889	0	0	0	0	0	0	0	0.401873	215.169	215.571	0	0	0	0	0	0	0	1.33333	263.778	265.111	0	0	0	0	0	0	0	0	2.77778	2.77778	0	0	0	0	0	0	0	0.0020637	0.0113495	0.0134132	0	0	0	0	0	0	0	0.111111	1	1.11111	0	0	0	0	0	0	0	0	0.935941	0.935941	0	0	0	0	0	0	0	0	0.888889	0.888889
3	0	0	0	0	0	0	0	0	0.222222	29.6667	29.8889	0	0	0	0	0	0	0	0.00827342	5.2384	5.24667	0	0	0	0	0	0	0	1.77778	503.111	504.889	0	0	0	0	0	0	0	0.404748	215.623	216.028	0	0	0	0	0	0	0	1.33333	264.444	265.778	0	0	0	0	0	0	0	0	5.66667	5.66667	0	0	0	0	0	0	0	0	0.0225895	0.0225895	0	0	0	0	0	0	0	0	1.44444	1.44444	0	0	0	0	0	0	0	0	0.118849	0.118849	0	0	0	0	0	0	0	0	0.888889	0.888889
4	0	0	0	0	0	0	0	0	0.111111	35.4444	35.5556	0	0	0	0	0	0	0	0.00863772	5.2979	5.30653	0	0	0	0	0	0	0	1.77778	500.333	502.111	0	0	0	0	0	0	0	0.407637	215.915	216.323	0	0	0	0	0	0	0	1.33333	264.222	265.556	0	0	0	0	0	0	0	0.111111	7.66667	7.77778	0	0	0	0	0	0	0	0	0.0287543	0.0287543	0	0	0	0	0	0	0	0	2.33333	2.33333	0	0	0	0	0	0	0	0	0.235384	0.235384	0	0	0	0	0	0	0	0	0.666667	0.666667
5	0	0	0	0	0	0	0	0	0	40.7778	40.7778	0	0	0	0	0	0	0	0.00901214	5.35163	5.36064	0	0	0	0	0	0	0	1.77778	498	499.778	0	0	0	0	0	0	0	0.410539	216.182	216.593	0	0	0	0	0	0	0	1.33333	264.333	265.667	0	0	0	0	0	0	0	0.111111	7.33333	7.44444	0	0	0	0	0	0	0	0	0.025715	0.025715	0	0	0	0	0	0	0	0	1.66667	1.66667	0	0	0	0	0	0	0	0	0.270341	0.270341	0	0	0	0	0	0	0	0	0.555556	0.555556
6	0	0	0	0	0	0	0	0	0.111111	43.1111	43.2222	0	0	0	0	0	0	0	0.0093967	5.33959	5.34898	0	0	0	0	0	0	0	1.77778	494.111	495.889	0	0	0	0	0	0	0	0.413454	216.597	217.01	0	0	0	0	0	0	0	1.33333	265.889	267.222	0	0	0	0	0	0	0	0	9.55556	9.55556	0	0	0	0	0	0	0	0	0.0261975	0.0261975	0	0	0	0	0	0	0	0	1.66667	1.66667	0	0	0	0	0	0	0	0	0.190019	0.190019	0	0	0	0	0	0	0	0	0.666667	0.666667
7	0	0	0	0	0	0	0	0	0.111111	46.3333	46.4444	0	0	0	0	0	0	0	0.0097914	5.32345	5.33324	0	0	0	0	0	0	0	1.77778	489.556	491.333	0	0	0	0	0	0	0	0.416383	216.104	216.52	0	0	0	0	0	0	0	1.33333	267	268.333	0	0	0	0	0	0	0	0	9.55556	9.55556	0	0	0	0	0	0	0	0	0.034882	0.034882	0	0	0	0	0	0	0	0	2.44444	2.44444	0	0	0	0	0	0	0	0	1.09427	1.09427	0	0	0	0	0	0	0	0	1	1
8	0	0	0	0	0	0	0	0	0.111111	46.3333	46.4444	0	0	0	0	0	0	0	0.0101962	5.34983	5.36003	0	0	0	0	0	0	0	1.77778	489	490.778	0	0	0	0	0	0	0	0.419326	215.78	216.199	0	0	0	0	0	0	0	1.33333	266.667	268	0	0	0	0	0	0	0	0	10.4444	10.4444	0	0	0	0	0	0	0	0	0.0112796	0.0112796	0	0	0	0	0	0	0	0	1.33333	1.33333	0	0	0	0	0	0	0	0	0.90673	0.90673	0	0	0	0	0	0	0	0	2	2
9	0	0	0	0	0	0	0	0	0.222222	51.3333	51.5556	0	0	0	0	0	0	0	0.0106112	5.36124	5.37185	0	0	0	0	0	0	0	1.77778	488	489.778	0	0	0	0	0	0	0	0.378908	213.171	213.55	0	0	0	0	0	0	0	1.22222	268	269.222	0	0	0	0	0	0	0	0.111111	9.66667	9.77778	0	0	0	0	0	0	0	0	0.0125262	0.0125262	0	0	0	0	0	0	0	0	1.44444	1.44444	0	0	0	0	0	0	0	0.0433736	3.20442	3.2478	0	0	0	0	0	0	0	0.111111	0.666667	0.777778
