Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081715a-POFLABMA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.174111	0	2.88237	3.05648	0	0	0	0	0	0	23.7778	0	371.667	395.444	0	0	0	0	0	0	11.2726	0	763.211	774.483	0	0	0	0	0	0	10.4444	0	188	198.444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0.333333	0	8.88889	9.22222	0	0	0	0	0	0	0.171102	0	2.90344	3.07454	0	0	0	0	0	0	23.4444	0	369.444	392.889	0	0	0	0	0	0	11.1881	0	759.225	770.413	0	0	0	0	0	0	10.5556	0	188.111	198.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000199599	0	0.0130364	0.013236	0	0	0	0	0	0	0.111111	0	1.55556	1.66667	0	0	0	0	0	0	0.124629	0	4.61945	4.74408	0	0	0	0	0	0	0.111111	0	0.555556	0.666667
2	0	0	0	0	0	0	0	1	0	18.8889	19.8889	0	0	0	0	0	0	0.161569	0	2.91965	3.08122	0	0	0	0	0	0	22.7778	0	367.444	390.222	0	0	0	0	0	0	11.1494	0	759.588	770.737	0	0	0	0	0	0	10.6667	0	188.111	198.778	0	0	0	0	0	0	0.111111	0	2.22222	2.33333	0	0	0	0	0	0	0.00663567	0	0.0136831	0.0203188	0	0	0	0	0	0	0.444444	0	1.22222	1.66667	0	0	0	0	0	0	0.0787828	0	0.271564	0.350347	0	0	0	0	0	0	0.111111	0	0.777778	0.888889
3	0	0	0	0	0	0	0	1.22222	0	26.1111	27.3333	0	0	0	0	0	0	0.16681	0	2.93898	3.10579	0	0	0	0	0	0	22.7778	0	365.222	388	0	0	0	0	0	0	11.1684	0	760.052	771.22	0	0	0	0	0	0	10.5556	0	187.667	198.222	0	0	0	0	0	0	0.111111	0	3.88889	4	0	0	0	0	0	0	0	0	0.0109922	0.0109922	0	0	0	0	0	0	0	0	1.44444	1.44444	0	0	0	0	0	0	0.0125874	0	0.171705	0.184292	0	0	0	0	0	0	0.111111	0	1.22222	1.33333
4	0	0	0	0	0	0	0	1.66667	0	30	31.6667	0	0	0	0	0	0	0.168074	0	2.97389	3.14196	0	0	0	0	0	0	22.6667	0	363.778	386.444	0	0	0	0	0	0	9.62139	0	760.3	769.921	0	0	0	0	0	0	10.5556	0	187.778	198.333	0	0	0	0	0	0	0.111111	0	5.22222	5.33333	0	0	0	0	0	0	0	0	0.00519663	0.00519663	0	0	0	0	0	0	0	0	0.888889	0.888889	0	0	0	0	0	0	1.58262	0	0.378135	1.96076	0	0	0	0	0	0	0.111111	0	0.444444	0.555556
5	0	0	0	0	0	0	0	1.66667	0	35	36.6667	0	0	0	0	0	0	0.164862	0	3.00729	3.17216	0	0	0	0	0	0	22.2222	0	362.556	384.778	0	0	0	0	0	0	9.57281	0	760.245	769.818	0	0	0	0	0	0	10.5556	0	187.556	198.111	0	0	0	0	0	0	0.111111	0	6.22222	6.33333	0	0	0	0	0	0	0.00450189	0	0.0026571	0.00715899	0	0	0	0	0	0	0.333333	0	0.555556	0.888889	0	0	0	0	0	0	0.0825464	0	0.686477	0.769024	0	0	0	0	0	0	0.111111	0	0.888889	1
6	0	0	0	0	0	0	0	1.77778	0	39	40.7778	0	0	0	0	0	0	0.165193	0	3.00765	3.17285	0	0	0	0	0	0	22	0	359.889	381.889	0	0	0	0	0	0	9.59766	0	760.587	770.185	0	0	0	0	0	0	10.5556	0	188.556	199.111	0	0	0	0	0	0	0.222222	0	7	7.22222	0	0	0	0	0	0	0.000957373	0	0.0128882	0.0138456	0	0	0	0	0	0	0.333333	0	1.44444	1.77778	0	0	0	0	0	0	0.00886085	0	0.31164	0.320501	0	0	0	0	0	0	0.111111	0	0.222222	0.333333
7	0	0	0	0	0	0	0	2.22222	0	38.2222	40.4444	0	0	0	0	0	0	0.167734	0	3.03827	3.206	0	0	0	0	0	0	22	0	358.111	380.111	0	0	0	0	0	0	9.62733	0	757.543	767.17	0	0	0	0	0	0	10.5556	0	188.667	199.222	0	0	0	0	0	0	0.111111	0	9.55556	9.66667	0	0	0	0	0	0	0.00287444	0	0.0110104	0.0138849	0	0	0	0	0	0	0.444444	0	1.22222	1.66667	0	0	0	0	0	0	0	0	3.67177	3.67177	0	0	0	0	0	0	0	0	0.444444	0.444444
8	0	0	0	0	0	0	0	2.33333	0	38.2222	40.5556	0	0	0	0	0	0	0.16712	0	3.02456	3.19168	0	0	0	0	0	0	21.8889	0	357.889	379.778	0	0	0	0	0	0	9.6042	0	753.393	762.997	0	0	0	0	0	0	10.4444	0	189.556	200	0	0	0	0	0	0	0.222222	0	7	7.22222	0	0	0	0	0	0	0.00187519	0	0.0183866	0.0202618	0	0	0	0	0	0	0.222222	0	1.33333	1.55556	0	0	0	0	0	0	0.057075	0	4.81324	4.87032	0	0	0	0	0	0	0.222222	0	0.555556	0.777778
9	0	0	0	0	0	0	0	1.88889	0	39.3333	41.2222	0	0	0	0	0	0	0.16422	0	3.05222	3.21644	0	0	0	0	0	0	21.8889	0	358.667	380.556	0	0	0	0	0	0	9.63456	0	752.614	762.248	0	0	0	0	0	0	10.5556	0	189	199.556	0	0	0	0	0	0	0.666667	0	8	8.66667	0	0	0	0	0	0	6.52534e-005	0	0.0101084	0.0101737	0	0	0	0	0	0	0.111111	0	0.888889	1	0	0	0	0	0	0	0.00739641	0	1.40861	1.41601	0	0	0	0	0	0	0.111111	0	1.22222	1.33333
