Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081715a-SFTRABMA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0322996	7.82193	7.85423	0	0	0	0	0	0	0	5.44444	1435	1440.44	0	0	0	0	0	0	0	0.102501	84.0423	84.1448	0	0	0	0	0	0	0	1.55556	195.889	197.444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	11.8889	11.8889	0	0	0	0	0	0	0	0.0321412	7.93572	7.96787	0	0	0	0	0	0	0	5.33333	1429	1434.33	0	0	0	0	0	0	0	0.104192	84.0586	84.1628	0	0	0	0	0	0	0	1.55556	196.111	197.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00146088	0.0265752	0.028036	0	0	0	0	0	0	0	0.111111	4.66667	4.77778	0	0	0	0	0	0	0	0	0.334693	0.334693	0	0	0	0	0	0	0	0	1.11111	1.11111
2	0	0	0	0	0	0	0	0	0.111111	18.2222	18.3333	0	0	0	0	0	0	0	0.0334314	8.03589	8.06932	0	0	0	0	0	0	0	5.33333	1423.56	1428.89	0	0	0	0	0	0	0	0.105899	84.3784	84.4843	0	0	0	0	0	0	0	1.55556	197.444	199	0	0	0	0	0	0	0	0	3.77778	3.77778	0	0	0	0	0	0	0	0	0.0195348	0.0195348	0	0	0	0	0	0	0	0	3.55556	3.55556	0	0	0	0	0	0	0	0	0.0549847	0.0549847	0	0	0	0	0	0	0	0	0.555556	0.555556
3	0	0	0	0	0	0	0	0	0.222222	25.1111	25.3333	0	0	0	0	0	0	0	0.0344979	8.15451	8.18901	0	0	0	0	0	0	0	5.22222	1417.67	1422.89	0	0	0	0	0	0	0	0.107622	84.6776	84.7852	0	0	0	0	0	0	0	1.55556	198.333	199.889	0	0	0	0	0	0	0	0	3.88889	3.88889	0	0	0	0	0	0	0	0.000254045	0.027436	0.0276901	0	0	0	0	0	0	0	0.111111	4.55556	4.66667	0	0	0	0	0	0	0	0	0.053658	0.053658	0	0	0	0	0	0	0	0	0.444444	0.444444
4	0	0	0	0	0	0	0	0	0.111111	29.8889	30	0	0	0	0	0	0	0	0.0354953	8.27826	8.31376	0	0	0	0	0	0	0	5.11111	1412.67	1417.78	0	0	0	0	0	0	0	0.100405	84.7331	84.8335	0	0	0	0	0	0	0	1.33333	199.222	200.556	0	0	0	0	0	0	0	0.111111	5.55556	5.66667	0	0	0	0	0	0	0	0.000335236	0.0203006	0.0206358	0	0	0	0	0	0	0	0.111111	3.55556	3.66667	0	0	0	0	0	0	0	0.00895482	0.303784	0.312739	0	0	0	0	0	0	0	0.222222	0.555556	0.777778
5	0	0	0	0	0	0	0	0	0.111111	35.6667	35.7778	0	0	0	0	0	0	0	0.0344172	8.38201	8.41643	0	0	0	0	0	0	0	5	1405.33	1410.33	0	0	0	0	0	0	0	0.104378	84.8882	84.9926	0	0	0	0	0	0	0	1.44444	199.778	201.222	0	0	0	0	0	0	0	0	6.55556	6.55556	0	0	0	0	0	0	0	0	0.0337295	0.0337295	0	0	0	0	0	0	0	0	5.66667	5.66667	0	0	0	0	0	0	0	0	0.214356	0.214356	0	0	0	0	0	0	0	0	1.11111	1.11111
6	0	0	0	0	0	0	0	0	0.333333	38.5556	38.8889	0	0	0	0	0	0	0	0.0357322	8.50743	8.54317	0	0	0	0	0	0	0	5	1399	1404	0	0	0	0	0	0	0	0.0836361	85.0388	85.1224	0	0	0	0	0	0	0	1.33333	200.667	202	0	0	0	0	0	0	0	0	7.44444	7.44444	0	0	0	0	0	0	0	0	0.0240242	0.0240242	0	0	0	0	0	0	0	0	4.88889	4.88889	0	0	0	0	0	0	0	0.0223831	0.210202	0.232585	0	0	0	0	0	0	0	0.111111	0.555556	0.666667
7	0	0	0	0	0	0	0	0	0.222222	40.2222	40.4444	0	0	0	0	0	0	0	0.0370863	8.65416	8.69125	0	0	0	0	0	0	0	5.11111	1392.67	1397.78	0	0	0	0	0	0	0	0.0850668	85.2525	85.3376	0	0	0	0	0	0	0	1.33333	201.444	202.778	0	0	0	0	0	0	0	0	9.55556	9.55556	0	0	0	0	0	0	0	0	0.0149847	0.0149847	0	0	0	0	0	0	0	0	5.11111	5.11111	0	0	0	0	0	0	0	0	0.138642	0.138642	0	0	0	0	0	0	0	0	0.444444	0.444444
8	0	0	0	0	0	0	0	0	0	41.2222	41.2222	0	0	0	0	0	0	0	0.0384623	8.78462	8.82308	0	0	0	0	0	0	0	5.11111	1387.67	1392.78	0	0	0	0	0	0	0	0.0865111	85.0698	85.1563	0	0	0	0	0	0	0	1.33333	202	203.333	0	0	0	0	0	0	0	0.222222	8	8.22222	0	0	0	0	0	0	0	0	0.0296057	0.0296057	0	0	0	0	0	0	0	0	5.66667	5.66667	0	0	0	0	0	0	0	0	0.540906	0.540906	0	0	0	0	0	0	0	0	0.777778	0.777778
9	0	0	0	0	0	0	0	0	0.222222	40	40.2222	0	0	0	0	0	0	0	0.0377017	8.92016	8.95786	0	0	0	0	0	0	0	5	1384.22	1389.22	0	0	0	0	0	0	0	0.0879688	85.4187	85.5067	0	0	0	0	0	0	0	1.33333	203.111	204.444	0	0	0	0	0	0	0	0	9.66667	9.66667	0	0	0	0	0	0	0	0.00216572	0.0366432	0.0388089	0	0	0	0	0	0	0	0.111111	5	5.11111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
