Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081715a-SUPILA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.43641	0.0971505	0.819787	0.00413922	0	0.00198886	0	0	0.0183218	2.3778	260.889	30.1111	68.8889	0.888889	0	1.33333	0	0	0.888889	363	20.6385	22.3301	45.27	0	0	0.186224	0	0	0	88.4247	39.1111	13.5556	16.7778	0	0	0.444444	0	0	0	69.8889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	11.3333	2.88889	1.22222	0	0	0.111111	0	0	0	15.5556	1.44183	0.0984442	0.825718	0.00434657	0	0.0020652	0	0	0.0186318	2.39104	259	29.4444	67.2222	0.888889	0	1.33333	0	0	0.888889	358.778	20.6721	22.2586	45.3231	0	0	0.186829	0	0	0	88.4406	39.3333	13.2222	16.6667	0	0	0.444444	0	0	0	69.6667	0	0	0	0	0	0	0	0	0	0	0.00656307	0.00203156	0.0126834	0	0	0	0	0	0	0.021278	1.33333	0.666667	1.66667	0	0	0	0	0	0	3.66667	0.0540831	0.0965938	0.0252034	0	0	0	0	0	0	0.17588	0.333333	0.333333	0.111111	0	0	0	0	0	0	0.777778
2	0	23.4444	4.88889	2.11111	0	0	0.111111	0	0	0	30.5556	1.44854	0.100073	0.811009	0.00398911	0	0.00214372	0	0	0.0189445	2.3847	257	29	66.1111	0.777778	0	1.33333	0	0	0.888889	355.111	20.7188	22.2239	44.6366	0	0	0.187435	0	0	0	87.7667	39.4444	13	16.4444	0	0	0.444444	0	0	0	69.3333	2.11111	0.555556	0	0	0	0	0	0	0	2.66667	0.0103428	0.00172431	0.0126948	0.000569872	0	0	0	0	0	0.0253318	1.55556	0.444444	0.888889	0.111111	0	0	0	0	0	3	0.0364069	0.0593291	0.785311	0	0	0	0	0	0	0.881046	0.333333	0.222222	0.444444	0	0	0	0	0	0	1
3	0	29.5556	6.22222	2.66667	0	0	0.111111	0	0	0	38.5556	1.46293	0.0990559	0.804367	0.00358234	0	0.00222442	0	0	0.0192597	2.39142	255.444	28.4444	64.6667	0.666667	0	1.33333	0	0	0.888889	351.444	20.7306	22.2525	44.5976	0	0	0.188043	0	0	0	87.7687	39.3333	13.2222	16.2222	0	0	0.444444	0	0	0	69.2222	5.55556	1.22222	0.333333	0	0	0	0	0	0	7.11111	0.00765628	0.000218841	0.0148744	0.000597057	0	0	0	0	0	0.0233466	1.22222	0.333333	1.33333	0.111111	0	0	0	0	0	3	0.0667076	0	0.125655	0	0	0	0	0	0	0.192362	0.444444	0	0.333333	0	0	0	0	0	0	0.777778
4	0	34.8889	7.88889	3.55556	0	0	0.111111	0	0	0	46.4444	1.47457	0.0995028	0.801221	0.0024995	0	0.0023073	0	0	0.0195776	2.39967	252.778	28	62.5556	0.444444	0	1.33333	0	0	0.888889	346	20.7085	22.2792	43.8908	0	0	0.188652	0	0	0	87.0672	39.2222	13.3333	15.8889	0	0	0.444444	0	0	0	68.8889	6.55556	0.888889	0.111111	0	0	0	0	0	0	7.55556	0.0154556	0.000812387	0.0215486	0.00124975	0	0	0	0	0	0.0390663	2.44444	0.333333	2.11111	0.222222	0	0	0	0	0	5.11111	0.0958056	0	0.782628	0	0	0	0	0	0	0.878433	0.333333	0	0.333333	0	0	0	0	0	0	0.666667
5	0	40.4444	8.22222	3.77778	0	0	0.111111	0	0	0	52.5556	1.49556	0.096258	0.799364	0.00195998	0	0.00239236	0	0	0.0198981	2.41543	250.444	27.3333	61.4444	0.333333	0	1.33333	0	0	0.888889	341.778	20.7701	22.2889	43.9304	0	0	0.189262	0	0	0	87.1787	39.2222	13.4444	15.8889	0	0	0.444444	0	0	0	69	7.77778	1.77778	0.555556	0	0	0.111111	0	0	0	10.2222	0.0111003	0.00241157	0.0098586	0.000653327	0	0	0	0	0	0.0240238	2.22222	0.444444	1	0.111111	0	0	0	0	0	3.77778	0.00730271	0.0191232	0.0445305	0	0	0	0	0	0	0.0709564	0.111111	0.111111	0.111111	0	0	0	0	0	0	0.333333
6	0	41.6667	8.55556	3.44444	0	0	0.222222	0	0	0	53.8889	1.51232	0.0977757	0.798875	0.00204724	0	0.00170259	0	0	0.0202211	2.43294	248.333	27.1111	60.8889	0.333333	0	1.22222	0	0	0.888889	338.778	20.0258	22.3136	43.9631	0	0	0.189873	0	0	0	86.4924	38.8889	13.4444	15.7778	0	0	0.444444	0	0	0	68.5556	10.7778	1.33333	0.555556	0	0	0	0	0	0	12.6667	0.00628113	0.00181576	0.018818	0	0	0.000777004	0	0	0	0.0276919	1.77778	0.222222	1.44444	0	0	0.111111	0	0	0	3.55556	0.822727	0	0.0412578	0	0	0	0	0	0	0.863985	0.666667	0	0.111111	0	0	0	0	0	0	0.777778
7	0	44.8889	8.33333	3.55556	0	0	0.222222	0	0	0	57	1.53724	0.0987971	0.750089	0.00213639	0	0.00177512	0	0	0.0205468	2.41058	246.889	26.7778	59.5556	0.333333	0	1.22222	0	0	0.888889	335.667	20.0801	22.3362	43.9873	0	0	0.190486	0	0	0	86.5941	38.7778	13.3333	16	0	0	0.444444	0	0	0	68.5556	10.3333	1.88889	0.666667	0	0	0	0	0	0	12.8889	0.0078964	0.00235586	0.0257776	0	0	0	0	0	0	0.0360299	1.33333	0.333333	1.33333	0	0	0	0	0	0	3	0.0134173	0.00221897	0.0907235	0	0	0	0	0	0	0.10636	0.222222	0.111111	0.222222	0	0	0	0	0	0	0.555556
8	0	45.1111	7.77778	3.33333	0	0	0.222222	0	0	0	56.4444	1.55733	0.0993075	0.757065	0.00222745	0	0.00184964	0	0	0.0208751	2.43866	247.778	27.3333	58.6667	0.333333	0	1.22222	0	0	0.888889	336.222	20.1527	22.3631	42.304	0	0	0.1911	0	0	0	85.0109	39	13.4444	15.6667	0	0	0.444444	0	0	0	68.5555	9.55556	1.55556	0.444444	0	0	0	0	0	0	11.5556	0.00874461	0.000853572	0.0106402	0	0	0	0	0	0	0.0202383	1.33333	0.111111	1.22222	0	0	0	0	0	0	2.66667	0	0	1.75716	0	0	0	0	0	0	1.75716	0	0	0.333333	0	0	0	0	0	0	0.333333
9	0	45.4444	8.22222	3	0	0	0.222222	0	0	0	56.8889	1.58702	0.101955	0.747193	0.0023204	0	0.00192616	0	0	0.0212059	2.46162	249	27.5556	57.4444	0.333333	0	1.22222	0	0	0.888889	336.444	20.1819	22.3563	42.2993	0	0	0.17519	0	0	0	85.0128	38.8889	13.2222	15.4444	0	0	0.333333	0	0	0	67.8889	8.33333	0.777778	0.555556	0	0	0	0	0	0	9.66667	0.00908793	0.000837989	0.0172239	0	0	0	0	0	0	0.0271499	1.66667	0.333333	1.33333	0	0	0	0	0	0	3.33333	0.0342195	0.0317121	0.0865892	0	0	0.0165252	0	0	0	0.169046	0.111111	0.222222	0.333333	0	0	0.111111	0	0	0	0.777778
