Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081715b-BBBPIPO.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.14358	2.91773	0.811356	0.228302	0.00487639	0.439343	0	0	0	5.54519	115.222	387.889	55.5556	14	4.22222	36	0	0	0	612.889	14.2199	28.5855	2.86952	30.0352	0.259357	16.4719	0	0	0	92.4415	43	305.333	6.88889	31.5556	2.55556	268.333	0	0	0	657.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	14.2222	44.8889	0.222222	2	0	9	0	0	0	70.3333	1.14567	2.89612	0.811606	0.213363	0.00457256	0.426493	0	0	0	5.49783	114.444	381.111	54.2222	13.2222	4.11111	34.6667	0	0	0	601.778	14.2982	28.3789	2.89687	29.6878	0.261302	16.5034	0	0	0	92.0264	43.3333	307.111	7	30.2222	2.66667	266.444	0	0	0	656.778	0	0	0	0	0	0	0	0	0	0	0.00780812	0.0271939	0.00792319	0.0161273	0	0.00656027	0	0	0	0.0656128	0.444444	3	1.22222	0.666667	0	0.555556	0	0	0	5.88889	0	0.542303	0	0.45398	0	0.133598	0	0	0	1.12988	0	2	0	1.44444	0	2.66667	0	0	0	6.11111
2	0	24.4444	82.1111	1.11111	3.44444	0	14.6667	0	0	0	125.778	1.14799	2.86559	0.802633	0.200059	0.0047795	0.414335	0	0	0	5.43538	113.333	373	53.1111	12.3333	4.11111	33.3333	0	0	0	589.222	14.1936	28.4727	2.90896	28.9548	0.262756	16.4697	0	0	0	91.2626	42.7778	308.111	7	29.6667	2.66667	264.222	0	0	0	654.444	3.55556	7.88889	0	0.111111	0	3.11111	0	0	0	14.6667	0.0123631	0.0311391	0.0171089	0.00969468	0	0.00560854	0	0	0	0.0759144	0.888889	4.11111	1	0.666667	0	0.555556	0	0	0	7.22222	0.178507	0.247046	0.0154657	0.841092	0	0.198317	0	0	0	1.48043	0.777778	3	0.111111	0.777778	0	3	0	0	0	7.66667
3	0	32.6667	115.111	1.55556	3.55556	0.111111	17	0	0	0	170	1.14074	2.85656	0.795071	0.185422	0.00433049	0.407509	0	0	0	5.38964	111.889	367.111	52.2222	11.3333	3.77778	32.4444	0	0	0	578.778	14.2428	28.5955	2.8394	28.3069	0.264738	16.4546	0	0	0	90.7039	42.7778	308	7	28.7778	2.77778	261.778	0	0	0	651.111	5.33333	13.4444	0	1	0	6.22222	0	0	0	26	0.012517	0.0213237	0.0155563	0.0151175	0.000141755	0.00773543	0	0	0	0.0723918	1	2.55556	0.777778	0.888889	0.222222	0.555556	0	0	0	6	0.0334793	0.206481	0.0971518	0.74911	0	0.171406	0	0	0	1.25763	0.444444	3.44444	0.111111	1	0	2.77778	0	0	0	7.77778
4	0	38.2222	141.889	1.33333	5.55556	0.111111	19.6667	0	0	0	206.778	1.14288	2.81976	0.783865	0.170051	0.00452157	0.393325	0	0	0	5.3144	110.667	359.333	51	10.5556	3.66667	31.1111	0	0	0	566.333	14.2686	28.741	2.86676	27.5805	0.265557	16.5247	0	0	0	90.2471	42.5556	310	7.11111	27.6667	2.66667	261	0	0	0	651	7.55556	20	0.444444	0.222222	0	6.88889	0	0	0	35.1111	0.0123809	0.0252498	0.0190733	0.0155019	6.12824e-006	0.00155562	0	0	0	0.0737676	1	3.22222	1.11111	0.666667	0.111111	0.222222	0	0	0	6.33333	0.0476389	0.207593	0	0.824472	0.000668745	0.0987653	0	0	0	1.17914	0.444444	2.55556	0	1.22222	0.111111	1.88889	0	0	0	6.22222
5	0	41.7778	164	1.77778	6.66667	0.111111	21.6667	0	0	0	236	1.13793	2.78817	0.790531	0.158951	0.00415796	0.367767	0	0	0	5.2475	109.444	351.556	50	10	3.44444	29	0	0	0	553.444	14.2545	28.9243	2.85138	26.6896	0.262235	16.6	0	0	0	89.5821	42.5556	311.778	7	26.1111	2.66667	260.111	0	0	0	650.222	9.55556	24	0	0.555556	0.111111	7.55556	0	0	0	41.7778	0.00524646	0.0316459	0.0112032	0.0109153	4.26218e-005	0.0107414	0	0	0	0.0697948	0.666667	3.88889	1	0.444444	0.111111	0.888889	0	0	0	7	0.101567	0.158663	0.0327065	0.985452	0.00531973	0.0957005	0	0	0	1.37941	0.555556	2.11111	0.111111	1.66667	0.111111	2.11111	0	0	0	6.66667
6	0	47.6667	179.111	1.66667	6.55556	0.222222	20.2222	0	0	0	255.444	1.14765	2.75948	0.760239	0.154272	0.00403349	0.360976	0	0	0	5.18666	108.667	344.778	49	10.7778	3.33333	28.2222	0	0	0	544.778	14.1556	29.0761	2.88902	23.4575	0.263677	16.659	0	0	0	86.501	42.4444	312.778	7.22222	24.8889	2.66667	259	0	0	0	649	7.88889	29.3333	0.444444	0.777778	0	10	0	0	0	48.4444	0.00468982	0.0234696	0.0276635	0.0043684	0.000314369	0.00116658	0	0	0	0.0616723	0.555556	2.66667	1	0.222222	0.111111	0.111111	0	0	0	4.66667	0.172081	0.196008	0	3.32257	0	0.102399	0	0	0	3.79305	0.333333	3.11111	0	1.33333	0	1.77778	0	0	0	6.55556
7	0	48.7778	197	1.44444	6.22222	0.222222	21.1111	0	0	0	274.778	1.14618	2.72983	0.772593	0.150332	0.00407269	0.35231	0	0	0	5.15531	107.444	337.111	49	11.1111	3.22222	27.3333	0	0	0	535.222	14.1949	29.1441	2.87391	23.1461	0.265127	16.6405	0	0	0	86.2646	42.3333	313.111	7.11111	23.8889	2.66667	257	0	0	0	646.111	11.8889	29.3333	0.222222	0.777778	0.111111	8.11111	0	0	0	50.4444	0.0207252	0.0340375	0.00513573	0.00348772	0.000145552	0.00286462	0	0	0	0.0663964	1.11111	4.11111	0.555556	0.222222	0.111111	0.222222	0	0	0	6.33333	0.028893	0.270234	0.032619	0.396653	0	0.179942	0	0	0	0.908342	0.222222	3.22222	0.111111	1.11111	0	2.66667	0	0	0	7.33333
8	0	49.3333	200	1.55556	7.33333	0	23.1111	0	0	0	281.333	1.1434	2.719	0.777527	0.137411	0.00402174	0.334887	0	0	0	5.11624	109.111	345	47.7778	11	3.11111	26	0	0	0	542	14.1462	29.3336	2.80994	21.7031	0.266584	16.6508	0	0	0	84.9102	42.3333	313.556	6.88889	23.2222	2.66667	255.222	0	0	0	643.889	9.44444	29.3333	0.222222	0.333333	0.222222	8.55556	0	0	0	48.1111	0.0079693	0.0238533	0.0126724	0.0079515	0.000233795	0	0	0	0	0.0526803	0.555556	2.88889	1.33333	0.555556	0.111111	0	0	0	0	5.44444	0.131128	0.141037	0.0812699	1.53035	0	0.162038	0	0	0	2.04582	0.444444	2.66667	0.222222	0.888889	0	3.11111	0	0	0	7.33333
9	0	48	201.111	1.44444	5.77778	0.111111	23.1111	0	0	0	279.556	1.14178	2.7257	0.767035	0.137955	0.00367531	0.310291	0	0	0	5.08643	110.778	355	46.2222	12.2222	3	24.2222	0	0	0	551.444	14.0365	29.2561	2.81057	20.8351	0.268575	16.7249	0	0	0	83.9317	42.1111	311.556	6.77778	22.4444	2.77778	254.667	0	0	0	640.333	11.8889	31.4444	0.222222	1.33333	0	8.44444	0	0	0	53.3333	0.0116346	0.0190085	0.0280041	0.00314798	0	0.00306377	0	0	0	0.0648589	0.888889	3.33333	1.77778	0.333333	0	0.222222	0	0	0	6.55556	0.187117	0.396485	0.0161701	0.942565	0	0.101545	0	0	0	1.64388	0.555556	4.44444	0.111111	0.777778	0	2.11111	0	0	0	8
