Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081715b-EMRIDGE.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00238465	0.314201	0	0.316586	0	0	0	0	0	0	1.77778	47.4444	0	49.2222	0	0	0	0	0	0	0	12.2291	0	12.2291	0	0	0	0	0	0	0	36.2222	0	36.2222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	1.88889	0	1.88889	0	0	0	0	0	0	0.00255769	0.313735	0	0.316292	0	0	0	0	0	0	1.77778	46.4444	0	48.2222	0	0	0	0	0	0	0	12.2943	0	12.2943	0	0	0	0	0	0	0	36.2222	0	36.2222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00493367	0	0.00493367	0	0	0	0	0	0	0	0.666667	0	0.666667	0	0	0	0	0	0	0	0.0106052	0	0.0106052	0	0	0	0	0	0	0	0.333333	0	0.333333
2	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0.00274086	0.315663	0	0.318404	0	0	0	0	0	0	1.77778	46	0	47.7778	0	0	0	0	0	0	0	12.3203	0	12.3203	0	0	0	0	0	0	0	36.1111	0	36.1111	0	0	0	0	0	0	0	0.555556	0	0.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0525208	0	0.0525208	0	0	0	0	0	0	0	0.555556	0	0.555556
3	0	0	0	0	0	0	0	0	4.55556	0	4.55556	0	0	0	0	0	0	0.00293416	0.314718	0	0.317652	0	0	0	0	0	0	1.77778	45.2222	0	47	0	0	0	0	0	0	0	12.2014	0	12.2014	0	0	0	0	0	0	0	35.7778	0	35.7778	0	0	0	0	0	0	0	0.444444	0	0.444444	0	0	0	0	0	0	0	0.00288807	0	0.00288807	0	0	0	0	0	0	0	0.333333	0	0.333333	0	0	0	0	0	0	0	0.197499	0	0.197499	0	0	0	0	0	0	0	0.777778	0	0.777778
4	0	0	0	0	0	0	0	0	5.77778	0	5.77778	0	0	0	0	0	0	0.00313761	0.316362	0	0.319499	0	0	0	0	0	0	1.77778	44.5556	0	46.3333	0	0	0	0	0	0	0	11.7874	0	11.7874	0	0	0	0	0	0	0	35.5556	0	35.5556	0	0	0	0	0	0	0	0.777778	0	0.777778	0	0	0	0	0	0	0	0.00267427	0	0.00267427	0	0	0	0	0	0	0	0.333333	0	0.333333	0	0	0	0	0	0	0	0.489394	0	0.489394	0	0	0	0	0	0	0	0.555556	0	0.555556
5	0	0	0	0	0	0	0	0	6.88889	0	6.88889	0	0	0	0	0	0	0.00332026	0.319729	0	0.323049	0	0	0	0	0	0	1.66667	43.7778	0	45.4444	0	0	0	0	0	0	0	11.8289	0	11.8289	0	0	0	0	0	0	0	35.5556	0	35.5556	0	0	0	0	0	0	0	1.11111	0	1.11111	0	0	0	0	0	0	3.09255e-005	0.00334287	0	0.0033738	0	0	0	0	0	0	0.111111	0.555556	0	0.666667	0	0	0	0	0	0	0	0.0301554	0	0.0301554	0	0	0	0	0	0	0	0.222222	0	0.222222
6	0	0	0	0	0	0	0	0	7.77778	0	7.77778	0	0	0	0	0	0	0.00348184	0.323072	0	0.326553	0	0	0	0	0	0	1.55556	44	0	45.5556	0	0	0	0	0	0	0	11.8991	0	11.8991	0	0	0	0	0	0	0	35.7778	0	35.7778	0	0	0	0	0	0	0	0.444444	0	0.444444	0	0	0	0	0	0	5.55497e-005	0.00105397	0	0.00110952	0	0	0	0	0	0	0.111111	0.222222	0	0.333333	0	0	0	0	0	0	0	0.00399421	0	0.00399421	0	0	0	0	0	0	0	0.111111	0	0.111111
7	0	0	0	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0.00369977	0.323261	0	0.326961	0	0	0	0	0	0	1.55556	44.2222	0	45.7778	0	0	0	0	0	0	0	11.9387	0	11.9387	0	0	0	0	0	0	0	36	0	36	0	0	0	0	0	0	0	0.666667	0	0.666667	0	0	0	0	0	0	0	0.0018222	0	0.0018222	0	0	0	0	0	0	0	0.333333	0	0.333333	0	0	0	0	0	0	0	0.037654	0	0.037654	0	0	0	0	0	0	0	0.222222	0	0.222222
8	0	0	0	0	0	0	0	0	7.55556	0	7.55556	0	0	0	0	0	0	0.00392656	0.326927	0	0.330854	0	0	0	0	0	0	1.55556	44.6667	0	46.2222	0	0	0	0	0	0	0	11.854	0	11.854	0	0	0	0	0	0	0	36.2222	0	36.2222	0	0	0	0	0	0	0	0.888889	0	0.888889	0	0	0	0	0	0	0	0.000776674	0	0.000776674	0	0	0	0	0	0	0	0.111111	0	0.111111	0	0	0	0	0	0	0	0.159637	0	0.159637	0	0	0	0	0	0	0	0.111111	0	0.111111
9	0	0	0	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0.00416223	0.310902	0	0.315064	0	0	0	0	0	0	1.55556	44.3333	0	45.8889	0	0	0	0	0	0	0	11.9368	0	11.9368	0	0	0	0	0	0	0	37.1111	0	37.1111	0	0	0	0	0	0	0	0.444444	0	0.444444	0	0	0	0	0	0	0	0.00120782	0	0.00120782	0	0	0	0	0	0	0	0.333333	0	0.333333	0	0	0	0	0	0	0	0.0115455	0	0.0115455	0	0	0	0	0	0	0	0.333333	0	0.333333
