Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081715b-FRPIJE.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0.0607952	0.00232453	0.0559793	0	0	0.0650539	0.827808	0.0129887	0	1.02495	7.33333	2.88889	2.77778	0	0	11.4444	88.4444	1.11111	0	114	9.98791	0	2.04849	0	0	0.208719	29.0828	0	0	41.3279	6.22222	0	1.44444	0	0	3.88889	51.6667	0	0	63.2222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	2.33333	0	0	0	0	0	2.22222	0	0	4.55556	0.0621106	0.00246978	0.0570356	0	0	0.0664624	0.829384	0.0133975	0	1.03086	7.33333	2.88889	2.77778	0	0	11.4444	87	1.11111	0	112.556	10.0032	0	1.59478	0	0	0.20098	28.8279	0	0	40.6268	6.22222	0	1.33333	0	0	3.77778	51.7778	0	0	63.1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00659855	0	0	0.00659855	0	0	0	0	0	0	1	0	0	1	0	0	0.460372	0	0	0.00975026	0.40406	0	0	0.874182	0	0	0.111111	0	0	0.111111	0.333333	0	0	0.555556
2	0	3.77778	0	0.111111	0	0	0.111111	5.22222	0	0	9.22222	0.0634474	0.00262366	0.0579959	0	0	0.0659667	0.818936	0.0138127	0	1.02278	7.33333	2.88889	2.66667	0	0	11.3333	85.3333	1.11111	0	110.667	10.0184	0	1.60045	0	0	0.204847	28.8564	0	0	40.6801	6.22222	0	1.33333	0	0	3.88889	51.7778	0	0	63.2222	0.666667	0	0	0	0	0	0	0	0	0.666667	0	0	0.000111907	0	0	0	0.0103693	0	0	0.0104812	0	0	0.111111	0	0	0	1	0	0	1.11111	0	0	0	0	0	0	0.128709	0	0	0.128709	0	0	0	0	0	0	0.666667	0	0	0.666667
3	0	4.88889	0	0.111111	0	0	0.222222	7.88889	0	0	13.1111	0.0601049	0.00278619	0.0587606	0	0	0.0654679	0.810971	0.0142341	0	1.01232	7.22222	2.88889	2.55556	0	0	11.2222	83.8889	1.11111	0	108.889	10.0384	0	1.60612	0	0	0.208754	28.8845	0	0	40.7378	6.33333	0	1.33333	0	0	4	51.7778	0	0	63.4444	0.888889	0	0	0	0	0	0.333333	0	0	1.22222	0	0	0.000311182	0	0	0	0.0159189	0	0	0.0162301	0	0	0.111111	0	0	0	1	0	0	1.11111	0	0	0	0	0	0	0.120683	0	0	0.120683	0	0	0	0	0	0	0.444444	0	0	0.444444
4	0	5.66667	0	0.111111	0	0	0.444444	9.88889	0	0	16.1111	0.0560828	0.00295736	0.0571092	0	0	0.0666543	0.816493	0.0146619	0	1.01396	7	2.88889	2.44444	0	0	11.1111	83.1111	1.11111	0	107.667	10.0586	0	1.61181	0	0	0.207423	28.6327	0	0	40.5105	6.44444	0	1.33333	0	0	3.88889	51.5556	0	0	63.2222	1.11111	0	0	0	0	0	0.888889	0	0	2	0.000638835	0	0.00272224	0	0	0.000225026	0.00627358	0	0	0.00985969	0.111111	0	0.111111	0	0	0.111111	0.444444	0	0	0.777778	0	0	0	0	0	0.0033675	0.396528	0	0	0.399895	0	0	0	0	0	0.111111	0.555556	0	0	0.666667
5	0	5.77778	0	0.111111	0	0	0.666667	11.3333	0	0	17.8889	0.0573522	0.00311933	0.0478373	0	0	0.068075	0.817546	0.0150961	0	1.00903	7	2.77778	2.33333	0	0	11.1111	81.3333	1.11111	0	105.667	10.0648	0	1.62781	0	0	0.204824	28.5956	0	0	40.493	6.33333	0	1.44444	0	0	3.77778	51.1111	0	0	62.6667	1.66667	0	0	0	0	0.222222	0.777778	0	0	2.66667	0	1.78451e-005	0	0	0	0	0.0192067	0	0	0.0192245	0	0.111111	0	0	0	0	1.66667	0	0	1.77778	0.0093028	0	0	0	0	0.00460035	0.172527	0	0	0.18643	0.111111	0	0	0	0	0.111111	0.555556	0	0	0.777778
6	0	6.55556	0	0.444444	0	0	0.555556	10.8889	0	0	18.4444	0.0586421	0.0032046	0.0461413	0	0	0.0676043	0.811381	0.0155365	0	1.00251	7	2.66667	2.22222	0	0	11	81.7778	1.11111	0	105.778	10.0802	0	1.63368	0	0	0.208691	28.3492	0	0	40.2718	6.33333	0	1.44444	0	0	3.88889	51.2222	0	0	62.8889	1	0	0	0	0	0.222222	1.22222	0	0	2.44444	0	9.95787e-005	0.00262177	0	0	0	0.00571756	0	0	0.00843891	0	0.111111	0.111111	0	0	0	0.777778	0	0	1	0	0	0	0	0	0	0.401884	0	0	0.401884	0	0	0	0	0	0	0.555556	0	0	0.555556
7	0	8.22222	0	0.444444	0	0	0.222222	9.44444	0	0	18.3333	0.0579745	0.00338945	0.0470331	0	0	0.0647575	0.813843	0.0159833	0	1.00298	6.88889	2.66667	2.33333	0	0	10.4444	82.4444	1.11111	0	105.889	10.0896	0	1.63957	0	0	0.214534	28.1581	0	0	40.1018	6.22222	0	1.44444	0	0	4.11111	50.7778	0	0	62.5556	0.888889	0	0	0	0	0.333333	1.11111	0	0	2.33333	0.00197805	0	0	0	0	0.000439368	0.00941912	0	0	0.0118365	0.111111	0	0	0	0	0.333333	1	0	0	1.44444	0.00611627	0	0	0	0	0	0.333522	0	0	0.339638	0.111111	0	0	0	0	0	0.777778	0	0	0.888889
8	0	7.88889	0	0.555556	0	0	0.111111	9.33333	0	0	17.8889	0.0592471	0.00358228	0.047446	0	0	0.0602947	0.815683	0.0164365	0	1.00269	7.11111	2.66667	2.22222	0	0	10	83.3333	1.11111	0	106.444	10.0658	0	1.64547	0	0	0.220469	28.0992	0	0	40.031	6.11111	0	1.44444	0	0	4.33333	50.5556	0	0	62.4444	1.77778	0	0	0	0	0.111111	1.55556	0	0	3.44444	5.4193e-005	0	0.000484871	0	0	7.16803e-005	0.00598141	0	0	0.00659215	0.111111	0	0.111111	0	0	0.111111	0.444444	0	0	0.777778	0.0392043	0	0	0	0	0.00191562	0.204285	0	0	0.245405	0.111111	0	0	0	0	0.111111	0.666667	0	0	0.888889
9	0	7.66667	0	0.555556	0	0	0.333333	9.77778	0	0	18.3333	0.0606391	0.00355325	0.0482648	0	0	0.0596771	0.819645	0.0168959	0	1.00867	7.88889	2.55556	2.11111	0	0	9.88889	83.6667	1.11111	0	107.222	10.0811	0	1.65138	0	0	0.187775	27.8991	0	0	39.8194	6.11111	0	1.44444	0	0	4.22222	49.7778	0	0	61.5556	1.88889	0	0.111111	0	0	0.111111	0.444444	0	0	2.55556	0	0.000229837	6.71764e-005	0	0	0	0.0121533	0	0	0.0124503	0	0.111111	0.111111	0	0	0	1.33333	0	0	1.55556	0	0	0	0	0	0.0367864	0.336742	0	0	0.373529	0	0	0	0	0	0.222222	1	0	0	1.22222
