Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081715b-POFLABMA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144781	0	2.65019	2.79497	0	0	0	0	0	0	20.8889	0	354.889	375.778	0	0	0	0	0	0	9.112	0	891.575	900.687	0	0	0	0	0	0	13.1111	0	207.111	220.222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0.777778	0	9.44444	10.2222	0	0	0	0	0	0	0.143576	0	2.6496	2.79317	0	0	0	0	0	0	20.1111	0	352.667	372.778	0	0	0	0	0	0	9.14084	0	882.023	891.164	0	0	0	0	0	0	13	0	207.222	220.222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00594295	0	0.0166081	0.022551	0	0	0	0	0	0	0.777778	0	1.22222	2	0	0	0	0	0	0	0.00626502	0	10.2511	10.2573	0	0	0	0	0	0	0.111111	0	0.888889	1
2	0	0	0	0	0	0	0	1.33333	0	18.1111	19.4444	0	0	0	0	0	0	0.146635	0	2.67463	2.82126	0	0	0	0	0	0	19.8889	0	351.667	371.556	0	0	0	0	0	0	9.16659	0	881.389	890.555	0	0	0	0	0	0	12.8889	0	206.889	219.778	0	0	0	0	0	0	0.111111	0	1.77778	1.88889	0	0	0	0	0	0	0.00158859	0	0.000548319	0.00213691	0	0	0	0	0	0	0.222222	0	0.222222	0.444444	0	0	0	0	0	0	0.00937017	0	1.31908	1.32845	0	0	0	0	0	0	0.111111	0	1.11111	1.22222
3	0	0	0	0	0	0	0	2.11111	0	23.7778	25.8889	0	0	0	0	0	0	0.147182	0	2.69901	2.84619	0	0	0	0	0	0	19.7778	0	349.667	369.444	0	0	0	0	0	0	8.84067	0	879.299	888.14	0	0	0	0	0	0	12.7778	0	206.889	219.667	0	0	0	0	0	0	0.222222	0	4.22222	4.44444	0	0	0	0	0	0	0	0	0.0113057	0.0113057	0	0	0	0	0	0	0	0	1.44444	1.44444	0	0	0	0	0	0	0.365184	0	2.76579	3.13097	0	0	0	0	0	0	0.222222	0	0.555556	0.777778
4	0	0	0	0	0	0	0	2.77778	0	29.8889	32.6667	0	0	0	0	0	0	0.151922	0	2.72155	2.87347	0	0	0	0	0	0	19.7778	0	347.778	367.556	0	0	0	0	0	0	8.62436	0	842.708	851.332	0	0	0	0	0	0	12.4444	0	206.556	219	0	0	0	0	0	0	0.333333	0	5.44444	5.77778	0	0	0	0	0	0	0	0	0.00896827	0.00896827	0	0	0	0	0	0	0	0	1.22222	1.22222	0	0	0	0	0	0	0.250399	0	37.2674	37.5178	0	0	0	0	0	0	0.333333	0	1	1.33333
5	0	0	0	0	0	0	0	2.33333	0	35.3333	37.6667	0	0	0	0	0	0	0.150085	0	2.74168	2.89177	0	0	0	0	0	0	19.2222	0	346.333	365.556	0	0	0	0	0	0	8.65741	0	842.457	851.115	0	0	0	0	0	0	12.4444	0	206.889	219.333	0	0	0	0	0	0	0.888889	0	6.44444	7.33333	0	0	0	0	0	0	0.00668961	0	0.00718766	0.0138773	0	0	0	0	0	0	0.555556	0	0.666667	1.22222	0	0	0	0	0	0	0	0	0.926067	0.926067	0	0	0	0	0	0	0	0	0.444444	0.444444
6	0	0	0	0	0	0	0	2.55556	0	38.1111	40.6667	0	0	0	0	0	0	0.152553	0	2.7653	2.91786	0	0	0	0	0	0	19.4444	0	344.333	363.778	0	0	0	0	0	0	8.69059	0	842.757	851.448	0	0	0	0	0	0	12.4444	0	206.444	218.889	0	0	0	0	0	0	0.444444	0	9.11111	9.55556	0	0	0	0	0	0	0.00233083	0	0.0182733	0.0206041	0	0	0	0	0	0	0.111111	0	1.55556	1.66667	0	0	0	0	0	0	0	0	0.36106	0.36106	0	0	0	0	0	0	0	0	0.888889	0.888889
7	0	0	0	0	0	0	0	2.66667	0	41.2222	43.8889	0	0	0	0	0	0	0.157105	0	2.78282	2.93992	0	0	0	0	0	0	19.6667	0	342.333	362	0	0	0	0	0	0	8.7239	0	833.482	842.206	0	0	0	0	0	0	12.4444	0	206.667	219.111	0	0	0	0	0	0	0.444444	0	7.88889	8.33333	0	0	0	0	0	0	0.000323512	0	0.0106502	0.0109737	0	0	0	0	0	0	0.222222	0	1.22222	1.44444	0	0	0	0	0	0	0	0	9.95011	9.95011	0	0	0	0	0	0	0	0	0.555556	0.555556
8	0	0	0	0	0	0	0	3	0	42	45	0	0	0	0	0	0	0.153532	0	2.81351	2.96704	0	0	0	0	0	0	19.2222	0	343.333	362.556	0	0	0	0	0	0	8.62239	0	833.22	841.842	0	0	0	0	0	0	12.1111	0	206.333	218.444	0	0	0	0	0	0	0.222222	0	6.88889	7.11111	0	0	0	0	0	0	0.00439107	0	0.0169247	0.0213158	0	0	0	0	0	0	0.555556	0	1.11111	1.66667	0	0	0	0	0	0	0.139076	0	0.916628	1.0557	0	0	0	0	0	0	0.444444	0	0.666667	1.11111
9	0	0	0	0	0	0	0	3.22222	0	41.6667	44.8889	0	0	0	0	0	0	0.154194	0	2.83177	2.98596	0	0	0	0	0	0	19.3333	0	343.333	362.667	0	0	0	0	0	0	8.55242	0	823.588	832.141	0	0	0	0	0	0	12.1111	0	206.444	218.556	0	0	0	0	0	0	0.333333	0	8.77778	9.11111	0	0	0	0	0	0	6.62114e-005	0	0.00645678	0.00652299	0	0	0	0	0	0	0.111111	0	1.88889	2	0	0	0	0	0	0	0.106798	0	10.3078	10.4146	0	0	0	0	0	0	0.111111	0	0.777778	0.888889
