Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081715b-SFTRABMA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0309256	7.51319	7.54411	0	0	0	0	0	0	0	5.66667	1440.56	1446.22	0	0	0	0	0	0	0	0.0840375	67.0193	67.1033	0	0	0	0	0	0	0	1.55556	191	192.556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0.111111	9.11111	9.22222	0	0	0	0	0	0	0	0.0321694	7.62157	7.65374	0	0	0	0	0	0	0	5.66667	1434.89	1440.56	0	0	0	0	0	0	0	0.0856144	67.2785	67.3642	0	0	0	0	0	0	0	1.55556	191.667	193.222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0197203	0.0197203	0	0	0	0	0	0	0	0	4.11111	4.11111	0	0	0	0	0	0	0	0	0.0922896	0.0922896	0	0	0	0	0	0	0	0	0.888889	0.888889
2	0	0	0	0	0	0	0	0	0.111111	16.6667	16.7778	0	0	0	0	0	0	0	0.031023	7.73893	7.76995	0	0	0	0	0	0	0	5.55556	1428.22	1433.78	0	0	0	0	0	0	0	0.0896296	67.0956	67.1852	0	0	0	0	0	0	0	1.66667	191.667	193.333	0	0	0	0	0	0	0	0	1.77778	1.77778	0	0	0	0	0	0	0	0	0.0229457	0.0229457	0	0	0	0	0	0	0	0	5.33333	5.33333	0	0	0	0	0	0	0	0	0.526458	0.526458	0	0	0	0	0	0	0	0	1.33333	1.33333
3	0	0	0	0	0	0	0	0	0.111111	24.6667	24.7778	0	0	0	0	0	0	0	0.0322757	7.8509	7.88318	0	0	0	0	0	0	0	5.55556	1421.89	1427.44	0	0	0	0	0	0	0	0.0913125	67.1789	67.2703	0	0	0	0	0	0	0	1.66667	192.222	193.889	0	0	0	0	0	0	0	0	3.33333	3.33333	0	0	0	0	0	0	0	0	0.031388	0.031388	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0.25952	0.25952	0	0	0	0	0	0	0	0	0.777778	0.777778
4	0	0	0	0	0	0	0	0	0.111111	29.7778	29.8889	0	0	0	0	0	0	0	0.03356	7.94001	7.97357	0	0	0	0	0	0	0	5.55556	1415.11	1420.67	0	0	0	0	0	0	0	0.0930122	66.9444	67.0374	0	0	0	0	0	0	0	1.66667	193.444	195.111	0	0	0	0	0	0	0	0	5.55556	5.55556	0	0	0	0	0	0	0	0	0.0285892	0.0285892	0	0	0	0	0	0	0	0	4.77778	4.77778	0	0	0	0	0	0	0	0	0.606651	0.606651	0	0	0	0	0	0	0	0	0.777778	0.777778
5	0	0	0	0	0	0	0	0	0.111111	32.6667	32.7778	0	0	0	0	0	0	0	0.0346021	8.03085	8.06545	0	0	0	0	0	0	0	5.44444	1407	1412.44	0	0	0	0	0	0	0	0.0947289	67.0956	67.1904	0	0	0	0	0	0	0	1.66667	194.333	196	0	0	0	0	0	0	0	0	5.22222	5.22222	0	0	0	0	0	0	0	0.000273912	0.0433371	0.043611	0	0	0	0	0	0	0	0.111111	6.44444	6.55556	0	0	0	0	0	0	0	0	0.207536	0.207536	0	0	0	0	0	0	0	0	0.777778	0.777778
6	0	0	0	0	0	0	0	0	0	34.5556	34.5556	0	0	0	0	0	0	0	0.0359414	8.14074	8.17668	0	0	0	0	0	0	0	5.55556	1399.22	1404.78	0	0	0	0	0	0	0	0.0964625	67.3972	67.4937	0	0	0	0	0	0	0	1.66667	195.556	197.222	0	0	0	0	0	0	0	0	7.66667	7.66667	0	0	0	0	0	0	0	0	0.0266997	0.0266997	0	0	0	0	0	0	0	0	6.11111	6.11111	0	0	0	0	0	0	0	0	0.0579836	0.0579836	0	0	0	0	0	0	0	0	0.444444	0.444444
7	0	0	0	0	0	0	0	0	0	38	38	0	0	0	0	0	0	0	0.0373051	8.22166	8.25897	0	0	0	0	0	0	0	5.55556	1391.33	1396.89	0	0	0	0	0	0	0	0.098213	67.5534	67.6516	0	0	0	0	0	0	0	1.66667	196.889	198.556	0	0	0	0	0	0	0	0	7.55556	7.55556	0	0	0	0	0	0	0	0	0.039096	0.039096	0	0	0	0	0	0	0	0	5.77778	5.77778	0	0	0	0	0	0	0	0	0.224018	0.224018	0	0	0	0	0	0	0	0	0.777778	0.777778
8	0	0	0	0	0	0	0	0	0.222222	40	40.2222	0	0	0	0	0	0	0	0.0383869	8.316	8.35438	0	0	0	0	0	0	0	5.44444	1387.33	1392.78	0	0	0	0	0	0	0	0.0999803	67.9038	68.0038	0	0	0	0	0	0	0	1.66667	198.333	200	0	0	0	0	0	0	0	0	8.55556	8.55556	0	0	0	0	0	0	0	0.000313531	0.0421549	0.0424684	0	0	0	0	0	0	0	0.111111	4.55556	4.66667	0	0	0	0	0	0	0	0	0.0167877	0.0167877	0	0	0	0	0	0	0	0	0.333333	0.333333
9	0	0	0	0	0	0	0	0	0.222222	38.1111	38.3333	0	0	0	0	0	0	0	0.0368958	8.43223	8.46912	0	0	0	0	0	0	0	5.11111	1382.11	1387.22	0	0	0	0	0	0	0	0.0977244	67.9702	68.0679	0	0	0	0	0	0	0	1.66667	199	200.667	0	0	0	0	0	0	0	0	9.11111	9.11111	0	0	0	0	0	0	0	0.000459976	0.0320764	0.0325364	0	0	0	0	0	0	0	0.222222	5.44444	5.66667	0	0	0	0	0	0	0	0.00647818	0.293281	0.299759	0	0	0	0	0	0	0	0.111111	0.888889	1
