Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081715b-SUPILA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.37715	0.0865776	0.764463	0.00465663	0	0.00389116	0	0	0.020612	2.25735	258.333	26.1111	67.5556	1	0	1.44444	0	0	1	355.444	14.6464	7.38155	41.6269	0	0	0.106306	0	0	0	63.7612	42.7778	16.5556	18.6667	0	0	0.333333	0	0	0	78.3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	14.1111	2.88889	1.44444	0	0	0	0	0	0	18.4444	1.38483	0.0872172	0.764184	0.00434657	0	0.00399858	0	0	0.0209608	2.26554	255.667	25.7778	66	0.888889	0	1.44444	0	0	1	350.778	14.6295	7.35037	41.6801	0	0	0.00556115	0	0	0	63.6656	42.7778	16.3333	18.4444	0	0	0.222222	0	0	0	77.7778	0	0	0	0	0	0	0	0	0	0	0.0130129	0.000155164	0.0180663	0.000543321	0	0	0	0	0	0.0317777	2.33333	0.222222	1.55556	0.111111	0	0	0	0	0	4.22222	0.0958015	0.058975	0.0318592	0	0	0.101084	0	0	0	0.28772	0.333333	0.333333	0.222222	0	0	0.111111	0	0	0	1
2	0	25.6667	5.66667	2	0	0	0	0	0	0	33.3333	1.40051	0.0851573	0.749508	0.00398911	0	0.00410837	0	0	0.0213125	2.26458	253.444	25.3333	64.8889	0.777778	0	1.44444	0	0	1	346.889	14.6478	7.37489	41.577	0	0	0.00564555	0	0	0	63.6054	42.6667	16.3333	18.2222	0	0	0.222222	0	0	0	77.4444	3.33333	0.333333	0.555556	0	0	0	0	0	0	4.22222	0.00528638	0.00288102	0.0119005	0.000569872	0	0	0	0	0	0.0206378	1.88889	0.333333	0.888889	0.111111	0	0	0	0	0	3.22222	0.0605454	0.00296993	0.208456	0	0	0	0	0	0	0.271971	0.444444	0.111111	0.444444	0	0	0	0	0	0	1
3	0	32.2222	7.77778	3.33333	0	0	0	0	0	0	43.3333	1.41418	0.0855388	0.753955	0.0041794	0	0.00422051	0	0	0.0216672	2.28374	251.889	24.8889	63.7778	0.777778	0	1.44444	0	0	1	343.778	14.669	7.34475	41.6239	0	0	0.00573059	0	0	0	63.6434	42.4444	16.2222	18	0	0	0.222222	0	0	0	76.8889	6.88889	1.22222	0.111111	0	0	0	0	0	0	8.22222	0.0123413	0.000388872	0.0131185	0	0	0	0	0	0	0.0258487	1.33333	0.333333	1.11111	0	0	0	0	0	0	2.77778	0.0528783	0.0577216	0.037229	0	0	0	0	0	0	0.147829	0.444444	0.222222	0.222222	0	0	0	0	0	0	0.888889
4	0	37.6667	8.55556	3.77778	0	0	0	0	0	0	50	1.41946	0.0820767	0.742047	0.00437413	0	0.00433502	0	0	0.0220248	2.27431	248.667	24.5556	63	0.777778	0	1.44444	0	0	1	339.444	14.7093	7.37637	41.4976	0	0	0.00581629	0	0	0	63.5891	42.4444	16.5556	17.7778	0	0	0.222222	0	0	0	77	7.66667	1.66667	0.666667	0	0	0	0	0	0	10	0.0117265	0	0.0192318	0	0	0	0	0	0	0.0309583	2.77778	0	0.666667	0	0	0	0	0	0	3.44444	0.043059	0	0.220443	0	0	0	0	0	0	0.263502	0.444444	0	0.333333	0	0	0	0	0	0	0.777778
5	0	42.5556	9.66667	4.88889	0	0	0	0	0	0	57.1111	1.43528	0.0849266	0.741055	0.00457329	0	0.00445189	0	0	0.0223853	2.29268	246.889	24.4444	61.7778	0.777778	0	1.44444	0	0	1	336.333	14.7471	7.39922	41.5485	0	0	0.00590263	0	0	0	63.7007	42.2222	16.4444	17.5556	0	0	0.222222	0	0	0	76.4444	8.66667	1.77778	0.111111	0	0	0	0	0	0	10.5556	0.0107787	5.8678e-006	0.0185092	0	0	0	0	0	0	0.0292937	1.55556	0.111111	1.22222	0	0	0	0	0	0	2.88889	0.0362193	0.00265729	0.0322095	0	0	0	0	0	0	0.0710861	0.444444	0.111111	0.222222	0	0	0	0	0	0	0.777778
6	0	46.8889	10.3333	5.22222	0	0	0	0	0	0	62.4444	1.43852	0.0870548	0.733187	0.00409447	0	0.00457111	0	0	0.0227488	2.29017	244.778	24.3333	61.1111	0.666667	0	1.44444	0	0	1	333.333	14.7449	7.41759	41.4583	0	0	0.00598961	0	0	0	63.6268	42.4444	16.3333	17.3333	0	0	0.222222	0	0	0	76.3333	9.22222	2	0.666667	0	0	0	0	0	0	11.8889	0.00481789	0.000798895	0.0151092	0.000682412	0	0	0	0	0	0.0214084	1.44444	0.111111	1.11111	0.111111	0	0	0	0	0	2.77778	0.0951257	0.00716503	0.183289	0	0	0	0	0	0	0.285579	0.444444	0.111111	0.333333	0	0	0	0	0	0	0.888889
7	0	49.3333	11	4.66667	0	0	0	0	0	0	65	1.45694	0.0858028	0.705297	0.00427278	0	0.0046927	0	0	0.0231151	2.28012	243.111	24.1111	59.2222	0.666667	0	1.44444	0	0	1	329.556	14.7261	7.44735	41.3194	0	0	0.00607724	0	0	0	63.4989	42	16.5556	16.7778	0	0	0.222222	0	0	0	75.5556	11.2222	2.11111	1.11111	0	0	0	0	0	0	14.4444	0.00873932	0	0.0349597	0	0	0	0	0	0	0.0436991	1.44444	0	2.22222	0	0	0	0	0	0	3.66667	0.0928195	0	0.231378	0	0	0	0	0	0	0.324197	0.666667	0	0.666667	0	0	0	0	0	0	1.33333
8	0	49.3333	10.8889	5	0	0	0	0	0	0	65.2222	1.46699	0.0862683	0.718862	0.00445489	0	0.00481665	0	0	0.0234844	2.30487	243.889	24.4444	59	0.666667	0	1.44444	0	0	1	330.444	14.6986	7.45036	41.0235	0	0	0.00616552	0	0	0	63.1786	41.7778	16.4444	16.4444	0	0	0.222222	0	0	0	74.8889	11.6667	1.88889	0.222222	0	0	0	0	0	0	13.7778	0.0178375	0.000465553	0.0033203	0	0	0	0	0	0	0.0216234	1.77778	0.111111	1	0	0	0	0	0	0	2.88889	0.101173	0.0248012	0.376698	0	0	0	0	0	0	0.502671	0.444444	0.222222	0.333333	0	0	0	0	0	0	1
9	0	51.3333	10.6667	4.55556	0	0	0	0	0	0	66.5556	1.47287	0.0872817	0.708477	0.00386733	0	0.00494296	0	0	0.0238567	2.3013	242.889	24.8889	58.7778	0.555556	0	1.44444	0	0	1	329.556	14.4557	7.46981	41.0352	0	0	0.00625444	0	0	0	62.967	41.5556	16.3333	16.4444	0	0	0.222222	0	0	0	74.5556	10.2222	2.44444	0.666667	0	0	0	0	0	0	13.3333	0.0128406	0.00205737	0.0171299	0.000773467	0	0	0	0	0	0.0328014	2.77778	0.222222	0.888889	0.111111	0	0	0	0	0	4	0.325656	0.00617277	0.078139	0	0	0	0	0	0	0.409968	0.666667	0.111111	0.111111	0	0	0	0	0	0	0.888889
