Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081815-runs\081815b-BBBPIPO.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realdata
2 = alldata
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.14358	2.91773	0.811356	0.228302	0.00487639	0.439343	0	0	0	5.54519	115.222	387.889	55.5556	14	4.22222	36	0	0	0	612.889	14.2199	28.5855	2.86952	30.0352	0.259357	16.4719	0	0	0	92.4415	43	305.333	6.88889	31.5556	2.55556	268.333	0	0	0	657.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	1.2221	3.08142	0.977493	0.188087	0.000413903	0.275259	0	0	0	5.74477	111.871	383.691	59.1716	11.0947	2.77367	23.1139	0	0	0	591.716	7.11329	23.9925	0.57785	16.1224	0.0763977	14.5703	0	0	0	62.4529	44.3787	303.254	4.62278	34.2086	3.69823	277.367	0	0	0	667.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	1.13286	2.89537	0.788662	0.233795	0.00548594	0.461756	0	0	0	5.51793	115.68	388.462	55.0616	14.3968	4.42008	37.7602	0	0	0	615.781	15.1906	29.2129	3.18255	31.9356	0.284348	16.7317	0	0	0	96.5377	42.8117	305.617	7.19842	31.1932	2.39947	267.099	0	0	0	656.319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	14	47.3333	0.666667	3.44444	0	9.22222	0	0	0	74.6667	1.1462	2.88662	0.812634	0.225974	0.00457256	0.425529	0	0	0	5.50153	114.333	379.444	54.5556	13.5556	4.11111	34.6667	0	0	0	600.667	14.2639	28.6408	2.83954	29.3783	0.261302	16.4163	0	0	0	91.8	43	305.889	6.66667	30.3333	2.66667	266.111	0	0	0	654.667	0	0	0	0	0	0	0	0	0	0	0.00727824	0.0366958	0.00689513	0.0035163	0	0.00752383	0	0	0	0.0619093	0.555556	4.66667	0.888889	0.333333	0	0.555556	0	0	0	7	0.0343111	0.280379	0.0573325	0.763483	0	0.220708	0	0	0	1.35621	0.333333	3.22222	0.333333	1.33333	0	3	0	0	0	8.22222
1	1	116.494	49.926	0.924556	5.54734	0	5.54734	0	0	0	178.439	1.23601	3.0257	0.993496	0.183443	0.00047246	0.263689	0	0	0	5.70281	110.947	373.521	58.247	10.1701	2.77367	22.1894	0	0	0	577.848	7.03811	24.123	0.585214	14.9956	0.0776592	14.6922	0	0	0	61.5118	43.4541	306.028	4.62278	32.3595	3.69823	277.367	0	0	0	667.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	46.9792	0.631441	3.1572	0	9.72419	0	0	0	60.492	1.13394	2.86762	0.78793	0.231784	0.0051326	0.447636	0	0	0	5.47404	114.796	380.254	54.0513	14.018	4.2938	36.371	0	0	0	603.784	15.2509	29.2579	3.14747	31.3428	0.286387	16.6518	0	0	0	95.9372	42.938	305.87	6.94585	30.0566	2.52576	264.574	0	0	0	652.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	25.2222	85.6667	0.777778	4.33333	0.111111	15.1111	0	0	0	131.222	1.15817	2.85759	0.805367	0.218234	0.0047795	0.412895	0	0	0	5.45704	113.444	371.556	53.2222	12.8889	4.11111	33.4444	0	0	0	588.667	14.3114	28.6395	2.85004	28.9667	0.262756	16.4139	0	0	0	91.4443	42.8889	306.222	6.66667	29.6667	2.66667	264.222	0	0	0	652.333	3.55556	7.11111	0.111111	0.555556	0	3.55556	0	0	0	14.8889	0.00268753	0.0314486	0.0154503	0.00436571	0	0.00607777	0	0	0	0.0600299	0.666667	4	1.22222	0.444444	0	0.444444	0	0	0	6.77778	0.0260895	0.339554	0.0164356	0.51899	0	0.166642	0	0	0	1.06771	0.333333	3.55556	0.111111	0.888889	0	2.66667	0	0	0	7.55556
2	1	209.874	81.3609	0.924556	6.47189	0	12.0192	0	0	0	310.651	1.26052	2.97125	0.993346	0.187644	0.00053555	0.256494	0	0	0	5.66979	110.947	364.275	56.3979	10.1701	2.77367	21.2648	0	0	0	565.828	7.09003	24.3704	0.592625	15.0821	0.0789315	14.7596	0	0	0	61.9737	43.4541	307.877	4.62278	32.3595	3.69823	275.518	0	0	0	667.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	86.2548	0.757729	4.04122	0.126288	15.5334	0	0	0	106.713	1.14419	2.84207	0.77969	0.222413	0.00535919	0.434258	0	0	0	5.42798	113.786	372.55	52.7884	13.2603	4.2938	35.1081	0	0	0	591.786	15.2978	29.2226	3.15839	30.8633	0.287865	16.6398	0	0	0	95.4698	42.8117	305.996	6.94585	29.2988	2.52576	262.679	0	0	0	650.258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	33.5556	115.556	0.888889	5.22222	0.111111	17.4444	0	0	0	172.778	1.1602	2.84002	0.792865	0.209795	0.00447225	0.413733	0	0	0	5.42109	112.222	364.111	52.2222	12.3333	4	33	0	0	0	577.889	14.1777	28.7405	2.87701	27.6905	0.264738	16.363	0	0	0	90.1134	43	306.444	6.77778	28.2222	2.77778	261.111	0	0	0	648.333	7.11111	15.1111	0.111111	0.777778	0	5.33333	0	0	0	28.4444	0.00334759	0.0295969	0.0204444	0.00926751	0	0.0019847	0	0	0	0.0646411	0.777778	4.11111	0.888889	0.444444	0	0.222222	0	0	0	6.44444	0.216885	0.226958	0	1.377	0	0.205131	0	0	0	2.02598	0.333333	3.11111	0	1.55556	0	3.33333	0	0	0	8.33333
