Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081815-runs\081815b-FRPIJE.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realplot
2 = simplot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0.0607952	0.00232453	0.0559793	0	0	0.0650539	0.827808	0.0129887	0	1.02495	7.33333	2.88889	2.77778	0	0	11.4444	88.4444	1.11111	0	114	9.98791	0	2.04849	0	0	0.208719	29.0828	0	0	41.3279	6.22222	0	1.44444	0	0	3.88889	51.6667	0	0	63.2222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0.0516518	0.00333202	0.0989749	0	0	0.0865152	0.722077	0.0104374	0	0.972988	4.46429	3.57143	2.67857	0	0	13.3929	84.8214	0.892857	0	109.821	1.78209	0	1.0352	0	0	0.0850053	13.9436	0	0	16.8459	7.14286	0	0.892857	0	0	2.67857	54.4643	0	0	65.1786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	0.0620948	0.00218133	0.0498682	0	0	0.0620035	0.842835	0.0133514	0	1.03233	7.74112	2.79188	2.79188	0	0	11.1675	88.9594	1.14213	0	114.594	11.1542	0	2.19251	0	0	0.226303	31.2345	0	0	44.8076	6.09137	0	1.52284	0	0	4.06091	51.269	0	0	62.9442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	2.33333	0	0	0	0	0.222222	2.44444	0	0	5	0.0585518	0.00246978	0.0569353	0	0	0.064468	0.826394	0.0133975	0	1.02222	7.11111	2.88889	2.66667	0	0	11.1111	86.5556	1.11111	0	111.444	10.0032	0	2.05516	0	0	0.208781	27.6289	0	0	39.896	6.22222	0	1.44444	0	0	3.77778	51.2222	0	0	62.6667	0	0	0	0	0	0	0	0	0	0	0.00355881	0	0.000100317	0	0	0.0019944	0.00958873	0	0	0.0152423	0.222222	0	0.111111	0	0	0.333333	1.44444	0	0	2.11111	0	0	0	0	0	0.00194938	1.60304	0	0	1.60499	0	0	0	0	0	0.111111	0.888889	0	0	1
1	1	18.75	0	0	0	0	0	0.892857	0	0	19.6429	0.0524567	0.0035491	0.0996058	0	0	0.0882883	0.74371	0.0107659	0	0.998376	4.46429	3.57143	1.78571	0	0	13.3929	83.0357	0.892857	0	107.143	1.7933	0	1.03953	0	0	0.0861575	13.6394	0	0	16.5584	7.14286	0	0.892857	0	0	2.67857	52.6786	0	0	63.3929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	0	0	0	0	0.253807	2.66497	0	0	2.91878	0.0594181	0.00231637	0.0508705	0	0	0.0610823	0.838146	0.0137716	0	1.02561	7.48731	2.79188	2.79188	0	0	10.7868	87.0558	1.14213	0	112.056	11.17	0	2.19951	0	0	0.22621	29.6173	0	0	43.213	6.09137	0	1.52284	0	0	3.93401	51.0152	0	0	62.5635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	3.77778	0	0	0	0	0.333333	5.11111	0	0	9.22222	0.0598227	0.00262366	0.0572015	0	0	0.0658607	0.821735	0.0138127	0	1.02106	7.11111	2.88889	2.55556	0	0	11.1111	85.4444	1.11111	0	110.222	10.0184	0	2.06184	0	0	0.20812	27.6469	0	0	39.9353	6.22222	0	1.44444	0	0	3.66667	51.4444	0	0	62.7778	0.888889	0	0	0	0	0	0.333333	0	0	1.22222	0	0	0.000794392	0	0	0	0.0044805	0	0	0.0052749	0	0	0.111111	0	0	0	0.444444	0	0	0.555556	0	0	0	0	0	0.00264876	0.136756	0	0	0.139404	0	0	0	0	0	0.111111	0.444444	0	0	0.555556
2	1	30.3571	0	0	0	0	0	3.57143	0	0	33.9286	0.0532746	0.00377687	0.100965	0	0	0.0900833	0.766264	0.0110995	0	1.02546	4.46429	3.57143	1.78571	0	0	13.3929	83.0357	0.892857	0	107.143	1.80455	0	1.04387	0	0	0.0873174	13.0573	0	0	15.993	7.14286	0	0.892857	0	0	2.67857	50.8929	0	0	61.6071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	0	0	0	0	0.380711	5.32995	0	0	5.71066	0.0607534	0.00245976	0.0509814	0	0	0.0624179	0.829619	0.0141983	0	1.02043	7.48731	2.79188	2.66497	0	0	10.7868	85.7868	1.14213	0	110.66	11.1859	0	2.20652	0	0	0.22529	29.7206	0	0	43.3383	6.09137	0	1.52284	0	0	3.80711	51.5228	0	0	62.9442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	4.66667	0	0	0	0	0.222222	7.33333	0	0	12.2222	0.0564135	0.00278619	0.0507788	0	0	0.0652828	0.813717	0.0142341	0	1.00321	7	2.88889	2.33333	0	0	10.8889	83.6667	1.11111	0	107.889	10.0384	0	2.06853	0	0	0.211995	27.7569	0	0	40.0759	6.33333	0	1.44444	0	0	3.77778	51.5556	0	0	63.1111	1	0	0	0	0	0.333333	0.888889	0	0	2.22222	0	0	0.00746652	0	0	7.06833e-005	0.0160118	0	0	0.023549	0	0	0.222222	0	0	0.111111	1.33333	0	0	1.66667	0	0	0	0	0	0	0.0365605	0	0	0.0365605	0	0	0	0	0	0	0.333333	0	0	0.333333
