Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081815-runs\081815b-POFLABMA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realplot
2 = simplots
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144781	0	2.65019	2.79497	0	0	0	0	0	0	20.8889	0	354.889	375.778	0	0	0	0	0	0	9.112	0	891.575	900.687	0	0	0	0	0	0	13.1111	0	207.111	220.222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114325	0	1.95603	2.07035	0	0	0	0	0	0	17.5666	0	309.726	327.293	0	0	0	0	0	0	2.81089	0	102.851	105.662	0	0	0	0	0	0	16.642	0	240.385	257.027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148942	0	2.74501	2.89395	0	0	0	0	0	0	21.3427	0	361.058	382.4	0	0	0	0	0	0	9.97269	0	999.31	1009.28	0	0	0	0	0	0	12.6288	0	202.566	215.195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	0	0	0	0	0	0	0.555556	0	10.8889	11.4444	0	0	0	0	0	0	0.147305	0	2.65777	2.80507	0	0	0	0	0	0	20.5556	0	352.778	373.333	0	0	0	0	0	0	9.14711	0	700.711	709.858	0	0	0	0	0	0	13.1111	0	207.222	220.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00221446	0	0.00843981	0.0106543	0	0	0	0	0	0	0.333333	0	1.11111	1.44444	0	0	0	0	0	0	0	0	191.563	191.563	0	0	0	0	0	0	0	0	0.888889	0.888889
1	1	0	0	0	0	0	0	0	0	7.39645	7.39645	0	0	0	0	0	0	0.117984	0	1.96079	2.07877	0	0	0	0	0	0	17.5666	0	307.877	325.444	0	0	0	0	0	0	2.84012	0	101.094	103.934	0	0	0	0	0	0	16.642	0	237.611	254.253	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	0	0	0	0	0	0.631441	0	11.3659	11.9974	0	0	0	0	0	0	0.15131	0	2.75297	2.90428	0	0	0	0	0	0	20.9638	0	358.911	379.875	0	0	0	0	0	0	10.0086	0	782.615	792.623	0	0	0	0	0	0	12.6288	0	203.071	215.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	0	0	0	0	0	0	1.33333	0	20.1111	21.4444	0	0	0	0	0	0	0.151007	0	2.67368	2.82469	0	0	0	0	0	0	20.4444	0	351.111	371.556	0	0	0	0	0	0	9.15334	0	693.073	702.226	0	0	0	0	0	0	13	0	207.333	220.333	0	0	0	0	0	0	0.222222	0	1.77778	2	0	0	0	0	0	0	0.00108706	0	0.00976202	0.0108491	0	0	0	0	0	0	0.111111	0	0.888889	1	0	0	0	0	0	0	0.0290113	0	8.30936	8.33837	0	0	0	0	0	0	0.111111	0	0.666667	0.777778
2	1	0	0	0	0	0	0	0	0	19.4157	19.4157	0	0	0	0	0	0	0.121743	0	1.96586	2.0876	0	0	0	0	0	0	17.5666	0	306.028	323.595	0	0	0	0	0	0	2.86953	0	101.577	104.446	0	0	0	0	0	0	16.642	0	238.536	255.178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	0	0	0	0	0	1.51546	0	20.2061	21.7216	0	0	0	0	0	0	0.155004	0	2.77037	2.92537	0	0	0	0	0	0	20.8375	0	357.269	378.107	0	0	0	0	0	0	10.0117	0	773.867	783.879	0	0	0	0	0	0	12.5025	0	203.071	215.574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	0	0	0	0	0	0	2.11111	0	25.2222	27.3333	0	0	0	0	0	0	0.150423	0	2.69295	2.84337	0	0	0	0	0	0	20.2222	0	348.556	368.778	0	0	0	0	0	0	8.57114	0	693.251	701.822	0	0	0	0	0	0	12.7778	0	207.222	220	0	0	0	0	0	0	0	0	5.11111	5.11111	0	0	0	0	0	0	0.00130132	0	0.0163457	0.017647	0	0	0	0	0	0	0.111111	0	2	2.11111	0	0	0	0	0	0	0.621469	0	0.483835	1.1053	0	0	0	0	0	0	0.333333	0	0.666667	1
