Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081815-runs\081815b-SUPILA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realplot
2 = simplot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.37715	0.0865776	0.764463	0.00465663	0	0.00389116	0	0	0.020612	2.25735	258.333	26.1111	67.5556	1	0	1.44444	0	0	1	355.444	14.6464	7.38155	41.6269	0	0	0.106306	0	0	0	63.7612	42.7778	16.5556	18.6667	0	0	0.333333	0	0	0	78.3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	1.20236	0.118158	0.551958	0.00371223	0	0.000303039	0	0	0.0164318	1.89292	253.508	27.1046	66.1671	0.797194	0	0.797194	0	0	0.797194	349.171	12.9587	2.91197	13.0498	0	0	0.0245462	0	0	0	28.945	47.0344	18.3355	19.9298	0	0	0.797194	0	0	0	86.0969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	1.40546	0.0814632	0.798878	0.00480957	0	0.00447225	0	0	0.021289	2.31637	259.115	25.9502	67.7804	1.03284	0	1.54927	0	0	1.03284	356.46	14.9198	8.1054	46.255	0	0	0.119547	0	0	0	69.3997	42.0884	16.2673	18.4621	0	0	0.258211	0	0	0	77.076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	13.6667	2.22222	1.66667	0	0	0	0	0	0	17.5556	1.3813	0.0873723	0.769041	0.00488989	0	0.00399858	0	0	0.0209608	2.26757	255.444	26	66.3333	1	0	1.44444	0	0	1	351.222	14.4291	7.38808	41.0175	0	0	0.106645	0	0	0	62.9413	42.7778	16.5556	18.1111	0	0	0.333333	0	0	0	77.7778	0	0	0	0	0	0	0	0	0	0	0.0165426	0	0.0132094	0	0	0	0	0	0	0.0297519	2.55556	0	1.22222	0	0	0	0	0	0	3.77778	0.29621	0.0212651	0.694528	0	0	0	0	0	0	1.012	0.333333	0.111111	0.555556	0	0	0	0	0	0	1
1	1	98.0548	3.98597	1.59439	0	0	0	0	0	0	103.635	1.17104	0.121526	0.566309	0.00389819	0	0.000331791	0	0	0.0167098	1.87981	247.927	27.1046	63.7755	0.797194	0	0.797194	0	0	0.797194	341.199	11.1704	2.93131	12.8946	0	0	0.0248846	0	0	0	27.0211	47.0344	18.3355	18.3355	0	0	0.797194	0	0	0	84.5025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	1.93658	1.67837	0	0	0	0	0	0	3.61496	1.41536	0.0818411	0.801873	0.00505049	0	0.00459242	0	0	0.0216492	2.33036	256.662	25.8211	66.7476	1.03284	0	1.54927	0	0	1.03284	352.845	14.9569	8.10985	45.572	0	0	0.119886	0	0	0	68.7586	42.0884	16.2673	18.0748	0	0	0.258211	0	0	0	76.6887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	24.8889	3.55556	2.33333	0	0	0	0	0	0	30.7778	1.39431	0.0878423	0.754065	0.00512885	0	0.00407119	0	0	0.0213125	2.26673	253	25.6667	65.1111	1	0	1.33333	0	0	1	347.111	14.4784	7.398	39.9837	0	0	0.106985	0	0	0	61.9671	42.8889	16.4444	17.7778	0	0	0.333333	0	0	0	77.4445	2.77778	0.666667	0.111111	0	0	0	0	0	0	3.55556	0.00788634	0.000363369	0.0123835	0	0	3.71763e-005	0	0	0	0.0206704	2.11111	0.222222	1	0	0	0.111111	0	0	0	3.44444	0.0292105	0.0178535	1.13732	0	0	0	0	0	0	1.18438	0.222222	0.222222	0.555556	0	0	0	0	0	0	1
2	1	178.571	4.78316	1.59439	0	0	0	0	0	0	184.949	1.19312	0.109943	0.580428	0.00408869	0	0.000361845	0	0	0.0169902	1.90493	244.739	25.5102	62.1811	0.797194	0	0.797194	0	0	0.797194	334.821	11.2355	2.96573	12.8611	0	0	0.0252252	0	0	0	27.0876	47.0344	19.1327	17.5383	0	0	0.797194	0	0	0	84.5025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	3.35674	2.45301	0	0	0	0	0	0	5.80975	1.4269	0.0842631	0.782185	0.0052973	0	0.00467192	0	0	0.0220125	2.32533	254.338	25.692	65.5856	1.03284	0	1.42016	0	0	1.03284	349.101	15.0036	8.1158	44.3762	0	0	0.120226	0	0	0	67.6158	42.2175	16.0091	17.8166	0	0	0.258211	0	0	0	76.3014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	32	5	2.44444	0	0	0	0	0	0	39.4444	1.40886	0.0873002	0.751069	0.00477646	0	0.00417957	0	0	0.0216672	2.27785	251.222	25.3333	63.8889	0.888889	0	1.33333	0	0	1	343.667	14.4966	7.30972	39.3694	0	0	0.107326	0	0	0	61.283	42.5556	16.4444	17.4444	0	0	0.333333	0	0	0	76.7778	6	0.666667	0.333333	0	0	0	0	0	0	7	0.0113769	0.00138229	0.0207872	0.000597057	0	0	0	0	0	0.0341435	1.55556	0.222222	1.22222	0.111111	0	0	0	0	0	3.11111	0.05584	0.116017	0.695111	0	0	0	0	0	0	0.866968	0.555556	0.111111	0.333333	0	0	0	0	0	0	1
3	1	229.592	4.78316	1.59439	0	0	0	0	0	0	235.969	1.21633	0.11319	0.588998	0.00428373	0	0.000393202	0	0	0.017273	1.94047	243.144	25.5102	60.5867	0.797194	0	0.797194	0	0	0.797194	331.633	11.1272	2.98562	12.9233	0	0	0.0255682	0	0	0	27.0617	45.4401	19.1327	17.5383	0	0	0.797194	0	0	0	82.9082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	2	0	5.03512	2.58211	0	0	0	0	0	0	7.61723	1.44004	0.0831073	0.777316	0.00485625	0	0.00479277	0	0	0.0223789	2.33249	252.53	25.3047	64.4237	0.903739	0	1.42016	0	0	1.03284	345.616	15.0422	8.01001	43.6524	0	0	0.120567	0	0	0	66.8252	42.0884	16.0091	17.4292	0	0	0.258211	0	0	0	75.785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	0	37.7778	6.22222	3.22222	0	0	0	0	0	0	47.2222	1.42277	0.083489	0.732326	0.004999	0	0.00429013	0	0	0.0220248	2.2699	249.778	24.6667	61.6667	0.888889	0	1.33333	0	0	1	339.333	14.0709	7.3367	39.3874	0	0	0.107668	0	0	0	60.9027	42.3333	16.5556	17.3333	0	0	0.333333	0	0	0	76.5556	7.11111	1.33333	0.111111	0	0	0	0	0	0	8.55556	0.00767924	0.000396863	0.0262228	0	0	0	0	0	0	0.0342989	1.11111	0.333333	2.11111	0	0	0	0	0	0	3.55556	0.504168	0.0047726	0.0716733	0	0	0	0	0	0	0.580614	0.555556	0.222222	0.222222	0	0	0	0	0	0	1
4	1	271.046	3.98597	2.39158	0	0	0	0	0	0	277.423	1.24913	0.101371	0.595373	0.00448332	0	0.000425862	0	0	0.017558	1.96834	243.144	24.713	58.9923	0.797194	0	0.797194	0	0	0.797194	329.241	11.1912	3.02075	12.9856	0	0	0.0259135	0	0	0	27.2235	45.4401	19.9298	17.5383	0	0	0.797194	0	0	0	83.7054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	2	0	6.58438	3.35674	0	0	0	0	0	0	9.94113	1.45089	0.0805931	0.754505	0.00508252	0	0.00491595	0	0	0.0227482	2.31874	250.852	24.6592	62.0998	0.903739	0	1.42016	0	0	1.03284	340.968	14.5373	8.03567	43.6632	0	0	0.120908	0	0	0	66.3571	41.8302	16.0091	17.3001	0	0	0.258211	0	0	0	75.3976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	0	41.5556	7.55556	4	0	0	0	0	0	0	53.1111	1.43533	0.0858786	0.733912	0.00522661	0	0.00440287	0	0	0.0223853	2.28714	246.889	24.5556	60.7778	0.888889	0	1.33333	0	0	1	335.444	13.7802	7.35969	39.328	0	0	0.108011	0	0	0	60.5759	42.2222	16.4444	17.1111	0	0	0.333333	0	0	0	76.1111	9	1.11111	0.444444	0	0	0	0	0	0	10.5556	0.0141927	0.000486955	0.015792	0	0	0	0	0	0	0.0304717	2.66667	0.111111	0.888889	0	0	0	0	0	0	3.66667	0.363714	0.00253686	0.138623	0	0	0	0	0	0	0.504874	0.333333	0.111111	0.222222	0	0	0	0	0	0	0.666667
5	1	298.151	6.37755	2.39158	0	0	0	0	0	0	306.92	1.23309	0.104501	0.606221	0.00468745	0	0.000459825	0	0	0.0178454	1.96681	237.564	24.713	57.398	0.797194	0	0.797194	0	0	0.797194	322.066	11.0852	3.0412	12.5918	0	0	0.0262611	0	0	0	26.7444	43.8457	19.9298	16.7411	0	0	0.797194	0	0	0	81.3138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	2	0	7.74633	4.26048	0	0	0	0	0	0	12.0068	1.46808	0.0828627	0.754592	0.00531393	0	0.00504145	0	0	0.0231205	2.33901	248.399	24.5301	61.3251	0.903739	0	1.42016	0	0	1.03284	337.611	14.2167	8.05907	43.6579	0	0	0.12125	0	0	0	66.055	41.9593	15.88	17.171	0	0	0.258211	0	0	0	75.2685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	0	43.4444	9	3.77778	0	0	0	0	0	0	56.2222	1.43952	0.0888026	0.724292	0.00477688	0	0.00451779	0	0	0.0227488	2.28465	245	24.4444	60	0.777778	0	1.33333	0	0	1	332.556	13.8633	6.88521	39.3502	0	0	0.108355	0	0	0	60.2071	42.7778	15.8889	17.1111	0	0	0.333333	0	0	0	76.1111	10.8889	1.55556	0.444444	0	0	0	0	0	0	12.8889	0.00390357	8.17708e-006	0.0168792	0.000682412	0	0	0	0	0	0.0214733	1.22222	0.111111	1.77778	0.111111	0	0	0	0	0	3.22222	0.00831719	0.500052	0.0666821	0	0	0	0	0	0	0.575052	0.111111	0.555556	0.111111	0	0	0	0	0	0	0.777778
6	1	311.703	4.78316	0	0	0	0	0	0	0	316.486	1.26302	0.107705	0.620676	0.00489613	0	0.00049509	0	0	0.0181352	2.01493	236.767	24.713	58.1952	0.797194	0	0.797194	0	0	0.797194	322.066	11.148	3.06176	12.6518	0	0	0.0266111	0	0	0	26.8882	43.8457	19.9298	16.7411	0	0	0.797194	0	0	0	81.3138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	2	0	9.68292	4.38959	0	0	0	0	0	0	14.0725	1.4681	0.0857413	0.741072	0.00475757	0	0.00516926	0	0	0.0234959	2.32834	246.333	24.4009	60.2923	0.774633	0	1.42016	0	0	1.03284	334.254	14.3031	7.50441	43.674	0	0	0.121593	0	0	0	65.6031	42.6048	15.2345	17.171	0	0	0.258211	0	0	0	75.2685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	0	46.6667	9.88889	4.33333	0	0	0	0	0	0	60.8889	1.45535	0.0868719	0.737451	0.00498491	0	0.00463488	0	0	0.0231151	2.3124	242.667	23.6667	58.8889	0.777778	0	1.33333	0	0	1	328.333	13.9153	6.89893	39.3595	0	0	0.1087	0	0	0	60.2824	42.6667	16	16.8889	0	0	0.333333	0	0	0	75.8889	10.2222	1.22222	0.777778	0	0	0	0	0	0	12.2222	0.0113835	0.00070487	0.00405138	0	0	0	0	0	0	0.0161397	2.11111	0.555556	1.33333	0	0	0	0	0	0	4	0.0211624	0.015028	0.0692288	0	0	0	0	0	0	0.105419	0.333333	0.111111	0.222222	0	0	0	0	0	0	0.666667
7	1	334.821	8.76913	2.39158	0	0	0	0	0	0	345.982	1.26301	0.110983	0.636028	0.00510935	0	0.000531659	0	0	0.0184272	2.03409	235.969	24.713	57.398	0.797194	0	0.797194	0	0	0.797194	320.472	11.1417	3.08242	12.712	0	0	0.0269633	0	0	0	26.963	43.0485	19.9298	16.7411	0	0	0.797194	0	0	0	80.5166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	2	0	10.0702	4.6478	0	0	0	0	0	0	14.718	1.48649	0.082967	0.753876	0.00496476	0	0.0052994	0	0	0.0238743	2.35748	243.751	23.4972	59.1303	0.774633	0	1.42016	0	0	1.03284	329.606	14.3645	7.51702	43.6751	0	0	0.121937	0	0	0	65.6785	42.6048	15.3636	16.9128	0	0	0.258211	0	0	0	75.1394	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	0	48.5556	11.3333	4	0	0	0	0	0	0	63.8889	1.47196	0.0860089	0.735839	0.00445489	0	0.00475416	0	0	0.0208751	2.3239	243	23.4444	58.1111	0.666667	0	1.33333	0	0	0.888889	327.444	13.9067	6.92561	37.7768	0	0	0.109046	0	0	0	58.7181	42.2222	16.1111	16.5556	0	0	0.333333	0	0	0	75.2222	9.11111	0.666667	0.888889	0	0	0	0	0	0	10.6667	0.0159313	0.00176092	0.018977	0.000742482	0	0	0	0	0.00260938	0.0400211	2.66667	0.444444	1.22222	0.111111	0	0	0	0	0.111111	4.55556	0.077064	0	1.66091	0	0	0	0	0	0	1.73798	0.555556	0	0.333333	0	0	0	0	0	0	0.888889
8	1	348.374	12.7551	0.797194	0	0	0	0	0	0	361.926	1.2965	0.099363	0.651581	0.00532712	0	0.00056953	0	0	0	2.05334	257.494	24.713	56.6008	0.797194	0	0.797194	0	0	0	340.402	11.2042	3.11824	12.7723	0	0	0.0273179	0	0	0	27.122	43.0485	20.727	16.7411	0	0	0.797194	0	0	0	81.3138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	2	0	11.1031	4.51869	0	0	0	0	0	0	15.6218	1.50038	0.0838462	0.749485	0.00431363	0	0.00543186	0	0	0.0242558	2.36771	240.653	23.239	58.3557	0.645528	0	1.42016	0	0	1.03284	325.346	14.3443	7.54221	41.8262	0	0	0.122281	0	0	0	63.8351	42.0884	15.3636	16.5255	0	0	0.258211	0	0	0	74.2357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	0	50.3333	11.2222	4.55556	0	0	0	0	0	0	66.1111	1.48047	0.0880735	0.739029	0.0046408	0	0.00487561	0	0	0.0212059	2.33829	244.111	23.6667	57.3333	0.666667	0	1.33333	0	0	0.888889	328	13.8904	6.89154	37.8117	0	0	0.109392	0	0	0	58.703	42.3333	15.8889	16.4444	0	0	0.333333	0	0	0	75	9.66667	1.77778	0.666667	0	0	0	0	0	0	12.1111	0.0102491	0.000938618	0.0140817	0	0	0	0	0	0	0.0252694	1.33333	0.444444	0.888889	0	0	0	0	0	0	2.66667	0.0985527	0.0587752	0.0402168	0	0	0	0	0	0	0.197545	0.333333	0.222222	0.111111	0	0	0	0	0	0	0.666667
9	1	361.129	11.9579	2.39158	0	0	0	0	0	0	375.478	1.3182	0.0983992	0.66792	0.00554943	0	0.000608704	0	0	0	2.09068	276.626	23.1186	56.6008	0.797194	0	0.797194	0	0	0	357.94	11.2669	2.88895	12.5442	0	0	0.0276748	0	0	0	26.7278	43.0485	19.9298	15.9439	0	0	0.797194	0	0	0	79.7194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	2	0	11.1031	4.90601	0	0	0	0	0	0	16.0091	1.50675	0.0864013	0.750545	0.00449365	0	0.00556664	0	0	0.0246402	2.37839	238.845	23.7554	57.452	0.645528	0	1.42016	0	0	1.03284	323.151	14.3152	7.53976	41.9038	0	0	0.122627	0	0	0	63.8814	42.2175	15.2345	16.5255	0	0	0.258211	0	0	0	74.2357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	0	50.1111	10.2222	4.44444	0	0	0	0	0	0	64.7778	1.4938	0.086891	0.737495	0.00402543	0	0.00499925	0	0	0.0215394	2.34875	244.222	23.8889	56.7778	0.555556	0	1.33333	0	0	0.888889	327.667	13.9249	6.91808	37.5321	0	0	0.10974	0	0	0	58.4848	42.3333	16	16	0	0	0.333333	0	0	0	74.6667	11.2222	2	0.444444	0	0	0	0	0	0	13.6667	0.00567005	0.00212908	0.00862801	0.000805085	0	0	0	0	0	0.0172322	1.66667	0.444444	1	0.111111	0	0	0	0	0	3.22222	0.0477588	0	0.364926	0	0	0	0	0	0	0.412685	0.444444	0	0.555556	0	0	0	0	0	0	1
