Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081815-runs\081815c-BBBPIPO.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realdata
2 = alldata
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.14358	2.91773	0.811356	0.228302	0.00487639	0.439343	0	0	0	5.54519	115.222	387.889	55.5556	14	4.22222	36	0	0	0	612.889	14.2199	28.5855	2.86952	30.0352	0.259357	16.4719	0	0	0	92.4415	43	305.333	6.88889	31.5556	2.55556	268.333	0	0	0	657.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	1.242	3.07012	0.958963	0.184521	0.000406056	0.270041	0	0	0	5.72605	111.565	381.859	58.0499	10.8844	2.72109	22.6757	0	0	0	587.755	6.97845	24.0679	1.06145	15.8168	0.0749494	14.5256	0	0	0	62.5252	43.5374	304.762	5.44218	33.5601	3.62812	277.551	0	0	0	668.481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	1.13435	2.8935	0.797304	0.23141	0.00542998	0.459878	0	0	0	5.52188	115.875	388.375	55.375	14.25	4.375	37.625	0	0	0	615.875	15.1253	29.3275	3.15008	31.6376	0.281448	16.6886	0	0	0	96.2105	42.875	305.25	7.125	31.25	2.375	267.25	0	0	0	656.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	14.8889	48.1111	0.444444	1.33333	0.111111	9.11111	0	0	0	74	1.14724	2.8974	0.801117	0.22498	0.00457181	0.426021	0	0	0	5.50134	114.444	380.556	54.7778	13.3333	4	34.6667	0	0	0	601.778	14.2696	28.4351	2.80411	29.8554	0.261302	16.4613	0	0	0	92.0868	43.1111	305.778	6.55556	30.8889	2.66667	266.333	0	0	0	655.333	0	0	0	0	0	0	0	0	0	0	0.0062384	0.0259111	0.0184124	0.0045104	7.44069e-007	0.00703185	0	0	0	0.0621049	0.444444	3.55556	0.666667	0.555556	0.111111	0.555556	0	0	0	5.88889	0.0285943	0.48607	0.092763	0.286385	0	0.175662	0	0	0	1.06947	0.222222	3.33333	0.444444	0.777778	0	2.77778	0	0	0	7.55556
1	1	121.542	35.3741	0	0.90703	0	8.16327	0	0	0	165.986	1.26557	3.01885	0.907337	0.188887	0.000463503	0.258691	0	0	0	5.6398	110.658	373.696	56.2358	10.8844	2.72109	21.7687	0	0	0	575.964	7.03025	24.2723	0.955107	15.9073	0.0761871	14.6895	0	0	0	62.9306	43.5374	306.576	4.53515	33.5601	3.62812	278.458	0	0	0	670.295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	49.75	0.5	1.375	0.125	9.125	0	0	0	60.875	1.1356	2.87627	0.793214	0.227072	0.00507941	0.446504	0	0	0	5.48374	115.125	381.125	54.75	13.5	4.125	36.25	0	0	0	604.875	15.1747	29.1318	3.09157	31.4232	0.283466	16.6557	0	0	0	95.7604	43	305.5	6.875	30.5	2.5	264.875	0	0	0	653.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	26.6667	84.4444	1.11111	2.44444	0	16	0	0	0	130.667	1.14945	2.87577	0.793315	0.215599	0.00474651	0.414871	0	0	0	5.45375	113.111	372.778	53.7778	12.7778	3.88889	33.5556	0	0	0	589.889	13.9517	28.5573	2.81933	29.205	0.260295	16.4545	0	0	0	91.2482	43.1111	306.667	6.55556	30.1111	2.55556	264.333	0	0	0	653.333	2.66667	8.44444	0	0.222222	0.111111	3.33333	0	0	0	14.7778	0.0124755	0.0221978	0.0158655	0.00594341	3.1636e-005	0.00459653	0	0	0	0.0611104	1.11111	3.77778	0.888889	0.333333	0.111111	0.333333	0	0	0	6.55556	0.391568	0.217697	0.0114471	0.75978	0.00246066	0.171243	0	0	0	1.5542	0.222222	3.11111	0.111111	1	0.111111	2.77778	0	0	0	7.33333
2	1	217.687	68.9342	0	2.72109	0	20.8617	0	0	0	310.204	1.28981	2.96495	0.92649	0.193314	0.000267144	0.26277	0	0	0	5.6376	109.751	363.719	55.3288	10.8844	1.81406	21.7687	0	0	0	563.265	7.08227	24.5111	0.963938	15.827	0.0774352	14.7115	0	0	0	63.1733	43.5374	311.111	4.53515	32.6531	3.62812	275.737	0	0	0	671.202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	86.375	1.25	2.375	0	15.125	0	0	0	105.125	1.13513	2.86026	0.782117	0.215908	0.005303	0.433447	0	0	0	5.43216	113.75	373.75	53.75	12.875	4.125	35	0	0	0	593.25	14.8106	29.2249	3.10789	30.7031	0.282161	16.6468	0	0	0	94.7755	43	305.75	6.875	29.75	2.375	263	0	0	0	650.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	34.5556	118	1.11111	3.88889	0	15.8889	0	0	0	173.444	1.14545	2.86744	0.789535	0.21005	0.00440361	0.412352	0	0	0	5.42923	112	366.889	52.6667	12.1111	3.66667	33	0	0	0	580.333	14.0194	28.5734	2.84606	28.4323	0.25862	16.414	0	0	0	90.5438	43.4444	305.444	6.66667	29	2.44444	261.444	0	0	0	648.444	6.77778	12.5556	0	0.555556	0	7.33333	0	0	0	27.2222	0.00925408	0.0249339	0.0117249	0.00631036	3.13707e-005	0.00345355	0	0	0	0.0557081	0.666667	2.77778	1	0.555556	0.111111	0.222222	0	0	0	5.33333	0.0150846	0.307842	0	0.875071	0.00361711	0.196754	0	0	0	1.39837	0.111111	4.33333	0	1.22222	0.222222	3.22222	0	0	0	9.11111
