Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\081815-runs\081815c-SUPILA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realplot
2 = simplot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.37715	0.0865776	0.764463	0.00465663	0	0.00389116	0	0	0.020612	2.25735	258.333	26.1111	67.5556	1	0	1.44444	0	0	1	355.444	14.6464	7.38155	41.6269	0	0	0.106306	0	0	0	63.7612	42.7778	16.5556	18.6667	0	0	0.333333	0	0	0	78.3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	1.17567	0.12143	0.462019	0.00413922	0	0.000337896	0	0	0.0183218	1.78192	252.444	24.8889	64	0.888889	0	0.888889	0	0	0.888889	344	12.1007	2.13341	12.4055	0	0	0.0273696	0	0	0	26.667	48	18.6667	21.3333	0	0	0.888889	0	0	0	88.8889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	1.40593	0.0815988	0.807669	0.00473054	0	0.00439877	0	0	0.0209392	2.32527	259.175	26.2857	68.0635	1.01587	0	1.52381	0	0	1.01587	357.079	15.0101	8.13128	45.8014	0	0	0.117583	0	0	0	69.0604	42.0317	16.254	18.2857	0	0	0.253968	0	0	0	76.8254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	13.7778	2.77778	1.22222	0	0	0	0	0	0	17.7778	1.3935	0.0872126	0.777502	0.00434657	0	0.00399858	0	0	0.0209608	2.28752	256.222	25.8889	66.4444	0.888889	0	1.44444	0	0	1	351.889	14.7253	7.34671	41.5875	0	0	0.106645	0	0	0	63.7662	43.1111	16.2222	18.3333	0	0	0.333333	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0.00434312	0.000159709	0.00474764	0.000543321	0	0	0	0	0	0.00979379	1.77778	0.111111	1.11111	0.111111	0	0	0	0	0	3.11111	0	0.0626309	0.124502	0	0	0	0	0	0	0.187133	0	0.444444	0.333333	0	0	0	0	0	0	0.777778
1	1	110.222	1.77778	1.77778	0	0	0	0	0	0	113.778	1.1644	0.124733	0.465494	0.00434657	0	0.000369954	0	0	0.0186318	1.77797	248.889	24.8889	62.2222	0.888889	0	0.888889	0	0	0.888889	338.667	12.207	1.85494	12.4725	0	0	0.0277468	0	0	0	26.5623	48.8889	16.8889	21.3333	0	0	0.888889	0	0	0	88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	2.92063	1.14286	0	0	0	0	0	0	4.06349	1.42623	0.0818526	0.822075	0.00434657	0	0.00451696	0	0	0.0212935	2.36032	257.27	26.0317	67.0476	0.888889	0	1.52381	0	0	1.01587	353.778	15.0851	8.13125	45.7468	0	0	0.117916	0	0	0	69.081	42.2857	16.127	17.9048	0	0	0.253968	0	0	0	76.5714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	25.6667	5.22222	2.44444	0	0	0	0	0	0	33.3333	1.4042	0.0863774	0.762514	0.00455898	0	0.00410837	0	0	0.0213125	2.28307	254.111	25.5556	64.8889	0.888889	0	1.44444	0	0	1	347.889	14.7939	7.36633	40.6447	0	0	0.106985	0	0	0	62.912	43.3333	16.1111	18.2222	0	0	0.333333	0	0	0	78	3	0.555556	0.333333	0	0	0	0	0	0	3.88889	0.0104344	0.00165811	0.0125079	0	0	0	0	0	0	0.0246004	1.77778	0.222222	1.33333	0	0	0	0	0	0	3.33333	0.0107048	0.00780824	1.04766	0	0	0	0	0	0	1.06618	0.111111	0.222222	0.333333	0	0	0	0	0	0	0.666667
2	1	205.333	6.22222	2.66667	0	0	0	0	0	0	214.222	1.17415	0.111144	0.477108	0.00455898	0	0.000403465	0	0	0.0189445	1.78631	246.222	23.1111	60.4444	0.888889	0	0.888889	0	0	0.888889	332.444	12.2765	1.88726	12.5398	0	0	0.0281267	0	0	0	26.7317	48.8889	17.7778	21.3333	0	0	0.888889	0	0	0	88.8889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	5.07937	2.4127	0	0	0	0	0	0	7.49206	1.43707	0.0828393	0.803286	0.00455898	0	0.00463764	0	0	0.0216508	2.35404	255.238	25.9048	65.5238	0.888889	0	1.52381	0	0	1.01587	350.095	15.1536	8.14906	44.6597	0	0	0.118251	0	0	0	68.0806	42.5397	15.873	17.7778	0	0	0.253968	0	0	0	76.4444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	36	7	3	0	0	0	0	0	0	46	1.41654	0.0856154	0.768857	0.00477646	0	0.00422051	0	0	0.0216672	2.30167	251.556	25.1111	63.3333	0.888889	0	1.44444	0	0	1	343.333	14.8261	7.18196	40.6229	0	0	0.107326	0	0	0	62.7383	43.3333	16.1111	17.8889	0	0	0.333333	0	0	0	77.6667	5.55556	0.555556	0.444444	0	0	0	0	0	0	6.55556	0.0137904	0.00157133	0.0114699	0	0	0	0	0	0	0.0268317	2.33333	0.333333	1.55556	0	0	0	0	0	0	4.22222	0.0428574	0.211833	0.10439	0	0	0	0	0	0	0.35908	0.222222	0.111111	0.333333	0	0	0	0	0	0	0.666667
