Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\091015-runs\091015am11-BBBPIPO.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realdata
2 = alldata
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.14358	2.91773	0.811356	0.228302	0.00487639	0.439343	0	0	0	5.54519	115.222	387.889	55.5556	14	4.22222	36	0	0	0	612.889	14.2199	28.5855	2.86952	30.0352	0.259357	16.4719	0	0	0	92.4415	43	305.333	6.88889	31.5556	2.55556	268.333	0	0	0	657.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	1.242	3.07012	0.958963	0.184521	0.000406056	0.270041	0	0	0	5.72605	111.565	381.859	58.0499	10.8844	2.72109	22.6757	0	0	0	587.755	6.97845	24.0679	1.06145	15.8168	0.0749494	14.5256	0	0	0	62.5252	43.5374	304.762	5.44218	33.5601	3.62812	277.551	0	0	0	668.481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	1.13435	2.8935	0.797304	0.23141	0.00542998	0.459878	0	0	0	5.52188	115.875	388.375	55.375	14.25	4.375	37.625	0	0	0	615.875	15.1253	29.3275	3.15008	31.6376	0.281448	16.6886	0	0	0	96.2105	42.875	305.25	7.125	31.25	2.375	267.25	0	0	0	656.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	13.4444	45.4444	0.333333	2.11111	0	8.44444	0	0	0	69.7778	1.14379	2.8789	0.617188	0.220253	0.00448234	0.429953	0	0	0	5.29457	114.111	378.778	44.1111	13.4444	3.88889	34.8889	0	0	0	589.222	14.1274	28.6602	2.05616	29.7786	0.261302	16.4405	0	0	0	91.3242	42.8889	305.778	5.22222	30.3333	2.66667	266.111	0	0	0	653	0	0	0	0	0	0	0	0	0	0	0.00969017	0.0444132	0.202341	0.00923717	9.02167e-005	0.00310009	0	0	0	0.268872	0.777778	5.33333	11.3333	0.444444	0.222222	0.333333	0	0	0	18.4444	0.170816	0.260922	0.840714	0.363118	0	0.196488	0	0	0	1.83206	0.444444	3.33333	1.77778	1.33333	0	3	0	0	0	9.88889
1	1	109.751	43.5374	0.90703	0.90703	0	7.25624	0	0	0	162.358	1.23857	2.99786	0.729057	0.188545	0.000463503	0.258691	0	0	0	5.41319	109.751	371.882	42.6304	9.97732	2.72109	21.7687	0	0	0	558.73	7.03025	24.4158	1.07169	15.1127	0.0761871	14.1808	0	0	0	61.8874	43.5374	310.204	5.44218	31.746	3.62812	271.202	0	0	0	665.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	45.5	0.25	2.25	0	8.75	0	0	0	56.75	1.13544	2.85834	0.607933	0.221801	0.00497876	0.450927	0	0	0	5.27942	114.875	379.375	44.375	13.75	4	36.5	0	0	0	592.875	15.0147	29.3699	2.23406	31.4464	0.283466	16.6998	0	0	0	95.0483	42.75	305.125	5.25	30.125	2.5	265.5	0	0	0	651.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	23.3333	83.2222	0.444444	4.44444	0	14.7778	0	0	0	126.222	1.14832	2.84852	0.459771	0.207738	0.00408088	0.423454	0	0	0	5.09188	113	370.556	34	12.8889	3.66667	34.1111	0	0	0	568.222	14.2005	28.7237	1.73356	29.0351	0.260394	16.4266	0	0	0	90.38	43.1111	305.778	4	29.3333	2.55556	264.111	0	0	0	648.889	3.77778	8.22222	0	0.111111	0	3.77778	0	0	0	15.8889	0.0100875	0.0326567	0.171741	0.00904769	0.000601999	0	0	0	0	0.224135	0.888889	4.33333	10.1111	0.333333	0.222222	0	0	0	0	15.8889	0	0.274896	0.335464	0.852073	0.00236203	0.178156	0	0	0	1.64295	0	3.88889	1.22222	1.22222	0.111111	2.77778	0	0	0	9.22222
2	1	190.476	84.3537	0.90703	8.16327	0	10.8844	0	0	0	294.785	1.26302	2.96387	0.47476	0.19291	0.000525397	0.26277	0	0	0	5.15785	109.751	364.626	30.839	9.97732	2.72109	21.7687	0	0	0	539.683	7.08227	24.3467	0.581391	13.95	0.0774352	14.1426	0	0	0	60.1803	43.5374	306.576	4.53515	29.932	3.62812	268.481	0	0	0	656.689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	82.375	0.375	4	0	15.25	0	0	0	102	1.13754	2.8293	0.452285	0.20712	0.00451858	0.443103	0	0	0	5.07386	113.625	371	34.375	13.125	3.75	35.625	0	0	0	571.5	15.0905	29.4396	1.87013	30.7707	0.282272	16.6742	0	0	0	94.1274	43	305.5	3.875	29.25	2.375	263.375	0	0	0	647.375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	30	112.333	0.555556	5.88889	0	17.6667	0	0	0	166.444	1.14783	2.82807	0.373244	0.196296	0.00374686	0.421487	0	0	0	4.97067	112	363.222	25.6667	12.1111	3.55556	33.5556	0	0	0	550.111	13.6635	28.6616	1.54717	28.8417	0.262337	16.3635	0	0	0	89.3398	42.7778	306.111	3	28.4444	2.66667	261.222	0	0	0	644.222	6.33333	15.3333	0	0.111111	0	5.55556	0	0	0	27.3333	0.00569761	0.0343804	0.097498	0.016585	0	0.00302772	0	0	0	0.157189	0.555556	4.11111	8.33333	0.777778	0	0.222222	0	0	0	14	0.619944	0.388202	0.196488	0.289762	0	0.219228	0	0	0	1.71362	0.777778	2.88889	1	0.888889	0	3.22222	0	0	0	8.77778
