Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\091015-runs\091015am9-SUPILA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realplot
2 = simplot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.37715	0.0865776	0.764463	0.00465663	0	0.00389116	0	0	0.020612	2.25735	258.333	26.1111	67.5556	1	0	1.44444	0	0	1	355.444	14.6464	7.38155	41.6269	0	0	0.106306	0	0	0	63.7612	42.7778	16.5556	18.6667	0	0	0.333333	0	0	0	78.3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	1.17567	0.12143	0.462019	0.00413922	0	0.000337896	0	0	0.0183218	1.78192	252.444	24.8889	64	0.888889	0	0.888889	0	0	0.888889	344	12.1007	2.13341	12.4055	0	0	0.0273696	0	0	0	26.667	48	18.6667	21.3333	0	0	0.888889	0	0	0	88.8889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	1.40593	0.0815988	0.807669	0.00473054	0	0.00439877	0	0	0.0209392	2.32527	259.175	26.2857	68.0635	1.01587	0	1.52381	0	0	1.01587	357.079	15.0101	8.13128	45.8014	0	0	0.117583	0	0	0	69.0604	42.0317	16.254	18.2857	0	0	0.253968	0	0	0	76.8254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	12	3.77778	1.22222	0	0	0	0	0	0	17	1.38362	0.0873631	0.775322	0.00434657	0	0.00399858	0	0	0.0209608	2.27561	256.889	25.8889	66.4444	0.888889	0	1.44444	0	0	1	352.556	14.6064	7.39567	33.7985	0	0	0.106645	0	0	0	55.9072	42.8889	16.4444	17.7778	0	0	0.333333	0	0	0	77.4445	0	0	0	0	0	0	0	0	0	0	0.0142303	9.22218e-006	0.00692809	0.000543321	0	0	0	0	0	0.021711	1.11111	0.111111	1.11111	0.111111	0	0	0	0	0	2.44444	0.118913	0.0136744	7.91354	0	0	0	0	0	0	8.04613	0.222222	0.222222	0.888889	0	0	0	0	0	0	1.33333
1	1	96	2.66667	1.77778	0	0	0	0	0	0	100.444	1.16386	0.124733	0.464914	0.00434657	0	0.000369954	0	0	0.0186318	1.77686	249.778	24.8889	62.2222	0.888889	0	0.888889	0	0	0.888889	339.556	12.207	2.12846	11.2236	0	0	0.0277468	0	0	0	25.5868	48.8889	17.7778	20.4444	0	0	0.888889	0	0	0	88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	3.93651	1.14286	0	0	0	0	0	0	5.07937	1.41501	0.0820246	0.819666	0.00434657	0	0.00451696	0	0	0.0212935	2.34686	257.905	26.0317	67.0476	0.888889	0	1.52381	0	0	1.01587	354.413	14.9492	8.14813	37.0235	0	0	0.117916	0	0	0	60.2387	42.0317	16.254	17.3968	0	0	0.253968	0	0	0	75.9365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	21.7778	6.55556	1.77778	0	0	0	0	0	0	30.1111	1.39879	0.0881133	0.752584	0.00455898	0	0.00410837	0	0	0.0213125	2.26946	254.778	25.6667	65.3333	0.888889	0	1.44444	0	0	1	349.111	14.6582	7.42016	33.8977	0	0	0.106985	0	0	0	56.0831	43	16.4444	18	0	0	0.333333	0	0	0	77.7778	3.11111	0.222222	0.111111	0	0	0	0	0	0	3.44444	0.00585024	8.04361e-005	0.0201896	0	0	0	0	0	0	0.0261203	1.77778	0.111111	0.888889	0	0	0	0	0	0	2.77778	0.0270409	0.0032634	0	0	0	0	0	0	0	0.0303043	0.222222	0.111111	0	0	0	0	0	0	0	0.333333
2	1	174.222	6.22222	1.77778	0	0	0	0	0	0	182.222	1.19169	0.11139	0.444421	0.00455898	0	0.000403465	0	0	0.0189445	1.77141	248	24	60.4444	0.888889	0	0.888889	0	0	0.888889	335.111	12.2333	2.16245	11.2861	0	0	0.0281267	0	0	0	25.71	48	18.6667	20.4444	0	0	0.888889	0	0	0	88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	6.60317	1.77778	0	0	0	0	0	0	8.38095	1.42837	0.0847882	0.796607	0.00455898	0	0.00463764	0	0	0.0216508	2.34062	255.746	25.9048	66.0317	0.888889	0	1.52381	0	0	1.01587	351.111	15.0047	8.17127	37.1279	0	0	0.118251	0	0	0	60.4221	42.2857	16.127	17.6508	0	0	0.253968	0	0	0	76.3175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	29.8889	7.55556	2.44444	0	0	0	0	0	0	39.8889	1.4128	0.0882462	0.762149	0.00477646	0	0.00422051	0	0	0.0216672	2.29386	252.667	25.3333	64.3333	0.888889	0	1.44444	0	0	1	345.667	14.6467	7.44482	33.8082	0	0	0.107326	0	0	0	56.0071	42.5556	16.4444	17.6667	0	0	0.333333	0	0	0	77	5.44444	1.22222	0.333333	0	0	0	0	0	0	7	0.0120677	0.000714573	0.00810418	0	0	0	0	0	0	0.0208865	1.88889	0.222222	1	0	0	0	0	0	0	3.11111	0.0859134	0.00320427	0.168673	0	0	0	0	0	0	0.257791	0.666667	0.111111	0.333333	0	0	0	0	0	0	1.11111
