Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\091015-runs\091015b1-BBBPIPO.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realdata
2 = alldata
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.14358	2.91773	0.811356	0.228302	0.00487639	0.439343	0	0	0	5.54519	115.222	387.889	55.5556	14	4.22222	36	0	0	0	612.889	14.2199	28.5855	2.86952	30.0352	0.259357	16.4719	0	0	0	92.4415	43	305.333	6.88889	31.5556	2.55556	268.333	0	0	0	657.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	1.242	3.07012	0.958963	0.184521	0.000406056	0.270041	0	0	0	5.72605	111.565	381.859	58.0499	10.8844	2.72109	22.6757	0	0	0	587.755	6.97845	24.0679	1.06145	15.8168	0.0749494	14.5256	0	0	0	62.5252	43.5374	304.762	5.44218	33.5601	3.62812	277.551	0	0	0	668.481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	1.13435	2.8935	0.797304	0.23141	0.00542998	0.459878	0	0	0	5.52188	115.875	388.375	55.375	14.25	4.375	37.625	0	0	0	615.875	15.1253	29.3275	3.15008	31.6376	0.281448	16.6886	0	0	0	96.2105	42.875	305.25	7.125	31.25	2.375	267.25	0	0	0	656.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	23.2222	46.4444	0.888889	4.33333	0.111111	7.66667	0	0	0	82.6667	1.1401	2.9095	0.795722	0.221241	0.00457256	0.428056	0	0	0	5.49919	113.667	381.667	54.1111	13.3333	4.11111	34.8889	0	0	0	601.778	13.6758	28.3269	2.88297	27.3454	0.261302	16.5437	0	0	0	89.036	43	305.556	6.88889	30.2222	2.66667	267.444	0	0	0	655.778	0	0	0	0	0	0	0	0	0	0	0.0133804	0.0138156	0.0238071	0.00824906	0	0.00499723	0	0	0	0.0642494	1.22222	2.44444	1.33333	0.555556	0	0.333333	0	0	0	5.88889	0.622406	0.594237	0.0139027	2.7964	0	0.0932834	0	0	0	4.12022	0.333333	3.55556	0.111111	1.44444	0	1.66667	0	0	0	7.11111
1	1	189.569	32.6531	0	4.53515	0	3.62812	0	0	0	230.385	1.25613	3.01553	0.977063	0.188545	0.000463503	0.258691	0	0	0	5.69642	110.658	371.882	55.3288	9.97732	2.72109	21.7687	0	0	0	572.336	6.91976	23.832	1.07169	15.5568	0.0761871	14.5492	0	0	0	62.0056	42.6304	305.669	5.44218	31.746	3.62812	276.644	0	0	0	665.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	48.125	1	4.25	0.125	8.25	0	0	0	61.75	1.12887	2.89033	0.777536	0.222913	0.00508025	0.448793	0	0	0	5.47352	114.25	382.625	54.125	13.625	4.25	36.5	0	0	0	605.375	14.5219	29.0079	3.16422	28.6349	0.283466	16.7677	0	0	0	92.38	43	305.25	7.125	29.875	2.5	266.375	0	0	0	654.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	41.8889	81.1111	1.66667	7.88889	0.111111	13.4444	0	0	0	146.111	1.1441	2.87794	0.789352	0.207023	0.0047795	0.415517	0	0	0	5.43871	112.111	373.333	52.3333	12.4444	4.11111	33.5556	0	0	0	587.889	13.655	28.3009	2.83722	25.8738	0.262756	16.556	0	0	0	87.4857	42.7778	305.667	6.55556	29	2.66667	265.778	0	0	0	652.444	5.33333	8.44444	0	0.333333	0.111111	2.88889	0	0	0	17.1111	0.0105374	0.0345271	0.0142761	0.0107406	0	0.00602448	0	0	0	0.0761057	1.33333	4.44444	1.66667	0.666667	0	0.555556	0	0	0	8.66667	0.0936848	0.36375	0.0731212	1.57682	0	0.152798	0	0	0	2.26018	0.444444	3.77778	0.444444	1.44444	0	2.44444	0	0	0	8.55556
2	1	341.95	68.0272	0	5.44218	0	8.16327	0	0	0	423.583	1.26898	2.98456	0.985489	0.167515	0.000525397	0.26277	0	0	0	5.66984	108.844	364.626	53.5147	9.0703	2.72109	21.7687	0	0	0	560.544	6.97076	24.1259	0.962192	15.5859	0.0774352	14.5393	0	0	0	62.2615	42.6304	309.297	4.53515	30.839	3.62812	273.016	0	0	0	663.946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	82.375	1.875	8.125	0.125	14.25	0	0	0	106.75	1.13197	2.85999	0.769528	0.209816	0.00530453	0.434173	0	0	0	5.41078	112.75	374.25	52.375	12.75	4.25	35	0	0	0	591.375	14.4922	28.9416	3.12826	26.9676	0.284929	16.7742	0	0	0	90.5887	42.75	304.875	6.875	28.5	2.5	264.875	0	0	0	650.375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	56.7778	112.667	2.55556	11.6667	0.333333	15.4444	0	0	0	199.444	1.13684	2.86559	0.789992	0.195303	0.00434866	0.407898	0	0	0	5.39997	110.889	366.889	51.3333	11.4444	3.77778	32.5556	0	0	0	576.889	13.7244	28.3959	2.80455	25.6132	0.264738	16.605	0	0	0	87.4079	43.1111	306.778	6.55556	28.4444	2.77778	264.222	0	0	0	651.889	7.33333	12.3333	0.111111	1	0.111111	5.77778	0	0	0	26.6667	0.0123366	0.0248581	0.00697043	0.0123011	0.000123592	0.00856131	0	0	0	0.0651512	0.777778	3.11111	0.888889	0.888889	0.222222	0.666667	0	0	0	6.55556	0.0126517	0.232381	0.059485	0.355991	0	0.108161	0	0	0	0.768669	0.111111	2.22222	0.111111	0.666667	0	1.88889	0	0	0	5
