Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\091015-runs\091015b2-SUPILA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realplot
2 = simplot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.37715	0.0865776	0.764463	0.00465663	0	0.00389116	0	0	0.020612	2.25735	258.333	26.1111	67.5556	1	0	1.44444	0	0	1	355.444	14.6464	7.38155	41.6269	0	0	0.106306	0	0	0	63.7612	42.7778	16.5556	18.6667	0	0	0.333333	0	0	0	78.3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	1.17567	0.12143	0.462019	0.00413922	0	0.000337896	0	0	0.0183218	1.78192	252.444	24.8889	64	0.888889	0	0.888889	0	0	0.888889	344	12.1007	2.13341	12.4055	0	0	0.0273696	0	0	0	26.667	48	18.6667	21.3333	0	0	0.888889	0	0	0	88.8889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	1.40593	0.0815988	0.807669	0.00473054	0	0.00439877	0	0	0.0209392	2.32527	259.175	26.2857	68.0635	1.01587	0	1.52381	0	0	1.01587	357.079	15.0101	8.13128	45.8014	0	0	0.117583	0	0	0	69.0604	42.0317	16.254	18.2857	0	0	0.253968	0	0	0	76.8254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	65.1111	16.5556	32.3333	0	0	0.111111	0	0	0	114.111	1.38479	0.0858749	0.770504	0.00434657	0	0.00399858	0	0	0.0209608	2.27047	256.222	25.5556	66.4444	0.888889	0	1.44444	0	0	1	351.556	14.6845	7.40934	40.6611	0	0	0.106645	0	0	0	62.8616	43	16.6667	18.1111	0	0	0.333333	0	0	0	78.1111	0	0	0	0	0	0	0	0	0	0	0.0130596	0.00149738	0.0117462	0.000543321	0	0	0	0	0	0.0268466	1.77778	0.444444	1.11111	0.111111	0	0	0	0	0	3.44444	0.0408186	0	1.05093	0	0	0	0	0	0	1.09175	0.111111	0	0.555556	0	0	0	0	0	0	0.666667
1	1	520.889	3.55556	18.6667	0	0	0	0	0	0	543.111	1.13717	0.124733	0.463462	0.00434657	0	0.000369954	0	0	0.0186318	1.74871	247.111	24.8889	60.4444	0.888889	0	0.888889	0	0	0.888889	335.111	12.207	2.15104	12.3514	0	0	0.0277468	0	0	0	26.7372	48.8889	18.6667	20.4444	0	0	0.888889	0	0	0	88.8889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	18.4127	34.2857	0	0	0.126984	0	0	0	52.8254	1.42016	0.0803239	0.814367	0.00434657	0	0.00451696	0	0	0.0212935	2.34501	257.524	25.6508	67.3016	0.888889	0	1.52381	0	0	1.01587	353.905	15.0384	8.16053	44.7053	0	0	0.117916	0	0	0	68.0222	42.1587	16.381	17.7778	0	0	0.253968	0	0	0	76.5714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	114.889	30.5556	59.8889	0	0	0.111111	0	0	0	205.444	1.39977	0.0860379	0.755781	0.00398911	0	0.00410837	0	0	0.0213125	2.271	254.333	25.1111	64.6667	0.777778	0	1.44444	0	0	1	347.333	14.5819	7.39737	40.5903	0	0	0.106985	0	0	0	62.6765	42.8889	16.5556	18.1111	0	0	0.333333	0	0	0	77.8889	13.2222	1.88889	4.11111	0	0	0	0	0	0	19.2222	0.0060383	0.000611398	0.0121917	0.000569872	0	0	0	0	0	0.0194113	1.55556	0.333333	1.55556	0.111111	0	0	0	0	0	3.55556	0.181722	0.0399084	0.173668	0	0	0	0	0	0	0.395298	0.444444	0.222222	0.222222	0	0	0	0	0	0	0.888889
2	1	919.111	9.77778	32.8889	0	0	0	0	0	0	961.778	1.16708	0.11139	0.476688	0.00455898	0	0.000403465	0	0	0.0189445	1.77907	246.222	24	59.5556	0.888889	0	0.888889	0	0	0.888889	332.444	12.1366	2.18549	12.4172	0	0	0.0281267	0	0	0	26.7674	48	19.5556	20.4444	0	0	0.888889	0	0	0	88.8889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	33.5238	63.746	0	0	0.126984	0	0	0	97.3968	1.43301	0.0824162	0.795651	0.00390769	0	0.00463764	0	0	0.0216508	2.34128	255.492	25.2698	65.3968	0.761905	0	1.52381	0	0	1.01587	349.46	14.9312	8.14192	44.615	0	0	0.118251	0	0	0	67.8064	42.1587	16.127	17.7778	0	0	0.253968	0	0	0	76.3175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	153.222	40.4444	80.6667	0	0	0.111111	0	0	0	274.444	1.41292	0.0868084	0.754528	0.0041794	0	0.00422051	0	0	0.0216672	2.28432	252	25	63.5556	0.777778	0	1.44444	0	0	1	343.778	14.6391	7.38296	38.7967	0	0	0.107326	0	0	0	60.926	42.8889	16.3333	17.7778	0	0	0.333333	0	0	0	77.3333	27.1111	4.55556	9.55556	0	0	0	0	0	0	41.2222	0.0129593	0	0.0189616	0	0	0	0	0	0	0.0319209	2.11111	0	1.11111	0	0	0	0	0	0	3.22222	0.0168621	0.0421961	1.87571	0	0	0	0	0	0	1.93477	0.222222	0.333333	0.333333	0	0	0	0	0	0	0.888889
