Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\091015-runs\091015d11-SUPILA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realplot
2 = simplot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.37715	0.0865776	0.764463	0.00465663	0	0.00389116	0	0	0.020612	2.25735	258.333	26.1111	67.5556	1	0	1.44444	0	0	1	355.444	14.6464	7.38155	41.6269	0	0	0.106306	0	0	0	63.7612	42.7778	16.5556	18.6667	0	0	0.333333	0	0	0	78.3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	1.17567	0.12143	0.462019	0.00413922	0	0.000337896	0	0	0.0183218	1.78192	252.444	24.8889	64	0.888889	0	0.888889	0	0	0.888889	344	12.1007	2.13341	12.4055	0	0	0.0273696	0	0	0	26.667	48	18.6667	21.3333	0	0	0.888889	0	0	0	88.8889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	1.40593	0.0815988	0.807669	0.00473054	0	0.00439877	0	0	0.0209392	2.32527	259.175	26.2857	68.0635	1.01587	0	1.52381	0	0	1.01587	357.079	15.0101	8.13128	45.8014	0	0	0.117583	0	0	0	69.0604	42.0317	16.254	18.2857	0	0	0.253968	0	0	0	76.8254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	16.2222	1.66667	1.55556	0	0	0	0	0	0	19.4444	1.38426	0.0857611	0.768347	0.00488989	0	0.00399858	0	0	0.0209608	2.26822	256.222	25.8889	66.3333	1	0	1.44444	0	0	1	351.889	14.7071	7.38969	40.854	0	0	0.106645	0	0	0	63.0575	42.7778	16.4444	18.1111	0	0	0.333333	0	0	0	77.6667	0	0	0	0	0	0	0	0	0	0	0.0135821	0.00161123	0.0139033	0	0	0	0	0	0	0.0290966	1.77778	0.111111	1.22222	0	0	0	0	0	0	3.11111	0.0182035	0.0196527	0.857994	0	0	0	0	0	0	0.89585	0.333333	0.222222	0.555556	0	0	0	0	0	0	1.11111
1	1	129.778	1.77778	0.888889	0	0	0	0	0	0	132.444	1.11912	0.124733	0.468736	0.00434657	0	0.000369954	0	0	0.0186318	1.73594	249.778	24.8889	63.1111	0.888889	0	0.888889	0	0	0.888889	340.444	12.207	2.15104	11.9699	0	0	0.0277468	0	0	0	26.3557	48.8889	18.6667	20.4444	0	0	0.888889	0	0	0	88.8889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	1.65079	1.65079	0	0	0	0	0	0	3.30159	1.42214	0.0801937	0.811148	0.0049675	0	0.00451696	0	0	0.0212935	2.34426	257.143	26.0317	66.7936	1.01587	0	1.52381	0	0	1.01587	353.524	15.0643	8.13807	44.9803	0	0	0.117916	0	0	0	68.3006	41.9048	16.127	17.7778	0	0	0.253968	0	0	0	76.0635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	25.7778	4.66667	2.88889	0	0	0	0	0	0	33.3333	1.3956	0.0863598	0.748024	0.00512885	0	0.00410837	0	0	0.0213125	2.26054	254.444	25.3333	64.3333	1	0	1.44444	0	0	1	347.556	14.7775	7.3677	40.9138	0	0	0.106985	0	0	0	63.1659	43	16.3333	18	0	0	0.333333	0	0	0	77.6667	2.44444	0.222222	0.222222	0	0	0	0	0	0	2.88889	0.00967421	0.000201702	0.017699	0	0	0	0	0	0	0.0275749	1.44444	0.444444	1.77778	0	0	0	0	0	0	3.66667	0.00871629	0.0497273	0.0432577	0	0	0	0	0	0	0.101701	0.111111	0.222222	0.333333	0	0	0	0	0	0	0.666667
2	1	206.222	5.33333	3.55556	0	0	0	0	0	0	215.111	1.14978	0.111348	0.473982	0.00455898	0	0.000403465	0	0	0.0189445	1.75901	248.889	23.1111	61.3333	0.888889	0	0.888889	0	0	0.888889	336	12.2765	1.9174	12.0341	0	0	0.0281267	0	0	0	26.2562	48.8889	18.6667	20.4444	0	0	0.888889	0	0	0	88.8889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	4.57143	2.79365	0	0	0	0	0	0	7.36508	1.43072	0.0827901	0.787172	0.00521026	0	0.00463764	0	0	0.0216508	2.33218	255.238	25.6508	64.7619	1.01587	0	1.52381	0	0	1.01587	349.206	15.1348	8.14631	45.0394	0	0	0.118251	0	0	0	68.4387	42.1587	16	17.6508	0	0	0.253968	0	0	0	76.0635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	34.1111	6.33333	4.33333	0	0	0	0	0	0	44.7778	1.41753	0.0861411	0.763775	0.0041794	0	0.00422051	0	0	0.0216672	2.29752	252.778	25.1111	63.6667	0.777778	0	1.44444	0	0	1	344.778	14.8244	7.38302	40.8875	0	0	0.107326	0	0	0	63.2023	43	16.3333	17.7778	0	0	0.333333	0	0	0	77.4445	6.88889	1	0.111111	0	0	0	0	0	0	8	0.00409733	0.0010224	0.00181177	0.00119411	0	0	0	0	0	0.00812561	1.44444	0.111111	0.666667	0.222222	0	0	0	0	0	2.44444	0.027761	0.0122339	0.108776	0	0	0	0	0	0	0.148771	0.222222	0.111111	0.222222	0	0	0	0	0	0	0.555556
