Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\091015-runs\091015d9-BBBPIPO.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realdata
2 = alldata
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.14358	2.91773	0.811356	0.228302	0.00487639	0.439343	0	0	0	5.54519	115.222	387.889	55.5556	14	4.22222	36	0	0	0	612.889	14.2199	28.5855	2.86952	30.0352	0.259357	16.4719	0	0	0	92.4415	43	305.333	6.88889	31.5556	2.55556	268.333	0	0	0	657.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	1.242	3.07012	0.958963	0.184521	0.000406056	0.270041	0	0	0	5.72605	111.565	381.859	58.0499	10.8844	2.72109	22.6757	0	0	0	587.755	6.97845	24.0679	1.06145	15.8168	0.0749494	14.5256	0	0	0	62.5252	43.5374	304.762	5.44218	33.5601	3.62812	277.551	0	0	0	668.481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	1.13435	2.8935	0.797304	0.23141	0.00542998	0.459878	0	0	0	5.52188	115.875	388.375	55.375	14.25	4.375	37.625	0	0	0	615.875	15.1253	29.3275	3.15008	31.6376	0.281448	16.6886	0	0	0	96.2105	42.875	305.25	7.125	31.25	2.375	267.25	0	0	0	656.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	12.7778	45.4444	0.666667	2.22222	0.111111	9.66667	0	0	0	70.8889	1.14677	2.89081	0.808307	0.215967	0.00457256	0.431532	0	0	0	5.49796	114.111	379.444	54.1111	13.1111	4.11111	35.1111	0	0	0	600	14.1585	28.6595	2.85498	29.8903	0.261302	16.4648	0	0	0	92.2894	43	305.444	6.77778	30.6667	2.66667	266.667	0	0	0	655.222	0	0	0	0	0	0	0	0	0	0	0.00671387	0.0325027	0.0112225	0.0135229	0	0.00152099	0	0	0	0.065483	0.777778	4.66667	1.33333	0.777778	0	0.111111	0	0	0	7.66667	0.139661	0.261632	0.0418978	0.251455	0	0.172162	0	0	0	0.866808	0.333333	3.66667	0.222222	1	0	2.44444	0	0	0	7.66667
1	1	104.308	37.1882	0.90703	1.81406	0	9.97732	0	0	0	154.195	1.26662	3.01176	0.966737	0.188887	0.000463503	0.258691	0	0	0	5.69316	111.565	371.882	56.2358	10.8844	2.72109	21.7687	0	0	0	575.057	6.68831	24.2531	1.07169	15.59	0.0761871	14.4543	0	0	0	62.1336	42.6304	305.669	5.44218	31.746	3.62812	275.737	0	0	0	664.853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	46.375	0.625	2.25	0.125	9.5	0	0	0	58.875	1.13492	2.86983	0.793117	0.216932	0.00508025	0.452704	0	0	0	5.47258	114.625	380.125	54	13.25	4.25	36.75	0	0	0	603	15.0969	29.3916	3.13273	31.5062	0.283466	16.6921	0	0	0	96.103	43	305.375	7	30.5	2.5	265.625	0	0	0	654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	23.2222	86	1	3.22222	0.333333	14.1111	0	0	0	127.889	1.15798	2.86686	0.781554	0.211471	0.00463819	0.42382	0	0	0	5.44632	113.222	372.444	52.6667	12.7778	4	34.1111	0	0	0	589.222	14.1481	28.7877	2.4237	29.6868	0.237832	16.4363	0	0	0	91.7204	42.6667	307	6.66667	30.2222	2.44444	264.667	0	0	0	653.667	2.44444	6.11111	0.111111	0.555556	0	4.88889	0	0	0	14.1111	0.00344758	0.0285821	0.0348214	0.000913447	0.000141307	0.00124777	0	0	0	0.0691536	0.666667	3.22222	1.33333	0.111111	0.111111	0.222222	0	0	0	5.66667	0.0837198	0.20792	0.458393	0.312748	0.0249239	0.193135	0	0	0	1.28084	0.555556	2.22222	0.222222	0.666667	0.222222	2.77778	0	0	0	6.66667
2	1	189.569	75.2834	0.90703	3.62812	0	13.6054	0	0	0	282.993	1.28715	2.96909	0.985168	0.193314	0.000525397	0.26277	0	0	0	5.69801	110.658	364.626	55.3288	10.8844	2.72109	21.7687	0	0	0	565.986	6.73853	24.6024	1.08199	15.6216	0.0774352	14.5147	0	0	0	62.6366	42.6304	311.111	5.44218	30.839	3.62812	273.923	0	0	0	667.574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	87.125	1	3.125	0.375	14	0	0	0	105.625	1.14509	2.84966	0.760799	0.211264	0.00514556	0.443515	0	0	0	5.41547	113.75	373.25	52.5	12.875	4.125	35.625	0	0	0	592.125	15.0789	29.4916	2.64654	31.2734	0.25689	16.6534	0	0	0	95.4007	42.625	306.375	6.875	30.125	2.25	263.625	0	0	0	651.875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	32.2222	114.222	1.11111	4.33333	0.222222	17.4444	0	0	0	169.556	1.15648	2.84379	0.765335	0.203178	0.00432369	0.424886	0	0	0	5.39799	112	364.667	50.5556	12.1111	3.88889	33.7778	0	0	0	577	14.2114	28.8763	2.38307	29.3933	0.23965	16.4344	0	0	0	91.5381	42.8889	307.333	6.44444	29.3333	2.55556	262.778	0	0	0	651.333	5.44444	14.6667	0.111111	0.777778	0.111111	5.66667	0	0	0	26.7778	0.00686792	0.0353525	0.0238353	0.00901069	0	0	0	0	0	0.0750664	0.777778	4.44444	2	0.555556	0	0	0	0	0	7.77778	0.0191414	0.240335	0.066811	0.397102	0	0.158154	0	0	0	0.881544	0.222222	3	0.333333	1	0	2.22222	0	0	0	6.77778
