Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\091015-runs\091015d9-SUPILA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realplot
2 = simplot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.37715	0.0865776	0.764463	0.00465663	0	0.00389116	0	0	0.020612	2.25735	258.333	26.1111	67.5556	1	0	1.44444	0	0	1	355.444	14.6464	7.38155	41.6269	0	0	0.106306	0	0	0	63.7612	42.7778	16.5556	18.6667	0	0	0.333333	0	0	0	78.3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	1.17567	0.12143	0.462019	0.00413922	0	0.000337896	0	0	0.0183218	1.78192	252.444	24.8889	64	0.888889	0	0.888889	0	0	0.888889	344	12.1007	2.13341	12.4055	0	0	0.0273696	0	0	0	26.667	48	18.6667	21.3333	0	0	0.888889	0	0	0	88.8889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	1.40593	0.0815988	0.807669	0.00473054	0	0.00439877	0	0	0.0209392	2.32527	259.175	26.2857	68.0635	1.01587	0	1.52381	0	0	1.01587	357.079	15.0101	8.13128	45.8014	0	0	0.117583	0	0	0	69.0604	42.0317	16.254	18.2857	0	0	0.253968	0	0	0	76.8254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	14.7778	2.44444	0.888889	0	0	0	0	0	0	18.1111	1.39081	0.087172	0.763296	0.00434657	0	0.00399858	0	0	0.0209608	2.27059	255.889	25.7778	66.3333	0.888889	0	1.44444	0	0	1	351.333	14.7154	7.35455	39.0298	0	0	0.106645	0	0	0	61.2064	43	16.4444	18.2222	0	0	0.333333	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0.0070331	0.000200362	0.018954	0.000543321	0	0	0	0	0	0.0267308	2.11111	0.222222	1.22222	0.111111	0	0	0	0	0	3.66667	0.00992959	0.0547875	2.68218	0	0	0	0	0	0	2.74689	0.111111	0.222222	0.444444	0	0	0	0	0	0	0.777778
1	1	118.222	0.888889	0.888889	0	0	0	0	0	0	120	1.16966	0.124733	0.474339	0.00434657	0	0.000369954	0	0	0.0186318	1.79208	250.667	24.8889	63.1111	0.888889	0	0.888889	0	0	0.888889	341.333	12.207	2.15104	12.4725	0	0	0.0277468	0	0	0	26.8584	48.8889	18.6667	21.3333	0	0	0.888889	0	0	0	89.7778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	2.66667	0.888889	0	0	0	0	0	0	3.55556	1.42241	0.0818062	0.804575	0.00434657	0	0.00451696	0	0	0.0212935	2.33895	256.635	25.9048	66.7936	0.888889	0	1.52381	0	0	1.01587	352.762	15.0737	8.09791	42.8237	0	0	0.117916	0	0	0	66.1133	42.1587	16.127	17.7778	0	0	0.253968	0	0	0	76.3175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	24.6667	4	2.22222	0	0	0	0	0	0	30.8889	1.39363	0.0865211	0.741384	0.00455898	0	0.00410837	0	0	0.0213125	2.25151	253	25.5556	64.8889	0.888889	0	1.44444	0	0	1	346.778	14.4154	7.37912	39.0359	0	0	0.106985	0	0	0	60.9374	43	16.4444	18.1111	0	0	0.333333	0	0	0	77.8889	3	0.555556	0	0	0	0	0	0	0	3.55556	0.0182642	0.00146936	0.0192557	0	0	0	0	0	0	0.0389892	2.55556	0.111111	1.22222	0	0	0	0	0	0	3.88889	0.379181	0.00304444	0.0958179	0	0	0	0	0	0	0.478043	0.333333	0.111111	0.333333	0	0	0	0	0	0	0.777778
2	1	197.333	2.66667	3.55556	0	0	0	0	0	0	203.556	1.19017	0.0996348	0.477085	0.00455898	0	0.000403465	0	0	0.0189445	1.7908	248	23.1111	62.2222	0.888889	0	0.888889	0	0	0.888889	336	12.2765	2.18549	12.5398	0	0	0.0281267	0	0	0	27.0299	48.8889	19.5556	21.3333	0	0	0.888889	0	0	0	90.6667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	4.19048	2.03175	0	0	0	0	0	0	6.22222	1.4227	0.0846477	0.779141	0.00455898	0	0.00463764	0	0	0.0216508	2.31733	253.714	25.9048	65.2698	0.888889	0	1.52381	0	0	1.01587	348.317	14.721	8.12106	42.821	0	0	0.118251	0	0	0	65.7813	42.1587	16	17.6508	0	0	0.253968	0	0	0	76.0635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	34.6667	7	2.77778	0	0	0.111111	0	0	0	44.5556	1.40471	0.0865991	0.722906	0.0041794	0	0.00422051	0	0	0.0216672	2.24429	250.667	25.3333	63	0.777778	0	1.44444	0	0	1	342.222	14.4512	7.19142	36.3551	0	0	0.107326	0	0	0	58.105	42.8889	16.3333	17.4444	0	0	0.333333	0	0	0	77	5.44444	0.555556	0	0	0	0	0	0	0	6	0.0148482	0.000732854	0.0360042	0.000597057	0	0	0	0	0	0.0521823	2.11111	0.111111	1.88889	0.111111	0	0	0	0	0	4.22222	0.0381822	0.215394	2.76193	0	0	0	0	0	0	3.0155	0.333333	0.222222	0.666667	0	0	0	0	0	0	1.22222
