Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\091015-runs\091015g11-BBBPIPO.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realdata
2 = alldata
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.14358	2.91773	0.811356	0.228302	0.00487639	0.439343	0	0	0	5.54519	115.222	387.889	55.5556	14	4.22222	36	0	0	0	612.889	14.2199	28.5855	2.86952	30.0352	0.259357	16.4719	0	0	0	92.4415	43	305.333	6.88889	31.5556	2.55556	268.333	0	0	0	657.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	1.242	3.07012	0.958963	0.184521	0.000406056	0.270041	0	0	0	5.72605	111.565	381.859	58.0499	10.8844	2.72109	22.6757	0	0	0	587.755	6.97845	24.0679	1.06145	15.8168	0.0749494	14.5256	0	0	0	62.5252	43.5374	304.762	5.44218	33.5601	3.62812	277.551	0	0	0	668.481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	1.13435	2.8935	0.797304	0.23141	0.00542998	0.459878	0	0	0	5.52188	115.875	388.375	55.375	14.25	4.375	37.625	0	0	0	615.875	15.1253	29.3275	3.15008	31.6376	0.281448	16.6886	0	0	0	96.2105	42.875	305.25	7.125	31.25	2.375	267.25	0	0	0	656.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	13.1111	45.8889	0.555556	2	0.444444	7.88889	0	0	0	69.8889	1.1453	2.89719	0.809216	0.21512	0.00459355	0.427921	0	0	0	5.49934	113.889	380	53.8889	13.2222	4.11111	34.6667	0	0	0	599.778	14.2506	28.7888	2.88417	29.9195	0.258116	16.5273	0	0	0	92.6285	43.1111	307.111	6.88889	31	2.55556	266.556	0	0	0	657.222	0	0	0	0	0	0	0	0	0	0	0.0105569	0.0294376	0.0121345	0.0149174	0	0.00584961	0	0	0	0.072896	1	3.88889	1.55556	0.666667	0	0.555556	0	0	0	7.66667	0.0539118	0.162578	0.0143981	0.232353	0.00333535	0.125331	0	0	0	0.591907	0.222222	2.22222	0.111111	0.666667	0.111111	2.55556	0	0	0	5.88889
1	1	107.029	55.3288	0	2.72109	0.90703	6.34921	0	0	0	172.336	1.2446	3.02092	0.980007	0.18932	0.000469669	0.259109	0	0	0	5.69443	109.751	371.882	57.1429	10.8844	2.72109	21.7687	0	0	0	574.15	7.03538	24.2733	1.0727	15.7177	0.076315	14.5178	0	0	0	62.6932	43.5374	307.483	5.44218	32.6531	3.62812	274.83	0	0	0	667.574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	44.5	0.625	1.875	0.375	8	0	0	0	55.375	1.13635	2.87583	0.792342	0.21592	0.00510302	0.448589	0	0	0	5.47413	114.625	380.75	53.625	13.375	4.25	36.25	0	0	0	602.875	15.1527	29.5346	3.16548	31.5215	0.279863	16.7516	0	0	0	96.4058	43	307	7.125	30.75	2.375	265.5	0	0	0	655.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	24.4444	82.1111	1	2.88889	0.333333	14.7778	0	0	0	125.556	1.15552	2.87533	0.787711	0.202063	0.00482293	0.415196	0	0	0	5.44065	112.889	372.111	52.3333	12.4444	4.11111	33.4444	0	0	0	587.333	14.3307	28.8139	2.91326	29.8664	0.25319	16.529	0	0	0	92.7064	43.3333	308.111	7	30.6667	2.33333	264.556	0	0	0	656	2.11111	7.44444	0	0.444444	0.222222	2.66667	0	0	0	12.8889	0.00676981	0.0318325	0.0313261	0.00556373	0	0.00495953	0	0	0	0.0804517	0.777778	4	1.44444	0.444444	0	0.333333	0	0	0	7	0	0.340718	0	0.177266	0.00647936	0.180747	0	0	0	0.705211	0	2.88889	0	0.666667	0.222222	2.88889	0	0	0	6.66667
2	1	199.546	84.3537	1.81406	3.62812	0	15.4195	0	0	0	304.762	1.2716	2.97461	0.9496	0.168965	0.000538692	0.263614	0	0	0	5.62892	109.751	362.812	56.2358	9.97732	2.72109	21.7687	0	0	0	563.265	7.09259	23.9321	1.08402	15.7155	0.0441483	14.5423	0	0	0	62.4106	43.5374	306.576	5.44218	31.746	2.72109	272.109	0	0	0	662.132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	81.5	0.875	2.75	0.375	14.5	0	0	0	100	1.14454	2.8579	0.772691	0.204035	0.00535156	0.433706	0	0	0	5.41823	113.5	373	52	12.625	4.25	34.875	0	0	0	590.25	15.2356	29.5532	3.1971	31.4626	0.278754	16.752	0	0	0	96.4793	43.25	308.125	7.25	30.5	2.25	263.625	0	0	0	655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	30.2222	116.222	1.55556	3.88889	0.333333	17.6667	0	0	0	169.889	1.15235	2.85242	0.781193	0.192637	0.00453533	0.410562	0	0	0	5.3937	111.333	365.222	51.4444	11.6667	4	32.5556	0	0	0	576.222	14.3688	28.8923	2.53027	26.2042	0.255177	16.5234	0	0	0	88.7741	43.3333	309.889	7	29.3333	2.44444	262.333	0	0	0	654.333	7.33333	13.5556	0	0.444444	0.111111	5	0	0	0	26.4444	0.0108053	0.0214909	0.01584	0.0105093	0	0.00434501	0	0	0	0.0629905	1.11111	2.44444	0.777778	0.666667	0	0.444444	0	0	0	5.44444	0.0518743	0.298848	0.412358	3.7767	0	0.179661	0	0	0	4.71945	0.444444	2.66667	0.111111	1.44444	0	2.66667	0	0	0	7.33333
