Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\091015-runs\091015g9-SUPILA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realplot
2 = simplot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.37715	0.0865776	0.764463	0.00465663	0	0.00389116	0	0	0.020612	2.25735	258.333	26.1111	67.5556	1	0	1.44444	0	0	1	355.444	14.6464	7.38155	41.6269	0	0	0.106306	0	0	0	63.7612	42.7778	16.5556	18.6667	0	0	0.333333	0	0	0	78.3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	1.17567	0.12143	0.462019	0.00413922	0	0.000337896	0	0	0.0183218	1.78192	252.444	24.8889	64	0.888889	0	0.888889	0	0	0.888889	344	12.1007	2.13341	12.4055	0	0	0.0273696	0	0	0	26.667	48	18.6667	21.3333	0	0	0.888889	0	0	0	88.8889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	1.40593	0.0815988	0.807669	0.00473054	0	0.00439877	0	0	0.0209392	2.32527	259.175	26.2857	68.0635	1.01587	0	1.52381	0	0	1.01587	357.079	15.0101	8.13128	45.8014	0	0	0.117583	0	0	0	69.0604	42.0317	16.254	18.2857	0	0	0.253968	0	0	0	76.8254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	13.6667	2.77778	1	0	0	0	0	0	0	17.4444	1.38709	0.0888064	0.769453	0.0043256	0	0.00398773	0	0	0.0209258	2.27459	256.111	25.8889	66	0.888889	0	1.44444	0	0	1	351.333	14.5811	6.86272	41.1983	0	0	0.106611	0	0	0	62.7487	42.5556	16	17.6667	0	0	0.333333	0	0	0	76.5556	0	0	0	0	0	0	0	0	0	0	0.00725939	0.000362105	0.0110002	0.000540701	0	0	0	0	0	0.0191624	1.88889	0.222222	1.55556	0.111111	0	0	0	0	0	3.77778	0.13774	0.541961	0.505162	0	0	0	0	0	0	1.18486	0.555556	0.555556	1	0	0	0	0	0	0	2.11111
1	1	109.333	5.33333	0	0	0	0	0	0	0	114.667	1.15437	0.124399	0.458117	0.0043256	0	0.000366683	0	0	0.0186007	1.76018	249.778	24.8889	62.2222	0.888889	0	0.888889	0	0	0.888889	339.556	12.0615	2.14927	11.9334	0	0	0.027709	0	0	0	26.1719	48	18.6667	20.4444	0	0	0.888889	0	0	0	88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	2.4127	1.14286	0	0	0	0	0	0	3.55556	1.42033	0.0837217	0.81393	0.0043256	0	0.00450503	0	0	0.0212579	2.34807	257.016	26.0317	66.5397	0.888889	0	1.52381	0	0	1.01587	353.016	14.941	7.53607	45.379	0	0	0.117883	0	0	0	67.974	41.7778	15.619	17.2698	0	0	0.253968	0	0	0	74.9206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	24.5556	5.11111	2.33333	0	0	0	0	0	0	32	1.39594	0.0892558	0.770499	0.00451609	0	0.00408622	0	0	0.021242	2.28553	254.111	25.6667	64.5556	0.888889	0	1.44444	0	0	1	347.667	14.5491	6.87342	41.2724	0	0	0.106917	0	0	0	62.8018	42.3333	15.8889	17.6667	0	0	0.333333	0	0	0	76.2222	2.55556	0.333333	0	0	0	0	0	0	0	2.88889	0.0133093	7.03063e-005	0.0149388	0	0	0	0	0	0	0.0283183	1.77778	0.111111	1.44444	0	0	0	0	0	0	3.33333	0.099313	0.0134238	0	0	0	0	0	0	0	0.112737	0.444444	0.222222	0	0	0	0	0	0	0	0.666667
2	1	196.444	7.11111	1.77778	0	0	0	0	0	0	205.333	1.18287	0.127429	0.465112	0.00451609	0	0.000396647	0	0	0.0188817	1.79921	248.889	24.8889	58.6667	0.888889	0	0.888889	0	0	0.888889	335.111	12.1229	2.16521	11.9911	0	0	0.0280505	0	0	0	26.3073	48	18.6667	20.4444	0	0	0.888889	0	0	0	88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	4.8254	2.4127	0	0	0	0	0	0	7.2381	1.42637	0.0838025	0.814126	0.00451609	0	0.0046133	0	0	0.0215791	2.35501	254.857	25.7778	65.3968	0.888889	0	1.52381	0	0	1.01587	349.46	14.8957	7.54602	45.4555	0	0	0.118184	0	0	0	68.0153	41.5238	15.4921	17.2698	0	0	0.253968	0	0	0	74.5397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	32.5556	5.88889	4	0	0	0	0	0	0	42.4444	1.40515	0.085125	0.744581	0.00471068	0	0.00418662	0	0	0.0215605	2.26531	251.333	25.2222	62.6667	0.888889	0	1.44444	0	0	1	342.556	14.4223	6.88712	41.2885	0	0	0.107224	0	0	0	62.7052	42.2222	15.8889	17.6667	0	0	0.333333	0	0	0	76.1111	5.88889	0.777778	0.111111	0	0	0	0	0	0	6.77778	0.00845894	0.00257999	0.0212423	0	0	0	0	0	0	0.0322812	2.44444	0.222222	1.66667	0	0	0	0	0	0	4.33333	0.198517	0.0124818	0.0787493	0	0	0	0	0	0	0.289748	0.444444	0.222222	0.222222	0	0	0	0	0	0	0.888889
