Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\091015-runs\091015sm9-BBBPIPO.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realdata
2 = alldata
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.14358	2.91773	0.811356	0.228302	0.00487639	0.439343	0	0	0	5.54519	115.222	387.889	55.5556	14	4.22222	36	0	0	0	612.889	14.2199	28.5855	2.86952	30.0352	0.259357	16.4719	0	0	0	92.4415	43	305.333	6.88889	31.5556	2.55556	268.333	0	0	0	657.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	1.242	3.07012	0.958963	0.184521	0.000406056	0.270041	0	0	0	5.72605	111.565	381.859	58.0499	10.8844	2.72109	22.6757	0	0	0	587.755	6.97845	24.0679	1.06145	15.8168	0.0749494	14.5256	0	0	0	62.5252	43.5374	304.762	5.44218	33.5601	3.62812	277.551	0	0	0	668.481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	1.13435	2.8935	0.797304	0.23141	0.00542998	0.459878	0	0	0	5.52188	115.875	388.375	55.375	14.25	4.375	37.625	0	0	0	615.875	15.1253	29.3275	3.15008	31.6376	0.281448	16.6886	0	0	0	96.2105	42.875	305.25	7.125	31.25	2.375	267.25	0	0	0	656.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	12.2222	42.3333	0	1.66667	0	10.1111	0	0	0	66.3333	1.14274	2.89808	0.805258	0.212834	0.00456362	0.43134	0	0	0	5.49481	114	381	54.2222	13.1111	4	35.1111	0	0	0	601.444	14.2982	28.7018	2.76359	28.6536	0.261302	16.4918	0	0	0	91.1702	43.3333	306.111	6.77778	30.5556	2.66667	267.222	0	0	0	656.667	0	0	0	0	0	0	0	0	0	0	0.0107444	0.0252381	0.0142712	0.0166566	8.93734e-006	0.00171336	0	0	0	0.0686326	0.888889	3.11111	1.22222	0.777778	0.111111	0.111111	0	0	0	6.22222	0	0.219371	0.13328	1.48816	0	0.1452	0	0	0	1.98601	0	3	0.222222	1.11111	0	1.88889	0	0	0	6.22222
1	1	99.7732	42.6304	0	3.62812	0	9.0703	0	0	0	155.102	1.26014	3.03186	0.966403	0.188887	0.000463503	0.258691	0	0	0	5.70644	110.658	374.603	56.2358	10.8844	2.72109	21.7687	0	0	0	576.871	7.03025	24.2961	1.07169	15.9073	0.0761871	14.466	0	0	0	62.8475	43.5374	308.39	5.44218	33.5601	3.62812	273.923	0	0	0	668.481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	42.125	0	1.375	0	10.25	0	0	0	53.75	1.13128	2.87459	0.789733	0.213407	0.0050702	0.452488	0	0	0	5.46656	114.625	381.375	54.125	13.25	4.125	36.75	0	0	0	604.25	15.2068	29.4332	3.02992	30.0712	0.283466	16.7126	0	0	0	94.7373	43.25	305.75	7	30.125	2.5	266.375	0	0	0	655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	23.6667	81.7778	0.888889	3	0.111111	15.4444	0	0	0	124.889	1.13909	2.87194	0.796264	0.203005	0.00476867	0.420142	0	0	0	5.4352	112.778	373.444	52.8889	12.4444	4	34	0	0	0	589.556	14.316	28.8362	2.7797	27.928	0.262756	16.5404	0	0	0	90.6631	43.2222	307.556	6.77778	29.4444	2.66667	265.667	0	0	0	655.333	2.11111	7.11111	0	0.666667	0	4.33333	0	0	0	14.2222	0.0182455	0.0267794	0.016996	0.00617587	0	0.00473252	0	0	0	0.0729294	1	3.55556	1.22222	0.444444	0	0.333333	0	0	0	6.55556	0.0561294	0.206313	0.010695	0.831705	0	0.116291	0	0	0	1.22113	0.333333	2.55556	0.111111	1.33333	0	2.33333	0	0	0	6.66667
2	1	193.197	87.9819	0.90703	3.62812	0	15.4195	0	0	0	301.134	1.22511	2.98248	0.987093	0.17139	0.000525397	0.26277	0	0	0	5.62937	107.937	365.533	56.2358	9.0703	2.72109	21.7687	0	0	0	563.265	7.08227	24.3797	0.994683	15.8031	0.0774352	14.5339	0	0	0	62.8712	43.5374	308.39	4.53515	32.6531	3.62812	272.109	0	0	0	664.853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	80.625	0.875	2.875	0.125	15.5	0	0	0	100	1.13238	2.85286	0.777082	0.204761	0.00529234	0.439376	0	0	0	5.41176	113.625	374.125	52.625	12.75	4.125	35.5	0	0	0	592.75	15.2204	29.5769	3.05908	29.2698	0.284929	16.7596	0	0	0	94.1707	43.125	307.375	7.125	29	2.5	264.875	0	0	0	654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	32.8889	118	1.11111	4.33333	0.111111	21.5556	0	0	0	178	1.14254	2.85373	0.789778	0.195703	0.00398861	0.420085	0	0	0	5.40583	112	366.333	51.8889	11.7778	3.66667	33.5556	0	0	0	579.222	14.3323	28.8336	2.72164	26.2175	0.261314	16.4819	0	0	0	88.8482	43	307.778	6.66667	27.4444	2.66667	262.444	0	0	0	650	4.77778	10	0	0.222222	0	4.88889	0	0	0	19.8889	0.00167407	0.0306126	0.0142839	0.00784239	0.00047073	0.0030045	0	0	0	0.0578882	0.333333	3.77778	0.888889	0.555556	0.222222	0.222222	0	0	0	6	0.0670874	0.331883	0.0849414	1.80888	0.00342396	0.213681	0	0	0	2.50989	0.666667	3.11111	0.222222	2.11111	0.111111	3.44444	0	0	0	9.66667
