Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\091015-runs\091015sm9-SUPILA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realplot
2 = simplot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.37715	0.0865776	0.764463	0.00465663	0	0.00389116	0	0	0.020612	2.25735	258.333	26.1111	67.5556	1	0	1.44444	0	0	1	355.444	14.6464	7.38155	41.6269	0	0	0.106306	0	0	0	63.7612	42.7778	16.5556	18.6667	0	0	0.333333	0	0	0	78.3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	1.17567	0.12143	0.462019	0.00413922	0	0.000337896	0	0	0.0183218	1.78192	252.444	24.8889	64	0.888889	0	0.888889	0	0	0.888889	344	12.1007	2.13341	12.4055	0	0	0.0273696	0	0	0	26.667	48	18.6667	21.3333	0	0	0.888889	0	0	0	88.8889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	1.40593	0.0815988	0.807669	0.00473054	0	0.00439877	0	0	0.0209392	2.32527	259.175	26.2857	68.0635	1.01587	0	1.52381	0	0	1.01587	357.079	15.0101	8.13128	45.8014	0	0	0.117583	0	0	0	69.0604	42.0317	16.254	18.2857	0	0	0.253968	0	0	0	76.8254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	13.2222	2.11111	1.66667	0	0	0	0	0	0	17	1.38772	0.0869571	0.759816	0.00488989	0	0.00399858	0	0	0.0209608	2.26434	256.333	25.8889	65.8889	1	0	1.44444	0	0	1	351.556	14.5918	7.40054	41.5371	0	0	0.106645	0	0	0	63.6361	42.7778	16.4444	18	0	0	0.333333	0	0	0	77.5556	0	0	0	0	0	0	0	0	0	0	0.0101273	0.000415235	0.0224337	0	0	0	0	0	0	0.0329762	1.66667	0.111111	1.66667	0	0	0	0	0	0	3.44444	0.133575	0.00880024	0.174865	0	0	0	0	0	0	0.31724	0.333333	0.222222	0.666667	0	0	0	0	0	0	1.22222
1	1	105.778	2.66667	2.66667	0	0	0	0	0	0	111.111	1.16984	0.124733	0.475565	0.00434657	0	0.000369954	0	0	0.0186318	1.79349	251.556	24.8889	64	0.888889	0	0.888889	0	0	0.888889	343.111	12.207	2.15104	12.2571	0	0	0.0277468	0	0	0	26.6429	48.8889	18.6667	20.4444	0	0	0.888889	0	0	0	88.8889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	2.03175	1.52381	0	0	0	0	0	0	3.55556	1.41884	0.0815606	0.800424	0.0049675	0	0.00451696	0	0	0.0212935	2.33161	257.016	26.0317	66.1587	1.01587	0	1.52381	0	0	1.01587	352.762	14.9324	8.15047	45.72	0	0	0.117916	0	0	0	68.9208	41.9048	16.127	17.6508	0	0	0.253968	0	0	0	75.9365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	23.7778	3.88889	2.66667	0	0	0.111111	0	0	0	30.4444	1.40084	0.0877736	0.740966	0.00512885	0	0.00410837	0	0	0.0213125	2.26012	254	25.7778	64.2222	1	0	1.44444	0	0	1	347.444	14.528	7.41933	41.6414	0	0	0.106985	0	0	0	63.6957	42.2222	16.4444	18.2222	0	0	0.333333	0	0	0	77.2222	3.66667	0.111111	0	0	0	0	0	0	0	3.77778	0.00795673	0	0.0161275	0	0	0	0	0	0	0.0240842	2	0	1.44444	0	0	0	0	0	0	3.44444	0.14252	0.00900211	0	0	0	0	0	0	0	0.151522	0.888889	0.111111	0	0	0	0	0	0	0	1
2	1	190.222	5.33333	3.55556	0	0	0	0	0	0	199.111	1.19984	0.11139	0.488868	0.00455898	0	0.000403465	0	0	0.0189445	1.824	249.778	24	62.2222	0.888889	0	0.888889	0	0	0.888889	338.667	12.2765	2.18549	12.3224	0	0	0.0281267	0	0	0	26.8125	48.8889	19.5556	20.4444	0	0	0.888889	0	0	0	89.7778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	3.68254	2.53968	0	0	0.126984	0	0	0	6.34921	1.42955	0.0843999	0.776979	0.00521026	0	0.00463764	0	0	0.0216508	2.32243	254.603	26.0317	64.5079	1.01587	0	1.52381	0	0	1.01587	348.698	14.8496	8.16702	45.8298	0	0	0.118251	0	0	0	68.9647	41.2698	16	17.9048	0	0	0.253968	0	0	0	75.4286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	31.3333	5.11111	3.44444	0	0	0	0	0	0	39.8889	1.41707	0.0859903	0.742624	0.00537351	0	0.00422051	0	0	0.0216672	2.27695	252	25.1111	62.3333	1	0	1.44444	0	0	1	342.889	14.5004	7.42984	40.6266	0	0	0.107326	0	0	0	62.6641	42.1111	16.4444	17.7778	0	0	0.333333	0	0	0	76.6667	5.33333	0.555556	0.333333	0	0	0.111111	0	0	0	6.33333	0.00985384	0.00262414	0.0158838	0	0	0	0	0	0	0.0283618	1.77778	0.555556	1.88889	0	0	0	0	0	0	4.22222	0.100999	0.0173369	1.09909	0	0	0	0	0	0	1.21743	0.333333	0.111111	0.444444	0	0	0	0	0	0	0.888889
