Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\091015-runs\091015str11-SUPILA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realplot
2 = simplot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.37715	0.0865776	0.764463	0.00465663	0	0.00389116	0	0	0.020612	2.25735	258.333	26.1111	67.5556	1	0	1.44444	0	0	1	355.444	14.6464	7.38155	41.6269	0	0	0.106306	0	0	0	63.7612	42.7778	16.5556	18.6667	0	0	0.333333	0	0	0	78.3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	1.17567	0.12143	0.462019	0.00413922	0	0.000337896	0	0	0.0183218	1.78192	252.444	24.8889	64	0.888889	0	0.888889	0	0	0.888889	344	12.1007	2.13341	12.4055	0	0	0.0273696	0	0	0	26.667	48	18.6667	21.3333	0	0	0.888889	0	0	0	88.8889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	1.40593	0.0815988	0.807669	0.00473054	0	0.00439877	0	0	0.0209392	2.32527	259.175	26.2857	68.0635	1.01587	0	1.52381	0	0	1.01587	357.079	15.0101	8.13128	45.8014	0	0	0.117583	0	0	0	69.0604	42.0317	16.254	18.2857	0	0	0.253968	0	0	0	76.8254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	15	2.22222	1.33333	0	0	0	0	0	0	18.5556	1.38985	0.0853193	0.760892	0.00434657	0	0.00399858	0	0	0.0209608	2.26537	255.889	25.8889	65.6667	0.888889	0	1.44444	0	0	1	350.778	13.853	7.33843	41.6376	0	0	0.00556115	0	0	0	62.8345	42.4444	16.3333	18.4444	0	0	0.222222	0	0	0	77.4444	0	0	0	0	0	0	0	0	0	0	0.00799265	0.00205298	0.021358	0.000543321	0	0	0	0	0	0.0319469	2.11111	0.111111	1.88889	0.111111	0	0	0	0	0	4.22222	0.872377	0.0709149	0.0744155	0	0	0.101084	0	0	0	1.11879	0.666667	0.333333	0.222222	0	0	0.111111	0	0	0	1.33333
1	1	120	3.55556	0.888889	0	0	0	0	0	0	124.444	1.16569	0.108309	0.475132	0.00434657	0	0.000369954	0	0	0.0186318	1.77248	248	24	63.1111	0.888889	0	0.888889	0	0	0.888889	337.778	12.207	2.15104	12.4725	0	0	0.0277468	0	0	0	26.8584	48.8889	18.6667	21.3333	0	0	0.888889	0	0	0	89.7778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	2.03175	1.39683	0	0	0	0	0	0	3.42857	1.42188	0.0820352	0.801715	0.00434657	0	0.00451696	0	0	0.0212935	2.33578	257.016	26.1587	66.0317	0.888889	0	1.52381	0	0	1.01587	352.635	14.0881	8.07948	45.804	0	0	0.00239176	0	0	0	67.974	41.5238	16	18.0317	0	0	0.126984	0	0	0	75.6825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	27	4.22222	2.66667	0	0	0.111111	0	0	0	34	1.40355	0.0881171	0.731198	0.00455898	0	0.00410837	0	0	0.0213125	2.25284	253.667	25.7778	63.6667	0.888889	0	1.44444	0	0	1	346.444	13.8965	7.21363	41.5278	0	0	0.00564555	0	0	0	62.6436	42.4444	16.2222	18.1111	0	0	0.222222	0	0	0	77	3.33333	0.333333	0.222222	0	0	0	0	0	0	3.88889	0.00735955	8.85807e-005	0.0269318	0	0	0	0	0	0	0.0343799	1.88889	0.111111	1.77778	0	0	0	0	0	0	3.77778	0.0338398	0.150165	0.214961	0	0	0	0	0	0	0.398966	0.333333	0.111111	0.555556	0	0	0	0	0	0	1
2	1	216	3.55556	2.66667	0	0	0.888889	0	0	0	223.111	1.18577	0.11139	0.479335	0.00455898	0	0.000403465	0	0	0.0189445	1.8004	244.444	24	61.3333	0.888889	0	0.888889	0	0	0.888889	332.444	12.2765	2.16877	11.526	0	0	0.0281267	0	0	0	25.9994	48.8889	18.6667	20.4444	0	0	0.888889	0	0	0	88.8889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	4.31746	2.66667	0	0	0	0	0	0	6.98413	1.43466	0.0847924	0.767179	0.00455898	0	0.00463764	0	0	0.0216508	2.31748	254.984	26.0317	64	0.888889	0	1.52381	0	0	1.01587	348.444	14.1279	7.93433	45.8138	0	0	0.00243396	0	0	0	67.8785	41.5238	15.873	17.7778	0	0	0.126984	0	0	0	75.3016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	36.6667	6.33333	3.66667	0	0	0.111111	0	0	0	46.7778	1.41401	0.0884396	0.730732	0.00477646	0	0.00422051	0	0	0.0216672	2.26385	250.667	25.2222	62.2222	0.888889	0	1.44444	0	0	1	341.444	13.9693	7.24078	34.0785	0	0	0.00573059	0	0	0	55.2943	42.6667	16.3333	17.7778	0	0	0.222222	0	0	0	77	6.22222	0.666667	0.222222	0	0	0	0	0	0	7.11111	0.0156076	0.000527516	0.0177516	0	0	0	0	0	0	0.0338867	2.77778	0.444444	1.44444	0	0	0	0	0	0	4.66667	0	0	7.53317	0	0	0	0	0	0	7.53317	0	0	0.333333	0	0	0	0	0	0	0.333333
