Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\091015-runs\091015str9-BBBPIPO.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realdata
2 = alldata
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.14358	2.91773	0.811356	0.228302	0.00487639	0.439343	0	0	0	5.54519	115.222	387.889	55.5556	14	4.22222	36	0	0	0	612.889	14.2199	28.5855	2.86952	30.0352	0.259357	16.4719	0	0	0	92.4415	43	305.333	6.88889	31.5556	2.55556	268.333	0	0	0	657.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	1.242	3.07012	0.958963	0.184521	0.000406056	0.270041	0	0	0	5.72605	111.565	381.859	58.0499	10.8844	2.72109	22.6757	0	0	0	587.755	6.97845	24.0679	1.06145	15.8168	0.0749494	14.5256	0	0	0	62.5252	43.5374	304.762	5.44218	33.5601	3.62812	277.551	0	0	0	668.481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	1.13435	2.8935	0.797304	0.23141	0.00542998	0.459878	0	0	0	5.52188	115.875	388.375	55.375	14.25	4.375	37.625	0	0	0	615.875	15.1253	29.3275	3.15008	31.6376	0.281448	16.6886	0	0	0	96.2105	42.875	305.25	7.125	31.25	2.375	267.25	0	0	0	656.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	11.6667	40.6667	0.111111	1.66667	0	7.44444	0	0	0	61.5556	1.13288	2.89598	0.798783	0.227326	0.00430239	0.42956	0	0	0	5.48883	113.778	380.444	54.2222	13.7778	3.77778	35	0	0	0	601	14.2363	28.6006	2.56544	29.1116	0.261302	16.5065	0	0	0	91.2817	43	306.556	6.77778	30.4444	2.66667	266.778	0	0	0	656.222	0	0	0	0	0	0	0	0	0	0	0.0206056	0.0273352	0.0207462	0.00216489	0.000270173	0.00349348	0	0	0	0.0746156	1.11111	3.66667	1.22222	0.111111	0.333333	0.222222	0	0	0	6.66667	0.0619071	0.320529	0.331435	1.03019	0	0.130472	0	0	0	1.87453	0.333333	2.55556	0.222222	1.22222	0	2.33333	0	0	0	6.66667
1	1	95.2381	39.9093	0	0	0	8.16327	0	0	0	143.311	1.26662	3.02783	0.979798	0.188887	0.000463503	0.244119	0	0	0	5.70771	111.565	372.789	58.0499	10.8844	2.72109	20.8617	0	0	0	576.871	6.68633	23.5573	1.07169	15.7831	0.0761871	14.6656	0	0	0	61.8401	42.6304	306.576	5.44218	32.6531	3.62812	277.551	0	0	0	668.481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	41	0.125	1.875	0	7.375	0	0	0	50.375	1.11929	2.87343	0.780603	0.22971	0.00477631	0.452493	0	0	0	5.4603	114.25	381.125	53.875	14	3.875	36.75	0	0	0	603.875	15.1846	29.4212	2.807	30.6036	0.283466	16.7099	0	0	0	95.0097	43	306.5	7	30.125	2.5	265.5	0	0	0	654.625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	20.8889	74.8889	0.444444	3.22222	0.111111	13.5556	0	0	0	113.111	1.12927	2.87668	0.794691	0.211866	0.00431507	0.421993	0	0	0	5.43882	112.111	373.111	53	13	3.66667	34.1111	0	0	0	589	14.2797	28.6173	2.48915	27.7214	0.262756	16.4134	0	0	0	89.7837	43.1111	306.889	6.77778	29.5556	2.66667	264.222	0	0	0	653.222	2.77778	7	0	0.111111	0	3.44444	0	0	0	13.3333	0.0180543	0.0198586	0.012033	0.0121345	0.000181777	0.00107598	0	0	0	0.0633382	1.44444	3.33333	1.11111	0.555556	0.111111	0.111111	0	0	0	6.66667	0.0300632	0.323996	0.102747	1.49743	0	0.257918	0	0	0	2.21215	0.111111	3.66667	0.111111	1.11111	0	3.33333	0	0	0	8.33333
2	1	170.522	69.8413	0.90703	0.90703	0	21.7687	0	0	0	263.946	1.25494	2.99408	1.00096	0.193314	0.000525397	0.24799	0	0	0	5.69182	110.658	366.44	58.0499	10.8844	2.72109	20.8617	0	0	0	569.615	6.73655	23.0649	1.08199	15.5182	0.0774352	14.6478	0	0	0	61.1268	42.6304	305.669	5.44218	31.746	3.62812	274.83	0	0	0	663.946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	75.625	0.375	3.5	0.125	12.25	0	0	0	91.875	1.11723	2.85726	0.773401	0.211708	0.00478205	0.443496	0	0	0	5.40788	112.5	373.75	52.5	13.125	3.75	35.75	0	0	0	591.375	15.2272	29.4222	2.72017	29.0766	0.284929	16.6093	0	0	0	93.3404	43.125	306.75	7	29.25	2.5	263	0	0	0	651.625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	29.2222	106	0.777778	4.44444	0.111111	15.7778	0	0	0	156.333	1.13138	2.86009	0.765481	0.206611	0.00367493	0.417474	0	0	0	5.38471	111	366.111	50.8889	12.6667	3.44444	33.3333	0	0	0	577.444	14.16	28.6445	2.44042	23.1652	0.261314	16.3687	0	0	0	85.0401	43.3333	305.667	6.66667	28.4444	2.66667	261.333	0	0	0	648.111	5.77778	9.66667	0	0.777778	0	5.77778	0	0	0	22	0.00281082	0.0290535	0.0369918	0.00599884	0.000311651	0.00556749	0	0	0	0.0807341	0.666667	3.66667	2	0.222222	0.111111	0.444444	0	0	0	7.11111	0.202852	0.30103	0.0749361	4.65532	0.00342396	0.200812	0	0	0	5.43838	0.222222	4.55556	0.222222	1.22222	0.111111	3.22222	0	0	0	9.55556
