Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\091015-runs\091015str9-FRPIJE.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realplot
2 = simplot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0.0607952	0.00232453	0.0559793	0	0	0.0650539	0.827808	0.0129887	0	1.02495	7.33333	2.88889	2.77778	0	0	11.4444	88.4444	1.11111	0	114	9.98791	0	2.04849	0	0	0.208719	29.0828	0	0	41.3279	6.22222	0	1.44444	0	0	3.88889	51.6667	0	0	63.2222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0.0578501	0.00105322	0.110852	0	0	0.0914471	0.719429	0.0116899	0	0.992321	5	3	3	0	0	13	85	1	0	110	1.99594	0	1.15942	0	0	0.095206	14.6413	0	0	17.8919	8	0	1	0	0	3	54	0	0	66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	0.0611634	0.00248345	0.0491202	0	0	0.0617547	0.841355	0.0131511	0	1.02903	7.625	2.875	2.75	0	0	11.25	88.875	1.125	0	114.5	10.9869	0	2.15962	0	0	0.222908	30.888	0	0	44.2574	6	0	1.5	0	0	4	51.375	0	0	62.875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	2.11111	0	0.111111	0	0	0	2.44444	0	0	4.66667	0.0621106	0.00246978	0.0550087	0	0	0.0653918	0.83228	0.0133975	0	1.03066	7.33333	2.88889	2.66667	0	0	11.2222	87.4444	1.11111	0	112.667	9.95671	0	2.05516	0	0	0.206668	27.2007	0	0	39.4192	6.11111	0	1.44444	0	0	3.66667	51.3333	0	0	62.5556	0	0	0	0	0	0	0	0	0	0	0	0	0.00202696	0	0	0.00107053	0.00370245	0	0	0.00679994	0	0	0.111111	0	0	0.222222	0.555556	0	0	0.888889	0.0464432	0	0	0	0	0.00406262	2.03125	0	0	2.08176	0.111111	0	0	0	0	0.222222	0.777778	0	0	1.11111
1	1	19	0	0	0	0	0	2	0	0	21	0.0587515	0.00116826	0.112461	0	0	0.0912775	0.736243	0.0120578	0	1.01196	5	3	3	0	0	12	84	1	0	108	2.0085	0	1.16428	0	0	0.0964964	14.3724	0	0	17.6416	8	0	1	0	0	3	53	0	0	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	0	0.125	0	0	0	2.5	0	0	2.625	0.0625305	0.00263247	0.0478271	0	0	0.0621562	0.844285	0.013565	0	1.033	7.625	2.875	2.625	0	0	11.125	87.875	1.125	0	113.25	10.9502	0	2.16651	0	0	0.220439	28.8043	0	0	42.1414	5.875	0	1.5	0	0	3.75	51.125	0	0	62.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	3.11111	0	0.111111	0	0	0	4.44444	0	0	7.66667	0.0634474	0.00238259	0.0560299	0	0	0.0632773	0.828149	0.0138127	0	1.0271	7.33333	2.77778	2.66667	0	0	10.6667	86.1111	1.11111	0	110.667	9.66485	0	2.06184	0	0	0.206681	26.9485	0	0	38.8819	6	0	1.44444	0	0	3.66667	51.1111	0	0	62.2222	0.333333	0	0	0	0	0	0.333333	0	0	0.666667	0	0.000241078	0	0	0	0.00159218	0.00415157	0	0	0.00598483	0	0.111111	0	0	0	0.444444	0.666667	0	0	1.22222	0.306907	0	0	0	0	0.00386019	0.405287	0	0	0.716054	0.111111	0	0	0	0	0.111111	0.888889	0	0	1.11111
2	1	28	0	0	0	0	0	4	0	0	32	0.0596675	0.00129227	0.114088	0	0	0.0930132	0.758438	0.0124314	0	1.03893	5	3	3	0	0	12	84	1	0	108	2.02109	0	1.16914	0	0	0.0977955	14.4855	0	0	17.7736	8	0	1	0	0	3	53	0	0	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	0	0.125	0	0	0	4.5	0	0	4.625	0.0639199	0.00251888	0.0487726	0	0	0.0595603	0.836863	0.0139853	0	1.02562	7.625	2.75	2.625	0	0	10.5	86.375	1.125	0	111	10.6203	0	2.17342	0	0	0.220291	28.5064	0	0	41.5205	5.75	0	1.5	0	0	3.75	50.875	0	0	61.875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	4.44444	0	0.222222	0	0	0	6.55556	0	0	11.2222	0.0596919	0.00253229	0.0534625	0	0	0.0627071	0.83037	0.0128107	0	1.02157	7.11111	2.77778	2.55556	0	0	10.5556	84.6667	1	0	108.667	9.66233	0	2.06853	0	0	0.195059	26.8241	0	0	38.75	6	0	1.44444	0	0	3.55556	50.7778	0	0	61.7778	0.444444	0	0	0	0	0	0.555556	0	0	1	0.000413011	0	0.00360378	0	0	0	0.00595654	0.00142341	0	0.0113967	0.111111	0	0.111111	0	0	0	1	0.111111	0	1.33333	0.0216998	0	0	0	0	0.0154857	0.268385	0	0	0.305571	0.111111	0	0	0	0	0.222222	0.777778	0	0	1.11111
