Location: GenPlots
From parameter file: C:\Users\Moran Lab\Documents\GitHub\SortieRuns\XMLs\092315-runs\092315-BBBPIPO.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realdata
2 = alldata
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.14358	2.91773	0.811356	0.228302	0.00487639	0.439343	0	0	0	5.54519	115.222	387.889	55.5556	14	4.22222	36	0	0	0	612.889	14.2199	28.5855	2.86952	30.0352	0.259357	16.4719	0	0	0	92.4415	43	305.333	6.88889	31.5556	2.55556	268.333	0	0	0	657.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	1.242	3.07012	0.958963	0.184521	0.000406056	0.270041	0	0	0	5.72605	111.565	381.859	58.0499	10.8844	2.72109	22.6757	0	0	0	587.755	6.97845	24.0679	1.06145	15.8168	0.0749494	14.5256	0	0	0	62.5252	43.5374	304.762	5.44218	33.5601	3.62812	277.551	0	0	0	668.481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	1.13435	2.8935	0.797304	0.23141	0.00542998	0.459878	0	0	0	5.52188	115.875	388.375	55.375	14.25	4.375	37.625	0	0	0	615.875	15.1253	29.3275	3.15008	31.6376	0.281448	16.6886	0	0	0	96.2105	42.875	305.25	7.125	31.25	2.375	267.25	0	0	0	656.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	24.5556	49.4444	1	3.77778	0	9.11111	0	0	0	87.8889	1.14665	2.90457	0.788251	0.222821	0.00453274	0.431042	0	0	0	5.49787	114.222	381.111	54	13.4444	4	35	0	0	0	601.778	14.2865	28.8559	2.85655	29.707	0.242267	16.4846	0	0	0	92.4329	43.1111	307.556	6.66667	30.4444	2.44444	266.556	0	0	0	656.778	0	0	0	0	0	0	0	0	0	0	0.00920793	0.0220544	0.0330999	0.0105182	1.88959e-005	0.00201116	0	0	0	0.0769106	0.666667	2.77778	1.44444	0.555556	0.111111	0.222222	0	0	0	5.77778	0.0180764	0.0955116	0.0420183	0.420228	0.0188869	0.152351	0	0	0	0.747072	0.222222	1.77778	0.333333	1.11111	0.222222	2.55556	0	0	0	6.22222
1	1	200.454	46.2585	1.81406	0.90703	0	9.97732	0	0	0	259.41	1.22586	3.03677	0.962685	0.163884	0.000457384	0.258691	0	0	0	5.64834	109.751	372.789	57.1429	9.97732	2.72109	21.7687	0	0	0	574.15	6.92858	24.3602	0.945362	15.4504	0.0760592	14.5018	0	0	0	62.2623	42.6304	308.39	4.53515	30.839	3.62812	274.83	0	0	0	664.853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	50.125	1	4.125	0	9.125	0	0	0	64.375	1.14045	2.8813	0.771143	0.228088	0.0050363	0.452152	0	0	0	5.47817	115	381.75	53.75	13.75	4.125	36.625	0	0	0	605	15.193	29.5981	3.15195	31.3114	0.262068	16.7078	0	0	0	96.2244	43	307.375	7	30.25	2.25	265.625	0	0	0	655.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	45.1111	89.8889	1.88889	7.22222	0.111111	15.1111	0	0	0	159.333	1.14887	2.87763	0.79263	0.202292	0.00471502	0.420139	0	0	0	5.44627	113	372.778	53.4444	12.5556	4	33.8889	0	0	0	589.667	13.8922	29.0134	2.88526	27.3429	0.243442	16.5156	0	0	0	89.8928	42.8889	308.222	6.77778	29.6667	2.44444	265.333	0	0	0	655.333	4.77778	7.11111	0.111111	0.888889	0	4	0	0	0	16.8889	0.0148119	0.0371383	0.00517722	0.0121073	0	0.00442578	0	0	0	0.0736605	1	4.44444	0.444444	0.555556	0	0.333333	0	0	0	6.77778	0.474497	0.208891	0	2.46721	0	0.133591	0	0	0	3.28419	0.444444	3.22222	0	1.11111	0	2	0	0	0	6.77778
2	1	368.254	84.3537	2.72109	4.53515	0	12.6984	0	0	0	472.562	1.21333	2.97273	0.983629	0.156023	0.000512291	0.251844	0	0	0	5.57807	107.937	361.905	56.2358	9.0703	2.72109	20.8617	0	0	0	558.73	6.98468	24.6476	0.954998	14.6108	0.0771774	14.5455	0	0	0	61.8208	42.6304	312.018	4.53515	29.932	3.62812	272.109	0	0	0	664.853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	90.625	1.875	7.5	0.125	15.5	0	0	0	115.625	1.14509	2.86078	0.773534	0.206076	0.0052338	0.439373	0	0	0	5.43008	113.875	373.875	53.25	12.875	4.125	35.375	0	0	0	593.375	14.7423	29.7401	3.18337	28.7677	0.263236	16.7385	0	0	0	93.4351	42.75	307.625	7.125	29.5	2.25	264.625	0	0	0	653.875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	62	124.333	2.22222	9.66667	0.222222	18.5556	0	0	0	217	1.15207	2.84584	0.786141	0.1963	0.0043859	0.417772	0	0	0	5.4025	111.889	363.778	52.4444	12	3.88889	33.2222	0	0	0	577.222	13.9082	28.9531	2.91423	26.7902	0.24173	16.5912	0	0	0	89.3986	42.6667	309.889	6.88889	28.5556	2.44444	263.778	0	0	0	654.222	9	15.4444	0.111111	1	0	6.44444	0	0	0	32	0.00436492	0.0326022	0.0161084	0.00604689	0	0.00337908	0	0	0	0.0625015	0.666667	4.66667	0.888889	0.444444	0	0.333333	0	0	0	7	0.0727868	0.436138	0	0.642891	0.00340945	0.0813236	0	0	0	1.23655	0.666667	2.66667	0	1.22222	0.111111	1.88889	0	0	0	6.55556
