Location: GenPlots
From parameter file: C:\Users\Moran Lab\Documents\GitHub\SortieRuns\XMLs\092315-runs\092315-FRPIJE.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realplot
2 = simplot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0.0607952	0.00232453	0.0559793	0	0	0.0650539	0.827808	0.0129887	0	1.02495	7.33333	2.88889	2.77778	0	0	11.4444	88.4444	1.11111	0	114	9.98791	0	2.04849	0	0	0.208719	29.0828	0	0	41.3279	6.22222	0	1.44444	0	0	3.88889	51.6667	0	0	63.2222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0.0578501	0.00105322	0.110852	0	0	0.0914471	0.719429	0.0116899	0	0.992321	5	3	3	0	0	13	85	1	0	110	1.99594	0	1.15942	0	0	0.095206	14.6413	0	0	17.8919	8	0	1	0	0	3	54	0	0	66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	0.0611634	0.00248345	0.0491202	0	0	0.0617547	0.841355	0.0131511	0	1.02903	7.625	2.875	2.75	0	0	11.25	88.875	1.125	0	114.5	10.9869	0	2.15962	0	0	0.222908	30.888	0	0	44.2574	6	0	1.5	0	0	4	51.375	0	0	62.875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	6	0	0.555556	0	0	0.111111	20.7778	0	0	27.4444	0.0622419	0.00248445	0.0469541	0	0	0.0657056	0.81816	0.0133975	0	1.00894	7.33333	2.88889	2.55556	0	0	11.3333	86.5556	1.11111	0	111.778	9.98707	0	2.05581	0	0	0.210731	29.2033	0	0	41.4569	6.11111	0	1.44444	0	0	3.88889	51.8889	0	0	63.3333	0	0	0	0	0	0	0	0	0	0	0	0	0.0101864	0	0	0.000756717	0.0202521	0	0	0.0311952	0	0	0.222222	0	0	0.111111	1.44444	0	0	1.77778	0.017593	0	0	0	0	0	0.0418052	0	0	0.0593982	0.111111	0	0	0	0	0	0.222222	0	0	0.333333
1	1	54	0	0	0	0	0	23	0	0	77	0.0588415	0.00117999	0.0239035	0	0	0.0932425	0.711811	0.0120578	0	0.901037	5	3	2	0	0	13	84	1	0	108	1.8514	0	1.16476	0	0	0.0964964	14.7681	0	0	17.8808	7	0	1	0	0	3	54	0	0	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	0	0.625	0	0	0.125	20.5	0	0	21.25	0.0626669	0.00264751	0.0498354	0	0	0.0622636	0.831454	0.013565	0	1.02243	7.625	2.875	2.625	0	0	11.125	86.875	1.125	0	112.25	11.004	0	2.16719	0	0	0.22501	31.0077	0	0	44.4039	6	0	1.5	0	0	4	51.625	0	0	63.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	10	0	0.666667	0	0	0.111111	38.4444	0	0	49.2222	0.0611746	0.00265478	0.0479885	0	0	0.0651933	0.806001	0.0138127	0	0.996825	7.22222	2.88889	2.55556	0	0	11.2222	84.5556	1.11111	0	109.556	9.92547	0	2.06315	0	0	0.214676	29.336	0	0	41.5393	5.88889	0	1.44444	0	0	4	52.3333	0	0	63.6667	1.66667	0	0.111111	0	0	0	2.77778	0	0	4.55556	0.00253983	0	0	0	0	0	0.0142141	0	0	0.016754	0.111111	0	0	0	0	0	1.33333	0	0	1.44444	0.0782383	0	0	0	0	0	0.038459	0	0	0.116697	0.222222	0	0	0	0	0	0.222222	0	0	0.444444
2	1	90	0	0	0	0	0	38	0	0	128	0.0598505	0.00131759	0.0245848	0	0	0.0950593	0.726502	0.0124314	0	0.919745	5	3	2	0	0	13	81	1	0	105	1.86384	0	1.1701	0	0	0.0977955	14.8955	0	0	18.0273	7	0	1	0	0	3	54	0	0	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	0	0.75	0	0	0.125	38.5	0	0	39.375	0.0613401	0.00282193	0.0509139	0	0	0.0614601	0.815939	0.0139853	0	1.00646	7.5	2.875	2.625	0	0	11	85	1.125	0	110.125	10.9332	0	2.17479	0	0	0.229286	31.1411	0	0	44.4783	5.75	0	1.5	0	0	4.125	52.125	0	0	63.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	13.4444	0	0.666667	0	0	0.222222	51.8889	0	0	66.2222	0.0579109	0.00283553	0.0490404	0	0	0.0646777	0.798725	0.0142341	0	0.987424	7.11111	2.88889	2.55556	0	0	11.1111	82.6667	1.11111	0	107.444	9.94639	0	2.07051	0	0	0.218664	28.3894	0	0	40.625	6	0	1.44444	0	0	4.11111	52	0	0	63.5556	2.33333	0	0	0	0	0	6.22222	0	0	8.55556	0	0	0	0	0	0	0.00901615	0	0	0.00901615	0	0	0	0	0	0	1.22222	0	0	1.22222	0	0	0	0	0	0	1.11858	0	0	1.11858	0	0	0	0	0	0	1	0	0	1
