Location: GenPlots
From parameter file: C:\Users\Moran Lab\Documents\GitHub\SortieRuns\XMLs\092315-runs\092315-POFLABMA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realplot
2 = simplots
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144781	0	2.65019	2.79497	0	0	0	0	0	0	20.8889	0	354.889	375.778	0	0	0	0	0	0	9.112	0	891.575	900.687	0	0	0	0	0	0	13.1111	0	207.111	220.222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112157	0	1.9852	2.09736	0	0	0	0	0	0	17.2336	0	314.739	331.973	0	0	0	0	0	0	2.7576	0	118.909	121.666	0	0	0	0	0	0	16.3265	0	241.27	257.596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151217	0	2.74315	2.89436	0	0	0	0	0	0	21.375	0	360.25	381.625	0	0	0	0	0	0	9.87741	0	990.4	1000.28	0	0	0	0	0	0	12.625	0	202.375	215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	0	0	0	0	0	0	1.77778	0	40.2222	42	0	0	0	0	0	0	0.147938	0	2.6533	2.80123	0	0	0	0	0	0	20.5556	0	352.778	373.333	0	0	0	0	0	0	9.0442	0	892.195	901.24	0	0	0	0	0	0	13	0	207.778	220.778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00158083	0	0.00929674	0.0108776	0	0	0	0	0	0	0.333333	0	0.888889	1.22222	0	0	0	0	0	0	0.10291	0	0.15342	0.25633	0	0	0	0	0	0	0.111111	0	0.555556	0.666667
1	1	0	0	0	0	0	0	3.62812	0	34.4671	38.0952	0	0	0	0	0	0	0.115519	0	1.99585	2.11137	0	0	0	0	0	0	16.3265	0	313.832	330.159	0	0	0	0	0	0	2.78628	0	119.459	122.245	0	0	0	0	0	0	16.3265	0	242.177	258.503	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	0	0	0	0	0	1.5	0	41.25	42.75	0	0	0	0	0	0	0.154402	0	2.746	2.9004	0	0	0	0	0	0	21.125	0	358	379.125	0	0	0	0	0	0	9.79731	0	991.029	1000.83	0	0	0	0	0	0	12.5	0	203	215.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	0	0	0	0	0	0	3.22222	0	70.2222	73.4444	0	0	0	0	0	0	0.150965	0	2.68494	2.83591	0	0	0	0	0	0	20	0	351	371	0	0	0	0	0	0	9.05743	0	892.651	901.708	0	0	0	0	0	0	12.7778	0	207.778	220.556	0	0	0	0	0	0	0.111111	0	8	8.11111	0	0	0	0	0	0	0.00176709	0	0.00466345	0.00643054	0	0	0	0	0	0	0.555556	0	1.11111	1.66667	0	0	0	0	0	0	0.0215245	0	0.294584	0.316108	0	0	0	0	0	0	0.222222	0	0.666667	0.888889
2	1	0	0	0	0	0	0	6.34921	0	72.5624	78.9116	0	0	0	0	0	0	0.119087	0	1.96861	2.08769	0	0	0	0	0	0	15.4195	0	312.018	327.438	0	0	0	0	0	0	2.77676	0	119.336	122.113	0	0	0	0	0	0	15.4195	0	242.177	257.596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	0	0	0	0	0	2.75	0	70	72.75	0	0	0	0	0	0	0.157414	0	2.7862	2.94361	0	0	0	0	0	0	20.625	0	356.25	376.875	0	0	0	0	0	0	9.81364	0	991.567	1001.38	0	0	0	0	0	0	12.375	0	203	215.375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	0	0	0	0	0	0	4.44444	0	92.2222	96.6667	0	0	0	0	0	0	0.151634	0	2.71315	2.86478	0	0	0	0	0	0	19.8889	0	348.889	368.778	0	0	0	0	0	0	9.06188	0	893.228	902.29	0	0	0	0	0	0	12.7778	0	207.667	220.444	0	0	0	0	0	0	0.333333	0	16.1111	16.4444	0	0	0	0	0	0	0	0	0.0135375	0.0135375	0	0	0	0	0	0	0	0	1.55556	1.55556	0	0	0	0	0	0	0.0342982	0	0.171292	0.205591	0	0	0	0	0	0	0.111111	0	0.666667	0.777778
