Location: GenPlots
From parameter file: C:\Users\Moran Lab\Documents\GitHub\SortieRuns\XMLs\092315-runs\092315-SUPILA.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realplot
2 = simplot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	1.37715	0.0865776	0.764463	0.00465663	0	0.00389116	0	0	0.020612	2.25735	258.333	26.1111	67.5556	1	0	1.44444	0	0	1	355.444	14.6464	7.38155	41.6269	0	0	0.106306	0	0	0	63.7612	42.7778	16.5556	18.6667	0	0	0.333333	0	0	0	78.3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	1.17567	0.12143	0.462019	0.00413922	0	0.000337896	0	0	0.0183218	1.78192	252.444	24.8889	64	0.888889	0	0.888889	0	0	0.888889	344	12.1007	2.13341	12.4055	0	0	0.0273696	0	0	0	26.667	48	18.6667	21.3333	0	0	0.888889	0	0	0	88.8889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	1.40593	0.0815988	0.807669	0.00473054	0	0.00439877	0	0	0.0209392	2.32527	259.175	26.2857	68.0635	1.01587	0	1.52381	0	0	1.01587	357.079	15.0101	8.13128	45.8014	0	0	0.117583	0	0	0	69.0604	42.0317	16.254	18.2857	0	0	0.253968	0	0	0	76.8254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	26	4.33333	3.22222	0	0	0.111111	0	0	0	33.6667	1.39326	0.0859221	0.776455	0.00486668	0	0.00399858	0	0	0.0209955	2.28549	256.556	25.5556	66	1	0	1.44444	0	0	1	351.556	14.1263	7.26208	41.553	0	0	0.106645	0	0	0	63.048	42.8889	16.5556	18.3333	0	0	0.333333	0	0	0	78.1111	0	0	0	0	0	0	0	0	0	0	0.00806325	0.00173278	0.00756648	0	0	0	0	0	0	0.0173625	1.44444	0.444444	1.55556	0	0	0	0	0	0	3.44444	0.605443	0.149785	0.167437	0	0	0	0	0	0	0.922665	0.222222	0.111111	0.333333	0	0	0	0	0	0	0.666667
1	1	208	1.77778	2.66667	0	0	0	0	0	0	212.444	1.17286	0.12506	0.475646	0.00432593	0	0.000369954	0	0	0.0186626	1.79693	250.667	24.8889	62.2222	0.888889	0	0.888889	0	0	0.888889	340.444	12.2139	2.15277	11.9461	0	0	0.0277468	0	0	0	26.3405	48.8889	18.6667	20.4444	0	0	0.888889	0	0	0	88.8889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	4.69841	3.30159	0	0	0.126984	0	0	0	8.12698	1.42474	0.080331	0.819427	0.00494392	0	0.00451696	0	0	0.0213287	2.35529	257.397	25.6508	66.5397	1.01587	0	1.52381	0	0	1.01587	353.143	14.3995	7.99198	45.7825	0	0	0.117916	0	0	0	68.2919	42.0317	16.254	18.0317	0	0	0.253968	0	0	0	76.5714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	45.7778	7.88889	6.44444	0	0	0.111111	0	0	0	60.2222	1.40653	0.0855354	0.747447	0.00508136	0	0.00405793	0	0	0.0213825	2.27003	254.667	25.2222	64	1	0	1.33333	0	0	1	347.222	14.1604	7.20462	41.6343	0	0	0.106985	0	0	0	63.1063	42.6667	16.5556	18.3333	0	0	0.333333	0	0	0	77.8889	4.22222	1.11111	0.444444	0	0	0.111111	0	0	0	5.88889	0.00669672	0.00145806	0.0282054	0	0	5.04332e-005	0	0	0	0.0364107	1.44444	0.222222	1.77778	0	0	0.111111	0	0	0	3.55556	0.0553833	0.087483	0.0316718	0	0	0	0	0	0	0.174538	0.666667	0.111111	0.222222	0	0	0	0	0	0	1
2	1	366.222	3.55556	4.44444	0	0	0	0	0	0	374.222	1.20776	0.112001	0.453188	0.00451676	0	0	0	0	0.0190066	1.79647	248.889	24	59.5556	0.888889	0	0	0	0	0.888889	334.222	12.2382	2.18903	12.0166	0	0	0.0281267	0	0	0	26.472	48	19.5556	20.4444	0	0	0.888889	0	0	0	88.8889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	8.50794	6.73016	0	0	0.126984	0	0	0	15.3651	1.43492	0.0817546	0.789484	0.00516202	0	0.00463764	0	0	0.0217219	2.33768	255.492	25.3968	64.6349	1.01587	0	1.52381	0	0	1.01587	349.079	14.435	7.92113	45.8654	0	0	0.118251	0	0	0	68.3398	41.9048	16.127	18.0317	0	0	0.253968	0	0	0	76.3175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	61.7778	11.3333	8.55556	0	0	0.222222	0	0	0	81.8889	1.41432	0.0817244	0.755036	0.00530068	0	0.00416571	0	0	0.021773	2.28232	252.111	24.5556	63.3333	1	0	1.33333	0	0	1	343.333	14.1914	7.02668	40.739	0	0	0.107326	0	0	0	62.0645	42.6667	16.7778	17.6667	0	0	0.333333	0	0	0	77.4445	9.77778	1.22222	0.777778	0	0	0	0	0	0	11.7778	0.0173456	0.000681587	0.0116102	0	0	0	0	0	0	0.0296373	2.22222	0.333333	0.666667	0	0	0	0	0	0	3.22222	0.0537091	0.21198	0.987973	0	0	0	0	0	0	1.25366	0.333333	0.111111	0.666667	0	0	0	0	0	0	1.11111
