Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\093015-runs\093015-BBBPIPO-Fin.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realdata
2 = alldata
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Abs Den: PICO	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl Abs BA: PICO	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Abs Den: PICO	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult Abs BA: PICO	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Abs Den: PICO	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult Abs BA: PICO	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0	1.14358	2.91773	0.811356	0.228302	0.00487639	0.439343	0	0	0	0	5.54519	115.222	387.889	55.5556	14	4.22222	36	0	0	0	0	612.889	14.2199	28.5855	2.86952	30.0352	0.259357	16.4719	0	0	0	0	92.4415	43	305.333	6.88889	31.5556	2.55556	268.333	0	0	0	0	657.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	1.242	3.07012	0.958963	0.184521	0.000406056	0.270041	0	0	0	0	5.72605	111.565	381.859	58.0499	10.8844	2.72109	22.6757	0	0	0	0	587.755	6.97845	24.0679	1.06145	15.8168	0.0749494	14.5256	0	0	0	0	62.5252	43.5374	304.762	5.44218	33.5601	3.62812	277.551	0	0	0	0	668.481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	0	1.13435	2.8935	0.797304	0.23141	0.00542998	0.459878	0	0	0	0	5.52188	115.875	388.375	55.375	14.25	4.375	37.625	0	0	0	0	615.875	15.1253	29.3275	3.15008	31.6376	0.281448	16.6886	0	0	0	0	96.2105	42.875	305.25	7.125	31.25	2.375	267.25	0	0	0	0	656.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	23.6667	45.6667	0.666667	24.3333	0.111111	8.66667	0	0	0	0	103.111	1.1422	2.88591	0.805263	0.213413	0.00457009	0.429108	0	0	0	0	5.48046	113.333	379.556	54.3333	13.1111	4	34.8889	0	0	0	0	599.222	14.2933	28.5112	2.84022	28.954	0.261302	16.5431	0	0	0	0	91.403	43.2222	306.556	6.66667	30.2222	2.66667	266.889	0	0	0	0	656.222	0	0	0	0	0	0	0	0	0	0	0	0.0112825	0.0374068	0.0142669	0.0160774	2.46985e-006	0.00394514	0	0	0	0	0.0829812	1.55556	4.55556	1.11111	0.777778	0.111111	0.333333	0	0	0	0	8.44444	0.00486122	0.410007	0.0566584	1.18776	0	0.0939066	0	0	0	0	1.75319	0.111111	2.55556	0.333333	1.44444	0	2.22222	0	0	0	0	6.66667
1	1	193.197	53.5147	0	13.6054	0	5.44218	0	0	0	0	265.76	1.26205	2.99875	0.979798	0.188887	0.000463503	0.258691	0	0	0	0	5.68863	109.751	371.882	58.0499	10.8844	2.72109	21.7687	0	0	0	0	575.057	7.03025	24.3025	1.07169	12.9026	0.0761871	14.5411	0	0	0	0	59.9244	43.5374	307.483	5.44218	29.932	3.62812	274.83	0	0	0	0	664.853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	45.25	0.75	25.625	0.125	9.125	0	0	0	0	80.875	1.13041	2.8661	0.787892	0.214059	0.00507747	0.449977	0	0	0	0	5.45352	114	380.25	54	13.25	4.125	36.5	0	0	0	0	602.125	15.2014	29.2179	3.11612	30.8233	0.283466	16.7682	0	0	0	0	95.4102	43.125	306.375	6.875	30.25	2.5	266	0	0	0	0	655.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	40.8889	85.3333	0.777778	44.2222	0.333333	13.4444	0	0	0	0	185	1.14893	2.8654	0.800341	0.201452	0.00477599	0.41514	0	0	0	0	5.43605	112.222	372.778	53.3333	12.4444	4	33.5556	0	0	0	0	588.333	14.3002	28.6312	2.7887	27.5364	0.262756	16.5104	0	0	0	0	90.0297	42.8889	307.222	6.55556	29	2.66667	265.222	0	0	0	0	653.556	6.66667	6.11111	0.222222	3.44444	0	3.55556	0	0	0	0	20	0.00780872	0.0208253	0.0129727	0.00832044	0	0.00746414	0	0	0	0	0.0573913	0.888889	2.77778	0.888889	0.444444	0	0.555556	0	0	0	0	5.55556	0.067007	0.22047	0.0784445	1.5242	0	0.197623	0	0	0	0	2.08774	0.555556	3.33333	0.222222	1.44444	0	2.44444	0	0	0	0	8
2	1	333.787	84.3537	0	23.5828	0	8.16327	0	0	0	0	449.887	1.28678	2.93678	0.981952	0.16544	0.000525397	0.26277	0	0	0	0	5.63425	109.751	361.905	56.2358	9.97732	2.72109	21.7687	0	0	0	0	562.358	7.08227	24.6528	1.08199	12.9804	0.0774352	14.5935	0	0	0	0	60.4684	43.5374	312.925	5.44218	29.932	3.62812	272.109	0	0	0	0	667.574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	85.5	0.875	46.625	0.375	14	0	0	0	0	147.375	1.13496	2.85247	0.782378	0.203834	0.00530058	0.433749	0	0	0	0	5.4127	112.75	374	53.125	12.625	4.125	35	0	0	0	0	591.625	15.2026	29.3086	3.05717	29.2182	0.284929	16.726	0	0	0	0	93.7974	42.75	306.375	6.75	28.875	2.5	264.5	0	0	0	0	651.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	52.3333	112.889	1.33333	62.2222	0.444444	18.3333	0	0	0	0	247.556	1.14802	2.85131	0.795454	0.194412	0.00446752	0.414441	0	0	0	0	5.40811	110.778	365.778	52.2222	11.8889	3.88889	33.1111	0	0	0	0	577.667	14.3205	28.7971	2.80232	27.5967	0.264738	16.5236	0	0	0	0	90.305	42.8889	307.444	6.55556	28.5556	2.77778	262.667	0	0	0	0	650.889	9.88889	14.1111	0	6.33333	0	3.55556	0	0	0	0	33.8889	0.00608373	0.0305666	0.0128225	0.00754829	0	0.00163695	0	0	0	0	0.0586581	1	3.88889	1	0.444444	0	0.111111	0	0	0	0	6.44444	0.0628077	0.158453	0.0129499	0.0370024	0	0.143688	0	0	0	0	0.414901	0.444444	2.88889	0.111111	0.555556	0	2.88889	0	0	0	0	6.88889
