Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\093015-runs\093015-FRPIJE-Fin.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realplot
2 = simplot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PIJE	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PIJE	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PIJE	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PIJE	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PIJE	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PIJE	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PIJE	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PIJE	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PIJE	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PIJE	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	0	0	0	0	0	0	0	0	0	0	0.0607952	0.00232453	0.0559793	0	0	0.0650539	0.827808	0.0129887	0	1.02495	7.33333	2.88889	2.77778	0	0	11.4444	88.4444	1.11111	0	114	9.98791	0	2.04849	0	0	0.208719	29.0828	0	0	41.3279	6.22222	0	1.44444	0	0	3.88889	51.6667	0	0	63.2222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0.0578501	0.00105322	0.110852	0	0	0.0914471	0.719429	0.0116899	0	0.992321	5	3	3	0	0	13	85	1	0	110	1.99594	0	1.15942	0	0	0.095206	14.6413	0	0	17.8919	8	0	1	0	0	3	54	0	0	66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	0	0	0	0	0	0	0	0	0	0.0611634	0.00248345	0.0491202	0	0	0.0617547	0.841355	0.0131511	0	1.02903	7.625	2.875	2.75	0	0	11.25	88.875	1.125	0	114.5	10.9869	0	2.15962	0	0	0.222908	30.888	0	0	44.2574	6	0	1.5	0	0	4	51.375	0	0	62.875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	7.77778	0	0.111111	0	0	0.222222	4.66667	0	0	12.7778	0.0607413	0.00246978	0.0570356	0	0	0.0663706	0.827545	0.0133975	0	1.02756	7.22222	2.88889	2.77778	0	0	11.3333	87	1.11111	0	112.333	9.96326	0	2.05516	0	0	0.210731	29.232	0	0	41.4611	6.11111	0	1.44444	0	0	3.88889	52.1111	0	0	63.5556	0	0	0	0	0	0	0	0	0	0	0.00136933	0	0	0	0	9.1722e-005	0.00843756	0	0	0.0098986	0.111111	0	0	0	0	0.111111	1	0	0	1.22222	0.0398928	0	0	0	0	0	0	0	0	0.0398928	0.111111	0	0	0	0	0	0	0	0	0.111111
1	1	70	0	0	0	0	0	2	0	0	72	0.0587515	0.00116826	0.112461	0	0	0.0932425	0.735348	0.0120578	0	1.01303	5	3	3	0	0	13	82	1	0	107	2.0085	0	1.16428	0	0	0.0964964	14.7567	0	0	18.026	8	0	1	0	0	3	54	0	0	66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	0	0.125	0	0	0.25	5	0	0	5.375	0.06099	0.00263247	0.0501074	0	0	0.0630117	0.83907	0.013565	0	1.02938	7.5	2.875	2.75	0	0	11.125	87.625	1.125	0	113	10.9576	0	2.16651	0	0	0.22501	31.0414	0	0	44.3905	5.875	0	1.5	0	0	4	51.875	0	0	63.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	11	0	0.333333	0	0	0.222222	7.11111	0	0	18.6667	0.0620481	0.00261931	0.0581078	0	0	0.065579	0.815332	0.0138127	0	1.0175	7.22222	2.77778	2.77778	0	0	11	85.1111	1.11111	0	110	9.96008	0	2.06184	0	0	0.214676	29.174	0	0	41.4106	6	0	1.44444	0	0	4	52.1111	0	0	63.5556	2	0	0	0	0	0.111111	0.444444	0	0	2.55556	0	4.34967e-006	0	0	0	0.000290161	0.0121114	0	0	0.0124059	0	0.111111	0	0	0	0.222222	1.22222	0	0	1.55556	0.0182367	0	0	0	0	0	0.216264	0	0	0.234501	0.111111	0	0	0	0	0	0.666667	0	0	0.777778
2	1	99	0	0	0	0	0	3	0	0	102	0.0596675	0.00129227	0.114088	0	0	0.0950593	0.75205	0.0124314	0	1.03459	5	3	3	0	0	13	81	1	0	106	2.02109	0	1.16914	0	0	0.0977955	14.6393	0	0	17.9273	8	0	1	0	0	3	53	0	0	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	0	0.375	0	0	0.25	7.625	0	0	8.25	0.0623457	0.0027852	0.0511103	0	0	0.0618939	0.823242	0.0139853	0	1.01536	7.5	2.75	2.75	0	0	10.75	85.625	1.125	0	110.5	10.9525	0	2.17342	0	0	0.229286	30.9909	0	0	44.346	5.75	0	1.5	0	0	4.125	52	0	0	63.375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	14	0	0.777778	0	0	0.333333	9.22222	0	0	24.3333	0.0570422	0.0027742	0.0565229	0	0	0.0607844	0.81772	0.0142341	0	1.00908	7	2.66667	2.66667	0	0	10.4444	83.5556	1.11111	0	107.444	9.97973	0	1.96345	0	0	0.218664	29.2975	0	0	41.4593	6.11111	0	1.33333	0	0	4.11111	52.2222	0	0	63.7778	2.22222	0	0	0	0	0.111111	0.777778	0	0	3.11111	0.00163301	5.78224e-006	0.00267299	0	0	0.00427508	0.00545152	0	0	0.0140384	0.111111	0.111111	0.111111	0	0	0.444444	1.11111	0	0	1.88889	0	0	0.105079	0	0	0	0.0263307	0	0	0.131409	0	0	0.111111	0	0	0	0.333333	0	0	0.444444
