Location: GenPlots
From parameter file: C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\093015-runs\093015-SUPILA-Fin.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
1 = realplot
2 = simplot
Step	Subplot	Sdl Abs Den: ABCO	Sdl Abs Den: CADE	Sdl Abs Den: PILA	Sdl Abs Den: PIPO	Sdl Abs Den: QUCH	Sdl Abs Den: QUKE	Sdl Abs Den: PICO	Sdl Abs Den: PIMO	Sdl Abs Den: ABMA	Sdl Den Total:	Sapl Abs BA: ABCO	Sapl Abs BA: CADE	Sapl Abs BA: PILA	Sapl Abs BA: PIPO	Sapl Abs BA: QUCH	Sapl Abs BA: QUKE	Sapl Abs BA: PICO	Sapl Abs BA: PIMO	Sapl Abs BA: ABMA	Sapl BA Total:	Sapl Abs Den: ABCO	Sapl Abs Den: CADE	Sapl Abs Den: PILA	Sapl Abs Den: PIPO	Sapl Abs Den: QUCH	Sapl Abs Den: QUKE	Sapl Abs Den: PICO	Sapl Abs Den: PIMO	Sapl Abs Den: ABMA	Sapl Den Total:	Adult Abs BA: ABCO	Adult Abs BA: CADE	Adult Abs BA: PILA	Adult Abs BA: PIPO	Adult Abs BA: QUCH	Adult Abs BA: QUKE	Adult Abs BA: PICO	Adult Abs BA: PIMO	Adult Abs BA: ABMA	Adult BA Total:	Adult Abs Den: ABCO	Adult Abs Den: CADE	Adult Abs Den: PILA	Adult Abs Den: PIPO	Adult Abs Den: QUCH	Adult Abs Den: QUKE	Adult Abs Den: PICO	Adult Abs Den: PIMO	Adult Abs Den: ABMA	Adult Den Total:	Natural Dead Sdl Abs Den: ABCO	Natural Dead Sdl Abs Den: CADE	Natural Dead Sdl Abs Den: PILA	Natural Dead Sdl Abs Den: PIPO	Natural Dead Sdl Abs Den: QUCH	Natural Dead Sdl Abs Den: QUKE	Natural Dead Sdl Abs Den: PICO	Natural Dead Sdl Abs Den: PIMO	Natural Dead Sdl Abs Den: ABMA	Natural Dead Sdl Den Total:	Natural Dead Sapl Abs BA: ABCO	Natural Dead Sapl Abs BA: CADE	Natural Dead Sapl Abs BA: PILA	Natural Dead Sapl Abs BA: PIPO	Natural Dead Sapl Abs BA: QUCH	Natural Dead Sapl Abs BA: QUKE	Natural Dead Sapl Abs BA: PICO	Natural Dead Sapl Abs BA: PIMO	Natural Dead Sapl Abs BA: ABMA	Natural Dead Sapl BA Total:	Natural Dead Sapl Abs Den: ABCO	Natural Dead Sapl Abs Den: CADE	Natural Dead Sapl Abs Den: PILA	Natural Dead Sapl Abs Den: PIPO	Natural Dead Sapl Abs Den: QUCH	Natural Dead Sapl Abs Den: QUKE	Natural Dead Sapl Abs Den: PICO	Natural Dead Sapl Abs Den: PIMO	Natural Dead Sapl Abs Den: ABMA	Natural Dead Sapl Den Total:	Natural Dead Adult Abs BA: ABCO	Natural Dead Adult Abs BA: CADE	Natural Dead Adult Abs BA: PILA	Natural Dead Adult Abs BA: PIPO	Natural Dead Adult Abs BA: QUCH	Natural Dead Adult Abs BA: QUKE	Natural Dead Adult Abs BA: PICO	Natural Dead Adult Abs BA: PIMO	Natural Dead Adult Abs BA: ABMA	Natural Dead Adult BA Total:	Natural Dead Adult Abs Den: ABCO	Natural Dead Adult Abs Den: CADE	Natural Dead Adult Abs Den: PILA	Natural Dead Adult Abs Den: PIPO	Natural Dead Adult Abs Den: QUCH	Natural Dead Adult Abs Den: QUKE	Natural Dead Adult Abs Den: PICO	Natural Dead Adult Abs Den: PIMO	Natural Dead Adult Abs Den: ABMA	Natural Dead Adult Den Total:
0	0	50.1111	10.5556	4.11111	0	0	0.111111	0	0	0	64.8889	1.49184	0.0911192	0.726462	0.00402543	0	0.00507163	0	0	0.0215394	2.34005	244.778	25.3333	56.8889	0.555556	0	1.44444	0	0	0.888889	329.889	14.3627	6.79899	27.341	0	0	0.10974	0	0	0	48.6124	42.5556	16.4444	15.5556	0	0	0.333333	0	0	0	74.8889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	400.889	7.11111	3.55556	0	0	0.888889	0	0	0	412.444	1.26461	0.0959096	0.438166	0.00644068	0	0.000723851	0	0	0	1.80585	289.778	24	51.5556	0.888889	0	0.888889	0	0	0	367.111	12.1606	1.56524	10.3881	0	0	0.0312585	0	0	0	24.1453	48.8889	18.6667	16.8889	0	0	0.888889	0	0	0	85.3333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	2	0	11.0476	4.19048	0	0	0	0	0	0	15.2381	1.5243	0.0904349	0.767647	0.00368039	0	0.00569274	0	0	0.0246165	2.41637	238.349	25.5238	57.6508	0.507937	0	1.52381	0	0	1.01587	324.571	14.6773	7.54667	29.7628	0	0	0.120952	0	0	0	52.1077	41.6508	16.127	15.3651	0	0	0.253968	0	0	0	73.3968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	74.8889	15.5556	6.66667	0	0	0.111111	0	0	0	97.2222	1.50715	0.0912197	0.72472	0.00418669	0	0.00520266	0	0	0.0218755	2.35435	244.222	25.5556	55.4444	0.555556	0	1.44444	0	0	0.888889	328.111	14.2592	6.8225	27.0181	0	0	0.110089	0	0	0	48.21	42.3333	16.4444	15.2222	0	0	0.333333	0	0	0	74.3333	9.88889	1.66667	0.444444	0	0	0	0	0	0	12	0.00883861	0.000974487	0.0190086	0	0	0	0	0	0	0.0288217	2.55556	0.222222	2	0	0	0	0	0	0	4.77778	0.181712	0.00342949	0.389445	0	0	0	0	0	0	0.574587	0.555556	0.111111	0.333333	0	0	0	0	0	0	1
1	1	599.111	9.77778	6.22222	0	0	0.888889	0	0	0	616	1.29641	0.0988998	0.448209	0.0066987	0	0.000770436	0	0	0	1.85099	305.778	24	51.5556	0.888889	0	0.888889	0	0	0	383.111	12.2298	1.55382	8.45289	0	0	0.0316616	0	0	0	22.2682	48.8889	17.7778	15.1111	0	0	0.888889	0	0	0	82.6667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	0	16.381	6.73016	0	0	0	0	0	0	23.1111	1.53725	0.0901225	0.764222	0.00382783	0	0.00583584	0	0	0.0250005	2.42626	235.429	25.7778	56	0.507937	0	1.52381	0	0	1.01587	320.254	14.5492	7.57517	29.6703	0	0	0.121293	0	0	0	51.916	41.3968	16.254	15.2381	0	0	0.253968	0	0	0	73.1429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	0	78.4444	17.3333	8.22222	0	0	0	0	0	0	104	1.53916	0.0914644	0.720943	0.00435111	0	0.00533605	0	0	0.0222141	2.38347	245.222	25.6667	54.8889	0.555556	0	1.44444	0	0	0.888889	328.667	14.3231	6.84405	26.8341	0	0	0.107922	0	0	0	48.1092	42.3333	16.3333	14.8889	0	0	0.222222	0	0	0	73.7778	17	2.33333	0.888889	0	0	0.111111	0	0	0	20.3333	0.00656957	0.000852061	0.0105997	0	0	0	0	0	0	0.0180214	1.55556	0.333333	0.666667	0	0	0	0	0	0	2.55556	0	0.00546492	0.259379	0	0	0.00251666	0	0	0	0.26736	0	0.222222	0.444444	0	0	0.111111	0	0	0	0.777778
2	1	627.556	13.3333	5.33333	0	0	0	0	0	0	646.222	1.33098	0.101962	0.451232	0.00696178	0	0.000818474	0	0	0	1.89195	323.556	24	50.6667	0.888889	0	0.888889	0	0	0	400	12.2993	1.56943	7.93234	0	0	0.0320673	0	0	0	21.8332	48.8889	17.7778	14.2222	0	0	0.888889	0	0	0	81.7778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	0	17.9048	8.63492	0	0	0	0	0	0	26.5397	1.5689	0.0899648	0.759474	0.00397816	0	0.00598142	0	0	0.0253876	2.45369	234.032	25.9048	55.4921	0.507937	0	1.52381	0	0	1.01587	318.476	14.6122	7.59757	29.5344	0	0	0.118758	0	0	0	51.8629	41.3968	16.127	14.9841	0	0	0.126984	0	0	0	72.6349	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	0	82.7778	17.6667	9.22222	0	0	0.111111	0	0	0	109.778	1.55152	0.0919916	0.731963	0.00451871	0	0.00356135	0	0	0.0225554	2.40611	245.222	25.6667	54.7778	0.555556	0	1.33333	0	0	0.888889	328.444	14.292	6.32228	26.8325	0	0	0.110143	0	0	0	47.5569	42.3333	16.2222	14.6667	0	0	0.333333	0	0	0	73.5556	15.3333	3	0.888889	0	0	0	0	0	0	19.2222	0.00798437	0.000552667	0.00604016	0	0	0	0	0	0	0.0145772	1.88889	0.222222	0.888889	0	0	0	0	0	0	3	0.113919	0.548822	0.0656936	0	0	0	0	0	0	0.728434	0.444444	0.222222	0.222222	0	0	0	0	0	0	0.888889
